Date,Open,High,Low,Close,Volume
2003-09-05,18,20.8,17.65,18,12775
2003-09-08,18.2,18.25,17.4,17.65,22266
2003-09-09,17.1,17.3,16.05,16.55,21413
2003-09-22,13.8,13.8,13.8,13.8,100
2003-09-26,13,13,13,13,100
2003-09-29,12.05,12.05,11.6,11.6,600
2003-10-03,12.1,12.1,12.1,12.1,100
2003-10-07,13.45,14.5,12.5,14.5,814
2003-10-08,14,14.4,14,14.4,700
2003-10-09,14.6,16.9,14.6,16.9,8145
2003-10-10,17.5,18,16.65,16.7,13125
2003-10-13,16.5,18,16.5,17.4,9700
2003-10-14,17.5,17.5,17.5,17.5,2100
2003-10-15,16.6,17,16.6,17,555
2003-10-16,17.25,17.5,17.1,17.1,3845
2003-10-17,16,17,16,16.35,2088
2003-10-20,16.95,16.95,16.55,16.6,1700
2003-10-21,16.1,16.3,15.75,15.75,1235
2003-10-22,16,17,16,16.8,5025
2003-10-23,16.25,16.25,16,16.1,1602
2003-10-27,16.15,16.15,16.15,16.15,500
2003-10-28,16.45,16.45,16.45,16.45,1000
2003-10-29,16.1,16.5,16.1,16.4,5800
2003-10-30,16.9,16.95,16.9,16.95,900
2003-10-31,15.75,15.75,15.75,15.75,100
2003-11-03,15.75,16.8,15.75,16.2,4100
2003-11-04,16,16.2,16,16.1,2302
2003-11-05,16,17.45,16,17.05,16304
2003-11-06,16.55,17,16.55,16.7,3463
2003-11-07,17,17,16.75,16.8,3002
2003-11-11,17.9,20.2,17.9,20.2,31732
2003-11-12,19.5,20.1,19.5,19.5,3120
2003-11-13,19.5,20.75,18.5,19.45,12280
2003-11-14,19.5,19.5,18.55,18.55,3500
2003-11-15,21.8,21.8,18.5,18.7,600
2003-11-17,20.5,21.25,19.95,20.95,13384
2003-11-18,22.5,23.25,21.5,21.7,14998
2003-11-19,22,23.25,21.7,22.45,37205
2003-11-20,21.25,24.85,21.25,23.3,32258
2003-11-21,23.25,23.25,21.35,21.95,8728
2003-11-24,23.45,26,22.8,25.4,19392
2003-11-25,25,27,24.1,26.7,11592
2003-11-27,26.95,32.05,26.75,31.9,52864
2003-11-28,33.5,33.9,29.55,31.1,25057
2003-12-01,31.5,35.85,31.5,32.25,16647
2003-12-02,34,34,30.5,31.05,6700
2003-12-03,30.5,31.55,28.2,29.55,16724
2003-12-04,28.8,31,27,29.9,20095
2003-12-05,28.7,32,28.7,29.9,11842
2003-12-08,29.9,30.5,28.5,30.1,12290
2003-12-09,30,31.9,30,31.6,22230
2003-12-10,31.1,32,28.5,30.05,42700
2003-12-11,29,30,29,29.5,5311
2003-12-12,30.1,30.1,28.5,28.8,9317
2003-12-15,30,30,28,28.55,13762
2003-12-16,28.85,28.85,26.15,26.65,16100
2003-12-17,27.85,28.1,26.55,27.6,15038
2003-12-18,26,28.5,26,27.7,8847
2003-12-19,28.65,29.35,26.45,27.4,24808
2003-12-22,27.6,28.5,27.5,28.1,15585
2003-12-23,27.15,28,27.15,27.4,19670
2003-12-24,29,30.15,28.15,30.15,6817
2003-12-26,32.7,33,31,32.7,39544
2003-12-29,33.3,33.4,32.2,32.6,34523
2003-12-30,32.6,35,31.05,34.2,35438
2003-12-31,36.5,37,34,34.35,60576
2004-01-01,35.9,35.9,34.5,35.4,21651
2004-01-02,33.5,35.55,33.5,33.8,15902
2004-01-05,35.9,35.9,31.25,32.3,17228
2004-01-06,33,33,29.9,30.65,18264
2004-01-07,29.95,29.95,28.8,29.45,11300
2004-01-08,30,31.85,30,30.85,7076
2004-01-09,30.95,31.2,29.65,30.4,13460
2004-01-12,28.7,29.6,28.55,28.8,8135
2004-01-13,28.25,28.25,27,27.55,8095
2004-01-14,27.45,28.85,27.4,28.5,13256
2004-01-15,29.65,29.65,28.1,28.3,4884
2004-01-16,28,28.1,27,27.15,6883
2004-01-19,26.5,27.25,26.5,27.2,4575
2004-01-20,27.25,27.6,26.5,26.55,7874
2004-01-21,26,26.65,24.5,24.85,2773
2004-01-22,24.55,24.6,23.25,23.55,7114
2004-01-23,23.2,23.95,23.2,23.75,3335
2004-01-27,25,25,24.4,24.9,5580
2004-01-28,25.15,25.2,24.35,24.35,1713
2004-01-29,25,25.45,25,25,2638
2004-01-30,25,25,23.7,23.7,2800
2004-02-03,23.1,23.15,23,23.1,3025
2004-02-04,23,23.3,22.2,22.7,6312
2004-02-05,22.85,23.9,22.65,22.7,6200
2004-02-06,22.3,23.25,22,23.25,9752
2004-02-09,24.25,24.25,23,23.1,3445
2004-02-10,23.1,24.8,23,24,4173
2004-02-11,23.5,24,23.45,24,1067
2004-02-12,24.75,24.95,24.25,24.8,5088
2004-02-13,24.85,25.6,24.55,25.6,1601
2004-02-16,26.05,26.45,25.15,26.35,6556
2004-02-17,26.25,26.6,25.75,25.75,1787
2004-02-18,26.3,26.85,25.65,26.6,7005
2004-02-19,25.8,25.9,24.85,25.15,5640
2004-02-20,24.5,25.05,24.5,25,2567
2004-02-23,26.4,26.4,23.55,24.05,3660
2004-02-24,23.05,24.25,23.05,24.25,2759
2004-02-25,23.5,24.75,23.5,24.75,850
2004-02-26,23.7,25,22.65,23,2214
2004-02-27,22.8,22.85,22.55,22.65,15182
2004-03-01,23,23.5,22.55,23.45,3900
2004-03-03,23.25,23.5,23.2,23.2,1037
2004-03-04,22.4,23.05,22.1,22.25,2027
2004-03-05,22,22.65,21.65,21.75,3498
2004-03-08,22.1,22.45,22,22.45,1200
2004-03-09,22.05,22.05,21.8,22,2998
2004-03-10,21.5,21.9,21.5,21.9,1394
2004-03-11,21.9,21.9,21.3,21.4,2050
