Date,Open,High,Low,Close,Volume
2025-07-10,83.99,83.99,77.01,77.59,10938
2025-07-11,80.4,85.9,78.26,84.51,105711
2025-07-14,84.3,86.64,79.55,80.73,69892
2025-07-15,80.51,82.8,77.8,79.35,8297
2025-07-16,79.4,95.22,79.4,93.37,434442
2025-07-17,93,96.5,89.42,95.22,119204
2025-07-18,95.7,96.29,89.9,90.97,85694
2025-07-21,90.3,96,89.8,93.39,87100
2025-07-22,92.71,94.5,91.92,93.55,28168
2025-07-23,95.3,97.5,94.53,97.29,147655
2025-07-24,98,98.01,95.51,96.5,133951
2025-07-25,97.57,97.57,94.02,94.49,19174
2025-07-28,95,97.1,94.49,95.15,15426
2025-07-29,96.4,96.4,93.32,93.8,15636
2025-07-30,93.42,98,92.19,96.37,51142
2025-07-31,95.4,98.5,94.49,96.7,47927
2025-08-01,96.7,96.9,94.49,95.17,5348
2025-08-04,95.4,99.5,95,97.34,21909
2025-08-05,98.21,100,97.11,99.15,19205
2025-08-06,100,100,95.5,96.27,15841
2025-08-07,96,99,95.7,97.48,5826
2025-08-08,97.01,98.4,96,96.33,82667
2025-08-11,97.3,97.3,96,96.33,2178
2025-08-12,96,97.16,95.62,96.39,5036
2025-08-13,97.69,97.75,95.4,95.57,2768
2025-08-14,96.71,102.3,95.53,99.34,152629
2025-08-18,101.34,102.5,99,100.36,13412
2025-08-19,101.12,105,100.6,102.44,38079
2025-08-20,102.4,105.9,101.63,103.63,12412
2025-08-21,103.89,107,102.81,104.33,42533
2025-08-22,104.85,107,101.5,104.08,78893
2025-08-25,105.12,108.2,104.81,106.92,27127
2025-08-26,107,108.5,105.1,106.15,24476
2025-08-28,105.6,107.53,103,104.71,42201
2025-08-29,105,107.6,101.5,105.68,38533
2025-09-01,106.73,106.73,104.6,105.41,32809
2025-09-02,107.2,109.5,105.6,106.33,33650
2025-09-03,107.21,110,106.71,107.53,81523
2025-09-04,109.68,110.9,107.5,109.03,97857
2025-09-05,109.03,112.05,109.03,110.34,56305
2025-09-08,113,115,111.48,113.37,128815
2025-09-09,115,115.8,112.27,113.51,82464
2025-09-10,114.65,116.8,113.51,116.09,57722
2025-09-11,116.8,119.44,110.41,113.26,188807
2025-09-12,113.9,119,110.7,113.3,487674
2025-09-15,112.4,116.4,105.2,111.2,437327
2025-09-16,110.1,114,108.7,113.2,748005
2025-09-17,115,117.4,109.3,113.6,923606
2025-09-18,115,120,111,113.8,1364262
2025-09-19,113.9,115,111.7,113.6,166519
2025-09-22,114.7,114.7,111.5,112.9,144079
2025-09-23,112.5,118.5,112,115,703496
2025-09-24,115.6,124.7,114,117,1123305
2025-09-25,117.9,118.2,114.8,115.7,625851
2025-09-26,115,115.3,112,113.8,105344
2025-09-29,113.4,114.2,108.6,110.2,167069
2025-09-30,111.5,117.9,110,111,1192248
2025-10-01,112.1,112.55,107,107.71,237280
2025-10-03,106.4,108.8,106.4,107.73,108068
2025-10-06,107.73,108.1,104,104.61,175897
2025-10-07,104.14,105.28,100,101.23,400786
2025-10-08,102.75,102.75,96.52,97.25,292809
2025-10-09,96.52,97.34,91.53,92.83,490125
2025-10-10,92,97.9,91.59,96.89,619190
2025-10-13,96.5,100,94.73,98.38,203664
2025-10-14,99,99.66,93,94.1,79225
2025-10-15,95.05,95.05,92.75,93.55,435607
2025-10-16,94.26,97.17,93.21,95.3,90692
2025-10-17,95.74,97.1,92,93.74,602449
2025-10-20,95.9,99.9,92.91,98.63,573902
2025-10-21,100,105,96.82,99.85,191609
2025-10-23,102,105,100.03,102.11,420849
2025-10-24,101.1,108.6,101.1,104.17,1052820
2025-10-27,107,114,101.02,111.08,1732410
2025-10-28,113.22,116.5,107.7,109.08,1000088
2025-10-29,118,121.7,113.05,115.35,11183951
2025-10-30,117,120,116.11,117.16,2620371
2025-10-31,120.99,121.34,117,117.71,2002300
2025-11-03,119.29,119.4,106.18,107.07,2391334
2025-11-04,109,109.01,92.55,93.99,4548149
2025-11-06,95.5,99,93.9,96.54,1788973
2025-11-07,96.57,98.09,90.51,94.28,828045
2025-11-10,94.28,94.63,91.05,91.78,341360
2025-11-11,93.62,94.79,77,77.86,4563652
2025-11-12,80,80,71.81,72.73,3634785
2025-11-13,71,72,63.5,65.28,3706227
2025-11-14,58.75,58.75,58.75,58.75,448658
2025-11-17,52.87,52.87,52.87,52.87,247158
2025-11-18,47.58,47.58,47.58,47.58,190560
2025-11-19,45.2,45.2,45.2,45.2,202597
2025-11-20,42.94,42.94,42.94,42.94,509204
2025-11-21,40.79,43.8,40.79,40.97,16224278
2025-11-24,43.01,43.01,41.96,43.01,7746700
2025-11-25,45.16,45.16,43.27,45.16,7885747
2025-11-26,45.19,47.22,43.87,46.53,8393470
2025-11-27,46,47.07,44.91,45.89,2658114
2025-11-28,45.66,48.18,44.69,48.08,6812067
2025-12-01,48.94,50.48,47.95,48.64,5239684
2025-12-02,48.6,50.39,46.67,49.55,3851592
2025-12-03,49.75,50,47.84,48.09,1704690
2025-12-04,48.44,48.44,46.32,46.88,1491617
2025-12-05,47.5,47.5,45.85,46.2,809716
2025-12-08,46.3,46.89,43.89,43.89,1044433
2025-12-09,42.6,45.28,42.14,44.76,1158741
2025-12-10,45.75,46.99,44.55,45.51,1148595
2025-12-11,46,46,43.64,45.38,937703
2025-12-12,45.9,47.64,45.01,45.7,1242612
2025-12-15,45.15,46.7,45.02,45.29,532503
2025-12-16,45.7,45.7,43.35,43.67,734164
2025-12-17,43.5,43.71,41.7,41.87,1112152
2025-12-18,42.8,43.96,41.17,43.36,1215664
2025-12-19,43.3,44.51,43,44.18,470086
2025-12-22,45.1,45.1,42.9,43.03,826885
2025-12-23,43.24,43.74,42.5,42.65,528567
2025-12-24,42.45,44.78,42,43.16,926709
2025-12-26,43.7,43.7,42.28,43,461076
2025-12-29,42.3,42.73,41.5,41.7,712589
2025-12-30,42.55,43,41,41.62,404131
2025-12-31,42.4,42.84,41.31,41.62,548170
2026-01-01,42.3,43.7,41.25,41.42,3822695
2026-01-02,41.35,42.18,41.2,41.83,415811
2026-01-05,42.66,42.66,41.35,41.56,948024
2026-01-06,41.85,42.57,40.83,41.43,1165940
2026-01-07,41.78,42.5,41,41.52,1240164
2026-01-08,41.14,41.79,40.87,41.21,1145238
2026-01-09,41.63,41.7,39.15,40.2,1918131
2026-01-12,39.97,39.97,38.19,38.19,2299234
2026-01-13,37.73,40.09,36.29,40.07,4104118
2026-01-14,40.1,41.12,38.55,39.07,1604645
2026-01-16,39.05,39.21,37.23,37.62,944126
2026-01-19,38,38,36.01,36.53,872744
2026-01-20,36.5,37.36,35.75,36.34,1119411
2026-01-21,35.55,36.91,35.48,35.83,982056
2026-01-22,36.67,36.99,35.86,36.44,851933
2026-01-23,36.5,36.91,35.1,35.72,940090
2026-01-27,35.49,35.89,33.94,34.49,1238576
2026-01-28,34.66,36.18,34.35,35.79,1183136
2026-01-29,35.6,37,35.6,36.83,1168877
2026-01-30,37.5,38.67,36.83,38.51,1571753
2026-02-01,39.7,40.39,37,37.53,1749375
2026-02-02,37.39,37.64,35.7,36.54,1460382
2026-02-03,37.49,38.36,36.92,38.36,767817
2026-02-04,38.75,40.27,38.02,40.27,932223
2026-02-05,41.4,42.2,40.28,42.04,1648353
2026-02-06,42.99,44.14,42.21,44.14,1533814
2026-02-09,45.4,46.27,44.58,45.68,1721369
2026-02-10,46.25,46.43,43.4,43.4,1952566
2026-02-11,43.4,43.4,41.49,42.01,1950982
2026-02-13,42,42.75,41.68,42.44,1091948
