Date,Open,High,Low,Close,Volume
2025-08-08,427.5,448.85,427.5,448.85,1150200
2025-08-11,471.25,471.25,471.25,471.25,106200
2025-08-12,494.8,494.8,494.8,494.8,514200
2025-08-13,519.5,519.5,519.5,519.5,172800
2025-08-14,545.45,545.45,545.45,545.45,98400
2025-08-18,568,572.7,540,572.6,2390400
2025-08-19,561,599.05,550,564.75,459000
2025-08-20,564,569,541.5,562.45,255000
2025-08-21,569.5,569.5,546,559.75,154200
2025-08-22,562,587.7,556,587.7,154200
2025-08-25,615,705.2,615,705.2,1047000
2025-08-26,740,790,684.9,694.8,517800
2025-08-28,707,720,663,680.45,254400
2025-08-29,684.95,707.95,635,647.1,174000
2025-09-01,653.25,675.85,595,602.8,362400
2025-09-02,603.5,637,595,623.75,168000
2025-09-03,625,687,606.6,674.7,296400
2025-09-04,661.55,675,613.05,616.25,300600
2025-09-05,622.65,624,595,615.65,214200
2025-09-08,644.95,669,615,655.25,409800
2025-09-09,641,641,622.5,622.5,87000
2025-09-10,620.95,621.5,591.4,593.25,196200
2025-09-11,599,622.5,594,617,72000
2025-09-12,617,633,586.15,597.55,176400
2025-09-15,585.1,596.95,575,578.1,80400
2025-09-16,565.05,607,562.25,602.15,161400
2025-09-17,599.95,608,576,577.95,79800
2025-09-18,569,586.85,565,567.3,69000
2025-09-19,569,574.95,555,558.15,105600
2025-09-22,559.05,577.5,551.15,568.8,102000
2025-09-23,568.8,568.8,555.15,556.15,67200
2025-09-24,556,560,544,545.7,56400
2025-09-25,549.45,549.45,518.45,518.45,125400
2025-09-26,501,532.95,496.6,527.65,132000
2025-09-29,533.9,539,528.25,533.2,52200
2025-09-30,523.2,536,516.55,520,32400
2025-10-01,520.2,528.5,505.1,525.6,29400
2025-10-03,526,551.85,525,551.85,63000
2025-10-06,550,564,525,537.25,102000
2025-10-07,537.25,539.8,520.05,532.5,21600
2025-10-08,538.95,559,531.2,555.15,54600
2025-10-09,536.05,550,527.4,530.5,55200
2025-10-10,538,557,538,557,42000
2025-10-13,560,584.85,557,583,149400
2025-10-14,570.1,576.4,555,565.3,123000
2025-10-15,569,571.5,555,568.55,33600
2025-10-16,567,594.9,559,590.3,60000
2025-10-17,589,598.9,582,585.75,20400
2025-10-20,585,588,571,581.55,13800
2025-10-21,584.95,587,570,584.75,16200
2025-10-23,582.9,585,562.1,564.7,34200
2025-10-24,564.7,577,564,574,22200
2025-10-27,564.25,575,560,572.95,18000
2025-10-28,572.95,576.5,555,561.35,30000
2025-10-29,540,563,537,552.25,16200
2025-10-30,556,556,537,538,31800
2025-10-31,544.2,555.95,536,551.1,33400
2025-11-03,544,545,535,542.2,27000
