Date,Open,High,Low,Close,Volume
2024-10-04,113,115,107.35,109.35,1065600
2024-10-07,108.9,108.9,103.9,103.9,84000
2024-10-08,98.7,107,98.7,106,51600
2024-10-09,100.95,108.1,100.95,103.8,22800
2024-10-10,104,107,102,105.5,26400
2024-10-11,102.55,106,102.55,103,15600
2024-10-14,102.5,104.5,101.45,102.25,12000
2024-10-15,105,107,102.7,103.1,14400
2024-10-16,103.1,103.5,102,102.35,55200
2024-10-17,102.2,104.5,101.75,104.45,57600
2024-10-18,103,107.95,102,105.2,85200
2024-10-21,102.1,105,102,102.9,34800
2024-10-22,100.05,101.9,95,99.3,15600
2024-10-23,99,100,96,99.5,7200
2024-10-24,98,98.1,98,98,3600
2024-10-25,96.5,98,96,98,3600
2024-10-28,99,100,96,97.9,7200
2024-10-29,96,96,91.95,94,10800
2024-10-30,96,98.5,96,98,7200
2024-10-31,97.9,97.9,97.9,97.9,1200
2024-11-01,97.75,97.75,96.5,96.95,9600
2024-11-04,98,98,80,86.25,56400
2024-11-05,87.7,87.8,82.55,84.85,42000
2024-11-06,87,88.6,86.25,87.65,20400
2024-11-07,87.45,87.5,84.15,87.5,10800
2024-11-08,87.9,88,87.5,87.5,8400
2024-11-11,88,91,88,90.95,13200
2024-11-12,88,92.5,87,88.85,4800
2024-11-13,90.5,90.5,85,89,34800
2024-11-14,86.8,89.95,85.3,86.15,8400
2024-11-18,90,90,86,89.45,12000
2024-11-19,85.25,88.95,84.9,84.95,9600
2024-11-21,82,83,81.5,83,4800
2024-11-22,82.5,82.5,82.5,82.5,1200
2024-11-25,85,85,82.5,83.6,9600
2024-11-26,89,91.95,88,90,12000
2024-11-27,90,90,87,87.65,8400
2024-11-28,85.25,88.9,85.25,85.4,6000
2024-11-29,85.8,85.8,78.2,83.35,25200
2024-12-02,85.9,86.95,84.8,86.5,10800
2024-12-03,86.65,89,86,88.5,14400
2024-12-04,89,90,84.6,84.6,14400
2024-12-05,85.1,89,85.1,89,7200
2024-12-06,89,90,89,90,2400
2024-12-09,91.5,91.5,90,90.95,7200
2024-12-10,92.5,93.5,90.95,90.95,7200
2024-12-11,87,87.5,86.5,87.5,3600
2024-12-12,86.55,86.55,86.55,86.55,1200
2024-12-13,86.55,86.55,77,81.85,28800
