Date,Open,High,Low,Close,Volume
2024-10-24,135,141,128.25,134.7,2959200
2024-10-25,129,131,128,128,146400
2024-10-28,121.6,127.9,121.6,121.6,597600
2024-10-29,115.55,126.8,115.55,122.8,453600
2024-10-30,121,128.9,117,128.3,422400
2024-10-31,133,133,122,130.85,186000
2024-11-01,132.85,132.85,129,131.7,60000
2024-11-04,130,138.25,125.15,136.95,286800
2024-11-05,136.95,143.75,136.95,143.35,465600
2024-11-06,145.95,145.95,138,140.35,255600
2024-11-07,143,143.5,137,141.45,250800
2024-11-08,142,149,133,141,574800
2024-11-11,141.95,141.95,130,131.8,202800
2024-11-12,130,133.6,123,124.45,146400
2024-11-13,122,122,116.05,118.4,91200
2024-11-14,119.95,119.95,116,117.15,61200
2024-11-18,119.95,125,118.25,122.1,200400
2024-11-19,123,126,121.15,121.85,76800
2024-11-21,120.25,120.25,117.5,119,58800
2024-11-22,119,121.5,117.65,118.45,34800
2024-11-25,121.9,121.9,115,117.5,121200
2024-11-26,115.1,115.95,110,114.1,136800
2024-11-27,114,116,112.05,114.5,150000
2024-11-28,114.5,114.5,111,113.95,72000
2024-11-29,116,118.9,113.7,114.35,64800
2024-12-02,114.05,122,114.05,118.95,235200
2024-12-03,118.9,122,118,118.9,73200
2024-12-04,122,134,122,129.65,423600
2024-12-05,133.95,138.25,125,130.15,610800
2024-12-06,128.4,134.4,128,130.2,273600
2024-12-09,128.55,131.1,126.2,127.35,102000
2024-12-10,128,128,122.5,125.1,69600
2024-12-11,125.1,127.9,123,123.15,75600
2024-12-12,123,139,123,132.05,466800
2024-12-13,130.25,132.05,125.5,131.15,72000
2024-12-16,130,147,128,134.9,354000
2024-12-17,133.3,160,130,154.6,1296000
2024-12-18,165,165,154,156.4,634800
2024-12-19,168,187.65,160,177.25,1558800
2024-12-20,175,188,170.3,176.6,464400
2024-12-23,184,185,172,181.5,339600
2024-12-24,183.95,203.8,179.95,195,304800
2024-12-26,194.8,200,183,185,310800
2024-12-27,181,185,167.25,170.2,368400
2024-12-30,170.2,178.7,161.7,176.25,152400
2024-12-31,173.95,185,167.45,184.2,229200
2025-01-01,186,193.4,184,193.4,133200
2025-01-02,197.4,202,191.9,196,87600
2025-01-03,198,205.8,190,205.6,231600
2025-01-06,207,207,195.35,195.35,109200
2025-01-07,191.45,191.45,191.45,191.45,16800
2025-01-08,187.65,187.65,187.65,187.65,24000
2025-01-09,183.9,191.4,183.9,187,82800
2025-01-10,184,185,183.3,183.5,43200
2025-01-13,183.4,183.4,179.85,179.85,33600
2025-01-14,177,181.25,177,181.25,63600
2025-01-15,181.5,182,181.3,181.5,36000
2025-01-16,185,185.1,185,185.05,52800
2025-01-17,181.35,181.35,181.35,181.35,12000
2025-01-20,177.75,182,177.75,182,94800
2025-01-21,184,184,178.4,178.4,50400
2025-01-22,174.85,174.85,174.85,174.85,12000
2025-01-23,171.35,171.35,171.35,171.35,30000
2025-01-24,167.95,167.95,167.95,167.95,12000
2025-01-27,164.6,164.6,164.6,164.6,9600
2025-01-28,161.3,161.3,161.3,161.3,18000
2025-01-29,162,162,158.1,158.1,63600
2025-01-30,161.25,161.25,154.95,154.95,99600
2025-01-31,152.95,158,151.85,157.8,145200
2025-02-01,160.9,160.95,160.45,160.85,48000
2025-02-03,157.65,157.65,157.65,157.65,24000
2025-02-04,154.5,160.8,154.5,160.8,51600
2025-02-05,164,164,163.5,164,80400
2025-02-06,167.25,167.25,167.25,167.25,126000
2025-02-07,170.55,170.55,170.55,170.55,217200
2025-02-10,173.95,173.95,173.9,173.9,87600
2025-02-11,172.95,172.95,170.45,170.45,51600
2025-02-12,167.05,172.8,167.05,172.8,46800
2025-02-13,176.25,176.25,174.9,176.25,64800
2025-02-14,172.75,172.75,172.75,172.75,26400
2025-02-17,164.15,170,164.15,164.15,15600
2025-02-18,155.95,156.5,155.95,155.95,33600
2025-02-19,148.15,163.7,148.15,163.7,74400
2025-02-20,168.7,171.5,158,169.7,72000
2025-02-21,161.55,168,161.25,161.5,32400
2025-02-24,155.1,161,153.5,161,30000
2025-02-25,165,169,156.25,165,28800
2025-02-27,158,165,156.75,157.75,73200
2025-02-28,150,156,149.9,151.35,60000
2025-03-03,151.3,158.8,143.8,155.15,87600
2025-03-04,155.15,155.15,147.4,154.5,40800
2025-03-05,159,159,148.05,152,31200
2025-03-06,154.95,156,144.4,144.45,151200
2025-03-07,140.1,145.95,137.25,140.3,201600
2025-03-10,138.05,145.55,134.3,138.5,84000
2025-03-11,136,136,131.6,131.65,96000
2025-03-12,131.65,138.2,131.1,135.85,62400
2025-03-13,139.9,140.5,135,137.7,33600
2025-03-17,138.5,138.5,130.85,130.85,57600
2025-03-18,130.85,135.95,124.3,124.8,178800
2025-03-19,124.8,131,124,125.7,220800
2025-03-20,126,129,125.6,127.3,40800
2025-03-21,124.5,130,120.95,122.9,169200
2025-03-24,121.6,129,121.6,129,58800
2025-03-25,132.8,133,122.55,122.8,123600
2025-03-26,120.1,128.9,117.2,127.8,117600
2025-03-27,128.8,131.85,122.55,125.05,68400
2025-03-28,126,130.75,122.65,123.6,66000
2025-04-01,120.2,135.95,120.2,135.95,61200
2025-04-02,145,147,137,144.85,123600
2025-04-03,137.5,149.4,137.5,147.3,50400
2025-04-04,149,149,136.2,143.4,57600
2025-04-07,129.1,136,129.1,131.35,103200
2025-04-08,136.95,144.45,136,144.45,70800
2025-04-09,143.5,155,143.5,146.5,68400
2025-04-11,154.8,161,150,156.75,68400
2025-04-15,160,172.4,154,170.75,242400
2025-04-16,172,172,161,162.45,85200
2025-04-17,162.95,169.5,160.8,165,52800
2025-04-21,164.25,177,164.25,173.45,61200
2025-04-22,168.05,176.45,162,169,220800
2025-04-23,168.2,176,162,172.95,114000
2025-04-24,176,190.2,173.8,184.4,204000
2025-04-25,183,184,175.2,175.2,112800
2025-04-28,176.6,176.6,166.45,166.45,98400
2025-04-29,165.6,174.75,162.5,171,123600
2025-04-30,171,178.45,163.1,168.8,170400
2025-05-02,170,173.85,169,169,46800
2025-05-05,171.9,171.9,165,168.15,16800
2025-05-06,166.75,166.75,159.75,159.75,72000
2025-05-07,158,158,152.9,156.6,85200
2025-05-08,156.6,156.6,148.8,152.1,38400
2025-05-09,146.05,149,144.5,144.6,146400
2025-05-12,147.8,151.8,137.75,142.75,370800
2025-05-13,142,149.85,137.6,149.85,184800
2025-05-14,153,157.3,152.9,157.3,100800
2025-05-15,163,163,150,152.85,93600
2025-05-16,155.5,160.45,154.05,160.45,67200
2025-05-19,166,168.45,160,163.7,109200
2025-05-20,165,165,156.4,157.6,75600
2025-05-21,163.5,165.45,160,165.45,135600
2025-05-22,165.45,173.7,162,173.7,346800
2025-05-23,182.35,182.35,170.7,179.7,295200
2025-05-26,180,186.95,173.95,180.6,122400
2025-05-27,180,183.15,175.55,178.5,58800
2025-05-28,176.5,177,169.6,169.85,141600
2025-05-29,167.1,169,162.25,163.95,98400
2025-05-30,165,172.1,164.9,172.1,117600
2025-06-02,178.8,178.8,168.05,169.5,88800
2025-06-03,167.5,170,165.35,169.85,68400
2025-06-04,169.9,171.6,161.35,164.5,204000
2025-06-05,156.3,163,156.3,156.35,498000
