Date,Open,High,Low,Close,Volume
2025-09-29,296.05,308.7,291.65,294.3,5493770
2025-09-30,290,299.7,280.35,285.1,934074
2025-10-01,283,290.4,280.7,282.3,319891
2025-10-03,282,298.9,280.1,290.05,655196
2025-10-06,290.05,309.95,286.45,305.55,957172
2025-10-07,305,306.9,288.8,292.3,411916
2025-10-08,290.4,298.95,286.85,295.15,344257
2025-10-09,294,302.85,290.2,293.75,297458
2025-10-10,292.95,307.4,292.25,302.6,449091
2025-10-13,302.25,303.1,290.25,294.15,320519
2025-10-14,294.15,296,281.15,283,224915
2025-10-15,285,288.7,281.4,286.75,169874
2025-10-16,287.7,294.4,283.5,285.45,470786
2025-10-17,286,295,285,288.35,386008
2025-10-20,288.9,289.95,282.85,284.55,610397
2025-10-21,289.85,292,280,281.3,273717
2025-10-23,282.7,287,282,282.9,238593
2025-10-24,283,284.95,279.15,283.85,464899
2025-10-27,283,286.2,277.5,278.75,293345
2025-10-28,280,284.2,278.1,283.4,83704
2025-10-29,281.05,285.5,280,282.4,119130
2025-10-30,282.3,294.3,281.95,291.8,405683
2025-10-31,291.8,293.95,281.8,284.5,196006
2025-11-03,284.5,287.45,281.1,282.3,114354
2025-11-04,282.3,283.5,271.15,274.4,149568
2025-11-06,274.4,276.5,261,262.9,141948
2025-11-07,263.05,280.8,250.1,276.85,686373
2025-11-10,276.4,292.45,274.4,288.6,384678
2025-11-11,285.6,287.9,279.95,282.05,113717
2025-11-12,285,285.95,281.05,284.4,79133
2025-11-13,287.8,295.65,283.15,293.3,187110
2025-11-14,290,291.7,286.6,288.95,66312
2025-11-17,287.5,290.95,280.2,283.6,77268
2025-11-18,283.5,285.55,275.3,276.45,81854
2025-11-19,277.1,278.8,272.05,272.7,65425
2025-11-20,272.7,278,270.1,271.5,49142
2025-11-21,270.8,274.95,269.05,272.4,35546
2025-11-24,272,273.55,252.4,256.25,149136
2025-11-25,259,274.75,256.35,269.45,250749
2025-11-26,269.7,272.9,265.9,270.05,69447
2025-11-27,271.35,280.15,264.5,274.9,113684
2025-11-28,270.85,279.5,270.8,273.35,81947
2025-12-01,272,274.5,265.85,267.8,33060
2025-12-02,269.95,269.95,253.6,257.15,74482
2025-12-03,257.9,260,250.1,250.85,50445
2025-12-04,250.95,251.45,239.7,243.45,210342
2025-12-05,241,243,238.5,240.65,51518
2025-12-08,240.65,250.75,228.4,247.2,185318
2025-12-09,247.2,247.2,237.2,240.85,93029
2025-12-10,240,242.1,233.05,235.85,41699
2025-12-11,234.4,237.1,232,235.55,26023
2025-12-12,236,247,235.65,239.1,152581
2025-12-15,242,242.05,235,235.4,42807
2025-12-16,237.7,237.7,233,234.2,28152
2025-12-17,236.55,238.05,232.8,233.7,32212
2025-12-18,233.75,233.75,224,227.1,120838
2025-12-19,228,230.95,227.85,229.1,29346
2025-12-22,228.55,237.15,221,221.75,220259
2025-12-23,221.7,231,217,229.5,130057
2025-12-24,229.5,229.5,226,227.15,41982
2025-12-26,228,228,217.25,218.35,143092
2025-12-29,218.9,219.45,210,211.5,104550
2025-12-30,212.45,217.5,211.35,216,45152
2025-12-31,216,237,214.5,227,472177
2026-01-01,227,230.87,225,226.38,34809
2026-01-02,227,228.21,222.8,224.77,56818
2026-01-05,224.77,225.4,221.4,222.54,20245
2026-01-06,222.33,223,219.55,220.23,21807
2026-01-07,219.75,222,217,217.45,27616
2026-01-08,218,219,209,209.24,74456
2026-01-09,209.22,210.06,203.25,204.08,43373
2026-01-12,204.05,209.45,195.1,205.19,119976
2026-01-13,205.19,211,203.22,209.33,39108
2026-01-14,209,209,203.05,204.17,90716
2026-01-16,203.3,204.52,199,200.59,124527
2026-01-19,200,207.35,198.32,204.92,223382
2026-01-20,205.05,209.7,195.1,201.16,298536
2026-01-21,198.55,201.39,190.8,193.84,296991
2026-01-22,196.36,200.19,195.78,199.22,80861
2026-01-23,197.25,200,192.6,194.58,58410
2026-01-27,193.81,197.94,188.3,195.9,260697
2026-01-28,192.55,205,192.55,199.21,115419
2026-01-29,201.05,203.19,194.3,194.86,61400
2026-01-30,194.5,202.31,191.21,194.4,207836
2026-02-01,193.86,201.3,193.05,200.64,34752
2026-02-02,198,199.27,193.25,196.25,24884
2026-02-03,201.5,211.84,200,203.57,169107
2026-02-04,205,218,203.68,216.6,61980
2026-02-05,212,215.99,198.61,201.1,184446
2026-02-06,201.1,201.17,196.22,196.76,30729
2026-02-09,194.76,199.73,194.76,197.06,121850
2026-02-10,196.2,203,195.39,197.52,204864
2026-02-11,198.66,198.66,195.43,196.37,35435
