Date,Open,High,Low,Close,Volume
2025-09-04,280,324.7,280,317.3,448071
2025-09-05,325.1,333.3,300,300.6,76132
2025-09-08,306.6,307.05,284,296.6,9010
2025-09-09,302.55,308.3,280,280.95,9026
2025-09-10,280,289,275,278.7,7394
2025-09-11,275.5,292.85,275.5,285.1,87595
2025-09-12,284.7,288.7,280,280.4,54282
2025-09-15,283.65,297.2,280.15,285.6,34405
2025-09-16,289.9,295.95,280.45,289.95,15040
2025-09-17,287.85,299.9,284,287.35,59682
2025-09-18,290.2,293.1,273.1,274.25,46615
2025-09-19,276.9,279,260.1,260.65,43922
2025-09-22,252.95,265.7,252.95,261.9,45388
2025-09-23,262.9,299,255.2,263.25,2999
2025-09-24,264.6,275.25,260.05,263,6365
2025-09-25,266.2,279.8,259,264.85,4648
2025-09-26,264.55,279.8,256,259,72398
2025-09-29,255,265.25,247.25,249.35,39922
2025-09-30,251.95,254.1,248.05,250.1,10263
2025-10-01,252,253.25,247.3,250.35,7066
2025-10-03,252.85,268,240,247.05,5538
2025-10-06,249.75,265,240,243.95,28942
2025-10-07,247.6,250,230,233.9,9393
2025-10-08,238.15,242.5,232.95,239.9,7163
2025-10-09,242.4,246.4,237.2,238.55,3651
2025-10-10,229,235,229,230.85,3176
2025-10-13,232,277,232,267.3,1302504
2025-10-14,267.25,267.25,215.35,222.45,538177
2025-10-15,225.8,239.8,223.3,228.15,88318
2025-10-16,230,230.95,220.25,222.75,16215
2025-10-17,225.7,226,216.5,220.5,47272
2025-10-20,223,230.5,213.15,227.1,57306
2025-10-21,227.1,227.1,217.1,223.1,22981
2025-10-23,228.9,229.9,221.05,223.05,28499
2025-10-24,225,230.5,217.05,226.75,127627
2025-10-27,231,244.85,222.1,229.55,181927
2025-10-28,234,262.7,227,248.55,556498
2025-10-29,250,258.9,225,228.3,494100
2025-10-30,228,236,223.55,229.25,289548
2025-10-31,226.05,254.8,226.05,243.05,334356
2025-11-03,243.05,246.59,231.23,235.4,34461
2025-11-04,235,251.97,226.5,242.96,219350
2025-11-06,246.6,253,240.32,248.88,23862
2025-11-07,246.4,259.85,242.76,257.6,88978
2025-11-10,257.6,279.7,251.52,275.04,89034
2025-11-11,279.15,330,275,316.65,862393
2025-11-12,309.7,330.01,302.2,316.02,262293
2025-11-13,311.3,379.19,311.3,354.28,1284636
2025-11-14,350.51,387.7,335.05,371.67,365448
2025-11-17,370.11,377.6,361.01,369.11,249234
2025-11-18,374.1,376.49,360,360.45,145110
2025-11-19,360.01,378.47,354,375.32,29384
2025-11-20,383.99,389.4,371,381.29,82874
2025-11-21,372,389,366.01,369.45,17279
2025-11-24,369.45,380,360.1,361.24,12611
2025-11-25,361.24,377,361.24,366.02,1991
2025-11-26,366,377,360,365.59,4918
2025-11-27,364,377,364,364.97,1100
2025-11-28,364.99,377,362.55,362.97,11590
2025-12-01,361,371,358.1,358.65,9624
2025-12-02,369.95,369.95,350,355.55,8527
2025-12-03,350.15,368.9,337.8,341.6,9327
2025-12-04,337.8,357.85,325.55,342,6559
2025-12-05,342,345,335,335.1,280
2025-12-08,335.1,349.7,335.1,340,2497
2025-12-09,330.05,356.85,330,339,568
2025-12-10,339,339,329.6,330.45,1117
2025-12-11,325.05,328.1,325.05,328.1,737
2025-12-12,322.25,344,321,343,1269
2025-12-15,344.95,359.95,330,359.95,5340
2025-12-16,360.15,370,353,369.5,25911
2025-12-17,367.7,367.7,355,359.3,10645
2025-12-18,351,352.8,351,352.8,1375
2025-12-19,352.8,363,352,355.25,1371
2025-12-22,348.15,348.15,338.5,342.2,1081
2025-12-23,330,359,330,359,4212
2025-12-24,341.25,373.9,341.25,367,319
2025-12-26,348.9,366.5,348.75,348.8,1167
2025-12-29,345,345,333.8,336.25,4404
2025-12-30,325,353,323.6,352.85,17695
2025-12-31,337.5,367.65,337.5,357.5,7951
2026-01-01,345,345,342,342.05,1032
2026-01-02,340,345,328.5,340.05,4690
2026-01-05,330,339.55,330,335.25,337
2026-01-06,325,335,325,334.75,2375
2026-01-07,335,350,330,340.05,13965
2026-01-08,340,340,323.45,340,2828
2026-01-09,327.2,338,327.2,336,222
2026-01-12,352.75,352.75,319.2,341,1895
2026-01-13,339,339,323.95,324.5,837
2026-01-14,320,333.95,310.9,333.95,90
2026-01-16,317.3,338.95,317.3,325.45,13084
2026-01-19,336,336,309.2,309.2,144
2026-01-20,309.2,309.2,293.75,295.4,3576
2026-01-21,306.65,306.65,280.65,287.75,11053
2026-01-22,286.9,301,281.1,297.35,125347
2026-01-23,299.95,312,285.3,301.45,144
2026-01-27,299.95,303,287,299.1,90369
2026-01-28,300,314,287.1,302,166280
2026-01-29,303.5,308,290,290,50281
2026-01-30,291.45,301,280,281.65,4428
2026-02-01,280.25,295.7,280.25,295.7,3716
2026-02-02,295.7,310.45,290,290.15,12672
2026-02-03,300,304.65,292,304.65,24615
2026-02-04,303.15,319.85,300,316.5,8620
2026-02-05,331,332.3,320,330,5502
2026-02-06,328,346.5,328,346.5,6357
2026-02-09,339.6,340,339.6,340,5069
2026-02-10,340,340,333.5,340,6002
2026-02-11,340,340,333.2,333.2,909
2026-02-13,329,329,329,329,2
