Date,Open,High,Low,Close,Volume
2003-09-05,22,22.25,20.53,20.9,15829
2003-09-08,21.98,21.98,20.7,20.83,8372
2003-09-09,20.75,23.3,20.28,21.45,50076
2003-09-10,21.5,21.5,20.33,20.98,12562
2003-09-11,21.33,21.33,20.28,20.58,5628
2003-09-12,21.6,21.6,20.13,20.28,3227
2003-09-15,20.5,20.5,19.33,19.53,4470
2003-09-16,20.75,20.75,18.93,19.65,3780
2003-09-17,19.9,20.43,19.65,19.93,3770
2003-09-18,19.65,19.85,18.95,19,3626
2003-09-19,19.5,19.5,18.33,19.1,6200
2003-09-22,19.5,19.5,18.75,18.88,1867
2003-09-23,16.6,19,16.6,18.88,405
2003-09-24,17.8,19.25,17.8,18.65,3151
2003-09-25,18.63,19,18,18.25,5606
2003-09-26,17.85,18.7,17.85,18.63,3547
2003-09-29,18.8,18.98,18.5,18.83,8325
2003-09-30,18.95,18.95,18.3,18.6,4506
2003-10-01,19,19,18.6,18.7,3776
2003-10-03,19.63,20.98,19.23,20,7111
2003-10-06,19.55,19.63,19,19.58,5400
2003-10-07,19.1,19.9,19.1,19.33,2288
2003-10-08,19.03,19.03,18.65,18.68,8049
2003-10-09,19,19,18.53,18.83,3777
2003-10-10,19,20.25,18.63,19.68,13542
2003-10-13,19.53,20.2,19.5,19.6,6119
2003-10-14,20,20,18.8,18.93,3669
2003-10-15,19.25,19.3,18.9,19,2248
2003-10-16,19,19,18.5,18.65,3988
2003-10-17,19,19.18,18.55,18.73,2369
2003-10-20,18.55,18.55,18,18.25,8867
2003-10-21,18.98,18.98,17.53,17.58,4002
2003-10-22,17.5,18,17.25,17.55,3102
2003-10-23,17,17.63,16.83,17,3408
2003-10-24,18.4,18.4,16.75,17.08,2905
2003-10-25,17.55,17.98,17.5,17.78,700
2003-10-27,17.83,17.83,17.3,17.3,2900
2003-10-28,17.05,17.05,17,17,950
2003-10-29,17.03,17.03,16.78,17,2500
2003-10-30,17.5,18.23,17.2,17.48,4537
2003-10-31,17.5,17.5,16.63,16.88,4901
2003-11-03,16.55,16.8,16.1,16.43,15600
2003-11-04,16.5,17,16.5,16.73,6700
2003-11-05,16,17.05,16,16.33,9124
2003-11-06,16.8,17.68,16.43,16.93,20219
2003-11-07,17.43,18,16.68,17.3,17550
2003-11-10,17.35,17.35,17.03,17.33,1003
2003-11-11,17,18.5,17,18.28,26109
2003-11-12,18,19.3,18,18.6,24169
2003-11-13,19,19.25,17.28,17.58,10571
2003-11-14,17.55,17.63,16.78,17.08,11335
2003-11-15,16.85,17.48,16.85,17.23,781
2003-11-17,17.25,17.73,17.25,17.5,7715
2003-11-18,17.5,17.73,17,17.18,6845
2003-11-19,16.8,17.18,16.75,16.85,5230
2003-11-20,17.05,17.45,16.68,16.68,402
2003-11-21,16.55,16.55,15.75,16,8413
2003-11-24,16,16,15.58,15.73,7270
2003-11-25,15.95,18.7,15.75,17.6,71052
2003-11-27,18.5,19.23,17.95,18.15,42522
2003-11-28,18.25,18.45,17.65,17.83,9750
2003-12-01,19.5,19.5,17.48,17.6,25201
2003-12-02,20,20,17.5,17.65,17359
2003-12-03,18,19.45,17.8,18.48,63482
2003-12-04,18.5,18.9,18,18.48,14527
2003-12-05,18.05,18.98,17.75,17.93,16903
2003-12-08,18,18.35,17.75,18.1,8650
2003-12-09,18.25,20.98,18.25,20.68,108130
2003-12-10,21,21.5,19.75,20.05,60448
2003-12-11,20.35,20.88,19.25,19.63,31714
2003-12-12,19.7,20.15,19.33,19.6,14689
2003-12-15,20.1,20.1,18.8,19.35,17883
2003-12-16,19.5,19.95,19.23,19.78,26202
2003-12-17,19.95,21.88,19.35,21.3,96811
2003-12-18,21.5,22.3,21.05,21.25,34707
2003-12-19,22.2,24.08,22.18,23.3,216103
2003-12-22,23.78,24.93,23.5,23.78,172369
2003-12-23,23.8,24.45,23,23.23,82866
2003-12-24,23.5,23.5,19.25,19.55,155421
2003-12-26,22.43,22.43,19.08,20.3,110762
2003-12-29,20.5,21.48,20,20.3,66539
2003-12-30,19.5,20.38,19.5,19.75,5328
2003-12-31,19.45,19.95,19.05,19.93,2600
2004-01-01,19.15,19.85,19,19.83,6250
2004-01-02,18,20.3,18,19.78,13250
2004-01-05,19.25,19.5,18.78,19.13,2770
2004-01-06,20.25,20.25,18.5,18.65,7451
2004-01-07,15.13,20.25,15.13,17.55,8451
2004-01-08,18,19,17.88,18.98,11080
2004-01-09,17.5,18.95,17.5,18.33,10750
2004-01-12,18.03,18.48,17,17.45,13824
2004-01-13,17.05,17.75,17.05,17.5,1275
2004-01-14,17,17.75,17,17.7,2745
2004-01-15,18.53,18.55,17.05,17.28,2674
2004-01-16,15.03,17.25,15.03,16.43,2651
2004-01-19,16.05,17,16.05,16.53,2575
2004-01-20,16.35,16.7,16.33,16.33,5900
2004-01-21,15.83,16.6,14.45,14.7,8730
2004-01-22,15,15,13.5,13.8,9591
2004-01-23,13.5,16,13.25,14.88,5353
2004-01-27,14.43,15.05,14.3,14.9,3800
2004-01-28,14.48,14.98,14.48,14.68,8329
2004-01-29,14.48,14.5,14,14.33,3125
2004-01-30,13.93,14.23,13.75,14.23,4250
2004-02-03,12.93,13.55,12.68,12.8,1875
2004-02-04,12.6,12.6,12.08,12.5,5150
2004-02-05,10.83,12.75,10.83,12.3,2210
2004-02-06,12.05,12.48,11.4,11.9,2171
2004-02-09,13.93,13.93,12.13,12.5,2850
2004-02-10,12.08,12.85,12.08,12.7,2225
2004-02-11,12.3,12.58,12,12.13,4450
2004-02-12,12.2,12.73,12.18,12.33,1700
2004-02-13,13,13,12.18,12.25,2451
2004-02-16,12.98,13.28,12.5,12.5,5800
2004-02-17,12.55,12.55,12.2,12.48,4070
2004-02-18,12.88,12.88,12.23,12.3,1000
2004-02-19,11.03,12.15,11.03,12.15,2550
2004-02-20,11.95,11.95,11.9,11.9,200
2004-02-23,11.85,11.85,11.53,11.53,1650
2004-02-24,11.4,11.93,11.4,11.83,500
2004-02-25,11.83,11.83,11.63,11.68,2250
2004-02-26,11.75,12.08,11.3,11.48,4250
2004-02-27,11.13,11.5,10.83,11.5,2500
2004-03-01,10,11.65,10,11.5,1989
2004-03-03,10.75,11.43,10.75,11.05,2777
2004-03-04,12.98,13.25,11.28,13.2,43526
2004-03-05,13.25,13.25,11.75,11.95,6244
2004-03-08,12.18,12.18,11.55,11.75,6335
2004-03-09,12.18,12.18,11.13,11.23,6951
2004-03-10,11.95,11.95,11.18,11.28,11732
2004-03-11,11.25,11.33,10.83,10.83,4100
2004-03-12,10.25,10.75,10.25,10.4,15667
2004-03-15,11.23,11.23,10,10.03,8447
2004-03-16,11.9,11.9,9.25,9.3,4695
2004-03-17,9.5,9.5,8.55,8.6,5477
2004-03-18,9.48,9.48,8.38,8.63,20468
2004-03-19,9.45,9.5,7.83,9.03,7755
2004-03-22,9.48,9.75,8.63,9.28,8077
2004-03-23,9,9.45,8.9,9.4,9469
2004-03-24,9.05,9.3,8.78,9.2,11575
2004-03-25,9,9.48,9,9.3,7365
2004-03-26,9.3,9.5,9.05,9.08,7310
2004-03-29,9.68,9.68,9.2,9.2,500
2004-03-30,9.25,9.65,9.15,9.38,2801
2004-03-31,9.5,9.5,8.4,8.5,7600
2004-04-01,9.1,9.7,8.88,9.55,7788
2004-04-02,9.63,11.48,9.63,11.23,39974
2004-04-05,11.5,11.75,11.03,11.15,13498
2004-04-06,11.15,11.15,10.55,10.63,2658
2004-04-07,10.28,11.15,10.25,10.88,2372
2004-04-08,11.13,11.13,10.75,10.88,7601
2004-04-12,11.5,11.6,10,10.3,10028
2004-04-13,10.25,11.25,10,11.13,6845
2004-04-15,10.8,11.23,10.8,11,2950
2004-04-16,11.55,11.55,11,11.18,4356
2004-04-17,11.73,11.73,11.15,11.43,3925
2004-04-19,11.25,11.75,11.13,11.28,2975
2004-04-20,11.03,11.25,10.55,10.88,2254
2004-04-21,10.38,11.38,10.38,11.23,4362
2004-04-22,11.23,11.53,11.23,11.4,2810
2004-04-23,11.73,11.75,11.05,11.2,3074
2004-04-27,10.5,10.85,10.25,10.3,1467
2004-04-28,9.95,10.4,9.85,10,2704
2004-04-29,10.1,10.38,10.1,10.38,200
2004-04-30,10.13,10.2,10.13,10.18,235
2004-05-03,10.05,10.05,9.58,9.75,1454
2004-05-04,10.25,10.38,10.25,10.38,101
2004-05-05,10.25,10.5,10.25,10.3,1851
2004-05-06,11.05,11.05,10.43,10.58,3950
2004-05-07,10.83,10.83,10.38,10.43,3018
2004-05-10,11,11,9.78,10.03,1516
2004-05-11,10.98,10.98,8.75,9.35,11177
2004-05-12,9.45,9.5,9.4,9.5,2632
2004-05-13,9.8,9.8,9.05,9.2,4798
2004-05-14,9.5,9.5,8.75,8.8,2276
2004-05-17,8.3,8.5,7.13,7.98,2050
2004-05-18,8.38,8.93,8.25,8.5,6725
2004-05-19,8.5,8.55,8.48,8.5,5111
2004-05-20,8.5,8.5,8.3,8.5,2157
2004-05-21,8.18,8.3,8,8.25,3428
2004-05-24,8.5,9.35,8.5,9.08,29947
2004-05-25,9.13,9.25,8.75,9.03,8983
2004-05-26,9.05,9.05,8.75,8.75,6100
2004-05-27,8.78,8.88,8.5,8.63,2402
2004-05-28,8.38,8.85,8.25,8.43,1763
2004-05-31,7.63,8.98,7.63,8.25,202
2004-06-01,8.13,8.4,7.9,8,1943
2004-06-02,8.15,8.5,8.08,8.5,1073
2004-06-03,8.35,8.38,8.03,8.03,1005
2004-06-04,7.88,8.18,7.88,7.98,2238
2004-06-07,8.03,8.03,8,8,250
2004-06-08,9.6,9.6,7.85,7.9,515
2004-06-09,7.88,8.13,7.88,8.13,650
2004-06-10,8.03,8.15,8.03,8.1,761
2004-06-11,8.5,8.5,8,8.25,2203
2004-06-14,7.8,7.95,7.68,7.73,600
2004-06-15,8,8.25,7.98,8.23,487
2004-06-16,7.78,7.78,7.78,7.78,500
2004-06-17,7.68,8.45,7.4,7.53,5102
2004-06-18,7.75,7.75,7.5,7.5,2800
2004-06-21,7.5,7.6,7.33,7.33,1700
2004-06-22,7.3,7.4,7.23,7.25,1200
2004-06-23,7.35,7.75,7.13,7.2,4714
2004-06-24,7.33,7.33,7.15,7.28,1818
2004-06-25,7.45,7.45,7.28,7.45,1870
2004-06-28,7.53,7.75,7.25,7.68,2350
2004-06-29,7.7,7.9,7.6,7.68,1000
2004-06-30,8,8.53,7.78,8,3665
2004-07-01,8.13,8.13,7.95,7.95,150
2004-07-02,8,8.25,7.78,8,4551
2004-07-05,7.83,8,7.83,7.9,1965
2004-07-06,7.83,8.13,7.8,7.98,2172
2004-07-07,8,8.35,8,8.13,1972
2004-07-08,7.8,8.4,7.63,7.7,1700
2004-07-09,7,7.5,6.88,7.43,6992
2004-07-12,7.98,7.98,7.45,7.75,164
2004-07-13,7.6,7.6,7.6,7.6,859
2004-07-14,7.73,7.93,7.65,7.68,1474
2004-07-15,7.8,8.23,7.8,7.88,3815
2004-07-16,8.25,9.43,8,8.98,20271
