Date,Open,High,Low,Close,Volume
2003-09-05,488.3,496.5,488.05,492.95,1530
2003-09-08,492.95,507.6,490.5,502.9,4744
2003-09-09,502.2,518,491.25,497.65,4656
2003-09-10,482.55,494.95,482.3,487.4,5036
2003-09-11,485.15,491.95,483.25,484.15,7755
2003-09-12,490,490,477.5,483,8297
2003-09-15,483,483,467.5,468.25,4462
2003-09-16,477.25,497.45,468.25,478.1,6866
2003-09-17,480,480,468.15,471.3,6348
2003-09-18,478.45,478.45,452.05,461.25,5805
2003-09-19,460.95,468.95,455.1,466.15,2827
2003-09-22,463.1,476,463.1,470.2,1808
2003-09-23,465,471,465,466.8,1532
2003-09-24,470,498.8,466.5,492.2,2147
2003-09-25,475,491.5,475,483.75,2970
2003-09-26,489.4,499.95,487,497.15,2949
2003-09-29,500,505,491,492.3,5220
2003-09-30,490.25,494.25,472,479.9,7817
2003-10-01,488.5,488.5,480.25,483.4,2250
2003-10-03,495,495,480.55,485.75,2263
2003-10-06,488.5,501.95,488.5,494.5,4130
2003-10-07,500,503.8,486.15,489.5,2699
2003-10-08,489.5,492,480.15,483.65,12606
2003-10-09,489.5,492,483,490,2008
2003-10-10,494,496,487.4,492.2,1976
2003-10-13,467,553,467,548.7,21232
2003-10-14,560,568,515,525.1,11137
2003-10-15,499,540.1,499,526.3,4286
2003-10-16,526.1,535,520.2,523.6,4335
2003-10-17,520,537.05,520,523.15,3474
2003-10-20,528,528,512,515.3,2600
2003-10-21,522.3,523.9,499.05,504.55,4279
2003-10-22,512,512,495.2,499,1878
2003-10-23,480,503,479,482.75,3776
2003-10-24,487.05,510,482,497.95,2904
2003-10-25,500,505,495,500.35,2512
2003-10-27,500,500,486,488.25,1198
2003-10-28,486.4,494.9,485,493.05,3113
2003-10-29,492,535,492,524.05,4712
2003-10-30,525,533,517.25,522.2,5765
2003-10-31,525,546,517,522.25,20790
2003-11-03,534,558,525,549.85,16617
2003-11-04,540.55,548,533,536.4,8635
2003-11-05,530,590,530,572.7,21768
