Date,Open,High,Low,Close,Volume
2025-12-30,120,123,102.9,104.54,29869973
2025-12-31,104.44,109,100.1,102.97,7655069
2026-01-01,103.11,105.44,102.4,103.44,1368827
2026-01-02,104.5,105.8,102,102.71,1800884
2026-01-05,102.99,103.89,100.09,102.4,2015028
2026-01-06,102.4,102.57,100.25,100.89,837628
2026-01-07,101.11,110.99,100,103.71,8084088
2026-01-08,104.28,105,102.5,103.02,1267276
2026-01-09,103.5,103.9,101.5,102.17,713560
2026-01-12,102.77,105.55,102.1,102.68,1429366
2026-01-13,103.75,105.45,103.11,104.81,1490251
2026-01-14,104.5,105.25,101.55,102.56,1147322
2026-01-16,102.5,104.45,102.25,102.73,549485
2026-01-19,103.79,104.31,101,101.75,863048
2026-01-20,101.51,104.7,101.27,103.21,1420365
2026-01-21,103,103.29,100.55,100.97,1046719
2026-01-22,102.9,102.9,101.08,101.72,587614
2026-01-23,103,103.01,98.36,99.36,786773
2026-01-27,99.5,100.86,99,100.15,1328089
2026-01-28,102,104,100.97,103.52,1746908
2026-01-29,103.52,107.52,102.76,106.16,1656327
2026-01-30,105.51,106.03,104.45,105.16,350910
2026-02-01,105,105.98,104,105.14,244745
2026-02-02,105.14,105.77,103.02,104.22,831736
2026-02-03,105.49,107.08,105.04,105.97,521175
2026-02-04,105.84,107.25,104.65,106.41,259573
2026-02-05,106.9,109.27,106.5,106.94,622243
2026-02-06,106.9,112.64,106.41,111.5,852870
2026-02-09,111.53,112.99,108.06,108.75,405570
2026-02-10,109,114.6,108.16,112.28,1256682
2026-02-11,112.96,114.5,111.02,112.88,1146458
2026-02-13,112.99,115.39,112,114.15,1309250
