Date,Open,High,Low,Close,Volume
2016-09-26,126,130.9,121.1,122.53,1520649
2016-09-27,127.5,128.13,116.5,116.93,269176
2016-09-28,116.45,122.75,115,121.25,223981
2016-09-29,121,122.5,115.2,115.2,190013
2016-09-30,109.45,115.9,109.45,114.1,115771
2016-10-03,114.55,119.8,110.15,119.8,122058
2016-10-04,125.78,125.78,121,125.78,223606
2016-10-05,130.05,131.55,126.65,128.8,199663
2016-10-06,130,132.35,125.55,128.1,206621
2016-10-07,129,134.5,128,133.68,211262
2016-10-10,136.5,138.25,129.7,130.38,397265
2016-10-13,129.9,131,122.05,124.55,132478
2016-10-14,125.08,127.5,124.05,125.18,89700
2016-10-17,125.5,126.55,121.55,122.45,54997
2016-10-18,123.88,133.5,123.03,130.03,268211
2016-10-19,132.45,133.03,127,127.8,150883
2016-10-20,129.25,131.4,128,128.25,141067
2016-10-21,128.85,129.9,126.05,126.68,54245
2016-10-24,126.83,129,126.83,127.45,50674
2016-10-25,128,129,124,124.43,74658
2016-10-26,124.5,127,123.4,124.68,86059
2016-10-27,125,125.5,122.75,123.88,48117
2016-10-28,124.4,125,122.5,123.05,54803
2016-10-30,124.8,126.43,124.5,124.9,44654
2016-11-01,125,129.63,124.5,127.15,323635
2016-11-02,123.65,125.6,120.33,121.35,380755
2016-11-03,121.53,123,112.48,114.98,152981
2016-11-04,115.3,116,109.48,110.55,159214
2016-11-07,113.98,116.8,112.03,114.35,107966
2016-11-08,115.95,117,114.5,116.55,66346
2016-11-09,102.5,112.5,94.25,110.4,148728
2016-11-10,112.23,116.3,112,115.2,45306
2016-11-11,114.03,114.1,100.53,106.95,168079
2016-11-15,105.08,107.53,100.25,100.83,62370
2016-11-16,101.6,104.5,96,96.95,59674
2016-11-17,98.45,101.5,97.53,98.2,28351
2016-11-18,98.5,100,92.18,92.78,85031
2016-11-21,93.25,96.45,87,87.85,58750
2016-11-22,88.28,89.95,86,88.53,34800
2016-11-23,90,93.45,89.08,92.53,42175
2016-11-24,95.5,97.25,94,96.65,69869
2016-11-25,99.38,100,97.2,98.88,37139
2016-11-28,99.5,102.25,99.5,101.2,33807
2016-11-29,102,102.5,100.78,101.18,21212
2016-11-30,104.7,106.9,102.5,104.23,69735
2016-12-01,105.78,105.95,102,103.05,27742
2016-12-02,101.53,102,100,100.2,17420
2016-12-05,99.4,101.25,96,96.45,53802
2016-12-06,99.25,100.75,95.5,100.33,37490
2016-12-07,103,103,99,99.75,12988
2016-12-08,101.85,103,100.08,101.08,14029
2016-12-09,102.93,102.93,99.48,99.83,21576
2016-12-12,102.2,102.2,97,97.33,33361
2016-12-13,98.28,99.25,95,96.68,36074
2016-12-14,96.08,98.4,92.55,93.28,45885
2016-12-15,93.5,96,92,95.13,109415
2016-12-16,96.63,97.5,92.9,94.08,30385
2016-12-19,95,95.03,92.75,93.43,12113
2016-12-20,93.08,94.73,92.05,92.38,18386
2016-12-21,94.73,94.73,90.5,90.83,34908
2016-12-22,91.5,91.5,89.5,89.78,25830
2016-12-23,89.8,90.95,88.55,90.23,15549
2016-12-26,90.28,90.75,88.5,89.83,14390
2016-12-27,90.7,90.7,88.18,89.75,10669
2016-12-28,91,91.5,89,90.3,13765
2016-12-29,90.03,91,89,89.98,12804
2016-12-30,90.58,92.25,89.5,91.73,29532
2017-01-02,91.15,92,91,92,12426
2017-01-03,92,97.73,91.8,95.93,49609
2017-01-04,94.78,97.95,94.78,97.55,33813
2017-01-05,97.48,99.5,97.48,99.15,25745
2017-01-06,99.43,99.93,98.5,99.08,31606
2017-01-09,99,100.9,99,100.33,16575
2017-01-10,100.53,101.2,98.53,100.45,12308
2017-01-11,102.78,105.7,102.78,103.5,68933
2017-01-12,102.5,103.43,100,100.38,20337
2017-01-13,101.28,102.9,100.33,101.63,11369
2017-01-16,100.75,102.5,100.73,101.85,21653
2017-01-17,102.3,104.03,101,101.55,11141
2017-01-18,101.55,103.48,101.13,102.53,18967
2017-01-19,103.03,105,102.15,102.83,187009
2017-01-20,104.5,104.5,100.1,100.3,21088
2017-01-23,100.5,100.5,97.58,97.83,14820
2017-01-24,99.68,99.68,96.58,97,19837
2017-01-25,96.55,98.45,96.43,96.68,27275
2017-01-27,97.5,98.98,96.5,97.08,21561
2017-01-30,96.15,98,96,96.83,16882
2017-01-31,97,97,95.05,95.33,14429
2017-02-01,97.45,97.93,93.8,97.3,16202
2017-02-02,97.3,98.1,96.05,97.65,14903
2017-02-03,97.08,99.9,96.15,98.95,33249
2017-02-06,100.75,102.5,100.75,101.33,29835
2017-02-07,101.25,101.5,99.2,99.78,14314
2017-02-08,100.23,100.75,99.25,99.68,11305
2017-02-09,100.98,101.35,99.25,99.68,15103
2017-02-10,101.3,102.13,99,99.75,69596
2017-02-13,99.2,101,98.5,99.08,26505
2017-02-14,100.5,102,99.75,101.75,27615
2017-02-15,102.5,103,98.53,100,17293
2017-02-16,99.55,102.13,99.48,101.78,17233
2017-02-17,102,103,100.08,102.53,19196
2017-02-20,103.5,103.5,100.8,101.48,12441
2017-02-21,101.63,102.25,100.48,100.8,11173
2017-02-22,102.38,102.5,99,100.2,17871
2017-02-23,100.03,100.48,99.15,99.68,14228
2017-02-27,99.7,100.73,97.88,98.5,18087
2017-02-28,100.98,100.98,98,98.35,13396
2017-03-01,98.63,100.5,98.6,99.93,89185
2017-03-02,100.25,100.5,98,98.28,23695
2017-03-03,98.55,100,98.08,99.2,14896
2017-03-06,98.8,100,97.88,98.13,14719
2017-03-07,99.38,99.4,97.25,97.45,27015
2017-03-08,97.6,98.03,94.13,94.85,38219
2017-03-09,95.5,97.5,95.5,96.38,17452
2017-03-10,97.4,97.48,95.23,96.7,11262
2017-03-14,98,98.03,95.5,95.9,18212
2017-03-15,95.58,97,95.5,96.4,38942
2017-03-16,99.98,100.83,98.05,98.43,69633
2017-03-17,99,99.9,96.2,96.93,42544
2017-03-20,96.5,98.65,96.5,97.83,21742
2017-03-21,97.83,98.45,96.5,97.78,16259
2017-03-22,97,97.5,96.5,96.6,25656
2017-03-23,97.45,97.45,96.35,96.75,13695
2017-03-24,97.5,97.95,96.5,96.65,23198
2017-03-27,98.5,100.5,98,99.3,63314
2017-03-28,100.45,102.5,99,101.58,60702
2017-03-29,101.25,110.25,100.5,109.38,328282
2017-03-30,110.58,111.63,106.28,106.88,99553
2017-03-31,106,110.8,105.75,109.45,89818
2017-04-03,109.7,112.75,109.45,112,49414
2017-04-05,113.2,113.95,111.15,111.8,52987
2017-04-06,113.35,113.38,109.18,110.8,52690
2017-04-07,110.25,111.23,108.25,108.7,43111
2017-04-10,109.25,112.5,108.7,111.65,71052
2017-04-11,110.78,112.6,110.75,111.4,32678
2017-04-12,112,112.45,109.2,109.53,37626
2017-04-13,111,111.25,109.58,109.88,20625
2017-04-17,112,112,109.1,109.83,78553
2017-04-18,110.3,112,108.63,109.05,34710
2017-04-19,109,110.25,107.83,108.3,11642
2017-04-20,108.13,111.05,108,110,32699
2017-04-21,110.33,113.88,110.33,111.88,77365
2017-04-24,116,118.2,114.6,116.68,167029
2017-04-25,117.5,118.5,116.08,116.38,72981
2017-04-26,116.53,118,113.28,114.18,58480
2017-04-27,114,115.95,114,115.4,21681
2017-04-28,116,116,114.08,115.08,15727
2017-05-02,116,117,114.03,115.28,25459
2017-05-03,115.75,116.85,113.5,114.63,46751
2017-05-04,114.05,116,110.13,111.28,63210
2017-05-05,112.85,112.85,103.95,105.78,100339
2017-05-08,104,114.45,103.98,113.08,394470
2017-05-09,114.25,116,112.75,114.8,107879
2017-05-10,115.5,115.7,110.5,113.85,69704
2017-05-11,113.98,114,112,112.75,34676
2017-05-12,113.93,113.93,111.75,112.53,35731
2017-05-15,113.73,113.75,111.05,111.4,32537
2017-05-16,111.03,112.5,110,110.78,28265
2017-05-17,110.8,112,110.05,110.98,15827
2017-05-18,110,111.25,109.13,109.4,24128
2017-05-19,111.35,111.5,108,108.85,31321
2017-05-22,109.53,109.53,105.25,105.78,29287
2017-05-23,107.15,107.15,101.63,103.45,33806
2017-05-24,106.43,106.43,101.15,102.25,25038
2017-05-25,102.53,105.18,102.35,103.83,17947
2017-05-26,105.25,107.55,104.25,106.83,17757
2017-05-29,105.5,108,105.5,106.58,12687
2017-05-30,107,107.48,104,106.6,20216
2017-05-31,105.6,106.65,105,105.78,10210
2017-06-01,105.83,107,104.38,106.65,16786
2017-06-02,105.63,106.9,105.25,105.75,14167
2017-06-05,105.75,107.5,105.75,107.18,16373
2017-06-06,107.55,109.5,106.25,107.53,20849
2017-06-07,106.3,107.5,105.1,107.2,21391
2017-06-08,106.2,107.38,105.03,105.88,16583
2017-06-09,107.13,107.4,105.25,106.78,15766
2017-06-12,108.7,108.7,105.5,107.93,20124
2017-06-13,107.5,108.75,106.53,107.2,19554
2017-06-14,107,108.35,106.78,107.9,29732
2017-06-15,108,108.5,107.03,108.08,10386
2017-06-16,109.45,117.18,109.45,114.83,198597
2017-06-19,115.95,116.9,111,114.78,79975
2017-06-20,114.38,115.98,113.5,115.33,38512
2017-06-21,113.53,119.45,113.5,117.33,89811
2017-06-22,116.13,123,116.13,119.5,238112
2017-06-23,124,124.35,118,120,130813
2017-06-27,121.18,121.5,115,115.48,30809
2017-06-28,114.5,118,113.58,115.6,35674
2017-06-29,116.25,117.5,114.25,114.95,27336
2017-06-30,114.95,117,114,115.13,26977
2017-07-03,115.25,118.2,113.98,117.58,59933
2017-07-04,116.8,118,114.7,115.65,28722
2017-07-05,115.2,118.7,115.03,116.75,49833
2017-07-06,118,118.5,115.75,116.35,63112
2017-07-07,115.5,123.35,115.5,121.8,133447
2017-07-10,123.35,128.3,122.53,127.05,51590
2017-07-11,127,129.58,121.53,123.73,114257
2017-07-12,130,135.15,127.63,133.78,548443
2017-07-13,136,138.5,132.65,134.15,269144
2017-07-14,132.05,135.33,129.55,131.55,113780
2017-07-17,132,132,128.5,129.65,37139
2017-07-18,130.93,135,129.53,133.45,99127
2017-07-19,133.33,144.95,132,143.23,1541186
2017-07-20,146,147.35,141.25,142.8,482053
2017-07-21,143.63,149.5,140.05,145.73,504586
2017-07-24,145.73,146.43,140.73,141.98,102605
2017-07-25,142.45,143.35,140.2,141.93,62975
2017-07-26,140.5,142.98,136.98,138.48,50646
2017-07-27,139.45,142.33,134.75,135.3,85255
2017-07-28,135.18,139.4,134.03,137.18,45452
2017-07-31,137.5,140.55,136,138.35,75643
2017-08-01,140.4,140.4,135.5,136.65,27733
2017-08-02,137.43,137.43,132.83,133.63,38964
2017-08-03,134.08,134.28,130.05,130.68,63495
2017-08-04,133,139,132,137.55,107653
2017-08-07,138,138.95,135.28,136.98,33333
2017-08-08,137.65,138.25,133,134.43,31089
2017-08-09,132.68,134.9,131.65,132.53,30587
2017-08-10,130.85,132.28,123.1,124.43,72770
2017-08-11,121.58,129.9,118.95,128.88,68289
2017-08-14,129,132.45,129,130.7,24004
2017-08-16,131.43,134,130.03,131.75,81170
2017-08-17,132.2,134.5,131.5,132.6,26786
2017-08-18,130.5,132.5,130.5,131.53,11881
2017-08-21,131,132.4,127.55,128.78,29176
