Date,Open,High,Low,Close,Volume
2016-03-11,5.47,5.47,5.2,5.44,22542
2016-03-14,5.2,5.47,5.2,5.2,18545
2016-03-15,4.97,5.05,4.95,4.95,22112
2016-03-16,4.72,4.85,4.72,4.72,72949
2016-03-17,4.95,4.95,4.62,4.7,29235
2016-03-18,4.47,4.82,4.47,4.75,11402
2016-03-21,4.57,4.6,4.57,4.6,1542
2016-03-22,4.6,4.72,4.6,4.72,71748
2016-03-23,4.72,4.95,4.72,4.95,813
2016-03-28,4.95,5.17,4.77,5.17,535
2016-03-29,4.97,5.87,4.97,5.2,8729
2016-03-30,5.92,5.92,4.82,4.9,9559
2016-03-31,5.22,5.47,5.2,5.24,829010
2016-04-01,4.77,6.09,4.77,6.09,820
2016-04-04,6.09,7.16,5.27,6.02,3213
2016-04-05,5.17,5.82,5.15,5.37,315716
2016-04-06,6.39,6.39,5.1,5.74,34
2016-04-07,6.51,6.51,5.27,5.69,250
2016-04-08,4.85,5.59,4.85,5.37,3924
2016-04-11,5.62,5.92,5.47,5.47,1910
2016-04-12,5.92,5.97,5.49,5.72,114005
2016-04-13,5.32,5.69,5.32,5.64,7071
2016-04-18,5.22,5.92,5.22,5.64,1140
2016-04-20,5.24,5.47,5.24,5.47,1608
2016-04-21,5.1,6.41,5.02,5.57,1057
2016-04-22,5.57,5.82,5.57,5.82,1150
2016-04-25,5.22,5.32,5.22,5.32,330400
2016-04-26,5.07,5.47,4.97,5.02,2538
2016-04-27,5.47,5.77,5.12,5.47,499105
2016-04-28,5.47,5.47,5.47,5.47,101
2016-05-02,5.44,5.44,5.12,5.42,1760
2016-05-03,5.72,5.72,4.5,5.29,173192
2016-05-04,5.54,5.72,5.24,5.47,1462
2016-05-05,5.47,5.77,5.44,5.64,19133
2016-05-06,5.57,6.71,5.49,6.36,34843
2016-05-09,6.89,6.89,6.02,6.09,24399
2016-05-10,6.44,6.44,6.09,6.39,655
2016-05-11,7.38,7.38,5.49,6.19,505327
2016-05-12,5.97,6.46,5.77,6.26,2402
2016-05-13,5.97,6.26,5.72,5.72,18533
2016-05-16,5.72,6.31,5.49,6.16,596496
2016-05-17,5.69,6.11,5.62,5.72,5441
2016-05-18,6.07,6.09,5.69,5.97,29430
2016-05-19,5.97,5.97,5.62,5.69,1757
2016-05-20,5.69,5.69,5.62,5.62,510
2016-05-23,5.77,5.97,5.47,5.54,11130
2016-05-24,5.72,5.89,5.54,5.57,10133
2016-05-25,5.64,6.14,5.64,5.82,18871
2016-05-26,5.52,5.82,5.52,5.54,4760
2016-05-27,5.52,5.92,5.52,5.59,1415
2016-05-30,5.59,5.59,5.47,5.47,108
2016-05-31,5.92,6.56,5.49,6.56,34811
