Date,Open,High,Low,Close,Volume
2005-08-29,14.6,15.2,13.03,13.51,172537
2005-08-30,13.54,13.54,12.74,12.79,97639
2005-08-31,13.3,13.3,12.7,12.73,62384
2005-09-01,12.92,12.92,12.73,12.76,20534
2005-09-02,12.96,12.97,12.53,12.58,26192
2005-09-05,13,13.1,12.27,12.39,129652
2005-09-06,12.55,14.35,12.4,13.89,300055
2005-09-08,16.6,16.6,13.99,14.26,241281
2005-09-09,14.38,14.49,13.81,13.9,111365
2005-09-12,14.2,14.88,14.05,14.73,109667
2005-09-13,14.82,17.18,14.5,16.31,300911
2005-09-14,16.58,17.12,15.46,15.97,268728
2005-09-15,15.8,16.4,15.8,15.94,82174
2005-09-16,16.16,16.7,15.86,15.95,82463
2005-09-19,16,16.16,15.22,15.81,70473
2005-09-20,15.9,15.9,14.82,14.93,44330
2005-09-21,14.95,15.2,13.42,14.4,39583
2005-09-22,14.98,14.98,12.8,12.92,26421
2005-09-23,13,13.49,12.51,13.26,25271
2005-09-26,13.38,14.35,13.38,14.14,17813
2005-09-27,14.4,14.78,14.33,14.43,21171
2005-09-28,14.37,14.4,13.81,13.93,6396
2005-09-29,14.3,14.3,13.1,13.46,9106
2005-09-30,13.2,13.27,12.6,12.99,16391
2005-10-03,13.2,13.5,12.9,13.14,13739
2005-10-04,13.36,13.95,13.11,13.27,14961
2005-10-05,13.22,13.58,13.02,13.08,5935
2005-10-06,13.58,13.58,12.86,12.87,6465
2005-10-07,12.9,13.18,12.5,12.55,22275
2005-10-10,12.6,12.73,12.41,12.44,10573
2005-10-11,12.42,12.54,12.23,12.3,9601
2005-10-13,12.38,12.4,12.1,12.13,8136
2005-10-14,12.2,12.26,11.5,11.7,17134
2005-10-17,11.8,11.8,11.4,11.53,10947
2005-10-18,11.78,11.78,11.45,11.58,4200
2005-10-19,11.6,11.7,10.92,11.01,12276
2005-10-20,11,11.15,9.28,10.2,11913
2005-10-21,10.1,10.8,10,10.64,11436
2005-10-24,10.79,10.98,10.56,10.6,10811
2005-10-25,10.79,10.79,10.46,10.58,2339
2005-10-26,10.68,10.72,10.5,10.54,2805
2005-10-27,10.52,10.65,10.01,10.18,9460
2005-10-28,10.2,10.2,9.46,9.58,15368
2005-10-31,9.87,9.9,9.2,9.87,23914
2005-11-01,10.38,10.58,10.2,10.51,9910
2005-11-02,10.2,10.6,10.11,10.51,7736
2005-11-07,10.62,10.67,10.3,10.36,33006
2005-11-08,10.2,10.68,10.2,10.31,74988
2005-11-09,10.5,10.75,10.4,10.53,23093
2005-11-10,10.54,10.78,10.27,10.31,59841
2005-11-11,10.24,10.5,10.2,10.23,44507
2005-11-14,10.21,10.46,10.16,10.26,14662
2005-11-16,10.96,10.96,10.02,10.12,54680
2005-11-17,10.3,10.66,10.06,10.12,114142
2005-11-18,10.15,10.38,10.15,10.27,158385
2005-11-21,10.37,10.59,10.3,10.51,18665
2005-11-22,10.55,12.17,10.55,11.84,170814
2005-11-23,11.98,12.5,11.54,11.98,127738
2005-11-24,11.98,12.96,11.98,12.2,118359
2005-11-25,12.32,12.4,11.7,11.78,47460
2005-11-26,11.76,12.18,11.76,11.97,20341
2005-11-28,12.16,12.48,11.82,11.9,26712
2005-11-29,11.71,11.8,11.18,11.26,30228
2005-11-30,11.4,11.58,10.04,10.94,35414
2005-12-01,10.91,11.1,10.75,11,45270
