Date,Open,High,Low,Close,Volume
2003-09-05,23.1,24.9,22.05,22.4,375145
2003-09-08,24.4,24.4,20.2,20.6,233475
2003-09-09,20.9,22,20.5,21.15,212412
2003-09-10,20.7,21.2,20.4,20.95,75029
2003-09-11,21.1,21.2,20.55,20.6,40212
2003-09-12,20.95,21.3,20.4,20.65,78843
2003-09-15,20.6,20.6,19.1,19.55,54717
2003-09-16,19.85,19.85,18.9,19.15,88318
2003-09-17,19.65,20,19,19.15,99144
2003-09-18,19.1,19.2,18.75,18.9,84774
2003-09-19,19.1,20.8,19,20.8,175561
2003-09-22,21.75,22.9,21.2,21.45,197627
2003-09-23,21,21.5,19.6,20.75,96116
2003-09-24,21,21.35,19.55,19.65,90742
2003-09-25,19.1,20.1,19.1,19.75,48347
2003-09-26,19.9,20.4,19.75,20.1,61707
2003-09-29,20.45,20.75,19.6,20.05,66297
2003-09-30,20.4,20.55,19.95,20.2,136546
2003-10-01,20.3,22.25,20.3,22.25,319461
2003-10-03,21.3,23.2,21.05,21.5,220061
2003-10-06,22,22.25,21.1,21.3,94562
2003-10-07,21.65,21.7,20.65,20.7,66366
2003-10-08,20.65,20.85,19.1,20.45,50720
2003-10-09,19.5,20.9,19.5,20.3,41723
2003-10-10,21,21.4,20.3,20.85,65514
2003-10-13,21.1,21.3,20.4,20.55,61725
2003-10-14,20.2,21,19.65,19.85,48656
2003-10-15,19.65,20.1,19.5,19.7,45706
2003-10-16,19.7,19.8,19.5,19.55,25959
2003-10-17,19.45,19.8,19.15,19.2,27420
2003-10-20,19.15,19.45,18.45,18.65,58230
2003-10-21,18.6,18.7,18,18.05,37005
2003-10-22,18.25,18.65,17.5,17.55,27488
2003-10-23,17.75,18.5,17.1,17.4,50462
2003-10-24,17.55,19.15,17.55,19.15,60437
2003-10-25,20,20.15,19.4,19.7,38058
2003-10-27,19.95,20,18.9,19.05,35513
2003-10-28,20,20.8,19.5,19.7,98159
2003-10-29,20.35,20.4,19.25,20.15,77465
2003-10-30,20,20.5,19.25,19.5,50070
2003-10-31,19.5,19.7,19.2,19.25,42348
2003-11-03,19.5,19.65,19.05,19.25,40318
2003-11-04,19.25,19.25,18.3,18.45,40267
2003-11-05,18.05,20.1,18.05,19.35,129221
2003-11-06,19.85,20.1,19.3,19.5,85841
2003-11-07,19.9,20.2,19.6,19.65,99171
2003-11-10,19.05,21.65,18.5,21.45,120452
2003-11-11,21.2,22.25,20.55,20.8,120707
2003-11-12,20.55,22.9,20.5,22.9,342392
2003-11-13,24,24.95,21.8,22.55,586488
2003-11-14,22.8,24.4,22.45,23,378467
2003-11-15,23.1,23.8,22.15,23.4,53030
2003-11-17,23.9,23.9,22.85,23.45,158510
2003-11-18,23,23.7,22.7,22.85,128336
2003-11-19,22.2,23,22.1,22.2,96783
2003-11-20,22.5,23,21,21.4,75283
2003-11-21,21.2,22.25,21,21.95,82834
2003-11-24,22.15,22.6,21.9,22.1,61400
2003-11-25,23.2,23.2,22.45,22.65,158131
2003-11-27,23.1,23.45,22.8,23.25,207524
2003-11-28,23.9,24.35,23.35,24.05,214618
2003-12-01,24.2,26.5,24.2,26.5,309334
2003-12-02,27.8,28.9,26,28.6,801081
2003-12-03,30,31.5,29.1,31.5,505562
2003-12-04,34.45,34.65,33,34.65,598295
2003-12-05,37.65,37.65,34.3,34.95,957709
2003-12-08,35,37,34.55,36.3,452309
2003-12-09,37.4,39.95,37.4,39,751356
2003-12-10,39,39.35,36.1,36.7,432968
2003-12-11,37.2,37.7,34.6,35.4,420226
2003-12-12,35.65,36,34.2,34.75,252552
2003-12-15,35.9,38.25,33.25,38.25,715433
2003-12-16,38.8,40,36.35,36.95,817207
2003-12-17,37.6,39.7,37.25,37.75,477689
2003-12-18,37.95,38.9,36.7,36.95,148437
2003-12-19,37.5,39.5,36.25,36.65,230776
2003-12-22,36.95,37.2,34.5,35.15,200278
2003-12-23,35.1,37.9,34.75,35.6,179812
2003-12-24,36.7,38.1,36.3,36.75,337376
2003-12-26,37.1,38.5,36,37.25,377730
2003-12-29,38.25,39,37.5,37.85,326758
2003-12-30,38.55,39.9,35.15,35.95,293534
2003-12-31,36,36.9,34.15,34.85,172576
2004-01-01,35.75,37.55,35.75,36.4,299760
2004-01-02,37.9,38,36.25,36.7,230194
2004-01-05,37,37.85,35.1,35.45,167536
2004-01-06,36,36,32.1,33.55,144514
2004-01-07,32.8,33.4,31.8,32.4,147720
2004-01-08,32.85,35.6,32.8,33.8,140279
2004-01-09,35.25,35.9,33.25,33.55,159698
2004-01-12,34,34,31.7,32.1,87030
2004-01-13,32,32.4,29.9,31.25,130056
2004-01-14,30.75,31.5,30.5,30.7,94597
2004-01-15,31,31.25,29,29.3,90963
2004-01-16,29.65,29.65,26.4,26.5,127010
2004-01-19,27.95,29.15,27.25,29.15,224426
2004-01-20,30.75,31.9,28.15,28.95,238569
2004-01-21,27.7,28.85,26.05,26.15,151092
2004-01-22,26.65,27,23.55,23.75,205866
2004-01-23,24.5,26.15,22.3,26.15,185752
2004-01-27,27,27,24.15,25.95,163432
2004-01-28,25.8,25.8,24.65,24.85,84161
2004-01-29,24.9,24.9,22.8,23,133865
2004-01-30,23.85,23.85,22.05,22.7,125764
2004-02-03,23.05,23.5,20.7,21,102861
2004-02-04,21.35,22.9,21.1,22.2,101917
2004-02-05,21.6,22.5,20.5,20.75,125621
2004-02-06,21.25,21.3,19.8,20.45,112683
2004-02-09,20.5,22.3,20.5,22,57794
2004-02-10,22.35,22.35,21.55,21.85,54802
2004-02-11,22.25,22.5,21.8,22.2,60119
2004-02-12,22.1,22.45,21.8,21.9,37468
2004-02-13,21.95,22.6,21.8,22.45,40146
2004-02-16,22.25,23.5,22.25,22.8,103356
2004-02-17,23.2,23.2,22.1,22.5,54231
2004-02-18,22.95,22.95,22.4,22.5,29053
