Date,Open,High,Low,Close,Volume
2015-03-02,46.33,48.64,46.1,48.62,42480
2015-03-03,51.05,51.05,48.9,51.05,42711
2015-03-04,53.4,53.6,52,53.6,7544
2015-03-05,56.27,56.27,54.05,56.27,23923
2015-03-09,58.2,58.2,53.46,53.58,11503
2015-03-10,53,53,50.9,50.95,5368
2015-03-11,51.2,51.9,48.52,49.45,4918
2015-03-12,47.4,50,47.4,48.81,3228
2015-03-13,50,50.1,46.51,46.7,4580
2015-03-16,46.9,47.1,45.11,45.94,2788
2015-03-17,45.9,48.2,43.1,44.92,8243
2015-03-18,45.5,47.49,45.11,46.98,5073
2015-03-19,46.84,47.78,45,46.3,6551
2015-03-20,46.4,46.48,44.8,45.2,1309
2015-03-23,44.54,45.65,44.54,45.05,7653
2015-03-24,45.51,45.51,43.24,44.16,2139
2015-03-25,44.5,45.3,41.1,43.66,9952
2015-03-26,43.5,44.5,40.24,41.62,3639
2015-03-27,42.5,43.5,40.51,42.95,3788
2015-03-30,42.5,44,42,43.94,1752
2015-03-31,43.5,44,42.54,43.95,2001
2015-04-01,44,44,43,43.19,528
2015-04-06,44.5,44.5,43,43.63,1509
2015-04-07,43.11,44.59,42.2,44,5288
2015-04-08,44,44,42.6,42.89,4875
2015-04-09,42.5,45,40.55,43.89,10889
2015-04-10,43.87,45,43.5,44,2086
2015-04-13,44.8,45.51,44.1,44.99,3984
2015-04-15,45.3,45.3,43,43.36,3045
2015-04-16,44,44,42.5,43.49,1312
2015-04-17,43.7,43.7,42.2,42.54,1178
2015-04-20,42.38,43.4,41,41.64,4637
2015-04-21,41.14,42.09,41,41.14,2935
2015-04-22,41.07,43.05,41.07,41.87,937
2015-04-23,41.06,42.09,41.01,41.08,354
2015-04-24,41.11,41.29,40.4,40.95,3055
2015-04-27,41,41,33.13,40.01,3894
2015-04-28,40,41.1,39,40.1,1316
2015-04-29,39.5,40,37.91,38.59,304
2015-04-30,39.94,40.8,38.66,39.76,6554
2015-05-04,38.52,40.8,38.52,40.21,2323
2015-05-05,39.07,42,39.07,40.98,904
2015-05-06,40.8,40.8,38.3,38.73,1001
2015-05-07,39.7,40.01,36.8,37.66,1768
2015-05-08,38.8,39.97,37.5,38,101823
2015-05-11,38.3,41,38.3,40.28,942
2015-05-12,39,41,38.61,40.13,350
2015-05-13,40,41.45,39.99,40.45,1054
2015-05-14,40.55,40.87,39.5,39.63,666
2015-05-15,40.8,40.8,39.1,39.5,443
2015-05-18,39.5,41.2,39.21,40.43,21184
2015-05-19,41,43.2,40.16,42.11,1240
2015-05-20,41.92,44,41.92,43.66,380
2015-05-21,42,43.4,41,42.92,332
2015-05-22,42.82,44,41.6,43.38,1378
2015-05-25,41.98,44.9,41.98,43.62,1534
2015-05-26,44.19,44.19,42,42,102
2015-05-27,42.5,42.5,40.5,41.25,737
2015-05-28,43.58,43.79,40.28,41.91,2617
2015-05-29,43.2,43.2,40.16,41.48,2585
2015-06-01,40.17,43.15,40.17,42.34,446
2015-06-02,41.22,41.5,40.8,41.15,676
2015-06-03,40.15,40.8,39,39.14,946
2015-06-04,39.97,40,38.1,39.45,1260
2015-06-05,38.91,38.92,37.35,37.52,2208
2015-06-08,38.2,39.85,36,36.48,6147
2015-06-09,37.98,37.98,31.37,34.49,5333
2015-06-10,34,35.95,34,34.94,2396
2015-06-11,34.3,40.98,33.21,38.06,7642
2015-06-12,35.24,37.98,35.24,36.02,3450
2015-06-15,35.18,39.95,34.8,35.11,2324
2015-06-16,35.2,38,34.5,34.74,12107
2015-06-17,35,35.5,34.7,35,23193
2015-06-18,35.1,35.1,34.57,34.97,1196
2015-06-19,35,35.8,34.5,34.51,5601
2015-06-22,34.6,35,33.16,33.46,6304
2015-06-23,34.49,34.49,33.6,33.96,2708
2015-06-24,34,34.8,33.5,33.55,1630
2015-06-25,33.81,34,33.01,33.51,5357
2015-06-26,34,34,33.25,33.37,2289
2015-06-29,31.4,33.47,31.4,32.28,5808
2015-06-30,33,34.3,31,31.62,3777
2015-07-01,31,32.89,31,31.26,2702
2015-07-02,31.31,31.99,30.32,31.68,7335
2015-07-03,32.5,33.38,32,32.9,2441
2015-07-06,32.5,35,31.15,31.51,14070
2015-07-07,31.47,32,31,31.25,14494
2015-07-08,31,31,29.9,30.85,8150
2015-07-09,30.9,33.3,30,31.49,14164
2015-07-10,32,37.6,31.8,33.34,34646
2015-07-13,33.49,36.8,33.49,35.09,29657
2015-07-14,35.6,38.3,34.5,35.31,203489
2015-07-15,35,36,32.14,33.16,23628
2015-07-16,33.1,33.89,32.31,32.53,13516
2015-07-17,32.05,33,32.05,32.47,12779
2015-07-20,32.9,33.78,32.3,33.2,13622
2015-07-21,33.2,34.2,32.6,32.98,4923
2015-07-22,32.81,33.5,31.2,32.91,22262
2015-07-23,33.4,34.11,32.71,33.6,6042
2015-07-24,34.2,34.2,32.5,33.36,5138
2015-07-27,33.1,34.62,32.45,32.91,2456
2015-07-28,33,33.98,33,33.38,2878
2015-07-29,33.8,34,32.2,33.68,10906
2015-07-30,33.8,35.39,33.7,33.97,7340
2015-07-31,34.8,35.77,34.51,35.27,11748
2015-08-03,36,37.5,35.9,36.71,12236
2015-08-04,36.71,40.7,36,40.33,37647
2015-08-05,41.1,41.9,40.3,40.53,16176
2015-08-06,40.26,40.6,39.01,39.18,3250
