Date,Open,High,Low,Close,Volume
2025-10-09,134.9,134.9,128.15,132.9,899000
2025-10-10,132.8,139.5,127.25,139.5,429000
2025-10-13,144.5,144.8,132.55,132.55,66000
2025-10-14,127.3,138.8,125.95,125.95,28000
2025-10-15,119.65,132,119.65,130.15,121000
2025-10-16,129,134.4,126.1,130.75,28000
2025-10-17,127,137.25,125,135.7,38000
2025-10-20,136,136,130.15,134.45,5000
2025-10-21,138.45,138.45,133,134.9,17000
2025-10-23,131,136.15,130.05,130.05,8000
2025-10-24,134.9,134.9,130,133.1,28000
2025-10-27,137.25,137.3,130,134.5,12000
2025-10-28,136,136.6,129,134.2,16000
2025-10-29,132.9,132.95,130,130,11000
2025-10-30,129,131.95,126,127.25,14000
2025-11-03,132.95,136.25,130,132.35,34000
2025-11-04,133,133,130,130,13000
2025-11-06,133,134,130,133.35,73000
2025-11-07,135,135,130,131.95,63000
2025-11-10,133,144.8,111,129,29000
2025-11-11,130.8,130.8,125,127,6000
2025-11-12,122.1,127,122.1,127,4000
2025-11-13,127.05,127.05,126.7,127,6000
2025-11-14,131.05,134.05,130.15,132,16000
2025-11-17,130.1,133,130.1,132.6,19000
2025-11-18,131.1,131.6,128,128.5,15000
2025-11-19,130.8,132,130,132,23000
2025-11-20,131.95,132.9,127.55,131.8,61000
2025-11-21,135,154,133.5,144.15,236000
2025-11-24,148.3,163,148.3,161.1,189000
2025-11-25,168,173.7,165,168.5,173000
2025-11-26,170.95,173.6,165,167.65,49000
2025-11-27,167.65,173.8,160,169.2,97000
2025-11-28,178.9,178.9,168.05,169.8,34000
2025-12-01,165.05,170,163.7,169.35,47000
2025-12-02,173.95,177.8,169.5,177.2,46000
2025-12-03,177,179.65,166.95,169.05,43000
2025-12-04,178,178,170,171.45,47000
2025-12-05,177,178.45,170.3,176.75,78000
2025-12-08,178.4,179.25,170,170,22000
2025-12-09,173.4,173.4,162,167.4,16000
2025-12-10,169.75,172.5,163.5,169.8,40000
2025-12-11,170,173.9,165,165,9000
2025-12-12,173.9,173.9,166,170.7,5000
2025-12-15,170.2,170.2,166.6,166.6,7000
2025-12-16,175,175,167,171.95,6000
2025-12-17,171.95,171.95,166.1,166.2,13000
2025-12-18,168.95,168.95,155.05,155.05,18000
2025-12-19,164,164,152.05,155.85,20000
2025-12-22,155,155,148.35,149.7,25000
2025-12-23,155,157.85,153.2,154.95,13000
2025-12-24,156.95,157.75,155,155,20000
2025-12-26,158,185.9,150.5,160.45,59000
2025-12-29,169,169.95,161.2,167,66000
2025-12-30,168,168.3,160.05,166.95,12000
2025-12-31,172,172,162,168.95,18000
2026-01-01,168.45,172.75,168.45,171.55,11000
2026-01-02,170.95,171.55,170.95,171,4000
2026-01-05,170.45,170.9,170.3,170.35,7000
2026-01-06,172.9,172.9,168,170,21000
2026-01-07,172.8,175.7,169.8,169.95,34000
2026-01-08,172.8,172.85,163.05,163.95,21000
2026-01-09,169.95,169.95,158,166.8,17000
2026-01-12,169.75,169.75,155,157.85,21000
2026-01-13,164.85,164.85,161.9,161.95,9000
2026-01-14,168.3,168.3,155,160.9,31000
2026-01-16,158,158.45,150,152.55,14000
2026-01-19,151.95,151.95,147,147,44000
2026-01-20,147.15,157.95,133,135.95,23000
2026-01-21,143.7,143.7,126,126.5,28000
2026-01-22,139,139,128,132.9,28000
2026-01-23,128.05,157.45,122,132.45,53000
2026-01-27,134,139.9,130,133.35,15000
2026-01-28,157,157,135.1,138.05,22000
2026-01-29,138.85,139,137.9,139,6000
2026-01-30,137.9,141.7,135,138.7,14000
2026-02-01,147,147,138.7,144.7,6000
2026-02-02,151,151,140,140,6000
2026-02-03,156,156,132,133,11000
2026-02-04,132.2,132.4,132,132.2,3000
2026-02-05,140,140,136.95,138.45,5000
2026-02-06,139,139.75,137.85,137.95,19000
2026-02-09,137.95,137.95,135.05,137.8,6000
2026-02-10,141.7,145,137,137,3000
2026-02-11,149,155,131.25,135,49000
