Date,Open,High,Low,Close,Volume
2022-06-02,34.28,35.98,32.59,34.85,2476000
2022-06-03,36.59,36.59,36.59,36.59,336000
2022-06-06,38.37,38.37,37.67,38.37,92000
2022-06-07,40.25,40.25,40.25,40.25,28000
2022-06-08,42.22,42.22,42.22,42.22,24000
2022-06-09,44.29,44.29,44.29,44.29,16000
2022-06-10,46.5,46.5,42.08,46.5,340000
2022-06-13,46.78,48.8,46.78,48.8,84000
2022-06-14,51.14,51.19,51.14,51.19,100000
2022-06-15,53.73,53.73,53.73,53.73,12000
2022-06-16,55.14,56.4,51.66,55.84,436000
2022-06-17,60.07,61.38,56.92,61.38,256000
2022-06-20,64.34,67.49,64.34,67.44,112000
2022-06-21,72.8,74.16,69.65,73.97,72000
2022-06-22,75.61,77.63,72.51,77.63,76000
2022-06-23,79.84,81.48,79.84,81.48,84000
2022-06-24,85.52,85.52,85.52,85.52,20000
2022-06-27,89.8,89.8,89.8,89.8,20000
2022-06-28,94.26,94.26,94.26,94.26,20000
2022-06-29,98.96,98.96,98.96,98.96,8000
2022-06-30,103.89,103.89,103.89,103.89,4000
2022-07-01,109.05,109.05,109.05,109.05,20000
2022-07-04,108.86,114.5,103.6,114.5,372000
2022-07-05,120.18,120.18,120.18,120.18,8000
2022-07-06,126.15,126.15,118.35,124.22,812000
2022-07-07,126.81,126.81,118.02,122.02,116000
2022-07-08,116,116,115.96,115.96,16000
2022-07-11,110.18,110.18,110.18,110.18,8000
2022-07-12,104.68,104.68,104.68,104.68,8000
2022-07-15,99.47,99.47,99.47,99.47,4000
2022-07-18,94.54,94.54,94.54,94.54,8000
2022-07-20,89.84,89.84,89.84,89.84,4000
2022-07-21,85.38,94.31,85.38,94.31,752000
2022-07-22,98.63,99,93.93,97.45,140000
2022-07-25,94.4,102.29,92.61,97.08,284000
2022-07-26,92.24,100.04,92.24,97.12,196000
2022-07-27,100.51,100.97,94.12,100.83,40000
2022-07-28,97.59,105.48,97.59,104.92,56000
2022-07-29,108.02,110.13,101.44,110.13,204000
2022-08-01,110.13,113.56,110.13,113.56,20000
2022-08-02,108.25,116.94,108.25,114.55,108000
2022-08-03,110.41,118.16,110.41,116.47,32000
2022-08-04,119.29,121.03,112.72,119.06,104000
2022-08-05,126.66,126.66,126.66,126.66,4000
2022-08-08,137.14,139.25,122.2,137.42,132000
2022-08-10,125.4,143.48,125.4,142.63,56000
2022-08-11,148.41,154.37,140.9,150.01,112000
2022-08-12,154.75,156.3,154.05,155.13,32000
2022-08-16,161.94,161.94,153.11,161.09,28000
2022-08-17,163.39,163.39,153.58,161.47,20000
2022-08-18,165.69,165.69,153.72,160.57,28000
2022-08-19,161.89,161.89,152.59,152.59,20000
2022-08-22,144.98,144.98,144.98,144.98,4000
2022-08-23,137.75,152.21,137.75,150.43,340000
2022-08-24,154.98,154.98,142.91,142.91,108000
2022-08-25,135.78,142.77,135.78,139.96,56000
2022-08-26,133.38,138.69,132.96,132.96,36000
2022-08-29,126.34,139.58,126.34,137.75,164000
2022-08-30,143.71,143.95,143.71,143.95,8000
2022-09-01,136.76,143.71,136.76,136.76,40000
2022-09-02,142.21,142.3,129.95,136.01,124000
2022-09-05,129.25,129.25,129.25,129.25,4000
2022-09-06,130.56,135.68,122.86,135.68,72000
2022-09-07,141.69,141.79,128.92,129.15,140000
2022-09-08,123.33,123.33,122.72,122.72,20000
2022-09-09,116.61,124.5,116.61,116.61,20000
2022-09-12,110.79,121.55,110.79,119.01,52000
2022-09-13,113.09,118.92,113.09,113.09,24000
2022-09-14,107.55,107.55,107.46,107.46,8000
2022-09-15,110.37,110.37,103.32,108.96,20000
2022-09-16,110.84,110.84,110.84,110.84,4000
2022-09-19,113.66,113.66,105.3,105.3,32000
2022-09-20,100.04,100.04,100.04,100.04,32000
2022-09-21,95.06,95.06,95.06,95.06,12000
2022-09-22,97.69,98.63,90.31,90.31,108000
2022-09-23,85.85,91.58,85.81,91.35,28000
2022-09-26,86.79,86.79,86.79,86.79,4000
2022-09-27,91.02,91.02,84.54,84.54,12000
2022-09-28,84.54,87.82,84.54,87.82,8000
2022-09-29,85.48,91.07,83.46,91.07,96000
2022-09-30,86.79,86.79,86.56,86.56,44000
2022-10-03,82.33,82.42,82.33,82.38,12000
2022-10-04,78.29,78.29,78.29,78.29,12000
2022-10-06,74.44,74.44,74.44,74.44,4000
2022-10-07,70.73,78.15,70.73,74.3,340000
2022-10-10,73.27,75.57,70.64,74.44,28000
2022-10-11,74.44,74.44,74.44,74.44,4000
2022-10-13,71.48,77.49,71.48,75.9,16000
2022-10-14,79.51,79.56,76.08,79.51,24000
2022-10-17,83.41,83.41,83.41,83.41,4000
2022-10-18,82.09,82.09,79.84,79.84,8000
2022-10-19,76.18,76.18,75.85,75.85,8000
2022-10-20,73.41,77.12,73.41,77.12,20000
2022-10-24,80.78,80.78,80.78,80.78,4000
2022-10-25,76.74,81.63,76.74,79.18,8000
2022-10-31,75.33,75.33,75.24,75.24,12000
2022-11-01,76.08,79,71.48,79,64000
2022-11-02,82.66,82.94,82.61,82.61,16000
2022-11-03,86.42,86.42,86.42,86.42,4000
2022-11-04,82.19,82.19,82.19,82.19,4000
2022-11-10,78.1,86.18,78.1,86.18,20000
2022-11-11,88.29,90.41,83.6,90.41,16000
2022-11-14,92.99,92.99,92.99,92.99,4000
2022-11-16,88.34,88.34,88.34,88.34,12000
2022-11-17,83.93,83.93,83.93,83.93,8000
2022-11-18,88.06,88.06,88.06,88.06,4000
2022-11-21,83.69,83.74,83.69,83.69,16000
2022-11-24,79.51,84.35,79.51,82.71,12000
2022-11-28,78.57,78.57,78.57,78.57,4000
2022-12-01,79.84,79.84,79.84,79.84,4000
2022-12-02,75.85,75.9,75.85,75.9,24000
2022-12-05,77.96,79.65,77.02,77.96,612000
2022-12-06,81.86,81.86,77.21,77.21,8000
2022-12-07,74.49,74.49,74.49,74.49,4000
2022-12-08,72.98,78.2,72.98,78.2,16000
2022-12-09,75.28,82.09,75.28,77.02,16000
2022-12-12,80.78,80.87,80.78,80.87,16000
2022-12-14,84.54,84.91,84.54,84.77,12000
2022-12-21,80.54,80.54,80.54,80.54,4000
2022-12-22,76.55,76.55,76.55,76.55,8000
2022-12-23,75.14,79.7,75.14,79.28,12000
2022-12-26,75.38,75.38,75.38,75.38,4000
2022-12-27,78.76,78.76,78.76,78.76,8000
2022-12-30,75.14,82.61,74.86,82.61,32000
2023-01-02,86.7,86.7,86.7,86.7,8000
2023-01-04,90.83,90.83,90.83,90.83,4000
2023-01-05,86.32,95.34,86.32,94.96,76000
2023-01-06,98.49,99.71,90.83,92.8,112000
2023-01-09,94.59,94.59,94.59,94.59,4000
2023-01-10,90.17,90.64,89.89,90.64,20000
2023-01-11,86.13,92.24,86.13,90.17,16000
2023-01-12,93.88,93.88,93.88,93.88,8000
2023-01-13,93.08,93.08,93.08,93.08,8000
2023-01-17,92.05,92.05,92.05,92.05,8000
2023-01-23,96.65,96.65,87.45,87.73,406000
2023-01-24,90.17,92.1,87.17,91.68,1032000
2023-01-25,92.05,95.81,87.21,88.29,336000
2023-01-27,88.29,91.49,87.82,91.07,14000
2023-01-30,87.35,91.35,87.35,91.21,10000
2023-01-31,89,89.94,86.7,89.84,64000
2023-02-01,90.17,92,88.29,92,224000
2023-02-02,88.39,91.11,87.45,89.28,14000
2023-02-03,89.7,89.7,87.59,87.59,4000
2023-02-06,91.11,91.96,91.11,91.96,102000
2023-02-07,92.99,94.87,89.33,92.99,12000
2023-02-08,97.22,102.1,95.81,100.18,42000
2023-02-09,100.51,110.18,100.51,109.29,132000
2023-02-10,112.72,112.72,108.96,110.84,36000
2023-02-13,110.84,116.47,110.84,113.42,14000
2023-02-14,115.53,124.65,103.42,119.76,118000
2023-02-15,115.58,120.7,113.8,113.89,70000
2023-02-16,115.53,116.47,112.72,114.08,54000
2023-02-17,115.49,119.76,115.49,119.76,102000
2023-02-20,120.32,125.73,120.32,125.73,58000
2023-02-21,131.41,131.97,126.34,131.78,72000
2023-02-22,135.26,138.36,126.19,133.8,562000
2023-02-23,135.26,138.55,131.03,136.01,76000
2023-02-24,136.86,137.14,132.44,134.27,30000
2023-02-27,128.21,131.97,127.56,130.56,44000
2023-02-28,125.87,129.39,125.87,129.25,16000
2023-03-01,124.27,135.68,122.81,131.08,104000
2023-03-02,126.99,131.83,124.97,130,60000
2023-03-03,129.34,133.19,124.18,127.79,136000
2023-03-06,130.56,130.56,126.81,127.51,12000
2023-03-08,124.97,128.68,124.18,128.45,18000
2023-03-09,128.68,130.42,128.68,130,8000
2023-03-10,129.15,129.15,124.03,125.35,22000
2023-03-13,127.65,131.6,124.93,128.92,68000
2023-03-14,128.92,128.92,128.92,128.92,4000
2023-03-16,128.64,128.68,128.45,128.54,6000
2023-03-17,129.62,129.62,124.79,125.91,16000
2023-03-20,120.23,120.23,119.62,119.81,14000
2023-03-21,114.59,119.24,113.84,118.07,14000
2023-03-22,117.41,122.11,117.41,119.39,28000
2023-03-23,120.98,120.98,114.17,117.41,16000
2023-03-24,113.8,117.41,113.8,113.94,8000
2023-03-27,110.18,112.72,108.25,108.25,12000
2023-03-28,104.5,105.2,102.85,102.85,14000
2023-03-29,104.26,107.55,97.73,104.59,98000
2023-03-31,104.73,106.89,104.73,106.89,4000
2023-04-03,108.02,110.74,102.29,107.27,48000
2023-04-05,105.44,105.44,104.26,104.26,4000
2023-04-06,103.32,106,103.32,105.06,8000
2023-04-11,107.55,108.96,105.67,107.78,8000
2023-04-12,107.08,107.08,107.08,107.08,2000
2023-04-13,108.96,109.43,108.96,109.19,4000
2023-04-17,109.9,109.9,109.9,109.9,2000
2023-04-18,109.9,109.9,109.9,109.9,2000
2023-04-20,108.3,108.3,107.08,107.08,6000
2023-04-21,107.08,107.08,103.79,105.2,6000
2023-04-25,101.44,101.49,101.44,101.44,8000
2023-04-26,96.75,101.4,96.75,96.75,16000
2023-04-27,96.75,96.75,94.87,94.87,8000
2023-04-28,96.75,96.75,93.46,93.46,4000
2023-05-02,92.05,92.05,92.05,92.05,2000
2023-05-04,92.05,92.05,90.03,90.03,6000
2023-05-08,93.46,93.84,93.46,93.46,32000
2023-05-09,93.46,95.34,91.11,95.34,18000
2023-05-10,98.63,99.1,95.9,99.1,8000
2023-05-15,95.81,100.97,95.81,100.97,2000
2023-05-16,100.41,100.41,100.41,100.41,1000
2023-05-17,96.37,96.37,95.39,95.39,5000
2023-05-18,97.64,97.64,97.64,97.64,1000
2023-05-19,97.59,97.59,97.59,97.59,1000
2023-05-22,95.81,95.81,92.71,93.93,14000
2023-05-23,97.64,97.64,94.87,94.87,12000
2023-05-24,93.93,93.93,93.93,93.93,1000
2023-05-25,91.11,93.93,89.23,92.66,28000
2023-05-26,90.64,90.64,88.58,88.58,11000
2023-05-29,89.23,92.05,86.42,86.42,15000
2023-05-30,89.94,90.17,86.46,88.29,9000
2023-05-31,88.39,88.39,88.39,88.39,2000
2023-06-01,87.64,87.64,83.97,86.79,13000
2023-06-02,88.29,88.29,82.47,83.74,23000
2023-06-05,79.56,81.72,79.56,79.56,24000
2023-06-06,75.61,75.61,75.61,75.61,12000
2023-06-07,71.86,79.37,71.86,74.06,353000
2023-06-08,74.3,77.73,73.74,77.63,125000
2023-06-09,78.9,79.84,75.85,78.2,50000
2023-06-12,76.51,77.02,75.8,75.8,6000
2023-06-13,77.02,77.68,75.43,77.59,7000
2023-06-14,77.59,77.59,75.71,77.02,5000
2023-06-15,75.38,75.38,73.17,74.67,19000
2023-06-16,73.74,75.1,73.27,75,34000
2023-06-19,74.67,77.73,74.63,76.55,73000
2023-06-20,78.9,78.9,77.02,77.49,3000
2023-06-21,77.02,78.43,76.08,78.43,4000
2023-06-22,78.43,78.43,78.43,78.43,1000
2023-06-23,77.49,77.96,77.49,77.96,3000
2023-06-26,77.73,77.73,75.14,75.14,7000
2023-06-27,77.02,78.9,73.5,78.9,15000
2023-06-28,78.9,82.85,78.9,82.85,15000
2023-06-30,86.98,86.98,85.95,86.42,36000
2023-07-03,86.98,90.6,82.71,89.33,24000
2023-07-04,92.33,92.33,84.87,87.17,25000
2023-07-05,88.29,91.49,84.82,86.56,44000
2023-07-06,85.48,88.86,85.48,88.86,3000
2023-07-07,91.02,92.99,85.76,90.64,27000
2023-07-10,89.23,90.17,88.29,88.29,4000
2023-07-11,88.29,88.29,88.29,88.29,1000
2023-07-12,86.89,92.71,86.42,91.49,123000
2023-07-13,96.04,96.04,87.54,96,42000
2023-07-14,99.57,100.79,97.5,99.94,18000
2023-07-17,101.44,104.92,96.94,103.79,85000
2023-07-18,107.6,107.6,103.56,106.47,20000
2023-07-19,109.9,109.9,101.44,107.03,45000
2023-07-20,107.08,109.76,102.38,107.46,19000
2023-07-21,107.55,110.37,107.55,110.37,2000
2023-07-24,109.9,114.03,104.87,109.76,67000
2023-07-25,107.08,109.9,105.53,105.58,10000
2023-07-26,101.87,110.84,101.87,108.49,61000
2023-07-27,105.72,108.96,103.89,108.72,18000
