Date,Open,High,Low,Close,Volume
2007-06-04,119.2,119.2,105.57,108.3,20069
2007-06-05,107.33,109.33,104,106.7,6978
2007-06-06,107.33,108.07,100,101.53,4617
2007-06-07,100.67,102.67,99.03,102.27,648
2007-06-08,102.53,103.33,96.7,102.67,1721
2007-06-11,103.3,104.67,101.43,103.17,2324
2007-06-12,100.07,102,99.33,99.93,1706
2007-06-13,103.93,103.93,98.67,99.73,1089
2007-06-14,100,105.27,100,103.5,4357
2007-06-15,109.8,109.8,100.4,101,3512
2007-06-18,100.4,104.5,100.4,101.37,1418
2007-06-19,98.33,102.53,98.33,100.77,1533
2007-06-20,98.73,103.2,98.73,100.87,2382
2007-06-21,100.67,102.33,98.67,101.17,1864
2007-06-22,99.5,104.67,98.83,103.43,3669
2007-06-25,103.5,108.67,103.5,107.87,2724
2007-06-26,104.67,118.67,102.7,114,50010
2007-06-27,113.47,122.67,110.33,115.63,16170
2007-06-28,116.67,121.33,115.17,119.83,32751
2007-06-29,120.93,125.27,118.67,123.5,39462
2007-07-02,126.27,128,123.27,127.4,34244
2007-07-03,128.67,139,128,130.63,49839
2007-07-04,132.63,133.33,126.9,127.8,7373
2007-07-05,126.77,131.5,123.57,127.73,5933
2007-07-06,127.33,128.63,125.67,125.7,4198
2007-07-09,130.63,134.63,126.67,133.33,25028
2007-07-10,135.2,139.97,131.33,133.17,60399
2007-07-11,128.33,135.77,128.33,132.57,3326
2007-07-12,134.63,136.67,127.37,130.87,12094
2007-07-13,135,135,128.1,130.37,8034
2007-07-16,129.37,143.43,117.33,136.6,44109
2007-07-17,137.33,137.33,131.33,132.7,6930
2007-07-18,130,132.57,127.33,130.67,22059
2007-07-19,132.67,138.67,130.1,137.23,8710
2007-07-20,127.33,139.67,124.67,135.43,19702
2007-07-23,130.67,135.83,128.97,132.93,4447
2007-07-24,134,144.53,134,143.6,76108
2007-07-25,141.9,141.9,137.43,140.53,5255
2007-07-26,136.67,146.47,136.67,139.1,6715
2007-07-27,132.73,139.33,132.73,137.53,3160
2007-07-30,134.67,135.97,129.33,131.47,13559
2007-07-31,137,138,131.33,135.6,7705
2007-08-01,131.97,131.97,126,126.7,8191
2007-08-02,135.73,135.73,124,124.6,2962
2007-08-03,128.63,128.63,124.13,125.03,1416
2007-08-06,122.77,125.63,122.03,123.07,6248
2007-08-07,126.53,134.67,122.7,123.57,6798
2007-08-08,124,130.2,124,127.67,2673
2007-08-09,129.93,130,124.2,125.57,1932
2007-08-10,120.4,123.6,116.73,122.57,4137
2007-08-13,122.53,128.67,122.53,128.47,2359
2007-08-14,128.67,134,126.73,129.73,1510
2007-08-16,126.6,128,119.33,124.27,5004
2007-08-17,121,130.43,113.33,123.37,20205
2007-08-20,126.47,126.47,118.2,119.47,11553
2007-08-21,118.17,120.57,114.73,114.97,4431
2007-08-22,118,118,111.6,115,8219
2007-08-23,116.07,120.67,113.4,114.87,2336
2007-08-24,116.63,118,113.4,115.27,3566
2007-08-27,116.13,119.33,113.53,117.73,6206
2007-08-28,115.3,120,115.3,119.1,754
2007-08-29,118.97,119.33,117,119,1416
2007-08-30,117.8,121.27,117.8,120.07,1473
2007-08-31,117.7,122,117.7,119.63,1993
2007-09-03,122.6,125.67,120.03,124.17,3365
2007-09-04,123.33,124.17,121.4,123.37,2100
2007-09-05,125.6,125.6,120.7,122.03,636
2007-09-06,123.3,124.6,120.93,123.83,1953
2007-09-07,121.73,123.43,121.73,122.67,1602
2007-09-10,120,127.3,120,125,3244
2007-09-11,132.67,133.33,123.37,123.83,2993
