Date,Open,High,Low,Close,Volume
2016-01-22,1.57,1.78,1.57,1.78,156000
2016-01-25,2.13,2.13,2.13,2.13,56000
2016-01-27,2.56,2.56,2.56,2.56,16000
2016-01-28,3.07,3.07,3.07,3.07,40000
2016-01-29,3.38,3.38,3.01,3.36,408000
2016-02-01,3.25,3.67,3.14,3.64,128000
2016-02-02,3.8,3.94,3.64,3.78,84000
2016-02-03,3.7,3.79,3.61,3.79,36000
2016-02-04,3.58,3.79,3.58,3.61,16000
2016-02-05,3.7,3.7,3.46,3.56,40000
2016-02-08,3.58,3.62,3.48,3.48,24000
2016-02-10,3.65,3.95,3.65,3.66,28000
2016-02-11,3.65,3.91,3.37,3.69,32000
2016-02-12,3.84,3.84,3.36,3.63,20000
2016-02-15,3.85,3.85,3.61,3.73,12000
2016-02-16,3.95,3.95,3.8,3.92,36000
2016-02-17,4.05,4.05,3.81,3.9,16000
2016-02-18,3.8,3.9,3.56,3.56,12000
2016-02-19,3.61,3.79,3.61,3.79,8000
2016-02-23,3.65,3.69,3.65,3.69,8000
2016-02-24,3.51,3.73,3.51,3.73,24000
2016-02-25,3.65,3.65,3.46,3.46,12000
2016-03-01,3.69,3.7,3.69,3.7,8000
2016-03-02,3.75,3.96,3.75,3.96,28000
2016-03-03,3.8,3.96,3.8,3.96,8000
2016-03-04,4,4.07,3.95,4.04,36000
2016-03-08,4.01,4.03,4.01,4.03,8000
2016-03-09,4.12,4.12,4.03,4.12,28000
2016-03-10,4.24,4.24,4.24,4.24,8000
2016-03-11,4.24,4.24,4.2,4.21,16000
2016-03-14,4.25,4.63,4.25,4.63,40000
2016-03-15,5.01,5.09,5.01,5.09,40000
2016-03-16,5.16,5.16,4.84,4.84,56000
2016-03-17,4.74,4.74,4.64,4.64,32000
2016-03-18,4.84,4.84,4.84,4.84,8000
2016-03-21,4.97,5.08,4.88,5.08,28000
2016-03-23,5.32,5.33,5.32,5.33,16000
2016-03-28,5.6,5.6,5.53,5.58,28000
2016-03-29,5.59,5.59,5.51,5.58,20000
2016-03-31,5.16,5.24,5.16,5.16,16000
2016-04-01,4.9,4.9,4.9,4.9,24000
2016-04-06,4.66,4.66,4.66,4.66,4000
2016-04-07,4.43,4.43,4.43,4.43,4000
2016-04-08,4.21,4.21,4.21,4.21,24000
2016-04-11,4,4.37,4,4,40000
2016-04-12,3.86,3.86,3.8,3.8,24000
2016-04-13,3.61,3.62,3.61,3.61,48000
2016-04-18,3.43,3.45,3.43,3.44,48000
2016-04-20,3.6,3.61,3.6,3.61,8000
2016-04-22,3.61,3.63,3.52,3.52,36000
2016-04-25,3.47,3.51,3.46,3.51,28000
2016-04-26,3.51,3.59,3.51,3.59,8000
2016-04-27,3.63,3.7,3.63,3.67,8000
2016-04-28,3.64,3.79,3.64,3.79,12000
2016-04-29,3.75,3.78,3.75,3.78,8000
2016-05-02,3.62,3.91,3.61,3.88,28000
2016-05-03,3.77,4.03,3.75,3.84,16000
2016-05-04,3.73,3.73,3.73,3.73,8000
2016-05-05,3.57,3.57,3.54,3.54,8000
2016-05-06,3.56,3.56,3.56,3.56,20000
2016-05-11,3.3,3.3,3.28,3.28,20000
2016-05-12,3.13,3.13,3.12,3.12,12000
2016-05-13,3.12,3.12,2.97,2.97,24000
2016-05-18,2.96,2.96,2.89,2.89,8000
2016-05-19,2.75,2.9,2.75,2.88,52000
2016-05-20,2.79,2.79,2.74,2.74,20000
2016-05-23,2.61,2.61,2.61,2.61,12000
2016-05-24,2.52,2.7,2.52,2.7,12000
2016-05-25,2.82,2.84,2.82,2.84,8000
2016-05-26,2.98,2.98,2.98,2.98,4000
2016-05-27,3.12,3.13,3.11,3.13,16000
2016-05-30,2.97,2.98,2.97,2.98,20000
2016-05-31,3.13,3.13,3.13,3.13,4000
2016-06-01,3.28,3.28,3.28,3.28,4000
2016-06-02,3.44,3.44,3.44,3.44,4000
2016-06-03,3.62,3.62,3.41,3.61,28000
2016-06-06,3.56,3.56,3.51,3.51,8000
2016-06-08,3.44,3.44,3.33,3.33,12000
2016-06-10,3.17,3.17,3.17,3.17,16000
2016-06-15,3.31,3.31,3.3,3.3,8000
2016-06-16,3.14,3.14,3.14,3.14,8000
2016-06-17,3.2,3.21,3.2,3.21,8000
2016-06-20,3.26,3.26,3.26,3.26,4000
2016-06-21,3.36,3.36,3.36,3.36,4000
2016-06-23,3.46,3.46,3.41,3.41,8000
2016-06-28,3.41,3.41,3.41,3.41,4000
2016-07-08,3.52,3.52,3.52,3.52,4000
2016-07-13,3.41,3.41,3.34,3.34,12000
2016-07-15,3.31,3.36,3.31,3.36,12000
2016-07-18,3.28,3.5,3.28,3.49,44000
2016-07-19,3.32,3.56,3.32,3.56,36000
2016-07-21,3.65,3.65,3.52,3.56,12000
2016-07-22,3.38,3.38,3.38,3.38,8000
2016-07-26,3.05,3.33,3.05,3.33,16000
2016-07-27,3.17,3.17,3.17,3.17,4000
2016-07-28,3.01,3.33,3.01,3.33,44000
2016-07-29,3.41,3.45,3.16,3.4,72000
2016-08-01,3.51,3.51,3.36,3.48,36000
2016-08-02,3.48,3.65,3.36,3.59,72000
2016-08-03,3.7,3.73,3.56,3.73,20000
2016-08-04,3.89,3.89,3.7,3.77,56000
2016-08-05,3.92,3.92,3.92,3.92,4000
2016-08-08,4.1,4.11,3.92,4.1,100000
2016-08-09,4.21,4.22,4.05,4.22,52000
2016-08-10,4.35,4.43,4.34,4.43,40000
2016-08-11,4.44,4.64,4.44,4.53,28000
2016-08-12,4.7,4.7,4.57,4.57,24000
2016-08-16,4.5,4.57,4.5,4.57,28000
