Date,Open,High,Low,Close,Volume
2025-08-06,4.95,4.95,4.95,4.95,6575
2025-08-07,4.46,4.46,4.45,4.45,7140
2025-08-08,4.01,4.89,4,4.89,33403
2025-08-11,4.8,5.19,4.8,5.16,27699
2025-08-12,5.67,5.67,4.81,5.25,33864
2025-08-13,5.77,5.77,5.02,5.02,45647
2025-08-14,5,5.34,5,5.02,6235
2025-08-18,5.02,5.5,5.02,5.47,101709
2025-08-19,5.45,5.45,5.02,5.39,247
2025-08-20,5.38,5.38,5.04,5.15,406
2025-08-21,5.65,5.65,4.85,5.57,104529
2025-08-22,5.57,5.57,5.15,5.57,1242
2025-08-25,5.57,5.57,5.02,5.47,2127
2025-08-26,6,6,5.02,5.56,4332
2025-08-28,5.54,5.56,5,5,36746
2025-08-29,5.48,5.48,4.51,5,19168
2025-09-01,5.48,5.48,4.5,5.3,284
2025-09-02,5.59,5.59,4.88,5.06,1716
2025-09-03,5.06,5.1,4.88,5.1,1778
2025-09-04,5.39,5.39,4.7,4.72,41007
2025-09-05,4.75,5.19,4.75,5,20358
2025-09-08,5.5,5.5,4.6,4.87,2538
2025-09-09,4.88,4.88,4.87,4.87,904
2025-09-10,4.85,5.2,4.85,5.13,6408
2025-09-11,5.25,5.25,5.01,5.01,734
2025-09-12,4.8,5.05,4.8,4.81,14852
2025-09-15,4.81,5.24,4.81,5,1559
2025-09-16,4.8,4.93,4.55,4.93,26040
2025-09-17,4.95,4.95,4.45,4.86,10511
2025-09-18,4.5,5.24,4.5,5.05,9049
2025-09-19,5,5,4.62,4.75,2636
2025-09-22,4.8,4.8,4.77,4.77,6551
2025-09-23,4.4,4.85,4.4,4.65,475
2025-09-24,4.75,4.75,4.35,4.6,930
2025-09-25,4.62,4.62,4.51,4.62,1121
2025-09-26,4.62,4.62,4.6,4.6,219
2025-09-29,4.3,5.03,4.3,4.56,3440
2025-09-30,4.98,4.98,4.41,4.41,511
2025-10-01,4,4.85,3.96,4.19,3687
2025-10-03,4.19,4.6,3.82,4.5,20429
2025-10-06,4.95,4.95,4.4,4.89,4145
2025-10-07,5.17,5.18,4.56,5.05,4985
2025-10-08,5.03,5.03,4.55,4.98,1035
2025-10-09,4.96,4.96,4.48,4.96,692
2025-10-10,5.29,5.29,4.46,4.6,2649
2025-10-13,5,5,4.6,4.82,951
2025-10-14,4.94,4.94,4.5,4.51,245
2025-10-15,4.52,4.96,4.52,4.81,22533
2025-10-16,5.25,5.25,4.4,4.77,265
2025-10-17,4.88,4.88,4.3,4.31,2617
2025-10-20,4.2,4.7,4.2,4.68,658
2025-10-23,4.75,4.89,4.68,4.79,589
2025-10-24,4.89,4.89,4.4,4.79,1258
2025-10-27,4.4,4.75,4.4,4.7,2315
2025-10-28,4.68,4.68,4.41,4.41,5220
2025-10-29,4.1,4.43,4.1,4.11,2002
2025-10-30,4.21,4.44,3.75,4.43,3189
2025-10-31,4.54,4.54,3.98,4.3,2414
2025-11-03,4.3,4.3,4.1,4.28,1280
2025-11-04,4.2,4.2,4,4,11746
2025-11-06,3.7,4.31,3.7,3.99,1614
2025-11-07,4.29,4.29,3.98,4.09,1997
2025-11-10,4.25,4.48,3.98,4.32,332
2025-11-11,4.32,4.32,4.25,4.25,183
2025-11-12,4.31,4.31,3.9,4,1041
2025-11-13,3.9,4.21,3.9,4.12,121
2025-11-14,4.2,4.2,3.9,3.99,1455
2025-11-17,4.2,4.2,3.7,4.1,8055
2025-11-18,4.12,4.12,4.09,4.09,330
2025-11-19,4.09,4.09,4,4,25650
2025-11-20,4,4.1,4,4.1,2719
2025-11-21,4.2,4.2,4.2,4.2,20
2025-11-24,4.22,4.22,3.85,3.93,27067
2025-11-25,4,4.2,4,4.2,57
2025-11-26,4.18,4.18,3.8,3.8,46160
2025-11-27,4,4.12,4,4,8525
2025-11-28,4,4.1,4,4,1808
2025-12-01,3.98,4,3.98,4,2422
2025-12-02,4.1,4.1,4.1,4.1,146
2025-12-03,4,4.39,4,4.39,1954
2025-12-04,4.45,4.45,4.3,4.33,955
2025-12-05,4.2,4.2,4.2,4.2,251
2025-12-08,4.2,4.2,3.9,4,26930
2025-12-09,4.75,4.75,4,4.07,2854
2025-12-10,4.3,4.3,4.08,4.13,25
2025-12-11,4,4,4,4,6100
2025-12-12,4.1,4.1,3.98,3.99,29057
2025-12-15,4.1,4.1,4.1,4.1,60
2025-12-16,4.1,4.1,3.99,4.09,4224
2025-12-17,4.59,4.59,4.57,4.57,2
2025-12-18,4.68,4.95,4.01,4.23,14119
