Date,Open,High,Low,Close,Volume
2022-04-12,4.29,4.29,4.29,4.29,600
2022-04-13,4.71,4.71,4.41,4.71,13653
2022-04-18,5.19,5.19,5.19,5.19,2501
2022-04-19,5.44,5.44,5.44,5.44,3110
2022-04-20,5.72,5.72,5.2,5.72,73649
2022-04-21,6,6,6,6,2583
2022-04-22,6.3,6.3,6.06,6.3,40619
2022-04-25,6.62,6.62,6.25,6.62,32924
2022-04-26,6.95,6.95,6.95,6.95,6364
2022-04-27,7.29,7.29,6.6,7.14,149970
2022-04-28,7.25,7.49,6.81,7.49,46070
2022-04-29,7.78,7.86,7.68,7.86,20256
2022-05-02,8.19,8.26,8.19,8.26,6316
2022-05-04,8.67,8.67,8.67,8.67,3654
2022-05-05,9.1,9.1,8.26,8.88,69877
2022-05-06,8.44,8.44,8.44,8.44,3897
2022-05-09,8.01,8.43,8.01,8.01,22293
2022-05-10,7.61,7.61,7.61,7.61,2588
2022-05-11,7.23,7.99,7.23,7.99,15800
2022-05-12,8.34,8.39,8.16,8.39,10461
2022-05-13,8.8,8.81,8.21,8.81,10759
2022-05-16,9.23,9.25,8.37,8.93,7046
2022-05-17,9.11,9.11,8.48,8.58,3100
2022-05-18,8.73,9,8.22,8.91,8899
2022-05-19,8.47,8.86,8.47,8.51,6187
2022-05-20,8.48,8.57,8.08,8.22,4587
2022-05-23,7.93,8.46,7.81,8.32,4398
2022-05-24,8,8.49,7.96,8.31,1844
2022-05-25,7.96,8.57,7.9,7.93,6908
2022-05-26,7.93,8.04,7.53,7.84,5182
2022-05-27,7.61,8.04,7.57,7.8,1645
2022-05-30,8.19,8.19,7.57,7.66,2182
2022-05-31,7.68,8.04,7.29,8.01,98333
2022-06-01,8.32,8.32,7.68,8.05,2557
2022-06-02,8.05,8.43,7.87,8.22,2942
2022-06-03,8.39,8.63,7.94,8.63,5675
2022-06-06,8.93,8.93,8.65,8.85,889
2022-06-07,8.93,8.93,8.45,8.83,4802
2022-06-08,9.11,9.27,8.39,9.22,123015
2022-06-09,9.61,9.68,8.76,8.76,35231
2022-06-10,8.32,8.75,8.32,8.32,7724
2022-06-13,8.32,8.32,7.94,8,4307
2022-06-14,7.85,8,7.6,7.8,4304
2022-06-15,7.82,8.19,7.5,7.65,9384
2022-06-16,7.86,8.03,7.3,8.03,141654
2022-06-17,8.03,8.43,7.97,8.43,3510
2022-06-20,8.57,8.85,8.35,8.49,5399
2022-06-21,8.75,8.89,8.18,8.4,2623
2022-06-22,8.23,8.54,7.99,8.41,15906
2022-06-23,8.71,8.71,8.32,8.39,2452
2022-06-24,8.36,8.62,8.08,8.22,3236
2022-06-27,8.6,8.6,8.07,8.21,4052
2022-06-28,8.28,8.63,8.05,8.62,5332
2022-06-29,8.92,8.93,8.29,8.41,2664
2022-06-30,8.41,8.54,8,8.05,4654
2022-07-01,8.05,8.11,7.89,8.01,4847
2022-07-04,7.79,8.38,7.66,7.95,5525
2022-07-05,8.28,8.28,7.69,7.89,1369
2022-07-06,7.73,8.07,7.61,7.99,4357
2022-07-07,8.38,8.38,8.03,8.21,8076
2022-07-08,8.53,8.53,8.26,8.4,4281
2022-07-11,8.71,8.82,8.4,8.81,174419
2022-07-12,8.96,9.25,8.96,9.25,6951
2022-07-13,9.71,9.71,9.32,9.69,75979
2022-07-14,9.93,9.93,9.21,9.51,32071
2022-07-15,9.22,9.56,9.04,9.05,17344
2022-07-18,9.29,9.29,8.76,9.05,9580
2022-07-19,9.11,9.33,9,9.22,11561
2022-07-20,9.39,9.46,9.16,9.23,10357
2022-07-21,9.41,9.41,9.16,9.28,5864
2022-07-22,9.6,9.75,9.22,9.75,27863
2022-07-25,10.23,10.23,10.13,10.23,9430
2022-07-26,10.74,10.74,10.74,10.74,4133
2022-07-27,11.03,11.03,10.21,10.21,18272
2022-07-28,9.71,10.72,9.7,10.72,57848
2022-07-29,10.98,11.19,10.23,10.94,34830
2022-08-01,10.89,11.1,10.4,10.57,8229
2022-08-02,10.63,11.1,10.45,11.1,153287
2022-08-03,11.63,11.63,11.08,11.14,12943
2022-08-04,10.98,11.34,10.59,10.62,11472
2022-08-05,10.4,11.14,10.29,10.73,16944
2022-08-08,10.45,10.61,10.19,10.25,75952
2022-08-10,10.44,10.5,9.86,10.35,98769
2022-08-11,10.42,10.61,9.91,10.12,11243
2022-08-12,10.43,10.43,9.61,10.18,7091
2022-08-16,9.96,10.45,9.7,10.15,16301
2022-08-17,10.07,10.12,9.92,10,4462
2022-08-18,9.92,10.34,9.75,10.18,11730
2022-08-19,10.18,10.18,9.92,9.98,7361
2022-08-22,9.96,10.47,9.96,10.47,221323
2022-08-23,10.61,11,10.61,11,38837
2022-08-24,11.35,11.54,10.82,11.54,60564
2022-08-25,12.12,12.12,11.84,12.12,13969
2022-08-26,12.72,12.73,11.79,12.03,38376
2022-08-29,11.94,12.27,11.43,12.13,32519
2022-08-30,12.53,12.53,11.79,12.15,7357
2022-09-01,12.43,12.69,11.95,12.29,10516
2022-09-02,12.27,12.59,12.05,12.16,4596
2022-09-05,12.53,12.53,11.64,12.07,6798
2022-09-06,11.79,12.67,11.58,12.64,36461
2022-09-07,12.99,13.26,12.43,13.14,12485
2022-09-08,13.39,13.66,12.86,13.31,9404
2022-09-09,13.31,13.98,12.86,13.55,63431
2022-09-12,13.86,13.9,13.08,13.38,14667
2022-09-13,13.13,13.55,12.71,13.29,32975
2022-09-14,12.96,13.96,12.96,13.96,13182
2022-09-15,14.19,14.46,13.96,14.1,7378
2022-09-16,14.19,14.8,13.66,14.42,40533
2022-09-19,14.97,15.13,14.71,15.01,17875
2022-09-20,15.33,15.48,14.89,15.15,16064
2022-09-21,15.46,15.53,14.81,15.08,7539
2022-09-22,14.46,15.21,14.46,15.08,3868
2022-09-23,15.38,15.38,14.46,14.56,6557
2022-09-26,14.36,14.65,13.84,13.84,9509
2022-09-27,14.25,14.25,13.15,13.32,6006
2022-09-28,13.32,13.98,12.76,13.97,11762
2022-09-29,14.51,14.66,14.14,14.48,12227
2022-09-30,14.96,14.96,13.85,14.59,12874
2022-10-03,15.21,15.21,13.99,14.67,13259
2022-10-04,15.15,15.15,14.05,14.47,13284
2022-10-06,14.73,14.99,14.15,14.56,7346
2022-10-07,14.78,14.78,14.09,14.25,5476
2022-10-10,14.46,14.46,13.93,14.15,6261
2022-10-11,14.62,14.62,13.77,13.92,104560
2022-10-12,14.19,14.41,13.55,13.67,2710
2022-10-13,13.66,14.19,13.26,13.33,4486
2022-10-14,13.77,13.79,13.13,13.3,4440
2022-10-17,13.9,13.9,12.86,12.94,2562
2022-10-18,13.2,13.58,12.49,13.29,10008
2022-10-19,13.88,13.88,12.89,13.08,3035
2022-10-20,13.34,13.71,12.7,13.43,7854
2022-10-21,13.98,14.1,12.98,14.06,225399
2022-10-24,14.65,14.73,14.14,14.43,8520
2022-10-25,14.66,14.66,14.24,14.35,1975
2022-10-27,14.64,15.06,13.71,14.79,18594
2022-10-28,14.89,15.53,14.64,15.45,60989
2022-10-31,15.79,16.07,14.82,15.01,15679
2022-11-01,14.63,15.38,14.26,15.3,44202
2022-11-02,15,15.54,15,15.19,14484
2022-11-03,15,15.65,14.95,15.33,19539
2022-11-04,15.8,16.1,15.06,15.98,36027
2022-11-07,16.07,16.61,15.83,16.03,28023
2022-11-09,16.31,16.83,15.59,16.83,137371
2022-11-10,17.14,17.67,16.82,17.52,43845
2022-11-11,18.27,18.27,17.2,17.36,20891
2022-11-14,17.7,17.7,17.36,17.54,14104
2022-11-15,17.68,18.21,16.88,18.01,67993
2022-11-16,18.06,18.26,17.11,18.04,34797
2022-11-17,18.59,18.59,17.76,18.03,19254
2022-11-18,18.48,18.93,17.63,17.94,23086
2022-11-21,17.91,17.93,17.04,17.15,10174
2022-11-22,16.96,17.61,16.6,17.31,19926
2022-11-23,16.88,17.44,16.88,17.1,10554
2022-11-24,17.57,17.95,16.9,17.53,23351
2022-11-25,17.63,17.84,17.04,17.74,10161
2022-11-28,18.2,18.2,17.44,18.03,27022
2022-11-29,18.47,18.47,17.48,17.6,6110
2022-11-30,17.58,17.99,17.25,17.38,7268
2022-12-01,17.53,18.16,17.19,18.02,25271
2022-12-02,18.13,18.13,17.7,17.76,5667
2022-12-05,18.03,18.03,17.01,17.19,7821
2022-12-06,17.68,17.68,16.93,17.44,3963
2022-12-07,17.84,17.84,16.96,17.61,5073
2022-12-08,17.87,17.87,17.36,17.47,5924
2022-12-09,17.46,17.55,16.92,17.02,6348
2022-12-12,17.03,17.68,17.02,17.29,8183
2022-12-13,17.73,17.73,16.61,16.7,9176
2022-12-14,16.95,17.27,15.72,16.66,39201
2022-12-15,16.91,17.11,16.5,16.6,4524
2022-12-16,16.61,16.95,16.37,16.6,4697
2022-12-19,16.96,17.59,15.91,16.4,7622
2022-12-20,16.45,17.3,16.45,17.01,8584
2022-12-21,17.14,17.3,16.07,16.3,8085
2022-12-22,16.18,16.9,14.8,15.54,14967
2022-12-23,15.44,15.77,14.46,14.54,9054
2022-12-26,14.2,15.32,14.2,15.1,6795
2022-12-27,16.6,16.6,15,15.38,6791
2022-12-28,15.38,16.92,15.01,16.89,39221
2022-12-29,16.89,18.48,16.43,17.86,37804
2022-12-30,18.4,18.75,17.82,18.57,26535
2023-01-02,18.64,19.02,18.05,18.13,9227
2023-01-03,18.41,18.41,18,18.18,5770
2023-01-04,18.35,18.48,17.68,17.9,4038
2023-01-05,17.93,18.21,17.12,17.25,8364
2023-01-06,17.32,17.36,16.93,17.21,3327
2023-01-09,17.57,17.57,16.98,17.13,5217
2023-01-10,17.11,17.95,16.77,17.09,3191
2023-01-11,17.27,17.49,17.09,17.22,2148
2023-01-12,17.63,17.63,16.93,17.09,6783
2023-01-13,17.22,17.57,16.99,17.18,4294
2023-01-16,17.01,17.41,16.98,17.21,2152
2023-01-17,17.25,17.49,16.56,17.07,5087
2023-01-18,17.19,17.52,17.09,17.38,4421
2023-01-19,17.79,17.79,16.67,16.86,10387
2023-01-20,17.25,17.25,16.53,16.72,3780
2023-01-23,17.32,17.52,16.66,17.26,8641
2023-01-24,17.55,17.7,16.67,16.9,5412
2023-01-25,16.9,16.95,16.25,16.31,5584
2023-01-27,16.48,16.48,15.57,15.8,6867
2023-01-30,16.34,16.55,15.57,16.52,70602
2023-01-31,17.04,17.04,16.16,16.55,267884
2023-02-01,16.93,16.93,16.15,16.41,6974
2023-02-02,16.34,16.71,16.14,16.2,4068
2023-02-03,16.2,16.37,15.43,15.68,7602
2023-02-06,15.11,16.47,15.11,16.46,88380
2023-02-07,16.39,16.55,15.84,16.19,5246
2023-02-08,16.5,16.87,15.91,16.43,7008
2023-02-09,16.71,16.71,16.08,16.22,3456
2023-02-10,16.55,16.55,16.02,16.13,2683
2023-02-13,16.18,16.88,15.91,16.17,2483
2023-02-14,16.13,16.48,15.8,16.09,1878
2023-02-15,16.44,16.93,16.07,16.43,135098
2023-02-16,16.37,16.55,16.07,16.33,2868
2023-02-17,16.82,16.82,15.96,16.26,1733
2023-02-20,17.2,17.2,15.97,16.31,2515
2023-02-21,16.45,16.5,16.13,16.27,2724
2023-02-22,16.07,16.34,15.32,15.64,5429
2023-02-23,15.21,16.31,15.21,15.84,5297
2023-02-24,16.85,16.85,15.54,15.79,5295
2023-02-27,16.07,16.07,15.08,15.41,2299
2023-02-28,15.68,16.02,15.38,15.51,3124
2023-03-01,15.16,15.68,15.16,15.46,114958
2023-03-02,15.72,16.6,15.5,16.39,8880
2023-03-03,16.71,16.72,16.11,16.24,4498
2023-03-06,15.91,16.34,15.68,15.85,3317
2023-03-08,16.23,16.23,15.48,15.9,2953
2023-03-09,16.18,16.18,15.66,15.93,1653
2023-03-10,16.13,16.13,15.59,15.91,2375
2023-03-13,15.67,16.2,15.54,15.68,3372
2023-03-14,15.68,15.77,15.38,15.61,1255
2023-03-15,16.23,17.09,15.64,16.78,17836
2023-03-16,17.21,17.22,16.07,16.32,5801
2023-03-17,16.66,16.66,16.02,16.2,3271
2023-03-20,16.53,16.6,15.78,15.99,5103
2023-03-21,16.19,16.65,15.81,16,6319
2023-03-22,16,16.38,15.8,15.9,3567
2023-03-23,16.21,16.21,15.34,15.47,3988
2023-03-24,15.71,15.86,15.35,15.75,286111
2023-03-27,15.96,16.13,15.54,15.62,3765
2023-03-28,15.28,15.8,14.6,14.89,12670
2023-03-29,15.11,15.11,14.31,14.45,11063
2023-03-31,14.66,14.73,13.61,13.96,8241
2023-04-03,13.62,13.88,12.56,13.47,46738
2023-04-05,13.67,14.81,13.67,14.01,31118
2023-04-06,14.09,14.57,13.56,13.82,11400
2023-04-10,14.03,14.72,14.01,14.08,17304
2023-04-11,14.08,14.22,13.56,13.9,13281
2023-04-12,14.11,14.24,13.41,13.61,14545
2023-04-13,13.81,16.33,13.61,16.33,105818
2023-04-17,17.41,19.55,17.41,18.07,713130
2023-04-18,18,18.27,16.75,17.16,94295
2023-04-19,17.54,18.48,17.15,18.22,75419
2023-04-20,18.32,19.02,17.95,18.11,47755
2023-04-21,18.42,18.43,18.09,18.23,37635
2023-04-24,18.51,18.98,17.89,18.49,45729
2023-04-25,18.63,18.8,18.24,18.68,223361
2023-04-26,18.75,19.55,18.65,18.8,92616
2023-04-27,18.93,19.34,18.75,19.2,55025
2023-04-28,19.52,19.71,19.24,19.5,44220
2023-05-02,19.78,19.93,19.45,19.56,28306
2023-05-03,19.82,19.82,19.36,19.69,24387
2023-05-04,19.78,20.2,19.71,20.06,49970
2023-05-05,20.14,21.13,20.13,20.67,63368
2023-05-08,20.88,21.34,20.52,20.85,163068
2023-05-09,21.21,21.21,19.77,19.89,69066
2023-05-10,19.96,20.27,19.41,19.74,28505
2023-05-11,19.82,20.03,18.27,18.96,35169
2023-05-12,18.58,19.01,17.28,18.51,54165
2023-05-15,18.65,19.98,18.65,19.79,31191
2023-05-16,20.3,20.3,19.88,20.15,17661
2023-05-17,20.24,20.3,19.91,20.08,9320
2023-05-18,20.28,20.34,19.35,19.53,22232
2023-05-19,19.72,19.98,19.55,19.73,256627
2023-05-22,20.01,20.63,19.88,20.18,30388
2023-05-23,20.41,20.48,20.2,20.24,16372
2023-05-24,20.35,20.83,20.09,20.67,48873
2023-05-25,20.67,23.52,20.67,22.23,182236
2023-05-26,22.24,22.24,19.69,21.51,208629
2023-05-29,21.83,22.76,21.22,22.23,114638
2023-05-30,22.5,22.55,21.64,22.12,56471
2023-05-31,22.44,23.3,22.26,23.17,104440
2023-06-01,23.72,27.8,23.61,27.8,629027
2023-06-02,28.22,33.36,27.97,33.33,1845112
2023-06-05,36.64,36.64,33.71,36.5,2234493
2023-06-06,33.71,40.14,32.86,38.57,6193022
2023-06-07,39.29,40.82,38.86,39.32,1106489
2023-06-08,39.93,40.29,37.29,37.68,812668
2023-06-09,36.68,37.14,35.07,35.71,1148204
2023-06-12,35.71,37.14,32.29,35.89,1264700
2023-06-13,36.43,37.64,35.79,37.07,884630
2023-06-14,37.64,37.64,35.82,36.11,2277686
2023-06-15,36.14,36.61,34.46,34.86,303992
2023-06-16,35.32,35.89,34.64,35.18,245551
2023-06-19,35.5,35.54,34.29,34.39,182064
2023-06-20,34.36,34.64,33.11,33.75,203077
2023-06-21,34.11,34.11,32.57,32.71,195013
2023-06-22,32.39,33.5,31.89,32.18,285517
2023-06-23,31.43,33.39,30.04,30.43,945949
2023-06-26,29.64,30.04,27.68,27.86,764732
2023-06-27,27.64,28.32,25.18,25.64,998828
2023-06-28,25.11,26.89,24.86,26.89,1137385
2023-06-30,27.71,28.21,27.5,28.21,110718
2023-07-03,29.61,29.61,29.61,29.61,40256
2023-07-04,31.07,31.07,31.07,31.07,62559
2023-07-05,32.61,32.61,30.14,32.43,2142598
2023-07-06,32.14,32.14,30.82,30.82,658450
2023-07-07,30,31.79,29.79,31.43,460182
2023-07-10,31.57,31.57,30.25,30.54,208322
2023-07-11,30.89,31.71,30.21,30.36,239715
2023-07-12,30.61,30.71,29.29,29.43,237698
2023-07-13,29.61,29.86,28.39,28.89,171334
2023-07-14,29.11,29.71,28.5,29.46,172092
2023-07-17,29.82,30.93,29.5,30.93,255342
2023-07-18,32.39,32.46,31.25,31.71,965810
2023-07-19,31.71,33.11,30.46,31,366205
2023-07-20,31.39,31.96,29.93,30.64,165124
2023-07-21,30.5,30.54,29.18,30,227181
2023-07-24,30.54,30.82,29.64,29.89,133423
2023-07-25,30.57,31.07,29.36,30.18,156575
2023-07-26,30.64,30.64,29.54,29.71,110159
2023-07-27,30.11,30.11,29.71,29.82,51626
2023-07-28,30.11,30.11,29.64,29.71,128308
2023-07-31,30.18,30.29,28.93,29.5,174726
2023-08-01,30,30,29,29.25,109076
2023-08-02,29.75,29.75,28.57,28.93,153664
2023-08-03,28.61,28.96,28.61,28.75,59805
2023-08-04,28.75,29.07,28.57,28.93,326887
2023-08-07,29.29,29.86,29.18,29.57,176375
2023-08-08,30.14,30.5,29.29,29.39,134512
2023-08-09,29.71,29.71,28.86,29.18,393471
2023-08-10,29.5,29.5,29.14,29.32,52955
2023-08-11,29.61,29.61,28.93,29.11,44362
2023-08-14,28.25,28.57,27.68,27.82,289472
2023-08-16,27.86,29.18,27.86,29.18,61459
2023-08-17,30.29,30.36,29.68,30,856190
2023-08-18,30.39,30.39,28.64,29,3665199
2023-08-21,29.36,29.43,28.39,28.61,101292
2023-08-22,28.75,29.07,27.86,28.36,128236
2023-08-23,29.04,29.04,27.89,28.29,87157
2023-08-24,28.57,28.79,28.21,28.29,74394
2023-08-25,28.82,28.82,28.11,28.25,69278
2023-08-28,27.89,28.18,27.57,27.68,340723
2023-08-29,27.86,28.07,27.29,27.68,690010
2023-08-30,28.86,28.86,27.86,28.39,96992
2023-08-31,28.79,28.79,27.79,27.89,1198438
2023-09-01,27.86,28.29,27.21,27.79,1525829
2023-09-04,27.71,28.21,27.32,27.43,317495
2023-09-05,27.18,27.64,27.14,27.29,987186
2023-09-06,27.46,27.93,27.39,27.61,194956
2023-09-07,27.82,27.86,27.64,27.71,69814
2023-09-08,28.04,28.04,27.21,27.54,106922
2023-09-11,27.86,28.04,27.36,27.43,69712
2023-09-12,27.79,27.79,26.07,26.25,191167
2023-09-13,26.79,27.54,25.71,27.54,157976
2023-09-14,28.89,28.89,28.21,28.89,124491
2023-09-15,29.54,29.86,28.04,28.43,807787
2023-09-18,28.75,28.86,27.71,28.11,186727
2023-09-20,28.18,28.54,27.86,27.96,145973
2023-09-21,28.5,28.5,26.71,27.18,267310
2023-09-22,27.18,27.64,26.79,26.93,68564
2023-09-25,27.39,28.18,25.79,26.25,191641
2023-09-26,26.57,27.54,26.54,27.54,157625
2023-09-27,27.93,28.57,26.89,27,149512
2023-09-28,27.29,27.5,26.79,27.07,62716
2023-09-29,27.18,27.75,26.82,26.93,62667
2023-10-03,27.32,27.46,27.04,27.32,83248
2023-10-04,27.57,27.57,26.79,27.14,60719
2023-10-05,27.5,27.5,25.79,26.93,959952
2023-10-06,27.07,27.82,26.57,27.11,549884
2023-10-09,26.71,26.71,26.14,26.32,79111
2023-10-10,26.82,26.96,26.29,26.57,63261
2023-10-11,26.96,27.36,26.54,26.86,77262
2023-10-12,27.14,29.54,26.86,29.04,755651
2023-10-13,29.39,29.64,28.57,28.61,209775
2023-10-16,28.61,29.04,27.93,28.04,102339
2023-10-17,28.57,29.79,28.43,28.57,180264
2023-10-18,28.86,28.96,27.93,28.04,82568
2023-10-19,28,28.39,27.5,27.61,67508
2023-10-20,27.36,27.86,27.29,27.46,291873
2023-10-23,28,28.89,26.18,26.36,124092
2023-10-25,26.71,27.43,26.29,26.54,74598
2023-10-26,26.54,26.71,25.36,26.36,103271
2023-10-27,26.71,27.14,26.46,26.64,34907
2023-10-30,27.29,27.29,25.64,26.07,129758
2023-10-31,26.11,27.18,25.71,25.86,80787
2023-11-01,25.89,26.43,25.46,25.71,163344
2023-11-02,26.07,26.18,25.71,25.93,64378
2023-11-03,26.57,26.79,25.96,26.14,119192
2023-11-06,26.61,26.61,24.71,25.96,138085
2023-11-07,26.18,26.5,25.75,25.96,219263
2023-11-08,26.36,26.39,25.89,26.04,70117
2023-11-09,26.07,26.57,25.79,25.96,34789
2023-11-10,25.96,26.14,25.36,25.75,81126
2023-11-12,26.11,27.86,26.11,26.68,86516
2023-11-13,27.39,27.39,26.57,26.96,167769
2023-11-15,27.89,29.64,27.61,28.86,877465
2023-11-16,28.18,29.86,28.18,28.75,424588
2023-11-17,29.21,29.43,28.57,28.71,255661
2023-11-20,29.43,29.64,28.04,28.18,164267
2023-11-21,28.57,28.68,27.96,28.43,83414
2023-11-22,28.71,28.71,27.71,27.86,82475
2023-11-23,28.25,28.25,27.29,27.75,48721
2023-11-24,28,30.36,27.82,29.82,3524110
2023-11-28,30.89,32.36,30.29,30.64,925972
