Date,Open,High,Low,Close,Volume
2002-01-01,2.54,2.54,2.48,2.5,1100
2002-01-02,2.49,2.54,2.49,2.54,4600
2002-01-03,2.6,2.63,2.54,2.63,5700
2002-01-04,2.66,2.73,2.6,2.65,4400
2002-01-07,3.03,3.18,3.03,3.18,29780
2002-01-08,3.23,3.56,3.04,3.04,15592
2002-01-09,2.96,3.09,2.96,3.01,9500
2002-01-10,3.23,3.23,2.86,2.95,6801
2002-01-11,2.89,2.93,2.89,2.93,1449
2002-01-14,2.97,3.07,2.97,3.05,4456
2002-01-15,2.95,2.97,2.86,2.96,5562
2002-01-16,3.04,3.04,2.92,3.03,3870
2002-01-17,2.93,3.04,2.93,3.01,5452
2002-01-18,2.94,3,2.86,3,2975
2002-01-21,2.93,2.98,2.92,2.92,3000
2002-01-22,3,3.04,2.93,2.94,2000
2002-01-23,3,3,2.87,2.88,2850
2002-01-24,3.09,3.09,2.92,2.94,11900
2002-01-25,3.01,3.01,2.89,2.92,6406
2002-01-28,2.87,2.92,2.87,2.92,13595
2002-01-29,3.04,3.04,2.95,2.97,610
2002-01-30,2.95,2.97,2.92,2.93,2200
2002-01-31,2.98,3.16,2.92,2.93,5520
2002-02-01,3.03,3.12,3.01,3.06,8700
2002-02-04,3.11,3.11,3.04,3.07,9395
2002-02-05,3.11,3.11,2.92,3.02,6810
2002-02-06,2.99,3.15,2.98,3.05,9090
2002-02-07,3.04,3.2,3.04,3.07,9645
2002-02-08,3.06,3.3,3.06,3.26,11360
2002-02-11,3.35,3.39,3.27,3.32,10757
2002-02-12,3.32,3.38,3.17,3.25,4800
2002-02-13,3.29,3.29,3.2,3.21,3474
2002-02-14,3.14,3.31,3.14,3.28,6440
2002-02-15,3.3,3.42,3.26,3.33,7325
2002-02-18,3.36,3.36,3.2,3.26,4205
2002-02-19,3.23,3.31,3.23,3.28,3395
2002-02-20,3.26,3.33,3.19,3.3,2750
2002-02-21,3.26,3.32,3.26,3.28,12031
2002-02-22,3.32,3.32,3.23,3.26,8045
2002-02-25,3.27,3.29,3.23,3.28,3710
2002-02-26,3.18,3.32,3.18,3.3,3950
2002-02-27,3.3,3.41,3.23,3.4,8850
2002-02-28,3.33,3.55,3.17,3.22,10154
2002-03-01,3.04,3.3,3.04,3.3,5550
2002-03-04,3.41,3.41,3.26,3.32,7420
2002-03-05,3.35,3.42,3.3,3.33,4401
2002-03-06,3.3,3.32,3.23,3.3,4610
2002-03-07,3.32,3.33,3.25,3.3,12300
2002-03-08,3.3,3.35,3.26,3.28,3900
2002-03-11,3.3,3.36,3.26,3.32,1325
2002-03-12,3.32,3.32,3.18,3.22,1700
2002-03-13,3.3,3.3,3.25,3.26,5000
2002-03-14,3.3,3.31,3.18,3.28,7381
2002-03-15,3.23,3.36,3.17,3.3,16450
