Date,Open,High,Low,Close,Volume
2025-08-12,115,120.75,115,120.75,5236750
2025-08-13,122.99,126.78,122,126.78,3127048
2025-08-14,131.4,131.4,120.44,120.44,2636454
2025-08-18,114.41,114.41,114.41,114.41,208614
2025-08-19,108.68,108.68,108.68,108.68,140426
2025-08-20,106,106.51,103.24,103.24,2686691
2025-08-21,98.07,107.18,98.07,104.37,3254196
2025-08-22,101.26,102.99,99.15,99.15,960058
2025-08-25,96.8,98.66,94.19,95.16,1615445
2025-08-26,94.9,94.98,91.1,91.95,574682
2025-08-28,91.99,96.8,88.01,94.1,1874584
2025-08-29,95.4,96.65,94.2,95.09,1005359
2025-09-01,96.5,97.5,93.01,95.82,1420485
2025-09-02,97,98.68,93.7,94.37,1307732
2025-09-03,95.11,96,93.06,93.99,779405
2025-09-04,96.05,97,92.21,93,640089
2025-09-05,93.8,93.81,90.52,90.77,596078
2025-09-08,90.77,91.47,85,85.71,2341089
2025-09-09,86,91.7,84.26,87.97,1903585
2025-09-10,88.7,89,87.16,88.14,653630
2025-09-11,91.25,91.25,87,87.78,1344933
2025-09-12,88.44,88.84,86.6,86.99,473424
2025-09-15,86,88.08,86,87.13,405780
2025-09-16,88,88.24,86.36,86.69,432963
2025-09-17,86.69,87.74,85,85.32,835686
2025-09-18,85.49,91.3,85,90.45,1864712
2025-09-19,90.37,90.37,87,87.52,711715
2025-09-22,87.75,87.75,86.05,86.52,351540
2025-09-23,86.85,87.2,85.6,85.81,316402
2025-09-24,86,86.58,84.25,84.83,332399
2025-09-25,85.4,85.86,82.5,83.44,339380
2025-09-26,83.4,83.44,80,80.66,514812
2025-09-29,82.7,82.7,79.57,80.88,345093
2025-09-30,80.7,82.37,79.1,79.6,332757
2025-10-01,80.39,80.95,78.46,80.15,463744
2025-10-03,80.78,81.46,79.4,80.06,276064
2025-10-06,81.25,86.35,81.25,83.39,1099576
2025-10-07,84.3,84.3,81.24,82.01,242426
2025-10-08,82.01,82.79,79.82,80.25,279447
2025-10-09,80.59,80.84,79.6,80.09,230838
2025-10-10,80.11,81.43,79.9,80.08,209065
2025-10-13,80,80.88,79.33,80.29,199588
2025-10-14,82.94,83.49,75.86,78.61,675457
2025-10-15,78.61,80.74,78.61,79.57,273917
2025-10-16,79.6,80.7,78.1,79.33,188797
2025-10-17,78.9,79.41,75.5,77.06,350441
2025-10-20,77.06,78.8,76.5,77.89,229888
2025-10-21,79.6,80,78.6,78.96,77256
2025-10-23,78.96,80,78.3,79.1,225458
2025-10-24,80,80,78,78.11,239402
2025-10-27,78.3,78.82,77.01,77.21,209000
2025-10-28,77.43,77.79,76.56,77.11,159525
2025-10-29,77.48,78.6,77.2,78.24,209478
2025-10-30,78.98,82.88,78.41,78.66,800409
2025-10-31,78.66,78.66,77.61,77.84,151963
2025-11-03,79,79,77.11,77.54,149771
2025-11-04,77.96,78.59,77,77.23,120817
2025-11-06,76,77.43,73.6,73.95,482819
2025-11-07,75,75.35,73,73.4,497667
2025-11-10,73.49,73.84,71.5,71.61,270344
2025-11-11,71.95,72.11,69.7,69.9,502325
2025-11-12,70.65,70.86,69.75,70.06,302537
2025-11-13,70.06,72.8,68.2,69,621654
2025-11-14,68.45,69.48,68.45,69.18,211748
2025-11-17,69.75,70.37,68.5,68.82,249567
2025-11-18,70.2,70.2,68.1,68.36,259046
2025-11-19,68,69.7,67.15,68.44,326605
2025-11-20,69,69.05,66.2,68.02,260157
2025-11-21,67.4,68.16,66.45,66.74,172116
2025-11-24,66.74,66.97,63.07,64.07,351086
2025-11-25,64.07,66.66,63.62,65.62,257458
2025-11-26,65.63,68,65.63,67.25,283086
2025-11-27,67.9,69.43,67.51,67.75,223101
2025-11-28,67.9,68.64,66.16,66.41,129583
2025-12-01,66.41,67.95,65.41,66.03,124274
2025-12-02,66.1,67.35,64.74,66.51,161810
2025-12-03,66.8,67.34,64.8,65,115059
2025-12-04,65.01,65.91,63.8,63.98,99969
2025-12-05,63.56,65.2,62,63.25,175686
2025-12-08,64.25,64.25,60.51,60.98,212751
2025-12-09,61.45,62.6,59.58,62.14,219613
2025-12-10,66,70.8,63.1,64.85,5671053
2025-12-11,64.88,64.99,60.73,61.51,635972
2025-12-12,62.43,62.5,60,61.09,346415
2025-12-15,61.16,62.35,60.51,61.42,221240
2025-12-16,61.44,61.44,59.35,59.47,276001
2025-12-17,59.7,59.95,57.8,57.91,259240
2025-12-18,58.25,58.44,55.9,56.42,303967
2025-12-19,56.42,58.05,55.94,57.71,224137
2025-12-22,57.72,59.25,57.72,58.43,196552
2025-12-23,58.94,59.3,58.14,58.98,112437
2025-12-24,59.5,60.5,56.97,57.76,275507
2025-12-26,57.76,58.55,57.2,57.74,143780
2025-12-29,58.05,58.82,56.05,56.61,189676
2025-12-30,56.94,57.68,55.96,56.77,206270
2025-12-31,56.35,58.5,56.35,58.35,183759
2026-01-01,58.89,58.89,57.51,57.73,101939
2026-01-02,58.39,60.15,57.5,59.89,265061
2026-01-05,60.01,60.56,58.41,58.68,146052
2026-01-06,62,63.37,58.82,59.36,660343
2026-01-07,60,60.74,58.89,60.1,139233
2026-01-08,60.2,60.43,57.41,58.08,159198
2026-01-09,62.08,62.13,57.12,58.44,744905
2026-01-12,58.02,58.19,54.31,55.33,386359
