Date,Open,High,Low,Close,Volume
2007-05-24,60.8,64.71,54.94,56.35,10658727
2007-05-25,55.23,55.56,51.65,52.4,1100506
2007-05-28,52.98,53.23,47.83,48.82,643741
2007-05-29,49.2,55.31,46.75,52.82,2548010
2007-05-30,52.65,52.82,49.16,49.66,650458
2007-05-31,52.36,55.89,50.49,51.61,1565607
2007-06-01,52.61,53.02,50.32,50.65,414321
2007-06-04,51.11,52.15,49.16,49.66,265976
2007-06-05,49.2,50.57,47.95,48.37,180290
2007-06-06,48.66,49.82,45.87,46.41,217344
2007-06-07,45.79,47.24,44.29,44.67,185983
2007-06-08,44.08,44.08,42,42.46,200413
2007-06-11,43.67,44.83,42.09,42.21,126051
2007-06-12,42.05,42.84,38.68,39.22,214847
2007-06-13,39.97,41.34,38.34,39.47,312210
2007-06-14,41.8,47.37,39.59,45.66,1425545
2007-06-15,45.37,46.58,42.54,43.25,452532
2007-06-18,44.92,46.87,43.67,44.96,454822
2007-06-19,44.83,44.83,42.92,44.13,166449
2007-06-20,43.5,44.92,42.88,43.29,93080
2007-06-21,43.33,44.25,42.21,42.42,119070
2007-06-22,42.42,42.42,41.26,41.67,60841
2007-06-25,41.38,42.5,40.84,41.05,105473
2007-06-26,41.75,41.75,40.42,40.84,50964
2007-06-27,40.84,41.17,39.55,40.01,52246
2007-06-28,40.47,43.33,39.92,40.67,204270
2007-06-29,41.17,41.51,39.92,40.05,72801
2007-07-02,40.38,41.55,39.97,40.17,42619
2007-07-03,40.67,40.76,40.17,40.47,58285
2007-07-04,40.17,41.34,39.97,40.3,54651
2007-07-05,41.09,41.09,39.68,39.8,43780
2007-07-06,40.47,40.47,32.02,39.05,65491
2007-07-09,39.18,39.92,38.68,38.76,41243
2007-07-10,39.51,39.76,33.48,38.14,45622
2007-07-11,39.09,40.17,37.43,38.39,105886
2007-07-12,38.93,40.51,38.68,39.43,111058
2007-07-13,40.09,40.63,38.88,39.18,56253
2007-07-16,39.18,40.92,39.18,39.55,82572
2007-07-17,40.34,40.34,38.05,38.39,36006
2007-07-18,38.68,39.22,37.55,38.34,58386
2007-07-19,38.68,39.51,37.55,37.93,44085
2007-07-20,39.26,39.26,36.6,36.93,49793
2007-07-23,37.1,37.18,33.69,35.56,44511
2007-07-24,33.77,35.97,33.77,34.02,53896
2007-07-25,33.77,35.02,33.48,34.06,75453
2007-07-26,34.31,36.85,34.1,35.77,105537
2007-07-27,34.31,35.72,33.85,34.06,66176
2007-07-30,34.1,34.68,33.69,33.98,26998
2007-07-31,35.31,35.31,33.35,33.69,33962
2007-08-01,33.48,34.1,31.19,31.81,33455
2007-08-02,34.1,34.1,31.69,31.98,33454
2007-08-03,31.81,32.4,30.82,31.27,39526
2007-08-06,29.94,30.98,29.94,30.48,34044
2007-08-07,31.4,31.4,30.28,30.53,40524
2007-08-08,31.02,33.98,31.02,32.61,118820
2007-08-09,33.27,33.27,31.86,32.06,38948
2007-08-10,31.23,31.48,29.94,31.15,27995
2007-08-13,31.52,33.6,30.82,32.31,62114
2007-08-14,33.27,33.85,31.98,33.15,41475
2007-08-16,31.02,33.27,30.86,31.15,28728
2007-08-17,31.11,31.19,29.61,30.11,29316
2007-08-20,31.19,31.48,30.53,30.73,14664
2007-08-21,30.36,30.78,29.11,29.19,20183
2007-08-22,28.95,29.49,26.62,27.53,30248
2007-08-23,29.11,29.11,27.61,28.2,34936
2007-08-24,26.74,28.99,26.74,27.66,8913
2007-08-27,27.53,29.03,27.53,28.7,16597
2007-08-28,25.91,29.07,25.91,27.82,26186
2007-08-29,28.24,29.94,27.28,28.49,36895
2007-08-30,29.03,29.86,28.32,29.19,37967
2007-08-31,29.57,30.98,29.4,29.86,57032
2007-09-03,29.94,32.77,29.69,31.48,64711
2007-09-04,31.94,35.1,31.32,33.02,204584
2007-09-05,33.27,34.93,32.52,33.02,48441
2007-09-06,32.52,33.1,31.77,32.27,29543
2007-09-07,32.19,33.69,31.69,32.23,26102
2007-09-10,31.81,32.98,31.23,32.06,27640
2007-09-11,32.44,32.69,31.65,31.98,22790
2007-09-12,32.27,33.52,25.66,32.85,69956
2007-09-13,33.27,36.26,32.52,35.68,296368
2007-09-14,36.1,37.01,34.35,34.85,129394
2007-09-17,35.02,35.27,33.35,33.89,35820
2007-09-18,33.94,35.68,33.94,34.85,46384
2007-09-19,35.35,35.77,34.19,34.35,30411
2007-09-20,34.44,34.44,33.4,33.52,18192
2007-09-21,33.35,34.27,32.85,32.98,31637
2007-09-24,33.27,34.48,32.85,33.06,30925
2007-09-25,32.69,33.27,32.44,33.02,24160
2007-09-26,32.52,33.85,32.48,32.98,43227
2007-09-27,33.35,34.93,32.52,32.94,40489
2007-09-28,33.1,34.1,32.02,32.23,39239
2007-10-01,33.69,33.69,32.23,32.36,11397
2007-10-03,32.06,33.1,31.19,31.52,36401
2007-10-04,30.9,31.94,30.86,31.07,30063
2007-10-05,32.85,32.85,29.78,30.11,23749
2007-10-08,31.27,31.27,28.32,29.11,27842
2007-10-09,29.53,29.61,25.87,29.24,24449
2007-10-10,29.53,30.36,28.53,29.11,25286
2007-10-11,27.86,29.57,27.66,28.86,4602
2007-10-12,28.74,29.32,28.57,28.99,18424
2007-10-15,30.28,30.28,28.7,29.15,22007
2007-10-16,29.78,29.78,28.86,29.28,14036
2007-10-17,23.58,29.36,23.58,29.03,19497
2007-10-18,29.19,31.48,29.15,29.4,43307
2007-10-19,28.28,29.94,23.54,27.66,39458
2007-10-22,29.03,29.03,27.03,27.91,13551
2007-10-23,28.7,28.7,27.45,27.91,14864
2007-10-24,27.03,28.49,27.03,27.78,16034
2007-10-25,27.7,29.28,27.49,28.36,18398
2007-10-26,28.7,29.78,28.32,29.11,29154
2007-10-29,28.32,32.85,28.32,31.98,92492
2007-10-30,32.52,33.69,32.02,32.15,35235
2007-10-31,32.27,32.27,30.98,32.06,21844
2007-11-01,32.44,32.44,30.86,31.02,18914
2007-11-02,30.03,31.19,27.45,29.94,21340
2007-11-05,28.9,30.28,28.9,29.15,17868
2007-11-06,28.7,29.49,27.86,28.36,13943
2007-11-07,29.11,29.11,27.45,27.82,17890
2007-11-08,27.45,28.2,27.45,27.74,7970
2007-11-09,27.7,29.07,23.83,28.2,4112
2007-11-12,28.7,28.7,27.45,28.03,19003
2007-11-13,29.11,29.11,27.99,28.53,19329
2007-11-14,29.82,32.61,29.07,31.48,68741
2007-11-15,32.11,34.77,31.73,32.15,81754
2007-11-16,32.98,33.73,32.11,32.27,36172
2007-11-19,32.98,33.69,31.65,32.4,19960
2007-11-20,32.44,33.48,31.32,32.77,35669
2007-11-21,32.94,33.69,31.23,31.61,33995
2007-11-22,30.4,32.85,26.95,29.94,13606
2007-11-23,30.98,32.15,29.53,29.82,16227
2007-11-26,30.78,31.94,30.23,31.19,10276
2007-11-27,31.15,31.44,30.69,30.86,10244
2007-11-28,31.86,32.81,29.99,30.32,9233
2007-11-29,30.98,31.11,30.03,30.19,25524
2007-11-30,30.73,30.73,29.11,29.78,75859
2007-12-03,31.07,32.36,29.82,31.52,51343
2007-12-04,32.11,34.1,31.19,33.4,65989
2007-12-05,33.69,39.09,33.27,37.55,214696
2007-12-06,38.68,39.92,35.35,36.1,87880
2007-12-07,38.26,38.26,34.1,35.27,37551
2007-12-10,38.26,39.92,34.14,35.77,30337
2007-12-11,36.02,37.85,35.85,36.14,35106
2007-12-12,38.09,38.09,35.39,36.18,14009
2007-12-13,36.93,37.64,35.35,36.85,51625
2007-12-14,33.31,40.76,33.31,38.84,134281
2007-12-17,40.76,45.58,39.92,40.84,423110
2007-12-18,43.09,44.08,39.51,40.67,118901
2007-12-19,42.34,45.41,41.67,42.3,158516
2007-12-20,43.13,43.25,39.55,40.09,64006
2007-12-24,41.42,44.08,39.92,40.38,55688
2007-12-26,42.34,42.34,37.22,41.01,58782
2007-12-27,43.25,44,40.76,42.38,121036
2007-12-28,43.25,43.63,40.47,43.21,94139
2007-12-31,43.04,46.99,41.67,46.29,187818
2008-01-01,45.91,49.49,45.91,47.49,206337
2008-01-02,48.16,48.66,44.67,47.24,98488
2008-01-03,47.24,56.31,45.46,55.19,698243
2008-01-04,56.1,60.59,52.44,53.98,715142
2008-01-07,51.65,54.56,51.57,51.82,120218
2008-01-08,52.4,52.98,44.54,45.75,93327
2008-01-09,45.75,47.41,41.59,44.17,115427
2008-01-10,45.91,45.91,39.92,40.8,63922
2008-01-11,40.01,42.17,39.59,40.17,49302
2008-01-14,44.83,48.24,43.25,48.24,281622
2008-01-15,50.78,52.07,44.5,45.54,189020
2008-01-16,44.67,44.92,40.76,43.92,61448
2008-01-17,43.5,46.58,43.46,44.17,46888
2008-01-18,44.87,44.92,41.59,42.92,66596
2008-01-21,42.42,42.42,34.35,34.6,45680
