Date,Open,High,Low,Close,Volume
2003-09-05,35,35,35,35,200
2003-09-08,33.76,33.76,33.75,33.75,200
2003-09-09,32.99,32.99,32.5,32.5,104
2003-09-12,31.78,33,31.75,33,775
2003-09-16,29.75,29.75,29.7,29.7,400
2003-09-17,30.5,31.25,30.5,31.25,120
2003-09-18,29.55,29.55,29.5,29.53,100
2003-09-19,29.5,29.5,28.75,28.88,100
2003-09-24,30,30,30,30,5
2003-09-26,30,32.25,30,32.25,125
2003-09-30,34.93,35,34.93,35,80
2003-10-01,35.68,35.75,35.68,35.75,225
2003-10-03,37.1,37.54,36.38,37.54,805
2003-10-06,39.43,39.43,39.25,39.43,15615
2003-10-07,41.4,41.4,41.4,41.4,40251
2003-10-08,42.5,43.48,41,42.73,20908
2003-10-09,42.5,43.75,42.14,43.24,54796
2003-10-10,45,45.4,41.75,42.83,46006
2003-10-13,43.24,46.89,42.85,45.41,65129
2003-10-14,45.88,47,44.99,45.11,20061
2003-10-15,44.5,44.5,42.14,42.66,9587
2003-10-16,43.75,44.95,43.21,43.65,11255
2003-10-17,45.95,45.95,40.89,42.16,9152
2003-10-20,42.38,42.86,40.26,41.29,4907
2003-10-21,40.88,41,40,40.05,4253
2003-10-22,39.5,40.75,39.5,39.99,2799
2003-10-23,40.25,40.31,40.25,40.31,400
2003-10-24,41.46,42.13,40.01,41.75,1669
2003-10-25,43.73,45.73,43.73,44.15,2053
2003-10-27,44.51,44.56,42.5,42.93,2204
2003-10-28,42.65,42.75,41.76,42.74,605
2003-10-29,43.5,43.5,41.25,42.71,1770
2003-10-30,43.06,43.5,41,42.65,8404
2003-10-31,42.38,43.5,41.5,43.14,3532
2003-11-03,43.25,43.75,42.75,43.25,10274
2003-11-04,42.66,43.19,41.25,42.18,6074
2003-11-05,41.81,41.88,40.25,40.63,4271
2003-11-06,41.25,42.35,41.25,42.19,1879
2003-11-07,42.28,42.28,41,41.1,5898
2003-11-10,42.99,43.25,42,43.06,340
2003-11-11,38.13,43.75,38.13,43.1,8384
2003-11-12,43,47.75,43,46.59,6896
2003-11-13,51.25,51.25,43.81,45.39,10850
2003-11-14,46.24,46.24,43.99,44.31,1667
2003-11-15,45,45,44.03,44.91,370
2003-11-17,45,45.73,43.75,45.23,1583
2003-11-18,46.23,46.75,44.58,45.74,3362
2003-11-19,44.25,44.25,43,43.25,3553
2003-11-20,38.53,46.25,38.53,45,4257
2003-11-21,44.13,44.88,43.5,44.19,1334
2003-11-24,43.88,50.5,43.88,49.58,8772
2003-11-25,50.5,53.5,50.05,51.6,11725
2003-11-27,53.75,55.25,51.78,53.26,13139
2003-11-28,54,54,51.78,52.51,12513
2003-12-01,53.01,55,53,53.81,14674
2003-12-02,54.2,54.85,52.75,54,7265
2003-12-03,54.49,58.75,54.49,57.94,15207
2003-12-04,58.75,59,55.25,56.34,6743
2003-12-05,57.5,57.5,55.38,56.96,13106
2003-12-08,57,57,54.5,54.66,2672
2003-12-09,55.75,57.21,54.04,55.14,5122
2003-12-10,56.25,56.25,54,54.66,5859
2003-12-11,55,56,53,54.93,6914
2003-12-12,54.13,55,53.88,55,2466
2003-12-15,55,55.36,54.5,55.23,2329
2003-12-16,56,56.45,53.88,54.75,3261
2003-12-17,54.28,54.28,51.5,52.79,5399
2003-12-18,53,56.21,53,55.39,4272
2003-12-19,56.23,56.23,54,54.06,908
2003-12-22,54.75,55.25,54.5,55.25,1521
2003-12-23,54.28,55.75,53,53.36,1704
2003-12-24,54.86,54.86,52.63,53.19,2025
2003-12-26,52.75,54.44,52,53.89,4802
2003-12-29,54.56,55,53.75,54.15,4246
2003-12-30,53.75,54.75,52.5,52.93,2605
2003-12-31,52.53,52.53,52.5,52.51,853
2004-01-01,53.75,54.75,52.75,53.31,1630
2004-01-02,52.53,54.63,52.53,54.13,1964
2004-01-05,55,55,52.53,53.7,5351
2004-01-06,53,53,52.26,52.59,1239
2004-01-07,50.56,50.56,49.31,50.3,1070
2004-01-08,51.25,52,51.25,51.35,1382
2004-01-09,53.75,53.75,52.25,52.25,1705
2004-01-12,56.23,56.5,51.75,52.51,3787
2004-01-13,51.5,52.19,51.25,51.35,1340
2004-01-14,52.48,53.18,51.5,52.95,918
2004-01-15,54.43,57.75,54.43,54.96,5875
2004-01-16,54.5,54.5,51.25,52.01,4067
2004-01-19,51,51.5,50.5,51.03,3036
2004-01-20,51.01,51.95,50,51.9,556
2004-01-21,49.5,50,44.98,45.11,3272
2004-01-22,45.64,45.76,44.5,44.5,908
2004-01-23,45.8,48.75,45,48.2,1212
2004-01-27,51.88,53.75,49.8,53.05,8776
2004-01-28,53.88,53.88,49.5,49.5,2828
2004-01-29,48.75,50,46.75,48.55,763
2004-01-30,49.24,49.24,46.3,46.53,2504
2004-02-03,46.28,46.28,41.25,41.79,2775
2004-02-04,43.13,44.25,42.81,43.79,1646
2004-02-05,43.76,46.19,43.38,44.4,2324
2004-02-06,43.03,43.25,42.13,42.36,2467
2004-02-09,44.24,44.75,43.25,44,1351
2004-02-10,43.64,44.75,43.64,44.75,326
2004-02-11,45.61,45.63,45,45,90
2004-02-12,43.25,45.5,43.25,44.84,975
2004-02-13,44.75,45.25,44.5,45,675
2004-02-16,46,46,45.5,45.53,451
2004-02-17,45.5,46.25,44.5,46.24,2757
2004-02-18,50,50,45,45.63,1155
2004-02-19,45.45,45.5,43.13,44.38,2155
2004-02-20,43.75,44.38,43,43.73,1561
2004-02-23,46.75,47,42.75,43.13,2629
2004-02-24,43,43,38.44,41.25,9751
2004-02-25,40.25,40.25,40.25,40.25,710
2004-02-26,42,42,40.25,40.41,2950
2004-02-27,40.01,40.01,39.08,39.08,750
2004-03-01,40.5,42.5,40.13,40.13,4475
2004-03-03,42.5,43.25,41.25,41.25,1688
2004-03-04,40.5,40.5,39,39.28,1452
2004-03-05,40,40,33.75,39.79,1724
2004-03-08,40,40.5,40,40.38,1785
2004-03-09,42.5,42.5,40,40,8575
2004-03-10,37.25,39.31,37.25,39.25,5900
2004-03-11,39.29,39.96,39,39,1759
2004-03-12,35.85,39.44,35.75,37.5,10735
2004-03-15,36.78,37.51,35,35.03,12833
2004-03-16,34.3,35.65,34.3,35.08,4972
2004-03-17,34.5,38,34.39,35.45,10953
2004-03-18,35.75,36,34.75,34.75,2163
2004-03-19,34,35,34,35,3935
2004-03-22,35.48,35.48,32.39,32.39,1966
2004-03-23,31.75,32.5,30.14,31.26,8316
2004-03-24,31.38,31.5,31.25,31.25,11200
2004-03-25,31.5,32.25,30.53,31.45,10030
2004-03-26,30.35,35.75,30.35,33.93,12967
2004-03-29,33.78,34.5,32.64,32.86,6573
2004-03-30,33.8,34.75,33.75,34.14,781
2004-03-31,35.25,36.05,35.25,36.03,325
2004-04-01,34.76,37,34.76,36.61,2644
2004-04-02,37,37,36.13,36.26,1901
2004-04-05,38.05,38.75,37.75,37.85,2996
2004-04-06,35,37.69,35,37.25,3076
2004-04-07,37.49,37.5,37,37.38,1025
2004-04-08,34.75,38.13,34.75,36.41,9212
2004-04-12,37.5,37.56,36.25,36.83,2592
2004-04-13,36.88,36.88,36.1,36.25,3360
2004-04-15,37.5,37.5,35.94,36.05,9150
2004-04-16,37.13,37.13,35.53,36.25,1295
2004-04-17,35.83,35.83,35.83,35.83,50
2004-04-19,37,38.75,36.54,37,3460
2004-04-20,36.28,37.43,36.28,37.43,700
2004-04-21,37.5,37.5,37.26,37.26,5230
2004-04-22,37,38.38,36.88,37.03,5100
2004-04-23,37,37.13,36.63,36.91,1951
2004-04-27,36.75,36.75,36.73,36.73,540
2004-04-28,36,36,35,35.49,650
2004-04-29,35.5,35.5,35.5,35.5,1
2004-04-30,36,36,35.28,35.38,310
2004-05-03,34.5,34.5,32,32.13,1514
2004-05-04,35.86,35.86,33.33,33.35,511
2004-05-05,33.78,34.06,33.78,34.06,198
2004-05-06,34.63,37.45,33.75,35.74,3052
2004-05-07,35.01,36.06,34.5,36.05,3290
2004-05-10,34.13,36.21,34.13,36.21,175
2004-05-11,35.5,36,35.5,36,400
2004-05-12,35,35,34.75,34.75,504
2004-05-13,34,35.63,34,35.56,500
2004-05-14,33.53,34,33.24,33.25,855
2004-05-17,29.38,32,26.75,28.55,2995
2004-05-18,27.75,29.98,27.75,29.98,398
2004-05-19,34.95,34.95,29.75,31.04,1490
2004-05-20,32.5,32.98,30,30.73,1678
2004-05-21,30,30.5,30,30,2500
2004-05-24,31.95,32.35,30.53,31.25,20910
2004-05-25,31.21,32.11,31.21,31.29,22196
2004-05-26,32.38,32.38,30.46,30.65,14117
2004-05-27,31,31,29.98,30.13,641
2004-05-28,29.06,29.06,28.54,28.54,530
