Date,Open,High,Low,Close,Volume
2007-02-07,724.45,730,551.25,563.45,8573402
2007-02-08,575,596.8,546.2,561.75,3393584
2007-02-09,565,581.5,548.6,555.85,1857832
2007-02-12,547,547,445.7,455.3,2259806
2007-02-13,454.7,496.85,430,447.75,4686874
2007-02-14,450,450,414,420.4,1810501
2007-02-15,429,465.85,427,452.95,1950799
2007-02-19,455,466.65,445,449.2,944510
2007-02-20,450,451.9,422.05,424.7,485643
2007-02-21,426.2,428.5,408.5,411,519161
2007-02-22,410,441.9,406.75,423.1,1195621
2007-02-23,426.95,438,401.25,431.6,1299632
2007-02-26,436.7,456,431,446.55,780334
2007-02-27,451.8,474,436.1,458.75,1271813
2007-02-28,418,451.95,416.05,422.35,502803
2007-03-01,424.7,432,408.6,415.9,291261
2007-03-02,415.9,417.75,374,383.45,358029
2007-03-05,366.6,370.8,341.25,345,266667
2007-03-06,344,366.05,330.1,344.9,367517
2007-03-07,355,380,350,372.05,991896
2007-03-08,379,428.4,361.05,413.5,977773
2007-03-09,417,426,393.3,403.5,718669
2007-03-12,402,414.6,397,408.4,376441
2007-03-13,405,467.45,405,453.75,1765158
2007-03-14,422,442,410,416.1,1461863
2007-03-15,423,437,412.55,415.75,546993
2007-03-16,419,424,391.15,398.25,482507
2007-03-19,400.1,416,398,406.9,335944
2007-03-20,411,431.7,409,421.35,500974
2007-03-21,423.25,427.95,417.05,420.9,207801
2007-03-22,423.1,432,423.1,427.25,227780
2007-03-23,428,428.7,415,417.2,174270
2007-03-26,420,422.1,400.1,401.5,131269
2007-03-28,399.9,399.9,385.15,388.95,102289
2007-03-29,387,416.85,387,412.1,368490
2007-03-30,414,418.2,403.1,406.7,270980
2007-04-02,394,421.65,370.5,414.15,818253
2007-04-03,412,417,397.25,404.7,345926
2007-04-04,408,416.4,394,399.6,197435
2007-04-05,400,408.8,392.3,396.85,262264
2007-04-09,399,407,393.35,396.95,410878
2007-04-10,399.8,405,390,392.05,302198
2007-04-11,393,395.7,380.1,382.9,197131
2007-04-12,380,394.95,379,383.95,272189
2007-04-13,383.7,392.4,383.7,388,178106
2007-04-16,391.7,401.7,390.5,392.45,191867
2007-04-17,394.9,394.9,376,377.1,172288
2007-04-18,380.9,388.7,378,380.1,120696
2007-04-19,375,380,367.1,373.65,102758
2007-04-20,379.8,387.4,375,375.75,120896
2007-04-23,315,389.4,315,381.35,222538
2007-04-24,383.95,398.4,377.55,394.1,721656
2007-04-25,390,412,390,395.95,749822
2007-04-26,399.95,408,385,387.55,808320
2007-04-27,391,391,370.05,372.45,206110
2007-04-30,370.9,375.95,368,371.75,109459
2007-05-03,376.7,388.5,375,383.05,201662
2007-05-04,376.7,389.1,371.1,384.7,155875
2007-05-07,389.7,403.9,387.5,399.2,361895
2007-05-08,397,405,380,381.85,225753
2007-05-09,383,388.8,382.05,387.25,93099
2007-05-10,390,392.5,378.05,380.7,75768
2007-05-11,376.15,389.8,371.15,386.9,88271
2007-05-14,393.4,393.4,381.9,382.95,55321
2007-05-15,380.1,386.9,378,378.75,41603
2007-05-16,379,399.9,379,395.1,216581
2007-05-17,394,410.7,392,395.2,385863
2007-05-18,395,399.8,386.25,389.5,114692
2007-05-21,392,393.9,384,385.15,66749
2007-05-22,388.45,394.9,380.1,382.25,145375
2007-05-23,385.65,391.1,378,379.1,99540
2007-05-24,379,382,374.2,375.5,46397
2007-05-25,373,379.7,370.1,375.55,50445
2007-05-28,379,388.9,374.1,381.4,82002
2007-05-29,383,386,377.1,379.15,71191
2007-05-30,378,383,366.35,370.35,67858
2007-05-31,372.5,378.9,365.7,367.6,69606
2007-06-01,372,378,369,371.2,151493
2007-06-04,373,378,370,372.9,86809
2007-06-05,375.45,375.45,365,366.1,60278
2007-06-06,366,373.5,357.25,359.35,69576
2007-06-07,355,364.7,354.1,356,48825
2007-06-08,354,361.7,352,355.25,52432
2007-06-11,359,364.9,358,360.6,65657
2007-06-12,364,364,347,350.35,43164
2007-06-13,350.3,357,343.1,346.05,40731
