Date,Open,High,Low,Close,Volume
2024-10-07,486,508,461.7,490.35,279600
2024-10-08,467,500,465.85,482.5,63600
2024-10-09,477,499,473,491.65,32700
2024-10-10,497,516.2,492,516.2,27900
2024-10-11,541.8,542,541,542,7800
2024-10-14,569.1,569.1,562,569.1,62700
2024-10-15,591,597.55,580,597.55,15000
2024-10-16,627.4,627.4,627.4,627.4,8100
2024-10-17,658.75,658.75,658.75,658.75,4200
2024-10-18,691.65,691.65,691.65,691.65,12600
2024-10-21,730,730,606,616.3,104700
2024-10-22,605.05,610,510,522.3,64200
2024-10-23,540,614,531,590.25,30000
2024-10-24,600,629.7,541.5,562.45,28200
2024-10-25,576.55,606,532.15,598.4,27900
2024-10-28,609.9,609.9,560,585,11100
2024-10-29,585,585,560,570,3300
2024-10-30,561.05,585,560,572,5100
2024-10-31,563.05,592.7,563.05,578,4200
2024-11-01,580,585,580,583.75,1500
2024-11-04,570,614.95,562,578.7,7800
2024-11-05,580.05,619,580.05,613.55,11400
2024-11-06,590.1,670,590.1,646,11100
2024-11-07,646,664.95,627,629.4,4200
2024-11-08,631,633.95,610,610.05,3600
2024-11-11,610.05,624,610,613.25,3300
2024-11-12,616,624,603,608.25,3300
2024-11-13,599,645,565.05,597.65,14700
2024-11-14,572.25,596,570,590.85,7200
2024-11-18,588,588.8,571.05,571.05,2400
2024-11-19,572,590,569.9,570.3,8100
2024-11-21,571,579.95,525,540.8,15000
2024-11-22,562.95,569.55,551,551,3900
2024-11-25,556.35,584,556,565,7500
2024-11-26,575,575,550.55,557.4,2100
2024-11-27,551.05,574,550,574,2100
2024-11-28,565.2,565.2,557.15,557.55,3600
2024-11-29,560.05,565,560,562.5,2700
2024-12-02,550.35,588.35,550.35,583.8,6900
2024-12-03,605,614.95,601,601,2100
2024-12-04,610,612,590.05,600.85,5400
2024-12-05,597.75,605,597.75,605,1500
2024-12-06,600,600,600,600,300
2024-12-09,580.9,584.95,575.1,578.7,2100
2024-12-10,567.6,579.9,562.55,576.95,5100
2024-12-11,563.4,576.85,563.35,572.9,1500
2024-12-12,575,629.9,574,626.95,10800
2024-12-13,626.95,645,615,645,9000
2024-12-16,648,680,645,680,6600
2024-12-17,698,700,691.05,697.75,3300
2024-12-18,697,700,652,698,8400
2024-12-19,690,698.9,684,698.45,3600
2024-12-20,695,710,695,695.5,3600
2024-12-23,690,703,667,703,2700
2024-12-24,670,690,666.05,682,3000
2024-12-26,694,703.45,694,703.45,600
2024-12-27,672.2,672.2,672.2,672.2,300
2024-12-30,672.2,672.2,659.95,659.95,600
2024-12-31,651.1,651.1,644,646.15,2700
2025-01-01,655.5,665.6,655.5,665,1200
2025-01-02,685,798,685,798,27000
2025-01-03,824.8,957.45,824.8,943.7,58200
2025-01-06,951,981,846.05,862.9,11400
2025-01-07,855,900,821,900,4200
2025-01-08,869,869,855,855,2100
2025-01-09,835,897.75,835,897.75,6900
2025-01-10,890,942.6,890,942.6,6000
2025-01-13,989.7,989.7,896,896,18600
2025-01-14,892,911,866,866,1800
2025-01-15,830,909,823,909,3000
2025-01-16,950,950,910.1,925,8400
2025-01-17,942,966,937.5,960.95,5100
2025-01-20,969.85,969.85,912.9,943,6000
2025-01-21,945,945,895.85,895.85,1200
2025-01-22,851.05,851.05,851.05,851.05,3000
2025-01-23,808.5,813,808.5,808.5,5700
2025-01-24,800,800,768.1,768.15,5100
2025-01-27,731,731,729.75,729.75,5100
2025-01-28,693.3,729.75,693.3,697.5,8100
2025-01-29,700,732,695,698,7500
2025-01-30,705,705,696,696,3000
2025-01-31,730,730.8,722,722,1800
2025-02-01,755,758.1,755,758.1,2100
2025-02-03,730,730,720.2,720.25,3900
2025-02-04,710,710,710,710,300
2025-02-05,740,745.5,740,745.5,900
