Date,Open,High,Low,Close,Volume
2005-09-12,9.56,9.56,8.49,8.55,46546
2005-09-13,9.4,9.4,8.53,8.73,44086
2005-09-14,8.8,9.18,8.3,8.38,26449
2005-09-15,8.5,8.79,8.5,8.73,11305
2005-09-16,8.76,8.8,8.57,8.62,9113
2005-09-19,8.51,8.88,8.4,8.5,16850
2005-09-20,8.5,8.52,8.09,8.2,6624
2005-09-21,8,8.05,7.09,7.4,11518
2005-09-22,7.2,7.5,6,6.39,23745
2005-09-23,7.28,7.28,6.2,6.6,9719
2005-09-26,6.68,7.25,6.68,7.13,17755
2005-09-27,7.2,7.51,7.03,7.19,5774
2005-09-28,7.58,7.58,6.21,6.67,10845
2005-09-29,7.1,7.22,6.61,6.71,2870
2005-09-30,6.76,7,6.17,6.39,13639
2005-10-03,6.4,6.58,6.4,6.43,12415
2005-10-04,6.51,6.6,6.42,6.6,6275
2005-10-05,6.23,6.98,6.23,6.63,3165
2005-10-06,6.75,6.75,6.62,6.7,460
2005-10-07,6.99,6.99,6.45,6.55,1960
2005-10-10,6.88,6.9,6.63,6.77,6975
2005-10-11,6.96,7,6.62,6.85,1844
2005-10-13,6.8,6.83,6.7,6.76,7537
2005-10-14,6.61,6.72,6.6,6.71,18590
2005-10-17,6.41,6.59,6.14,6.2,4207
2005-10-18,6.2,6.3,6.2,6.21,1030
2005-10-19,6.2,6.2,5.44,5.54,3428
2005-10-20,5.2,5.67,4.47,4.75,5977
2005-10-21,4.8,5.36,4.8,5.31,3426
2005-10-24,4.75,5.5,4.75,5.5,2270
2005-10-25,5.76,5.76,5.5,5.5,1780
2005-10-26,4.7,5.58,4.69,5.18,1460
2005-10-27,5.47,5.5,5.18,5.5,3
2005-10-28,5.01,5.39,4.85,5.1,3080
2005-10-31,5.94,5.95,4.81,5.29,1354
2005-11-01,5.39,5.39,5.12,5.12,106
2005-11-02,4.85,5.72,4.85,5.64,3612
2005-11-07,5.7,6.35,5.64,6.09,10402
2005-11-08,6.2,6.6,6.03,6.33,23866
2005-11-09,6.02,6.2,5.8,5.84,17025
2005-11-10,6.09,6.1,5.7,5.81,7250
2005-11-11,6.01,6.01,5.86,5.86,1500
2005-11-14,6.2,6.2,5.9,6,456
2005-11-16,6.25,6.25,6.01,6.01,5112
2005-11-17,6.02,6.62,5.9,6.62,26979
2005-11-18,6.78,7.1,6.69,6.74,26002
2005-11-21,6.46,6.84,6.46,6.8,8826
2005-11-22,6.4,6.57,6.2,6.2,3331
2005-11-23,5.86,6.58,5.86,6.06,2378
2005-11-24,6.04,6.29,6.04,6.11,992
2005-11-25,6.54,6.54,6,6.14,4526
2005-11-26,6.18,6.24,6.01,6.05,266
2005-11-28,6.2,6.49,6.16,6.22,7427
2005-11-29,6.22,6.22,5.93,5.99,1552
2005-11-30,6,6.16,5.8,5.8,7024
2005-12-01,5.73,6.14,5.73,6.08,3539
2005-12-02,6.3,6.3,5.57,5.86,6104
2005-12-05,5.8,6.04,5.72,6,4645
2005-12-06,6.04,6.04,5.9,5.9,2607
2005-12-07,5.62,6,5.62,5.94,1265
2005-12-08,6,6.35,6,6.28,6650
2005-12-09,6.36,6.54,6.12,6.44,18770
2005-12-12,6.3,6.6,6.21,6.29,7750
2005-12-13,6.24,6.49,6.24,6.41,5217
2005-12-14,6.57,6.57,6.11,6.38,2300
2005-12-15,6.2,6.43,5.96,6.02,9503
2005-12-16,5.89,6.3,5.89,6.01,2801
2005-12-19,5.81,6,5.81,5.83,2912
2005-12-20,5.83,5.85,5.7,5.71,1440
2005-12-21,6,6.24,5.83,6.01,5615
2005-12-22,6.02,6.15,5.9,6.02,2252
2005-12-23,6,6,5.8,5.8,1020
2005-12-26,5.8,6,5.62,5.78,1600
2005-12-27,5.66,5.76,5.43,5.57,7530
2005-12-28,5.5,5.9,5.5,5.66,2890
2005-12-29,5.41,5.96,5.41,5.55,3360
2005-12-30,5.94,5.94,5.56,5.57,3390
2006-01-02,6.09,6.13,5.71,6.13,13987
2006-01-03,6.2,6.6,6.02,6.21,5663
2006-01-04,6.36,6.46,6.07,6.17,3690
2006-01-05,5.91,6.17,5.85,5.97,3696
2006-01-06,6,6,5.69,5.92,4553
2006-01-09,5.78,6.1,5.78,5.83,1420
2006-01-10,6.08,6.08,6.08,6.08,200
2006-01-12,5.51,5.94,5.51,5.91,3635
2006-01-13,5.81,5.94,5.8,5.91,4642
2006-01-16,6.25,6.3,6.01,6.05,6771
2006-01-17,6.08,6.3,5.91,6.09,11898
2006-01-18,5.81,5.99,5.81,5.87,2455
2006-01-19,6.02,6.02,5.9,5.92,5552
2006-01-20,5.9,6,5.83,5.83,4404
2006-01-23,5.8,5.86,5.73,5.78,825
2006-01-24,5.8,5.88,5.7,5.71,1860
2006-01-25,6.05,6.05,5.62,5.75,1350
2006-01-27,5.6,5.6,5.52,5.54,2022
2006-01-30,5.52,5.52,5.34,5.39,2757
2006-01-31,5.4,5.45,5.26,5.3,1956
2006-02-01,5.23,5.34,5.02,5.12,4082
2006-02-02,5.2,5.4,5.2,5.27,2662
2006-02-03,5.2,5.8,5.2,5.55,5836
2006-02-06,5.77,5.8,5.6,5.7,3651
2006-02-07,5.78,5.78,5.3,5.36,1151
2006-02-08,5.6,5.6,5.21,5.27,2570
2006-02-10,5.38,5.79,5.1,5.2,3467
2006-02-13,5.3,5.3,5.08,5.12,5749
2006-02-14,5.2,5.32,5.1,5.16,1493
2006-02-15,5.28,5.28,5.2,5.2,3351
2006-02-16,5.37,5.37,5.16,5.18,941
2006-02-17,5.34,5.34,5.06,5.06,645
2006-02-20,5,5.19,4.89,5.13,1668
2006-02-21,5.2,5.4,5,5.06,3215
2006-02-22,5,5,4.5,4.75,5363
2006-02-23,4.5,4.73,4.1,4.62,12154
2006-02-24,4.6,5.05,4.54,4.94,1750
2006-02-27,4.9,4.91,4.81,4.81,525
2006-02-28,4.85,4.92,4.85,4.88,780
2006-03-01,4.8,4.89,4.59,4.74,2493
2006-03-02,4.51,4.8,4.31,4.58,7155
2006-03-03,4.36,4.59,4.36,4.4,1452
2006-03-06,3.62,4.92,3.62,4.61,2056
2006-03-07,4.7,4.88,4.5,4.6,3031
2006-03-08,4.6,4.6,4.53,4.53,4622
2006-03-09,4.55,4.55,4.33,4.49,2940
2006-03-10,4.48,5,4.47,4.59,2505
2006-03-13,4.78,5.2,4.42,4.62,12316
2006-03-14,4.69,4.79,4.51,4.58,2909
2006-03-16,4.78,4.8,4.3,4.37,4152
2006-03-17,5.2,5.2,4.24,4.24,2482
2006-03-20,4.55,4.55,4.01,4.05,9526
2006-03-21,4.28,4.3,3.98,4.16,1400
2006-03-22,4.16,4.19,4.01,4.1,9815
2006-03-23,4.17,4.56,4.04,4.35,37920
2006-03-24,4.48,4.48,4.1,4.23,9461
2006-03-27,4.4,4.4,4.04,4.08,12996
2006-03-28,4.04,4.16,4,4.07,9313
2006-03-29,4.2,4.3,4.15,4.22,3174
2006-03-30,4.17,4.34,4.17,4.22,3265
2006-03-31,4.33,4.38,4.27,4.32,10304
2006-04-03,4.7,4.76,4.2,4.69,8397
2006-04-04,4.8,4.8,4.55,4.61,5075
2006-04-05,4.55,4.8,4.55,4.79,3145
2006-04-07,4.95,4.95,4.63,4.68,3395
2006-04-10,4.26,4.8,4.26,4.62,2560
2006-04-12,5,5,4.2,4.55,32485
2006-04-13,4.71,4.71,4.35,4.41,1680
2006-04-17,4.58,4.77,4.58,4.64,4182
2006-04-18,4.55,4.64,4.46,4.46,4600
2006-04-19,4.43,4.43,4.36,4.39,7435
2006-04-20,4.4,4.58,4.3,4.38,6371
2006-04-21,4.28,4.44,4,4.16,6955
2006-04-24,4.12,4.34,4.05,4.16,1373
2006-04-25,4.12,4.12,3.94,3.96,5020
2006-04-26,3.91,4.32,3.9,4.23,5465
2006-04-27,4.02,4.2,4.01,4.01,3025
2006-04-28,4,4.27,3.91,4.16,6000
2006-04-29,3.92,4.4,3.92,4.07,15042
2006-05-02,4.05,4.1,3.96,3.97,31445
2006-05-03,3.96,4.12,3.96,4.09,3161
2006-05-04,4.4,4.4,4.1,4.27,14790
2006-05-05,4.4,5,4.33,4.83,72628
2006-05-08,4.76,5.3,4.48,5.1,54709
2006-05-09,5.1,5.42,5.1,5.33,5799
2006-05-10,5.58,5.58,5.16,5.2,3313
2006-05-11,4.9,5.33,4.26,5.02,3578
2006-05-12,5.1,5.1,4.85,4.89,5795
2006-05-15,4.95,5.15,4.8,4.81,2625
2006-05-16,4.6,5,4.41,4.5,7037
2006-05-17,4.84,5.05,4.73,5,7222
2006-05-18,4.7,4.8,4.21,4.45,10485
2006-05-19,4.42,4.55,4.1,4.39,4546
2006-05-22,4.3,4.77,3.57,3.9,4410
2006-05-23,3.8,4.52,3.66,4.24,4952
2006-05-24,3.81,4.5,3.81,4.4,1197
2006-05-25,4.4,4.4,4.4,4.4,200
2006-05-26,4.24,4.24,4.24,4.24,100
2006-05-29,4.01,4.74,4.01,4.42,4325
2006-05-30,4.58,4.6,4.47,4.47,450
2006-05-31,4.47,4.47,4.06,4.34,3528
2006-06-01,4.45,4.45,3.9,3.9,3200
2006-06-02,3.75,3.99,3.7,3.9,670
2006-06-05,3.98,3.98,3.98,3.98,230
2006-06-06,3.8,3.8,3.55,3.76,750
2006-06-07,3.4,3.7,3.4,3.45,1254
2006-06-08,3.11,3.11,2.77,2.99,5250
2006-06-09,2.52,3.33,2.52,3.17,41064
2006-06-12,2.82,3.19,2.68,2.85,1060
2006-06-13,2.8,3,2.8,2.8,1969
2006-06-14,2.86,3.25,2.76,2.8,3079
2006-06-15,2.85,3.09,2.85,2.91,842
2006-06-16,2.81,3.19,2.81,3.08,1420
2006-06-19,3.16,3.2,2.64,3.2,3654
2006-06-20,3.07,3.07,3.04,3.04,400
2006-06-21,3.11,3.22,3.11,3.21,711
2006-06-22,3.15,3.38,3.15,3.3,2951
2006-06-23,3.3,3.33,3.21,3.33,3625
2006-06-25,3.45,3.45,3.45,3.45,100
2006-06-26,3.8,3.95,3.51,3.62,2505
2006-06-27,3.6,3.6,3.3,3.56,3377
2006-06-28,3.54,3.59,3.41,3.44,4496
2006-06-29,3.43,3.66,3.43,3.53,2420
2006-06-30,3.55,3.65,3.55,3.64,3356
2006-07-03,3.65,3.68,3.06,3.66,3780
2006-07-04,3.78,3.8,3.66,3.78,1360
2006-07-05,3.8,3.82,3.78,3.82,3406
2006-07-06,3.8,3.88,3.64,3.72,11282
2006-07-07,3.85,3.85,3.52,3.56,4480
2006-07-10,3.69,3.69,3.5,3.51,3511
2006-07-11,3.6,3.89,3.53,3.56,2403
2006-07-12,3.56,3.7,3.46,3.6,2400
2006-07-13,3.6,3.79,3.51,3.71,835
2006-07-14,3.6,3.69,3.52,3.59,1350
2006-07-17,3.64,3.64,3.42,3.5,5049
2006-07-18,3.45,3.45,3.42,3.44,880
2006-07-19,3.5,3.5,3.2,3.38,1620
2006-07-20,3.59,3.7,3.25,3.39,6985
2006-07-21,3.22,3.24,3.07,3.07,1700
2006-07-24,3.37,3.37,3,3.01,1225
2006-07-25,3.29,3.29,3.29,3.29,200
2006-07-26,3.29,3.29,3.01,3.1,1462
2006-07-27,3.3,3.3,3.16,3.16,2
2006-07-28,3.47,3.47,2.8,3.12,2954
2006-07-31,3,3.3,3,3.14,1633
2006-08-01,3.14,3.2,2.52,3.04,7061
2006-08-02,3.1,3.2,3.1,3.18,1565
2006-08-03,3.07,3.25,3.07,3.24,400
2006-08-04,3.03,3.27,2.99,3.14,1833
2006-08-07,3.18,3.18,3.03,3.03,333
2006-08-08,3.04,3.6,3.04,3.43,5251
2006-08-09,3.72,3.72,3.13,3.27,19760
2006-08-10,3.2,3.3,3.2,3.3,3533
2006-08-11,3.2,3.49,3.2,3.41,22419
2006-08-14,3.24,3.4,3.24,3.4,2634
2006-08-16,3.4,3.6,3.4,3.59,5533
2006-08-17,3.6,3.7,3.51,3.6,5653
2006-08-18,3.7,4.3,3.4,3.57,14160
2006-08-21,3.7,3.7,3.46,3.47,4129
2006-08-22,3.58,3.59,3.41,3.49,4050
2006-08-23,3.59,3.59,3.42,3.45,1300
2006-08-24,3.36,3.45,3.33,3.37,1845
2006-08-25,3.4,3.5,3.38,3.45,2543
2006-08-28,3.4,3.52,3.4,3.49,2591
2006-08-29,3.5,3.51,3.44,3.48,1533
2006-08-30,3.37,3.42,3.37,3.42,806
2006-08-31,3.47,3.47,3.38,3.38,330
2006-09-01,3.35,3.47,3.34,3.42,1010
2006-09-04,3.35,3.45,3.34,3.36,1294
2006-09-05,3.3,3.41,3.3,3.41,580
2006-09-06,3.38,3.53,3.37,3.38,2160
2006-09-07,3.4,3.49,3.28,3.4,3210
2006-09-08,3.4,3.6,3.4,3.5,3700
2006-09-11,3.46,3.46,3.45,3.45,1285
2006-09-12,3.37,3.42,3.37,3.4,1400
2006-09-13,3.9,3.9,3.4,3.44,3525
2006-09-14,3.42,3.6,3.41,3.44,1363
2006-09-15,3.4,3.55,2.88,3.51,3134
2006-09-18,3.43,3.54,3.4,3.44,5332
2006-09-19,3.58,3.58,3.45,3.45,800
2006-09-20,3.41,3.41,3.41,3.41,1100
2006-09-21,3.5,3.5,3.47,3.47,700
2006-09-22,3.42,3.43,3.42,3.43,380
2006-09-25,3.42,3.47,3.2,3.47,1330
2006-09-26,3.4,3.4,3.33,3.4,860
2006-09-27,3.28,3.44,3.28,3.36,160
2006-09-28,3.49,3.5,3.39,3.46,3
2006-09-29,3.36,3.6,3.36,3.44,6415
2006-10-03,3.37,3.5,3.37,3.48,3005
2006-10-04,3.58,3.6,3.49,3.58,4510
2006-10-05,3.7,4.3,3.6,4.27,47375
2006-10-06,4.37,4.8,4.3,4.49,24386
2006-10-09,4.34,4.39,4.23,4.24,1904
2006-10-10,4.25,4.38,4.12,4.13,2652
2006-10-11,4.2,4.28,3.99,4.06,4425
2006-10-12,4,4.8,4,4.61,13042
2006-10-13,4.67,4.8,4.44,4.6,12333
2006-10-16,4.23,4.68,4.23,4.4,4745
2006-10-17,4.21,4.47,4.21,4.47,2280
2006-10-18,4.21,4.25,4.12,4.18,937
2006-10-19,4.29,4.29,4,4.17,1200
2006-10-20,4.07,4.28,4.01,4.08,1036
2006-10-21,4.1,4.4,4.1,4.31,2100
2006-10-23,4.12,4.45,4.12,4.22,2693
2006-10-26,4.33,4.33,4.33,4.33,1000
2006-10-27,4.11,4.31,4.06,4.18,660
2006-10-30,4.1,4.26,3.96,4.11,2230
