Date,Open,High,Low,Close,Volume
2003-09-05,7.9,7.9,7.25,7.45,3802
2003-09-08,6.55,7.05,6.55,7,1868
2003-09-09,7.1,7.1,6,6.05,14406
2003-10-06,5,5,5,5,1000
2003-10-08,4.75,4.75,4.75,4.75,500
2003-10-10,5.5,5.5,5.5,5.5,200
2003-10-13,5.5,5.55,5.5,5.55,1244
2003-10-16,5.05,5.5,5.05,5.5,1125
2003-10-17,5.5,5.65,5.5,5.5,1157
2003-10-20,5.5,5.5,5.5,5.5,200
2003-10-21,5.5,5.9,5.5,5.9,300
2003-10-22,5.5,5.5,5.5,5.5,214
2003-10-23,5.5,5.5,5.5,5.5,500
2003-10-24,5.5,5.5,5.5,5.5,254
2003-10-29,5.7,5.7,5.7,5.7,100
2003-10-30,5.5,5.5,5.5,5.5,600
2003-10-31,5.5,5.5,5.45,5.45,554
2003-11-04,4.65,4.65,4.65,4.65,903
2003-11-05,4.75,4.75,4.75,4.75,100
2003-11-06,5.65,5.65,5.65,5.65,1000
2003-11-07,6,6,5.9,5.9,254
2003-11-11,6.7,6.9,6.7,6.9,200
2003-11-12,7,7.95,7,7,4101
2003-11-13,7.9,7.9,6.15,7.2,3085
2003-11-14,8,8,6.75,7,826
2003-11-15,8,8,6.15,7,1445
2003-11-17,8.35,8.35,8.35,8.35,1
2003-11-18,9.9,9.9,9.9,9.9,1
2003-11-19,10.5,10.5,7.95,7.95,108
2003-11-20,6.9,6.9,6.9,6.9,54
2003-11-21,6.15,6.15,6.15,6.15,200
2003-11-24,6.4,7,5.65,6.95,1455
2003-11-25,7.4,7.4,6.2,6.3,1108
2003-11-27,7,7,7,7,100
2003-12-01,7,7.85,7,7.3,3208
2003-12-02,7.55,7.6,7.25,7.25,2161
2003-12-03,8,8.5,7.75,8.2,4978
2003-12-04,8.5,9,7.35,8.8,4700
2003-12-05,10.4,10.4,9,9.1,7300
2003-12-08,9,9.2,9,9,3400
2003-12-09,9.65,10.25,9.6,9.8,12249
2003-12-10,9.5,10.25,9.5,10.2,8513
2003-12-11,10.2,10.2,9.5,9.7,4173
2003-12-12,9,10.85,9,10.2,5553
2003-12-15,10.5,10.85,9.5,9.85,5503
2003-12-16,9,9.5,9,9.5,3300
2003-12-17,9.05,9.95,9,9.5,2926
2003-12-18,9.5,9.7,9,9.7,4314
2003-12-19,9.8,9.9,9.6,9.7,2278
2003-12-22,9.05,10.15,9,10.15,5668
2003-12-23,9.5,9.7,8.5,9.45,5400
2003-12-24,8.85,10.5,8.75,10.5,12661
2003-12-26,9.5,10.7,9.5,9.95,1948
2003-12-29,10.4,10.7,10.05,10.45,14200
2003-12-30,10,10.1,9.7,9.7,2181
