Date,Open,High,Low,Close,Volume
2017-11-14,165,165,156.75,156.93,18908
2017-11-15,150.53,159.5,149.1,156,28628
2017-11-16,155,162.5,148.55,160.05,33457
2017-11-17,325,325,305.2,314.25,3836
2017-11-20,310,315,307.15,313.7,8334
2017-11-21,310,315.1,310,311,9948
2017-11-22,310,310,301.5,303.25,2001
2017-11-23,299,304,290.05,304,4822
2017-11-24,300,304.9,300,301.65,7221
2017-11-27,292.85,303,292.85,299.95,10882
2017-11-28,300.05,337.95,300,325.9,35144
2017-11-29,337.65,337.65,317,325,21337
2017-11-30,322.7,325,310,320,13250
2017-12-01,315.1,325,315,319.8,8901
2017-12-04,313.85,313.85,308.45,310,7760
2017-12-05,310,320,306,310.95,5845
2017-12-06,323.4,348.9,320,328,39338
2017-12-07,333,339,320.8,327.6,3420
2017-12-08,335,338,321.05,331.6,6510
2017-12-11,332,344.1,311.1,315.6,9202
2017-12-12,324.95,333,312,323.2,14244
2017-12-13,330,348,325,327.4,8458
2017-12-14,321.15,334.8,305,329.15,49340
2017-12-15,329,333,320,321.8,9559
2017-12-18,316,329.9,304,319.9,2737
2017-12-19,310.2,336.15,310.2,333.1,7212
2017-12-20,333,347.9,326.15,334.35,20964
2017-12-21,328.05,335.9,321.3,324.2,5822
2017-12-22,324,336.5,315,316.1,14436
2017-12-26,320.05,323.7,305,308.05,81171
2017-12-27,308,320,308,309.25,9839
2017-12-28,309.25,319,306,315,59463
2017-12-29,315,327,307.9,321.25,24790
2018-01-01,321.25,327.5,321,321.7,3675
2018-01-02,321.7,321.75,305.7,312.1,13220
2018-01-03,312.1,319.9,308.5,311.1,5021
2018-01-04,311,320,308.5,310.05,14643
2018-01-05,310,330,310,326,23190
2018-01-08,324.95,330,316.2,324.9,10316
2018-01-09,322.05,338.9,322,335.95,69814
2018-01-10,338.9,366,333,349.15,60752
2018-01-11,350,374.4,350,362.5,35144
2018-01-12,369.9,369.9,339.5,348.3,20962
2018-01-15,342,348.3,338.5,340.05,47671
2018-01-16,340.05,345,317.2,323.2,29576
2018-01-17,315,328,315,324.8,24607
2018-01-18,324.75,337,311,313.1,11815
2018-01-19,313,323,310.65,317.85,8080
2018-01-22,310.45,325,310.45,313.5,12610
2018-01-23,313.45,325,313.45,319.5,9229
2018-01-24,315,316.75,311.85,313,11176
2018-01-25,312.15,317,303,304.8,21634
2018-01-29,305,310.1,292,295.8,19523
2018-01-30,296,301.5,286,289.7,30437
2018-01-31,297,297,280.05,282.65,51429
2018-02-01,286,293.5,283,285.95,6677
2018-02-02,293.4,293.4,272.7,282.85,10993
2018-02-05,263.25,283.6,263,282.55,7453
2018-02-06,278.65,286,263.25,280.75,4162
2018-02-07,287.45,294,283,289.85,6442
2018-02-08,295.85,304.7,290.25,298.55,3555
2018-02-09,298.8,302.9,290,298.45,3062
2018-02-12,285.05,302.65,271.6,295.5,5606
2018-02-14,296,302,293.5,297.3,9403
2018-02-15,293.7,304.5,286,287.35,22655
2018-02-16,298.6,298.6,282.2,286.4,12664
2018-02-19,288,288,275.55,279.95,3718
2018-02-20,280,280,271.65,275.1,5001
2018-02-21,280,280,268,272.8,3169
2018-02-22,279.8,279.8,268.7,271.65,9298
2018-02-23,280,288,268.6,280.85,3076
2018-02-26,290,291,280,281.5,2272
2018-02-27,292.6,292.6,279,280,57261
2018-02-28,284.75,286,280.05,284,1195
2018-03-01,284.95,284.95,280,280.2,3528
2018-03-05,289.9,299.3,270.5,280,42051
2018-03-06,285,285,274,275.55,33852
2018-03-07,284.4,284.4,263,267.2,44333
2018-03-08,263.55,280,263.55,274.75,37888
2018-03-09,276.7,276.7,266,266.05,3951
