Date,Open,High,Low,Close,Volume
2005-01-14,53.54,62,46.8,52.57,5092000
2005-01-17,53.33,53.59,48.81,49.46,954607
2005-01-18,49.66,51.16,46.82,49.02,1355176
2005-01-19,49.07,49.85,47.48,47.83,551167
2005-01-20,47.6,47.85,45.91,46.23,230776
2005-01-24,46.23,46.68,44.77,45.01,131944
2005-01-25,45.2,45.33,44.48,44.79,118210
2005-01-27,45.23,46.91,45.2,45.56,142694
2005-01-28,45.77,48.27,45.6,47.73,342747
2005-01-31,48.13,48.19,45.89,46.59,174063
2005-02-01,46.93,47.95,46.07,47.32,190652
2005-02-02,47.53,47.73,46.67,46.93,62412
2005-02-03,46.68,47.59,46.35,46.87,70338
2005-02-04,47.28,47.28,45.62,45.98,58309
2005-02-07,46.52,47.57,45.33,45.53,44937
2005-02-08,45.67,45.92,44.68,45.01,58904
2005-02-09,45.59,45.72,44.67,45.05,115852
2005-02-10,45.52,45.52,43.87,44.05,78855
2005-02-11,44.2,45,43.63,44.06,51764
2005-02-14,44.28,46.07,43.33,45.67,178778
2005-02-15,45.87,46.6,44.85,45.78,112568
2005-02-16,45.87,45.87,44.67,45.01,40260
2005-02-17,44.85,45,44.28,44.76,19165
2005-02-18,44.93,45.27,44,44.09,17122
2005-02-21,44.93,44.93,43.93,44.01,62162
2005-02-22,43.87,44.36,43.49,43.69,36865
2005-02-23,43.47,44.12,43.33,43.46,43314
2005-02-24,43.59,44,43.1,43.25,29392
2005-02-25,43.35,43.47,42,42.16,30909
2005-02-28,41.33,42.4,40.69,40.96,51938
2005-03-01,40.27,41.97,39.6,39.82,40140
2005-03-02,39.88,42,39.88,40.89,76602
2005-03-03,41.17,44,40.85,43.82,112904
2005-03-04,44.4,44.63,42.47,42.87,55932
2005-03-07,42.87,43.2,42.59,42.87,29687
2005-03-08,42.86,43.57,41.47,41.65,26853
2005-03-09,43.73,43.73,40.81,41.13,24293
2005-03-10,41.27,41.65,40.68,41.19,23517
2005-03-11,41.61,41.61,40.4,40.63,26800
2005-03-14,41.44,41.44,40,40.19,20187
2005-03-15,40.76,40.8,39.65,39.93,31177
2005-03-16,40.39,41.2,39.6,39.77,16062
2005-03-17,40,40.24,38.85,39.21,25735
2005-03-18,39.55,39.57,38.23,38.41,20122
2005-03-21,38.27,39.2,37.34,37.61,33619
2005-03-22,38.27,38.27,35.8,36.26,29670
2005-03-23,36.77,37.59,36,36.07,36011
2005-03-24,36.28,37.18,36.05,36.85,28977
2005-03-28,37.2,37.67,36.67,37.22,23078
2005-03-29,36.8,37.04,35.87,36.56,24345
