Date,Open,High,Low,Close,Volume
2024-09-27,290.75,331.8,281.5,292.6,119164
2024-09-30,302,320,282.05,294.35,86663
2024-10-01,294.5,309.65,294.5,305.65,19878
2024-10-03,304.8,311.45,286.5,289.55,56684
2024-10-04,292.7,299.6,281,282.85,13410
2024-10-07,278.5,289.7,270,270.45,12386
2024-10-08,271.05,277.7,263.25,267.1,3171
2024-10-09,274.45,276.95,259.3,262.15,9277
2024-10-10,274.4,274.4,259.4,264.9,4043
2024-10-11,257.25,269.4,253.65,265.3,3386
2024-10-14,259.95,286,259.95,269.55,12731
2024-10-15,281.4,281.65,265.3,266.4,9739
2024-10-16,267.75,271.8,260,261.15,3119
2024-10-17,273.4,273.5,252,259.2,1689
2024-10-18,257.05,268.3,250,254.85,2583
2024-10-21,254.25,267.4,253.8,260.25,2808
2024-10-22,261.6,263.95,222,255.45,15051
2024-10-23,248.4,249,227.8,233.55,6549
2024-10-24,229.05,239,224.9,229.1,7543
2024-10-25,234.95,237.95,225.05,227.25,8248
2024-10-28,249,249,228,236.2,26189
2024-10-29,238,249,236.05,244.3,7586
2024-10-30,288.9,288.9,255,260.85,54060
2024-10-31,271,278,265.2,267.8,6906
2024-11-01,275,281.2,262.55,273.35,3118
2024-11-04,267.15,270,250,254.35,11270
2024-11-05,263.4,270.85,241,248.3,7751
2024-11-06,252.55,257.4,243.7,251.9,3956
2024-11-07,253,254.8,244.4,246.35,3803
2024-11-08,248.75,254.4,238.85,247.8,1697
2024-11-11,250,254.75,240.2,242.8,33794
2024-11-12,243.25,249.6,231,233.75,1671
2024-11-13,238.45,239.95,225.5,230.75,2345
2024-11-14,234.7,273,234.7,253.35,19157
2024-11-18,258.95,258.95,243,250.05,3781
2024-11-19,257.45,258.95,249.1,251.65,2833
2024-11-21,252.45,258.7,242.3,246.65,4401
2024-11-22,242,253.8,241,251.1,25110
2024-11-25,260,266.15,251.1,256.2,2354
2024-11-26,251.75,258,241.1,255.65,29204
2024-11-27,260.8,262.4,255.05,258.05,1423
2024-11-28,262.45,264.4,253,258.55,1761
2024-11-29,259.05,263,256.1,259.45,22673
2024-12-02,263.5,311.3,262.8,308.8,129114
2024-12-03,323,324.65,301.15,312,54232
2024-12-04,308.6,310.05,293,295.6,26080
2024-12-05,293,299.5,280,282.35,25479
2024-12-06,285,285,276.5,282.5,5129
2024-12-09,289.95,339,288.4,339,280512
2024-12-10,359.95,388.4,347.5,367.5,448711
2024-12-11,366.45,386,342.55,376.1,154473
2024-12-12,374.95,374.95,354,355.9,33548
2024-12-13,346,375.6,343.15,362.8,54202
2024-12-16,369,371,345.2,350.45,14003
2024-12-17,359.75,359.75,335.2,338.4,25829
2024-12-18,347.4,354.95,327.65,343.5,26138
2024-12-19,333.5,342,321,335.15,27615
2024-12-20,333.85,334.05,307,313.05,23949
2024-12-23,328.8,328.8,276,288.55,35994
2024-12-24,289.95,293.9,265.1,273.4,32395
2024-12-26,271.4,328.05,271.4,328.05,182476
2024-12-27,354.8,375,335,340.55,219368
2024-12-30,342.7,350,309.15,311.45,35805
2024-12-31,296,324,295.9,314.9,13304
2025-01-01,314,314,299.15,299.15,9380
