Date,Open,High,Low,Close,Volume
2024-02-23,135,141.75,135,141.75,667200
2024-02-26,148.83,148.83,135.25,138.9,369000
2024-02-27,135,137.2,131.98,134.83,151200
2024-02-28,133,138.9,133,134.85,91200
2024-02-29,135,137.5,131.5,134.98,56400
2024-03-01,135,141.43,130,138.05,48600
2024-03-02,138,138,133,134.23,26400
2024-03-04,132.5,137.5,132.5,133.55,21600
2024-03-05,127.5,133.55,126.88,127,109200
2024-03-06,127,131.9,120.65,127.98,92400
2024-03-07,130,134.35,129.5,132.9,27000
2024-03-11,125.5,132,125.5,131.2,39000
2024-03-12,122,126.5,116,121.28,65400
2024-03-13,112,117.5,108,113.83,39600
2024-03-14,105,125,105,124.13,72000
2024-03-15,130,131,118.28,129.25,22800
2024-03-18,132,132.5,132,132.5,3000
2024-03-19,129,132.5,129,130,4200
2024-03-20,132,132,131.5,131.5,1200
2024-03-21,131.98,133.5,129.5,130.5,9600
2024-03-22,130,130,129,129,1200
2024-03-26,125,128,124,124,6000
2024-03-27,125.5,125.5,122,122.33,15600
2024-03-28,124,136,124,133.15,23400
2024-04-01,136.48,136.5,133.98,135.43,10800
2024-04-02,136.5,136.95,134,135.28,19800
2024-04-03,136,136.53,136,136.18,1800
2024-04-04,141.9,142.48,135.5,139.83,19200
2024-04-05,144.5,150,135.13,140.03,48000
2024-04-08,142,145.98,142,145.98,2400
2024-04-09,145,145.5,143,143,7200
2024-04-10,145,145.45,144,145.45,5400
2024-04-12,145,145,142.5,142.75,7200
2024-04-15,143,143,138.75,138.75,7200
2024-04-16,147.5,147.5,145,145.98,14400
2024-04-18,147.5,157.5,147.5,149.68,22800
2024-04-19,149.65,152,149.65,152,3600
2024-04-22,152.75,152.75,150,151.5,5400
2024-04-23,151.75,151.88,149.5,151.5,4800
2024-04-24,154.55,154.55,152,152.5,2400
2024-04-25,155,155,153,154.5,3600
2024-04-26,153,153,150.63,150.63,2400
2024-04-29,150.75,150.75,148.5,148.83,10800
2024-04-30,150.03,150.03,147.5,147.75,8400
2024-05-02,150.03,150.03,136.13,146.05,10800
2024-05-03,142.5,144.5,142.5,143.75,3000
2024-05-06,142.53,142.53,138.5,138.5,5400
2024-05-07,142.5,149.75,140,140,4800
2024-05-08,142.48,142.48,142,142,1200
2024-05-09,142.5,142.5,141,141.2,3600
2024-05-10,143,143,141.5,141.5,2400
2024-05-13,142.5,142.5,140.5,141.5,3600
2024-05-14,142,142,140.03,140.03,3600
2024-05-17,140,140,135.53,135.53,2400
2024-05-18,142,142.3,142,142.3,1800
2024-05-21,146.98,147,142,142,3600
2024-05-22,137.5,138.5,137.5,138.5,1200
2024-05-24,136.03,139,132.53,132.53,93600
2024-05-27,132.5,132.5,132,132,1200
2024-05-28,132,135,131,131,3000
2024-05-29,130,137.45,130,133,7800
2024-05-31,133,134.5,133,134.5,2400
