Date,Open,High,Low,Close,Volume
2025-05-20,100.8,104.85,100.2,103.5,348000
2025-05-21,105,107,101,102.8,51600
2025-05-22,102.5,102.8,100.05,100.5,27600
2025-05-23,100.75,102,100.4,101.5,20400
2025-05-26,100.3,101.5,100,100.5,26400
2025-05-27,100.5,100.55,100.5,100.55,13200
2025-05-28,100.5,101,100.5,100.5,18000
2025-05-29,101,101,100.5,100.6,8400
2025-05-30,100.6,103,100.5,100.6,7200
2025-06-02,101,104.3,101,104.25,22800
2025-06-03,101.05,104.95,101.05,102.1,22800
2025-06-04,101.6,101.6,101.55,101.55,2400
2025-06-05,102,102,101.5,101.6,13200
2025-06-06,102,102,101.05,101.05,3600
2025-06-09,102.9,102.9,101.5,101.55,6000
2025-06-10,102,103,101.9,101.9,9600
2025-06-11,102,104.25,101.9,101.9,4800
2025-06-12,104.25,104.25,101.9,102.2,14400
2025-06-13,101.25,102,101.25,102,2400
2025-06-16,102,102,101,101.95,4800
2025-06-17,101.95,102,101.95,102,26400
2025-06-18,102,104,100.5,103.5,46800
2025-06-19,102,104,102,102.5,6000
2025-06-20,101.05,103.5,101.05,103,4800
2025-06-25,101.1,102.9,101.05,101.05,4800
2025-06-26,101.1,101.1,101.1,101.1,2400
2025-06-27,110.1,110.1,101.1,101.1,7200
2025-06-30,101.2,101.2,101.05,101.05,2400
2025-07-01,101.05,101.1,101,101,6000
2025-07-02,101.05,101.05,101.05,101.05,2400
2025-07-03,101.05,101.05,101.05,101.05,1200
2025-07-04,101.05,101.05,101.05,101.05,1200
2025-07-07,101.05,101.05,101.05,101.05,2400
2025-07-08,101.05,101.05,101.05,101.05,2400
2025-07-09,101.1,101.1,101.05,101.05,2400
2025-07-10,81.7,104.9,81.7,104.9,7200
2025-07-11,102.9,102.9,101,101.95,2400
2025-07-14,101,101,101,101,2400
2025-07-15,101,101,100.5,100.5,3600
2025-07-17,101,101,101,101,1200
2025-07-22,100.5,100.5,100.5,100.5,2400
2025-07-23,100.5,100.5,100.5,100.5,1200
2025-07-25,100.5,100.5,100.5,100.5,2400
2025-07-28,100,100.5,100,100.5,4800
2025-07-29,102.95,102.95,102.95,102.95,1200
2025-07-30,100.5,100.5,100.5,100.5,6000
2025-07-31,100.05,100.05,100.05,100.05,1200
2025-08-04,100.05,100.05,100.05,100.05,2400
2025-08-05,100.05,100.05,100.05,100.05,7200
2025-08-06,100.05,100.05,100.05,100.05,1200
2025-08-11,100.05,100.05,100,100,13200
2025-08-12,100.5,100.5,100.5,100.5,1200
2025-08-13,101,101,100.05,100.05,2400
2025-08-18,100.05,100.05,100.05,100.05,1200
2025-08-19,100.05,100.05,100.05,100.05,1200
2025-08-20,100.05,100.05,100.05,100.05,1200
2025-08-21,104.95,104.95,104.95,104.95,1200
2025-08-22,102,102,102,102,24000
2025-08-26,104.95,104.95,100.05,100.05,4800
2025-08-29,100.05,102.75,100.05,102.75,4800
2025-09-01,102.6,102.6,102.6,102.6,1200
2025-09-03,102.6,102.6,102.6,102.6,1200
2025-09-04,100.05,100.05,100.05,100.05,2400
2025-09-08,100.05,100.05,100.05,100.05,1200
2025-09-12,101,101,100.5,100.5,2400
2025-09-15,100.05,100.6,100.05,100.6,3600
2025-09-16,100.25,100.25,100.25,100.25,1200
2025-09-17,100.25,100.25,100.25,100.25,2400
2025-09-18,100.5,100.5,100.5,100.5,50400
2025-09-19,100.5,100.95,100.45,100.95,12000
2025-09-22,100.95,102.2,100.95,102.2,2400
2025-09-23,101,101,100.5,100.5,3600
2025-09-24,102.5,102.5,100.3,100.3,4800
2025-09-26,100.1,101,100.05,100.05,70800
2025-09-30,101,101,101,101,72000
2025-10-01,100.3,100.3,100.25,100.25,3600
2025-10-03,100.25,100.25,100.25,100.25,1200
2025-10-06,103.95,103.95,103.95,103.95,1200
2025-10-07,103.95,103.95,103.95,103.95,1200
2025-10-08,102.95,102.95,102.95,102.95,1200
2025-10-14,102.95,102.95,102.95,102.95,2400
2025-10-15,100.5,100.5,100.5,100.5,1200
2025-10-16,100.55,100.55,100.55,100.55,3600
2025-10-21,104.4,104.4,104.4,104.4,1200
2025-10-23,100.6,100.65,100.6,100.6,6000
2025-10-24,101,101,100.55,100.55,2400
2025-10-27,100.5,100.5,100.25,100.25,2400
2025-10-28,100.6,100.6,100.6,100.6,1200
2025-10-30,100.25,100.25,100.25,100.25,1200
2025-11-06,100.25,100.25,100.25,100.25,2400
2025-11-07,100.25,100.25,100.1,100.1,2400
2025-11-10,100.1,100.1,100.1,100.1,3600
2025-11-11,100.1,100.1,100.1,100.1,1200
2025-11-18,102.5,102.5,100.55,100.55,2400
2025-11-19,100.55,100.8,100.55,100.8,6000
2025-11-24,103.5,120.95,103.5,120.95,40800
2025-11-25,121,145.1,113,143.65,84000
2025-11-26,139.7,143,135,139,10800
2025-11-27,131.15,131.15,130.5,130.5,2400
2025-11-28,128.3,128.3,124,127.55,8400
2025-12-01,126,128,121.5,127.8,14400
2025-12-03,127.5,127.5,127.5,127.5,1200
2025-12-04,130,131,130,131,2400
2025-12-08,132.3,132.3,132.3,132.3,1200
2025-12-09,135,135,132,133.5,3600
2025-12-10,133.2,135,129,135,7200
2025-12-11,137,137,137,137,1200
2025-12-12,139,139,139,139,1200
2025-12-15,140,140,140,140,1200
2025-12-18,141,141,141,141,1200
2025-12-19,138,138,138,138,1200
2025-12-22,136,136,136,136,1200
2025-12-23,136.35,136.35,134,134,4800
2025-12-26,132.1,132.1,132.1,132.1,1200
2025-12-29,130.1,130.1,130.1,130.1,1200
2025-12-30,130.1,130.1,130,130,3600
2025-12-31,132,132,132,132,1200
2026-01-02,136.75,136.75,136.75,136.75,1200
2026-01-08,135.1,135.1,135.1,135.1,1200
2026-01-12,135,135,134.85,134.85,3600
2026-01-13,130.25,130.25,130,130,4800
2026-01-22,128,128,127.5,127.5,3600
2026-02-06,130,130,130,130,1200
2026-02-11,127.5,127.5,127.5,127.5,1200
2026-02-13,0,0,0,127.5,0
