Date,Open,High,Low,Close,Volume
2018-10-23,2.51,2.54,2.43,2.46,35200
2018-10-24,2.46,2.46,2.46,2.46,3200
2018-10-26,2.34,2.43,2.33,2.43,12800
2018-11-02,2.49,2.49,2.49,2.49,1600
2018-11-16,2.32,2.32,2.32,2.32,1600
2018-11-26,2.46,2.46,2.46,2.46,3200
2018-11-27,2.47,2.47,2.46,2.46,4800
2018-11-29,2.46,2.46,2.46,2.46,3200
2018-12-05,2.4,2.4,2.4,2.4,1600
2018-12-06,2.46,2.54,2.46,2.53,28800
2019-01-03,2.59,2.59,2.59,2.59,1600
2019-01-04,2.62,2.76,2.62,2.76,3200
2019-01-08,2.5,2.53,2.5,2.53,8000
2019-01-09,2.5,2.73,2.5,2.73,17600
2019-01-10,2.73,2.92,2.7,2.8,8000
2019-01-16,2.65,2.65,2.65,2.65,1600
2019-01-30,2.49,2.76,2.49,2.76,38400
2019-01-31,2.76,2.76,2.49,2.73,4800
2019-02-04,2.65,2.92,2.65,2.88,33600
2019-02-05,2.89,3.11,2.89,3.05,6400
2019-02-08,2.98,3.3,2.98,3.28,6400
2019-02-12,3.28,3.55,3.28,3.48,6400
2019-02-15,3.22,3.22,3.22,3.22,1600
2019-02-20,3.2,3.83,3.2,3.75,17600
2019-02-21,3.69,3.69,3.69,3.69,1600
2019-02-28,3.69,3.69,3.69,3.69,3200
2019-03-06,3.91,3.91,3.91,3.91,1600
2019-03-07,3.91,3.91,3.91,3.91,1600
2019-03-08,3.82,3.82,3.82,3.82,422400
2019-03-12,3.85,3.85,3.85,3.85,1600
2019-03-20,3.95,3.95,3.95,3.95,24000
2019-03-25,3.58,3.58,3.58,3.58,1600
2019-03-27,3.85,3.85,3.85,3.85,1600
2019-03-29,3.63,3.63,3.63,3.63,1600
2019-04-01,3.96,3.96,3.96,3.96,1600
2019-04-11,3.77,3.85,3.77,3.81,4800
2019-05-03,3.58,3.58,3.58,3.58,1600
2019-05-15,3.44,3.44,3.44,3.44,1600
2019-08-01,3.3,3.3,3.3,3.3,1600
2019-08-07,3.28,3.28,3.28,3.28,9600
2019-08-19,3.3,3.31,3.3,3.31,6400
2019-08-22,3.33,3.34,3.33,3.34,6400
2019-08-27,3.34,3.34,3.33,3.33,217600
2019-09-04,3.33,3.33,3.33,3.33,1600
2019-10-09,3.3,3.3,3.3,3.3,3200
2019-11-19,3.14,3.14,3.14,3.14,1600
2019-12-23,3.14,3.14,3.14,3.14,9600
2019-12-27,2.95,2.95,2.95,2.95,1600
2020-01-06,3.06,3.06,3.06,3.06,3200
2020-01-22,3.28,3.28,3.28,3.28,16000
2020-01-23,3.55,3.55,3.55,3.55,1600
2020-01-30,3.5,3.5,3.5,3.5,1600
2020-02-05,3.52,3.63,3.52,3.63,6400
2020-02-06,3.66,3.74,3.66,3.74,6400
2020-02-07,3.77,3.78,3.75,3.78,6400
2020-02-10,3.71,3.74,3.71,3.74,6400
2020-02-11,3.77,3.84,3.77,3.84,6400
2020-02-12,3.88,3.96,3.88,3.96,6400
2020-02-13,4,4.08,4,4.04,8000
2020-02-14,4.07,4.16,4.07,4.16,6400
2020-02-17,4.21,4.28,4.18,4.18,12800
2020-02-18,4.23,4.37,4.23,4.37,17600
2020-02-19,4.42,4.51,4.42,4.5,8000
2020-02-20,4.53,4.72,4.53,4.64,14400
2020-02-24,4.7,4.74,4.61,4.61,8000
2020-02-25,4.62,4.75,4.62,4.75,6400
2020-02-26,4.75,4.75,4.72,4.74,8000
