Date,Open,High,Low,Close,Volume
2025-09-25,284.95,298.35,274.05,281.85,8220100
2025-09-26,280,292.6,274,277.15,1748977
2025-09-29,280,290,280,285.6,1103541
2025-09-30,290,301.95,273.65,279,1373906
2025-10-01,276.1,286.8,276.1,284.15,439757
2025-10-03,282.3,295.95,282.3,294.25,783870
2025-10-06,295.5,300,284,289.7,734030
2025-10-07,292,305.45,282.2,285.05,2771969
2025-10-08,287.95,300,284.45,295.75,1011194
2025-10-09,294.75,300.9,289,292.25,501785
2025-10-10,292.3,303.6,292.3,297.95,1266762
2025-10-13,295,302,290,300.3,627040
2025-10-14,300.05,304.75,285,286.5,946361
2025-10-15,287.95,292.35,283.6,289.1,497814
2025-10-16,293,295.4,282.55,284.35,415068
2025-10-17,272.1,281.6,269.45,275.95,674877
2025-10-20,278.6,282,272.35,274.1,622825
2025-10-21,274.1,278.35,274,275.2,37671
2025-10-23,274.05,277,268,269,382596
2025-10-24,272.5,272.5,257,260.1,224451
2025-10-27,258.85,263.6,250.7,251.85,586181
2025-10-28,255,261.5,252.3,259.55,681589
2025-10-29,259.1,269.8,257,268.3,529867
2025-10-30,270,289.9,266.4,287.15,815851
2025-10-31,287.15,291.2,282.5,285.95,268106
2025-11-03,284,286.6,279,282.4,219934
2025-11-04,280.2,285.25,278,281.45,186001
2025-11-06,277.5,290.1,274.65,286.4,399742
2025-11-07,285.55,296.65,282.4,294.3,507090
2025-11-10,298.75,298.75,288,290.85,477282
2025-11-11,296.05,301,290,296.8,702147
2025-11-12,307.95,329.2,303.1,319.85,5283530
2025-11-13,320,333.8,316.3,326.8,1426239
2025-11-14,321,324.35,309.65,312.4,571128
2025-11-17,310.1,324.1,305.7,322.95,794956
2025-11-18,322,331.75,313.2,322.4,725864
2025-11-19,324,329.8,317,323.6,417989
2025-11-20,325,340,310.85,318.9,1479644
2025-11-21,318.9,320.4,306.45,312,354788
2025-11-24,310.95,315.8,292,299.35,590212
2025-11-25,301.7,313,301.45,307.8,235828
2025-11-26,308,317,308,311.15,219264
2025-11-27,311.15,313.75,303.1,305.75,226058
2025-11-28,304,305.7,298.2,300.7,402970
2025-12-01,303,308.25,293,298.05,341776
2025-12-02,297,298.3,289.6,293.55,366999
2025-12-03,293.5,296.2,284.8,288.4,479597
2025-12-04,286.15,294,286.15,291.8,227477
2025-12-05,293.8,305,292.1,300.65,473235
2025-12-08,296.75,298.15,281.4,283.95,431851
2025-12-09,284,293.2,272.9,289.75,292379
2025-12-10,289.75,291.75,278.8,284.5,162676
2025-12-11,284.5,290.25,277.6,288.45,171433
2025-12-12,286.3,293.85,283.15,285.05,110735
2025-12-15,283.8,290.55,281.1,288.85,78249
2025-12-16,288.05,294.15,280,292.85,111321
2025-12-17,292.85,295,282.4,283.95,157756
2025-12-18,283.95,283.95,267.6,269.25,222016
2025-12-19,271.95,274.75,266.45,269.1,117127
2025-12-22,269.95,278.55,269.4,276.8,94759
2025-12-23,275,279.15,265.55,276.15,75818
2025-12-24,275,280.75,272.3,277.85,133772
2025-12-26,275.2,275.95,269.8,272.7,72586
2025-12-29,270,271,264.05,265.8,67148
2025-12-30,265,268,260.4,263.85,33706
2025-12-31,263.85,285.5,263.85,280.35,302738
2026-01-01,282.6,293.9,277.25,280.65,332257
2026-01-02,281.05,281.05,266.6,270.65,134647
2026-01-05,273.85,278.1,267.9,269.25,214734
2026-01-06,269,273,265,267.7,222239
2026-01-07,265.5,277.65,265.5,269,119739
2026-01-08,269,271.15,259.9,260.85,94301
2026-01-09,257,263.8,252,253.15,141805
2026-01-12,254.8,255,240,249.25,259022
2026-01-13,248,255.85,246.15,248.6,131627
2026-01-14,248.6,254,248.25,251.25,106620
2026-01-16,250.95,251.8,245.2,246.65,67298
2026-01-19,245.4,250.6,241.55,247.75,115429
2026-01-20,245.4,245.8,232.35,234.3,192031
2026-01-21,230,237.5,222.5,224.15,220275
2026-01-22,225.95,235.65,225.95,234.55,145130
2026-01-23,233,234.7,223.5,225.4,131405
2026-01-27,225.4,232,219.3,224.25,182815
2026-01-28,224.05,235.7,224.05,232.65,180420
2026-01-29,232.65,240,225.55,236.65,145260
2026-01-30,235.5,247.95,231.3,241.05,121739
2026-02-01,240,250.65,240,246.24,60971
2026-02-02,244.87,247.71,229.35,241.01,48827
2026-02-03,251,256.5,246.65,253.7,93760
2026-02-04,251.95,259.9,245,250.72,93055
2026-02-05,218.73,234.8,213.98,229.8,1853126
2026-02-06,229.95,236.4,225,235.08,431891
2026-02-09,235.08,242.88,227.95,237.34,305277
2026-02-10,237.73,254.85,237.66,248.45,252582
2026-02-11,248,252.59,244.2,246.57,75068
2026-02-13,247,250.59,241.61,247.1,145313
