Date,Open,High,Low,Close,Volume
2016-10-10,11.62,11.62,10.72,11.62,172000
2016-10-13,13.62,13.93,13.05,13.92,148000
2016-10-14,13.14,14.24,12.97,13.83,32000
2016-10-17,13.66,13.83,13.57,13.66,20000
2016-10-18,13.31,13.57,13.31,13.57,12000
2016-10-19,13.4,13.4,11.44,11.65,20000
2016-10-20,12.59,12.59,11.44,11.44,64000
2016-10-21,11.58,11.63,11.58,11.58,40000
2016-10-24,12.01,12.01,12.01,12.01,8000
2016-10-25,12.64,12.64,12.45,12.45,8000
2016-10-26,12.62,12.71,12.62,12.71,8000
2016-10-27,12.71,12.71,12.1,12.69,16000
2016-10-28,13.22,13.22,13.22,13.22,4000
2016-10-30,13.36,13.36,13.36,13.36,4000
2016-11-02,13.14,13.14,13.14,13.14,8000
2016-11-04,12.27,13.29,12.27,13.29,12000
2016-11-07,12.1,13.4,12.1,12.72,36000
2016-11-08,13.4,13.48,13.4,13.48,8000
2016-11-09,12.1,12.1,11.76,11.93,12000
2016-11-11,12.76,12.76,12.45,12.45,8000
2016-11-15,12.45,12.45,12.45,12.45,4000
2016-11-22,11.29,11.29,11.29,11.29,4000
2016-11-28,11.41,11.41,11.41,11.41,4000
2016-12-07,12.34,12.34,12.34,12.34,4000
2016-12-08,13.14,13.14,12.97,12.97,8000
2016-12-09,13.21,13.21,12.97,13.21,12000
2016-12-12,13.48,13.48,13.48,13.48,4000
2016-12-13,13.5,14.69,13.5,14.69,24000
2016-12-16,14.18,14.18,14.18,14.18,4000
2016-12-20,14.52,14.52,14.52,14.52,60000
2016-12-21,14.35,14.87,14.18,14.87,28000
2016-12-22,14.87,14.87,14.87,14.87,4000
2016-12-23,14.18,14.52,14.18,14.52,12000
2016-12-26,14.18,14.18,14.18,14.18,8000
2016-12-30,14.42,14.42,14.26,14.42,20000
2017-01-02,14.52,14.52,14.28,14.52,12000
2017-01-03,14.52,14.52,14.52,14.52,4000
2017-01-05,15.61,15.61,15.39,15.61,20000
2017-01-12,16.77,18.67,16.77,18.67,52000
2017-01-13,18.67,18.83,18.67,18.74,8000
2017-01-16,19.02,21.52,19.02,21.12,40000
2017-01-17,20.74,20.74,19.98,19.98,8000
2017-01-18,20.74,20.74,20.74,20.74,16000
2017-01-19,20.33,20.33,20.33,20.33,4000
2017-01-25,20.09,20.09,20.09,20.09,4000
2017-01-27,20.05,20.05,20.05,20.05,4000
2017-01-31,19.71,19.71,19.71,19.71,4000
2017-02-02,19.71,19.71,19.71,19.71,4000
2017-02-07,18.95,18.95,18.79,18.86,8000
2017-02-09,17.56,17.56,15.9,16.73,8000
2017-02-10,16.63,16.63,16.63,16.63,4000
2017-02-15,16.94,16.94,16.94,16.94,8000
2017-02-22,16.25,16.25,16.25,16.25,4000
2017-02-28,15.49,15.49,14.23,14.87,32000
2017-03-03,14.52,14.52,14.52,14.52,4000
2017-03-10,14.69,14.69,14.69,14.69,4000
2017-03-14,14.78,14.78,14.78,14.78,4000
2017-03-15,15.39,15.39,15.39,15.39,4000
2017-03-16,15.56,15.56,15.56,15.56,4000
2017-03-17,15.73,18.64,15.56,15.56,12000
2017-03-20,15.73,15.73,15.73,15.73,4000
2017-03-21,14.52,14.88,14.37,14.88,12000
2017-03-22,15.56,15.56,15.56,15.56,4000
2017-03-23,14.52,14.52,14.52,14.52,4000
2017-03-24,15.66,15.66,15.66,15.66,4000
2017-03-27,15.73,17.11,15.73,16.56,12000
2017-03-28,16.94,16.94,16.94,16.94,4000
2017-03-29,16.42,19.69,16.42,19.69,8000
2017-03-30,19.67,19.67,19.67,19.67,4000
2017-03-31,19.41,19.41,19.41,19.41,4000
2017-04-03,21.07,21.07,21.07,21.07,4000
2017-04-05,20.74,20.74,19.22,19.22,8000
2017-04-06,19.36,19.36,19.15,19.15,8000
2017-04-07,19.29,19.29,19.29,19.29,4000
2017-04-10,19.36,19.36,19.36,19.36,4000
2017-04-11,19.43,19.43,19.43,19.43,4000
2017-04-12,20.23,20.23,20.23,20.23,4000
2017-04-13,19.45,19.45,19.45,19.45,4000
2017-04-17,20.61,20.61,20.61,20.61,4000
2017-04-18,20.74,20.74,20.74,20.74,4000
2017-04-19,20.57,20.57,20.57,20.57,4000
2017-04-20,20.54,20.54,20.54,20.54,4000
2017-04-21,20.71,20.71,20.71,20.71,4000
2017-04-24,20.73,20.73,20.73,20.73,4000
2017-04-26,19.36,19.36,19.36,19.36,4000
2017-04-27,20.02,20.02,20.02,20.02,4000
2017-05-02,20.19,20.19,20.19,20.19,4000
2017-05-03,20.19,20.19,20.19,20.19,4000
2017-05-04,19.28,19.28,19.28,19.28,4000
2017-05-05,20.43,20.43,20.43,20.43,4000
2017-05-08,18.98,18.98,18.98,18.98,4000
2017-05-11,19.53,19.6,19.53,19.6,8000
2017-05-12,20.04,20.74,20.04,20.36,16000
2017-05-16,19.79,20.04,16.61,20.04,12000
2017-05-17,20.04,20.04,20.04,20.04,4000
2017-05-18,20.5,20.54,20.43,20.43,16000
2017-05-19,20.4,20.4,20.4,20.4,4000
2017-05-22,20.74,21.95,19.71,21.95,24000
2017-05-23,20.74,20.74,20.05,20.05,4000
2017-05-24,20.16,20.16,20.16,20.16,2000
2017-05-25,20.4,21.09,20.4,20.78,24000
2017-05-26,21.06,21.09,21.06,21.09,4000
2017-05-29,20.74,20.74,20.4,20.4,4000
2017-05-30,20.71,20.71,20.71,20.71,2000
2017-05-31,16.58,20.14,16.58,18.98,12000
2017-06-02,19.67,19.67,18.03,18.03,4000
2017-06-05,18.67,18.67,18.67,18.67,4000
2017-06-07,19.67,19.67,19.67,19.67,2000
2017-06-13,18.98,18.98,17.82,17.82,4000
2017-06-14,19.33,19.33,19.33,19.33,2000
2017-06-15,19.33,19.33,19.33,19.33,2000
2017-06-16,19.34,19.36,19.34,19.36,4000
2017-06-20,19.34,19.34,19.34,19.34,2000
2017-06-21,19.34,19.34,19.34,19.34,2000
2017-06-23,19.34,19.34,19.34,19.34,2000
2017-06-27,18.84,18.84,18.84,18.84,2000
2017-06-28,18.67,19.22,18.67,19.22,4000
2017-06-29,19.33,19.38,19.33,19.38,4000
2017-06-30,18.48,18.48,17.94,17.94,6000
2017-07-03,18.98,18.98,18.98,18.98,2000
2017-07-04,19.98,19.98,19.98,19.98,2000
2017-07-05,20.05,20.05,20.05,20.05,2000
2017-07-06,19.02,19.02,19.02,19.02,2000
2017-07-07,19.57,19.57,19.57,19.57,2000
2017-07-10,18.1,19.69,18.1,19.69,6000
2017-07-11,20.02,20.02,20.02,20.02,2000
2017-07-12,18.15,18.15,18.15,18.15,2000
2017-07-13,18.67,18.67,18.67,18.67,4000
2017-07-14,18.83,18.83,18.83,18.83,2000
2017-07-17,17.87,17.87,17.87,17.87,2000
2017-07-18,17.32,17.32,17.32,17.32,2000
2017-07-19,17.63,19.36,17.63,18.32,34000
2017-07-20,19.29,19.29,19.29,19.29,2000
2017-07-21,18.32,18.67,17.98,18.67,8000
2017-07-25,19.19,19.19,19.19,19.19,2000
2017-07-26,19.02,19.02,19.02,19.02,4000
2017-07-28,19.33,19.33,19.33,19.33,2000
2017-08-08,17.63,18.15,16.6,17.34,8000
2017-08-09,18.08,18.08,18.08,18.08,2000
2017-08-16,17.29,17.29,17.29,17.29,2000
2017-08-17,17.81,19.02,17.81,18.08,26000
2017-09-01,18.67,18.67,18.67,18.67,2000
