Date,Open,High,Low,Close,Volume
2017-05-31,42.25,43,40.55,41.95,339000
2017-06-01,41.5,42,40.5,40.55,168000
2017-06-02,40.1,40.1,37.5,38.15,210000
2017-06-05,39,40.7,38.45,38.85,795000
2017-06-06,39.7,40.5,39,39.85,147000
2017-06-07,40.35,40.35,38.05,38.2,27000
2017-06-08,38.05,38.05,38,38,9000
2017-06-09,37,37.3,36.9,37.3,15000
2017-06-12,37.95,37.95,36.15,36.15,12000
2017-06-13,36.9,37,35,36.85,42000
2017-06-15,37,37,37,37,3000
2017-06-16,37.05,38.5,37.05,38,66000
2017-06-19,37,38.85,37,38.85,6000
2017-06-20,38.9,38.9,36.25,36.25,45000
2017-06-21,37,37.5,37,37.5,24000
2017-06-22,37.25,37.25,37.05,37.05,9000
2017-06-23,37,37.2,37,37.2,6000
2017-06-27,36.1,36.1,36.1,36.1,3000
2017-06-28,37,37,37,37,3000
2017-06-29,37,37,36,36,6000
2017-07-03,36,36,36,36,3000
2017-07-04,36,36,35.9,35.95,15000
2017-07-06,36.25,37,36.25,37,12000
2017-07-07,36.45,36.45,36.45,36.45,3000
2017-07-11,36.6,36.6,36.6,36.6,6000
2017-07-12,36.6,36.6,36.6,36.6,3000
2017-07-13,36.5,36.5,36,36,9000
2017-07-14,37,37.75,37,37.6,24000
2017-07-18,37.95,42.5,37.95,40.5,57000
2017-07-19,40.7,41.8,40.7,41.7,210000
2017-07-20,41,41,40.5,40.5,15000
2017-07-21,40.3,40.3,39.1,39.55,18000
2017-07-24,41.1,41.25,41,41,27000
2017-07-25,40.75,42.8,40.75,42.65,66000
2017-07-26,42.5,43.7,42,43.7,27000
2017-07-27,42.3,42.3,41.65,41.65,6000
2017-07-28,41.9,42,41.7,41.75,30000
2017-07-31,41,41,40,40,18000
2017-08-01,40.1,40.1,40,40,9000
2017-08-02,40,40,40,40,3000
2017-08-03,40.1,40.25,40.1,40.2,12000
2017-08-09,40.25,40.25,40.25,40.25,21000
2017-08-10,37.1,37.1,37.1,37.1,3000
2017-08-11,37.3,38,33.1,34.25,39000
2017-08-14,37.5,37.65,37.5,37.65,6000
2017-08-22,37.5,37.5,37.5,37.5,3000
2017-08-24,35.25,35.25,35,35,6000
2017-08-28,33.6,33.6,33.55,33.55,9000
2017-08-31,33.9,33.95,33.9,33.95,6000
2017-09-01,35.95,36,35.95,36,6000
2017-09-04,36,36,35.35,36,9000
2017-09-05,35.35,35.35,35.35,35.35,3000
2017-09-06,36.3,36.3,36.3,36.3,3000
2017-09-08,38,38.5,38,38,15000
2017-09-11,38.5,38.5,38.5,38.5,3000
2017-09-18,38.35,38.4,38.35,38.4,6000
2017-09-19,40,40.8,40,40.8,9000
2017-09-20,40.8,41,40,41,15000
2017-09-21,42.15,42.15,39,39.7,21000
2017-09-22,39.7,39.7,36.15,36.15,6000
2017-09-25,37,37,36,36,6000
2017-09-26,36,37.5,36,37.4,21000
2017-09-28,38,39,38,38,12000
2017-09-29,37,37.75,37,37.75,6000
2017-10-04,37.5,37.5,36.3,36.3,9000
2017-10-05,36,36,36,36,3000
2017-10-12,37,37,37,37,3000
2017-10-13,36,36,36,36,3000
2017-10-16,34,35,34,35,6000
2017-10-24,35,36,35,36,6000
2017-10-26,36.9,39,36.55,38.9,18000
2017-10-27,39,39,38.9,38.9,9000
2017-10-30,38.9,38.9,38,38.35,12000
2017-10-31,39.3,39.8,38.05,39,24000
2017-11-01,38.6,38.6,38.6,38.6,3000
2017-11-02,40,40.15,39.8,40,111000
2017-11-03,40.5,40.5,40.5,40.5,12000
2017-11-06,41,41,41,41,6000
2017-11-07,39.55,39.55,39.5,39.5,6000
2017-11-08,39.5,39.5,39.5,39.5,9000
2017-11-09,39.95,40,39.5,40,18000
2017-11-14,35.2,35.2,35.2,35.2,3000
2017-11-15,37.1,37.1,37.1,37.1,3000
2017-11-16,37.5,37.5,37.5,37.5,3000
2017-11-17,36.6,37.1,36.6,37.1,6000
2017-11-20,37.5,37.5,37.5,37.5,3000
2017-11-21,39.3,41,39.3,40.4,15000
2017-11-22,38.5,41,38.5,40.9,12000
2017-11-23,40.8,40.8,40.8,40.8,6000
2017-11-24,40.7,40.7,40,40.35,6000
2017-11-28,40.2,40.2,38.6,38.6,9000
2017-11-29,38.3,38.5,38,38.5,9000
2017-12-01,39,39,39,39,3000
2017-12-04,35.5,37,34.25,37,21000
2017-12-07,38,38,38,38,3000
2017-12-11,36.5,37.5,36.5,37.5,6000
2017-12-13,38.5,39,38.5,39,6000
2017-12-19,39.15,39.25,38.5,39,15000
2017-12-20,39.5,39.5,38.5,39.3,9000
2017-12-21,38.9,41.95,38.9,41.85,51000
2017-12-22,42,45.25,42,44,78000
2017-12-26,42.5,43.4,42.5,43.1,18000
2017-12-27,42,44.5,42,43.7,33000
2017-12-28,43,46,43,46,45000
2017-12-29,47,53.35,46.1,53,204000
2018-01-01,53,57,53,56.15,132000
2018-01-02,56,56,54.25,55.1,51000
2018-01-03,55.2,60.85,54.3,59.75,114000
2018-01-04,59.95,61,59.95,60.65,42000
2018-01-05,58.6,59.75,58,59,18000
2018-01-08,58,60.95,56.1,56.55,69000
2018-01-09,55,55,53,53.25,15000
2018-01-10,53.8,54.9,53.8,54.5,18000
2018-01-11,54,56,54,56,15000
2018-01-12,55,55,54,54,12000
2018-01-15,52.5,53,52,53,21000
2018-01-16,51,51,51,51,3000
2018-01-17,51.85,52,51,51,18000
2018-01-18,51.2,53,50,51,27000
2018-01-19,51,51,50,50,6000
2018-01-23,47.5,48.3,47,48.3,12000
2018-01-24,49.9,51,49.75,49.75,12000
2018-01-25,51,51.6,51,51.6,9000
2018-01-29,54,54,51.5,52,27000
