Date,Open,High,Low,Close,Volume
2025-11-03,120,121.95,114,117.8,1115000
2025-11-04,111.95,114.9,111.95,111.95,130000
2025-11-06,111.95,117.5,106.35,114.4,170000
2025-11-07,112.95,119.9,109,117.85,90000
2025-11-10,117,123.4,112,119.6,158000
2025-11-11,120.8,122.8,118.2,119.6,58000
2025-11-12,123.7,123.7,117,119.25,24000
2025-11-13,118.2,121.5,117,120.95,49000
2025-11-14,120.85,120.85,119,119.1,33000
2025-11-17,119.2,123.1,119.2,120.15,48000
2025-11-18,121,123.1,120,121.9,51000
2025-11-19,122.85,123.25,119.6,121.25,40000
2025-11-20,120,135,119,129.3,126000
2025-11-21,130.5,140.1,130.5,138.25,202000
2025-11-24,140.5,143,139.25,140.5,87000
2025-11-25,145,156,143,150.85,195000
2025-11-26,156.1,164.95,155,157.9,161000
2025-11-27,158.55,172.3,158.55,169.6,213000
2025-11-28,181.9,183,174.1,175.15,94000
2025-12-01,177,183,152.25,154.85,236000
2025-12-02,158,164.25,158,160.65,81000
2025-12-03,165,170,162,166.3,114000
2025-12-04,168.9,173.75,168.9,170.8,97000
2025-12-05,172,173.65,166.8,169.2,65000
2025-12-08,170,172.7,158.15,160.9,39000
2025-12-09,160.9,160.9,154.25,156.25,24000
2025-12-10,157.15,163,156.5,158.5,37000
2025-12-11,158.65,164.75,157.8,159.3,23000
2025-12-12,159.4,161.15,157.9,159.15,34000
2025-12-15,160,172,159.2,165.3,96000
2025-12-16,164.1,165,160,163.05,23000
2025-12-17,169.9,174,166,166,62000
2025-12-18,165.1,168.95,159,160.8,49000
2025-12-19,161.05,169.95,161.05,164.45,21000
2025-12-22,164.8,170.3,164.25,164.35,13000
2025-12-23,165.55,167.85,165.5,166.8,23000
2025-12-24,169,169,166,167,6000
2025-12-26,167,167,162,162.75,24000
2025-12-29,166,166,166,166,1000
2025-12-30,165.5,166,165.5,165.75,2000
2025-12-31,166,166,166,166,1000
2026-01-01,164.9,164.9,164.8,164.8,2000
2026-01-02,160,165.8,159,162.75,16000
2026-01-05,155.05,163.9,153,155,29000
2026-01-06,155.05,163.85,155.05,159.9,125000
2026-01-07,160.05,163.95,160.05,162.5,50000
2026-01-08,163.1,165.4,160,162.4,45000
2026-01-09,164.1,164.5,159.95,160.25,24000
2026-01-12,160.3,164.75,157.7,158.15,27000
2026-01-13,158.2,162.4,155,155.35,22000
2026-01-14,155,156,155,155.5,4000
2026-01-16,155.55,158.7,154.55,155.45,10000
2026-01-19,152.25,160.5,152.25,153.45,11000
2026-01-20,154.95,154.95,140.15,148.85,37000
2026-01-21,150.2,154.9,149.5,149.75,6000
2026-01-22,150.1,154,136.2,141.3,102000
2026-01-23,141.3,143.65,138,140.5,8000
2026-01-28,141,141.9,135,136,58000
2026-01-29,142,144.95,141.05,144.95,32000
2026-01-30,144.95,152,144.05,146.5,27000
2026-02-01,150,150.95,144.05,146.7,29000
2026-02-02,146.8,151.85,146.7,146.7,14000
2026-02-03,149,152.5,149,149.9,37000
2026-02-04,150,150,149.5,149.5,2000
2026-02-05,154.95,158.95,154.95,156.95,2000
2026-02-06,160,163,154,155.85,76000
2026-02-09,156,160,155.85,158,44000
2026-02-10,158.05,162,158,158,3000
2026-02-11,158.1,161,155.05,158,6000
