Date,Open,High,Low,Close,Volume
2022-09-08,23.33,23.33,22.17,22.17,622000
2022-09-09,21.07,21.07,21.07,21.07,12000
2022-09-12,20.02,20.02,20.02,20.02,42000
2022-09-13,19.02,19.02,19.02,19.02,10000
2022-09-14,18.07,19.97,18.07,19.8,358000
2022-09-15,19.5,19.8,18.82,18.82,106000
2022-09-16,17.9,17.9,17.88,17.88,38000
2022-09-19,17.03,18.33,17,17.7,90000
2022-09-20,17.33,17.67,17.03,17.67,16000
2022-09-21,17,17.65,16.78,16.82,86000
2022-09-22,16.67,17.5,15.42,15.88,68000
2022-09-23,16,16.97,15.67,16.78,42000
2022-09-26,16.87,16.97,15.47,15.55,30000
2022-09-27,15,15.33,14.67,15.03,30000
2022-09-28,15,15,14.68,15,16000
2022-09-29,15.03,15.25,14.67,14.67,14000
2022-09-30,14.35,14.77,14.33,14.73,20000
2022-10-03,15.33,15.6,15,15,14000
2022-10-04,14.7,15.33,14.67,14.67,30000
2022-10-06,14.33,14.77,14.23,14.32,28000
2022-10-07,14.33,14.43,14.33,14.43,10000
2022-10-10,15.1,15.5,14.83,15.42,28000
2022-10-11,14.92,14.92,14.67,14.67,10000
2022-10-12,14.33,14.35,14.18,14.35,8000
2022-10-13,14.35,14.93,14.35,14.93,6000
2022-10-14,14.37,15.12,14.37,15.12,6000
2022-10-17,15,15,14.43,14.67,30000
2022-10-18,14.7,14.7,14.7,14.7,2000
2022-10-19,14.98,15.47,14.98,15.12,18000
2022-10-20,14.83,15,14.68,14.87,14000
2022-10-24,15.17,15.17,13.05,14.73,10000
2022-10-25,14.73,15.4,14.73,15.32,18000
2022-10-27,15.47,15.63,15.47,15.63,6000
2022-10-28,15.67,15.67,15.33,15.37,12000
2022-10-31,15.33,15.33,15,15.17,10000
2022-11-01,14.68,14.83,14.55,14.55,8000
2022-11-02,14.55,14.55,14.55,14.55,2000
2022-11-03,14.67,14.67,14.3,14.3,6000
2022-11-04,14.33,14.33,14.12,14.12,4000
2022-11-07,14.12,14.33,14.12,14.33,8000
2022-11-09,14.67,14.67,14.37,14.37,4000
2022-11-10,14.33,14.62,14.33,14.62,6000
2022-11-11,14.62,14.62,14.62,14.62,2000
2022-11-14,14.05,14.2,13,13.98,56000
2022-11-15,13.33,13.35,13.03,13.12,26000
2022-11-16,13.13,13.32,12.7,13.32,24000
2022-11-17,13.27,13.3,12.73,13,18000
2022-11-18,13.33,13.33,13.3,13.33,14000
2022-11-21,13.67,14,13.67,14,12000
2022-11-22,13.67,13.67,13.33,13.33,4000
2022-11-23,13.33,13.33,13,13,12000
2022-11-24,13.32,13.33,13.32,13.33,8000
