Date,Open,High,Low,Close,Volume
2005-04-07,33.41,141.43,33.41,133.44,2932542
2005-04-08,134.19,160.14,133.63,160.14,2039092
2005-04-11,167.04,179.74,154.6,157.94,2641213
2005-04-12,157.8,189.53,154.79,186.89,3251140
2005-04-13,194.71,194.71,172.11,174.72,4410083
2005-04-15,172.91,172.91,157.63,164.9,2283206
2005-04-18,162.03,173.72,158.21,166.48,1616380
2005-04-19,168.43,171.49,156.54,159.22,796627
2005-04-20,166.32,166.4,159.55,163.89,854663
2005-04-21,164.26,169.66,162.59,166.98,482273
2005-04-22,167.04,176.23,165.59,172.52,740723
2005-04-25,170.38,173.03,167.68,168.96,245969
2005-04-26,173.03,189.14,169.27,186.72,1825583
2005-04-27,184.3,188.59,168.77,171.86,1013349
2005-04-28,173.11,177.06,168.79,171.36,568857
2005-04-29,171.77,178.68,164.92,173.19,1149389
2005-05-02,175.39,176.7,171.58,173.19,358982
2005-05-03,173.72,175.95,172.05,174.03,210770
2005-05-04,174.84,182.85,174.28,180.9,440276
2005-05-05,184.3,184.3,173.22,175.95,314502
2005-05-06,175.95,177.87,173.22,174.5,113547
2005-05-09,176.2,176.62,172.11,172.83,94749
2005-05-10,174.45,179.57,173.28,175.11,150988
2005-05-11,173.72,176.26,167.65,173.33,112011
2005-05-12,178.73,189.26,175.95,187.34,413462
2005-05-13,188.76,192.1,183.74,186.75,208481
2005-05-16,188.2,190.31,185.41,188.7,160476
2005-05-17,185.41,185.41,173.58,175.14,87834
2005-05-18,175.95,180.35,173.78,178.12,122258
2005-05-19,180.85,180.85,175.95,178.01,48450
2005-05-20,179.29,179.29,175.59,178.2,56549
2005-05-23,178.18,192.37,176.56,191.46,177858
2005-05-24,183.74,227.73,183.74,221.72,1244785
2005-05-25,219.88,220.49,206.91,209.8,523443
2005-05-26,211.03,233.27,208.8,222.47,1254620
2005-05-27,222.47,223.83,210.39,212.36,336990
2005-05-30,212.45,226.01,212.36,214.34,452269
2005-05-31,216.4,219.77,213.62,215.79,222794
2005-06-01,217.85,218.79,211.58,213.28,105476
2005-06-02,214.37,216.26,208.3,209.44,75281
2005-06-03,211.53,211.53,207.1,208.66,63928
2005-06-04,210.41,210.41,207.19,207.8,18691
2005-06-06,208.24,215.95,208.24,209.97,54779
2005-06-07,211.58,212.7,208.24,210.14,45605
2005-06-08,211.53,214.37,205.21,206.74,66718
2005-06-09,208.86,208.88,199.67,201.42,32127
2005-06-10,204.01,205.35,197.66,198.81,41933
2005-06-13,201.51,205.18,197.66,200.39,56038
2005-06-14,201.56,202.56,198.08,199.84,24186
2005-06-15,200.45,212.56,198.83,205.01,67002
2005-06-16,210.47,210.47,194.94,197.14,29569
2005-06-17,198.67,198.72,189.31,192.37,42285
2005-06-20,193.71,198.11,188.17,189.65,27833
2005-06-21,191.54,193.21,184.86,191.57,70118
2005-06-22,193.15,196.72,189.31,189.51,68250
2005-06-23,190.98,190.98,186.53,187.25,15073
2005-06-24,185.02,192.29,185.02,189.45,45335
2005-06-27,190.93,191.46,179.9,182.63,8875
2005-06-28,183.74,187.64,183.47,185.08,22041
2005-06-29,184.91,186.05,179.29,180.35,62724
2005-06-30,183.69,189.31,181.02,182.52,100125
2005-07-01,186.19,186.19,178.32,180.46,11531
2005-07-04,183.69,183.69,175.45,176.67,20582
2005-07-05,177.34,181.02,171.49,172.64,20273
2005-07-06,175.95,198.78,172.8,193.32,165290
2005-07-07,188.76,197.75,184.58,187.39,59952
2005-07-08,189.31,194.3,184.36,186.81,30125
2005-07-11,189.9,189.9,186.56,188.09,13949
2005-07-12,185.41,196.55,184.86,190.37,32426
2005-07-13,191.54,193.21,184.3,185.11,13135
2005-07-14,189.31,191.54,181.24,182.77,7970
2005-07-15,192.1,192.1,182.21,183.83,8966
2005-07-18,188.2,191.54,178.73,179.35,26330
2005-07-19,178.73,183.74,177.06,178.48,17964
2005-07-20,181.52,182.83,176.53,177.15,20080
2005-07-21,179.99,180.24,178.04,179.15,17394
2005-07-22,181.52,181.8,177.7,178.79,11441
2005-07-25,180.4,181.52,178.18,179.07,8067
2005-07-26,180.4,181.52,179.35,180.51,13213
2005-07-27,180.35,181.46,176.53,177.62,6684
2005-07-29,177.34,178.73,171.49,173.78,8014
2005-08-01,177.06,181.52,175.11,177.23,12646
2005-08-02,178.12,181.43,175.98,176.39,14630
2005-08-03,178.45,191.82,176.06,189.7,78577
2005-08-04,190.04,192.1,178.73,181.63,34090
2005-08-05,180.96,183.27,177.73,179.48,17989
2005-08-08,178.18,182.07,175.42,176.14,13524
2005-08-09,178.73,178.73,173.78,175.31,9894
2005-08-10,176.51,183.19,175.53,178.01,18617
2005-08-11,184.86,184.86,175.39,176.48,14975
2005-08-12,180.96,180.96,175.45,176.12,10795
2005-08-16,177.09,179.01,176.51,177.01,6276
2005-08-17,177.29,178.18,175.67,176.42,6267
2005-08-18,180.96,182.07,174,174.7,9764
2005-08-19,174.92,177.06,174.42,175.59,12581
2005-08-22,177.34,210.72,175.73,201.7,230511
2005-08-23,203.23,231.91,199.47,207.1,609984
2005-08-24,208.08,209.91,193.21,199.2,131909
2005-08-25,199.33,210.33,195.44,201.39,85752
2005-08-26,203.62,205.6,194.99,197.19,34622
2005-08-29,196.05,205.4,192.37,198.05,38258
2005-08-30,197.66,202.01,189.87,193.49,23518
2005-08-31,194.88,206.02,193.77,195.24,17186
2005-09-01,196.55,198.36,192.12,193.1,12827
2005-09-02,196.55,207.13,189.87,198.64,499021
2005-09-05,201,204.57,185.86,189.01,47892
2005-09-06,189.7,193.63,184.91,186.58,28071
2005-09-08,188.76,194.88,187.67,188.73,19121
2005-09-09,188.25,189.31,183.08,183.77,18130
2005-09-12,187.86,187.92,183.8,184.83,13852
2005-09-13,184.3,189.26,184.3,188.06,17330
2005-09-14,188.2,194.88,180.96,183.27,25377
2005-09-15,184.55,193.77,184.3,187.61,24651
2005-09-16,189.03,190.43,185.41,186.78,12837
2005-09-19,184.36,188.03,184.3,185.94,7000
2005-09-20,184.44,189.87,182.63,182.99,20378
2005-09-21,182.63,187.03,153.12,180.18,32596
2005-09-22,171.49,184.86,168.15,169.91,22791
2005-09-23,177.56,177.56,165.37,166.85,21827
2005-09-26,169.27,175.95,168.71,174.28,10525
2005-09-27,174.84,177.06,173.72,175.34,7184
2005-09-28,176.45,177.2,174.28,175.75,4813
2005-09-29,176.51,177.06,168.71,169.68,7717
2005-09-30,169.82,173.72,166.87,169.16,15237
2005-10-03,178.18,178.18,168.99,170.13,7245
2005-10-04,164.26,175.39,164.26,172.02,13187
2005-10-05,168.15,172.89,168.15,170.27,6987
2005-10-06,170.38,171.16,167.88,168.65,6004
2005-10-07,169.55,170.94,167.04,167.46,5773
2005-10-10,165.93,169.24,162.03,163.2,5311
2005-10-11,162.64,163.7,159.19,162.95,9861
2005-10-13,162.59,164.81,158.69,160.47,5295
2005-10-14,161.47,162.59,158.13,159.44,6654
2005-10-17,146.94,172.61,146.94,153.31,7326
2005-10-18,154.23,158.27,154.23,155.51,7139
2005-10-19,150.89,153.4,147.58,149.25,9702
2005-10-20,150.34,152.56,141.98,143.9,8497
2005-10-21,144.77,145.88,139.26,142.71,19580
2005-10-24,141.98,145.88,139.62,141.93,5374
2005-10-25,142.62,143.1,141.32,142.23,7104
2005-10-26,155.9,155.9,140.31,143.82,2597
2005-10-27,143.38,143.65,138.09,140.79,2241
2005-10-28,139.76,141.98,130.85,132.38,6168
2005-10-31,132.57,133.08,125.34,128.18,8615
2005-11-01,129.73,143.1,129.73,133.46,3449
2005-11-02,130.85,133.72,128.12,132.27,4387
2005-11-07,133.63,136.42,130.85,134.66,3675
2005-11-08,140.59,143.65,135.3,139.78,9365
2005-11-09,139.76,143.04,139.76,141.93,3869
2005-11-10,139.81,143.65,138.09,139.65,3524
2005-11-11,139.48,142.54,138.17,140.9,3329
2005-11-14,140.34,142.51,139.31,140.54,1133
2005-11-16,152.56,152.56,140.87,142.18,2251
2005-11-17,141.43,141.43,139.76,140.59,2415
2005-11-18,141.98,143.65,140.59,140.87,2975
2005-11-21,141.98,142.04,137.06,137.5,3766
2005-11-22,136.69,136.69,132.66,133.3,3975
2005-11-23,131.4,134.75,130.85,131.35,2974
2005-11-24,136.36,136.36,130.9,132.35,5011
2005-11-25,134.75,134.75,129.73,130.65,7685
2005-11-26,135.86,140.87,129.73,133.97,16382
2005-11-28,130.88,138.09,130.88,134.24,12669
2005-11-29,136.92,136.92,131.13,132.07,5090
2005-11-30,133.58,134.58,129.37,129.9,7325
2005-12-01,130.85,132.52,129.18,129.87,4002
2005-12-02,131.4,131.4,127.45,128.2,7986
2005-12-05,126.5,129.73,126.48,127.31,3351
2005-12-06,133.55,139.06,126.39,127.79,5152
2005-12-07,127.51,128.31,123.05,124.17,5794
2005-12-08,124.28,125.34,121.94,122.58,6080
2005-12-09,123.22,128.06,123.11,125.73,9243
2005-12-12,127.45,127.92,122.58,123.78,5799
2005-12-13,123.78,125.28,122.5,122.97,4380
2005-12-14,125.25,125.28,121.94,122.58,4911
2005-12-15,123.11,124.17,119.46,120.3,16232
2005-12-16,119.71,120.27,117.43,118.26,9141
2005-12-19,119.71,122.44,119.16,120.96,7973
2005-12-20,120.32,120.32,115.81,116.84,9195
2005-12-21,117.23,118.99,116.45,117.96,6261
2005-12-22,116.37,120.13,116.37,118.99,8421
2005-12-23,119.99,130.79,119.43,125.92,70344
2005-12-26,128.06,129.73,121.41,122.5,22185
2005-12-27,123.44,125,121.38,123.16,9339
2005-12-28,123.55,126.95,121.49,123.11,10636
2005-12-29,124.72,125.28,119.71,120.8,8384
2005-12-30,120.83,122.5,119.88,120.8,5000
2006-01-02,120.83,123.05,119.27,119.85,12204
2006-01-03,120.3,122.38,120.27,121.41,7024
2006-01-04,121.44,127.76,121.38,124.89,18191
2006-01-05,125.22,126.34,121.94,122.38,8615
2006-01-06,122.58,124.06,119.8,120.49,5917
2006-01-09,123.61,124.72,120.27,121.77,8487
2006-01-10,121.94,121.94,118.65,119.18,4501
2006-01-12,117.48,120.77,114.7,119.52,7018
2006-01-13,121.94,121.94,119.16,119.91,4662
2006-01-16,119.71,120.85,117.6,118.85,5177
2006-01-17,119.16,120.55,117.07,117.85,5697
2006-01-18,118.04,118.6,116.98,118.13,5855
2006-01-19,116.37,119.99,116.37,119.49,4180
2006-01-20,121.38,124.67,120.27,120.69,8064
2006-01-23,121.22,121.27,118.1,118.77,3655
2006-01-24,119.16,120.55,118.04,118.4,7540
2006-01-25,118.04,120.58,117.54,117.87,7873
2006-01-27,118.6,118.88,116.93,117.43,3155
2006-01-30,117.48,119.71,111.97,113.06,6467
2006-01-31,113.03,113.59,109.69,109.83,6924
2006-02-01,103.29,111.36,103.29,107.35,11529
2006-02-02,105.29,107.74,104.12,104.59,6664
2006-02-03,104.68,104.68,100.28,100.53,6899
2006-02-06,100.28,101.34,97.02,97.55,9016
2006-02-07,98,99.11,91.93,92.82,27773
2006-02-08,91.32,91.32,86.3,87.67,47356
2006-02-10,93.54,93.54,86.89,87.72,20243
2006-02-13,89.64,91.87,88.59,89.51,31123
2006-02-14,91.87,91.87,87.42,88.03,10908
2006-02-15,89.92,89.92,86.94,87.36,8761
2006-02-16,87.47,88.39,84.72,85.8,10140
2006-02-17,85.75,87.08,83.24,84.36,12523
2006-02-20,82.41,84.08,79.71,80.9,11897
2006-02-21,80.74,82.41,79.62,79.96,6891
2006-02-22,80.74,80.74,77.12,77.78,7903
2006-02-23,79.9,79.9,77.12,77.73,9717
2006-02-24,77.95,77.95,74.14,74.44,18687
2006-02-27,80.74,89.34,73.55,89.34,285318
2006-02-28,96.27,103.95,92.01,102.14,1617220
2006-03-01,102.12,102.12,93.96,95.52,343489
2006-03-02,95.49,101.28,93.54,94.74,234083
2006-03-03,97.44,101.62,95.71,98.02,288476
2006-03-06,98.97,99.61,94.71,95.49,105279
2006-03-07,95.77,97.27,92.21,92.87,82225
2006-03-08,93.99,95.88,88.31,89.14,58018
2006-03-09,90.76,92.37,87.97,88.78,337110
2006-03-10,90.37,90.37,84.69,85.02,44718
2006-03-13,85.61,89.09,81.93,82.77,53767
2006-03-14,84.61,84.88,78.51,79.37,44164
2006-03-16,79.07,81.29,78.01,78.48,42655
2006-03-17,79.62,80.01,75.72,76.25,32105
2006-03-20,77.42,80.15,75.34,76.75,53089
2006-03-21,77.4,79.07,76.84,77.31,20563
2006-03-22,75.78,78.37,71.88,72.83,35858
2006-03-23,80.68,80.68,73.44,74.11,32058
2006-03-24,74.67,75.72,72.66,73.36,24370
2006-03-27,75.11,75.11,73.25,73.44,21473
2006-03-28,73.78,74.05,70.77,71.66,324885
2006-03-29,71.83,74.33,71.83,73.44,15949
2006-03-30,76.28,77.95,73.5,76.75,44866
2006-03-31,77.12,79.62,73.5,78.2,18485
2006-04-03,79.9,85.8,79.07,82.16,57870
