Date,Open,High,Low,Close,Volume
2004-09-23,43.5,44.95,42.5,43.05,5903
2004-09-24,43,43.75,41.88,42.88,9763
2004-09-27,43.98,44,43.28,43.88,9064
2004-09-28,44,45,43.15,43.75,5890
2004-09-29,43.58,48.13,43.58,47.98,37856
2004-09-30,49.7,52.78,48.55,52.78,73313
2004-10-01,54,56.83,50.25,51.98,125087
2004-10-04,54,54.5,50.5,51.05,35816
2004-10-05,51.5,52.95,49,50.33,30068
2004-10-06,52.5,53,50.05,50.23,80067
2004-10-07,52,52.1,50,50.5,14260
2004-10-08,51.5,51.75,50.53,50.98,14979
2004-10-09,51.25,51.9,50.78,51.28,7309
2004-10-11,51.05,53.05,49.55,49.9,65739
2004-10-12,51.5,51.5,48,48.65,11071
2004-10-14,52,52,47.35,48.28,7454
2004-10-15,49,49,46.55,47.43,4691
2004-10-18,45.75,48.75,45.75,46.43,1631
2004-10-19,46.25,46.75,45.5,46.03,5214
2004-10-20,46.15,47,46.05,46.35,6439
2004-10-21,45.85,46.9,45,45.43,6291
2004-10-25,45.53,45.78,44.03,44.08,6470
2004-10-26,41.38,45.5,41.38,44.55,4673
2004-10-27,43.75,44.98,43.13,43.9,5648
2004-10-28,41.05,44.35,41.05,42.68,31432
2004-10-29,42.5,45.05,42.5,43.38,21035
2004-11-01,43.95,43.95,42.53,43.1,3993
2004-11-02,43.9,43.9,43.1,43.35,10292
2004-11-03,44.33,44.33,43,43.18,10638
2004-11-04,40.25,47.5,40.25,47.5,39457
2004-11-05,49.5,51.75,46.05,47.25,63410
2004-11-08,47.75,49.5,46,46.33,18340
2004-11-09,49,49,45.3,45.78,10124
2004-11-10,45.5,46.4,45.1,45.4,9516
2004-11-11,45.5,47.43,45.5,46.03,26091
2004-11-12,44.75,50,44.75,48.85,47756
2004-11-16,44.75,48.95,44.75,48.03,14925
2004-11-17,47.98,48.25,47.05,47.3,8519
2004-11-18,47.75,48.45,47.05,47.3,16935
2004-11-19,47.5,48,45.05,45.68,12901
2004-11-22,41.25,46.95,41.25,46.5,7438
2004-11-23,46.75,47.4,45.7,45.93,7802
2004-11-24,46.15,47.23,46,46.3,11092
2004-11-25,46.3,47.4,46,46,10551
2004-11-29,46,46.5,46,46.15,6810
2004-11-30,46.5,46.9,44.9,44.98,11425
2004-12-01,45.03,45.25,44.38,44.75,7797
2004-12-02,45.23,45.25,44.28,44.35,9820
2004-12-03,45,45.55,43.55,43.9,6299
2004-12-06,44.43,44.43,43.5,43.55,8451
2004-12-07,43.83,46.88,43.35,44.48,16180
2004-12-08,46,46,44,44.18,7228
2004-12-09,44.5,45.5,44,45.18,8590
2004-12-10,46.5,47,44.88,45.23,12623
2004-12-13,45,45.78,44.43,45.1,10675
2004-12-14,46.25,49.63,45,49.63,134437
2004-12-15,52.05,53.4,48,48.95,102698
2004-12-16,49.2,49.95,47.8,47.93,16731
2004-12-17,49,49.5,47.8,48.53,28936
2004-12-20,48.5,49.25,47.9,48.58,12064
2004-12-21,50.5,50.5,48.48,48.88,7357
2004-12-22,49,49.75,47.05,47.93,15895
2004-12-23,48.5,48.5,46.5,47,7200
2004-12-24,51,51,46.35,46.95,30197
2004-12-27,46.4,47.5,46.15,46.28,7649
2004-12-28,47,49,46.55,48.93,53228
2004-12-29,50,52.4,48.8,51.48,158273
2004-12-30,51.53,52.25,48.6,49.4,52517
2004-12-31,49.53,51.5,49.08,49.63,36845
2005-01-03,51.13,51.13,49.5,50.38,26489
2005-01-04,55.4,55.4,46.25,50.08,38003
2005-01-05,51,53.1,49.6,51.3,224579
2005-01-06,51.55,51.55,48.55,48.88,20127
2005-01-07,50.43,51,49.03,49.9,20121
2005-01-10,50,50.95,49.38,49.63,7750
2005-01-11,48.75,49.25,47.25,47.58,14420
2005-01-12,47.15,48,45,45.4,11954
2005-01-13,47.5,47.95,45.55,47.15,19073
2005-01-14,46.6,47.1,46,46.18,8444
2005-01-17,47.5,49.5,46.5,47.1,19122
2005-01-18,47.5,48,46.65,46.93,10131
2005-01-19,46.5,48.5,46.08,46.7,7649
2005-01-20,47.75,47.75,42.05,42.35,55342
2005-01-24,46.45,46.45,41.25,42.7,18236
2005-01-25,44.45,44.95,41.5,44.8,14438
2005-01-27,47.5,47.5,44.5,45.58,6968
2005-01-28,46.48,46.48,44,44.33,4229
2005-01-31,45,46.5,45,46.18,7821
2005-02-01,45.5,46.5,45,45.18,6831
2005-02-02,45.1,46.95,45,45.05,5233
2005-02-03,44.5,46,44.5,45.88,7746
2005-02-04,45.7,46.25,45,45.58,9810
2005-02-07,45.78,46.08,45.2,45.48,16703
2005-02-08,49.5,49.5,45,45.43,14986
2005-02-09,46.35,47.95,46.15,47.23,29516
2005-02-10,47.5,48.23,47.05,47.38,15451
2005-02-11,48.25,51,47.75,48.95,52830
2005-02-14,49.5,49.5,47.8,48.25,28674
2005-02-15,50,50,46.63,47,37467
2005-02-16,48.95,48.95,45.75,46.78,22372
2005-02-17,47.5,47.7,46,47.33,28821
2005-02-18,46.88,47.93,46.88,47.38,33074
2005-02-21,47.85,56.85,47.85,56.85,372005
2005-02-22,58.58,68.23,58.15,68.23,2143742
2005-02-23,69.9,79.45,68.73,74.58,3102103
2005-02-24,75.5,78,72.75,73.35,1748806
2005-02-25,74.23,80.7,73.53,78.98,2629318
2005-02-28,80.03,80.03,75.05,76.58,362554
2005-03-01,77.43,77.43,73.08,75.1,250187
2005-03-02,75,81.2,75,78.6,509820
2005-03-03,79.5,81.95,78.05,80.05,316694
2005-03-04,80.58,81.45,77.75,78.8,26833
2005-03-07,78,82.93,76.53,81.18,60105
2005-03-08,81.95,83.5,80,82.95,26065
2005-03-09,84.2,84.5,78.5,80.03,27218
2005-03-10,78.5,81,77.5,80.2,9556
2005-03-11,79.5,82.5,78.5,78.75,19726
2005-03-14,77.58,80,76.05,77.55,15264
2005-03-15,77.5,78.5,77.5,77.5,16720
2005-03-16,79.2,79.2,76.5,77.05,10408
2005-03-17,77.5,77.75,69.5,76.78,13840
2005-03-18,78.83,78.85,69.5,75.25,14633
2005-03-21,77.3,79,74.55,74.93,42032
2005-03-22,74,77.4,70.5,70.95,41932
2005-03-23,72.95,72.95,69.55,70.35,8626
2005-03-24,71.5,72,67.25,67.63,12075
2005-03-28,67.5,72.2,67.5,70.78,7864
2005-03-29,69.6,70.5,68,68.9,22946
2005-03-30,70,70,67.68,68.78,8414
2005-03-31,71.5,75.68,68,73.1,18557
2005-04-01,75,75.5,73.5,74.53,12743
2005-04-04,75,75.4,73.55,74,8637
2005-04-05,74.85,81.4,74.03,81.4,33318
2005-04-06,84.5,89.55,82,86.4,89845
2005-04-07,87,87.5,83,83.68,22350
2005-04-08,85.53,87.88,84,87.05,201723
2005-04-11,88.95,91.43,87.13,87.93,222853
2005-04-12,88.48,89.8,85.83,86.38,74772
2005-04-13,87.25,87.95,85.5,85.8,41894
2005-04-15,86.5,86.5,81.55,81.95,58804
2005-04-18,80.98,80.98,78.63,78.95,25409
2005-04-19,81.5,82.9,77.65,77.98,23790
2005-04-20,78.78,80,77.28,78.33,19487
2005-04-21,79.45,82.25,78.43,81.68,98215
2005-04-22,82.53,83.5,81.13,81.98,29693
2005-04-25,80.5,86.08,80.5,84.93,69303
2005-04-26,85.28,87.5,83.5,85.18,47237
2005-04-27,85,85.95,81,81.8,27292
2005-04-28,83.2,85.9,81.53,85.7,37435
2005-04-29,87.05,87.45,81.5,83.13,53840
2005-05-02,83.95,83.95,79.15,79.4,26026
2005-05-03,81,81.13,78.85,79.08,42141
2005-05-04,79.5,83.05,79.5,82.85,80839
2005-05-05,84.13,84.13,81.28,81.53,64215
2005-05-06,81,82.63,80.05,80.6,13352
2005-05-09,81.95,84.65,81.9,83.7,53580
2005-05-10,82.63,87.9,82.63,87.73,147020
2005-05-11,88,90.33,83.53,88.1,57693
2005-05-12,90,91.83,88.3,89.48,39965
2005-05-13,89.38,92,88,89.4,36783
2005-05-16,89.75,93.88,89.68,93.88,60037
2005-05-17,96,98.35,93.1,94.5,144341
2005-05-18,91.13,95.85,91.13,93.58,69103
2005-05-19,96.2,98.28,90.5,97.95,86661
2005-05-20,98.45,102.38,97.25,101.4,103912
2005-05-23,101.5,106.48,101.5,106.48,101635
2005-05-24,109.33,111.8,103.55,109.23,269409
2005-05-25,110.95,110.95,105.55,106.48,39246
2005-05-26,107.35,107.35,102.55,103.08,36012
2005-05-27,104.88,105.43,102.5,102.9,192526
2005-05-30,104.25,104.85,102.08,103.4,36341
2005-05-31,104.45,108.58,103.5,108.35,94658
2005-06-01,110.85,112.48,108.3,109.55,101189
2005-06-02,111.25,111.25,107.08,107.98,55149
2005-06-03,109.98,109.98,105.5,106.35,34011
2005-06-04,108.5,111.68,106.75,111.63,54051
2005-06-06,113,117.23,112,115.58,116864
2005-06-07,117.5,118.65,112.5,114.15,69076
2005-06-08,115.5,116.73,114.38,115,66170
2005-06-09,115.3,116.1,112,113,35367
2005-06-10,115.63,115.63,110,111.73,35847
2005-06-13,107.5,112,107.5,109.75,27496
2005-06-14,114.95,114.95,108.1,109.2,28337
2005-06-15,113.8,113.8,108.5,109.25,39632
2005-06-16,113.5,113.5,108.5,109.9,94703
2005-06-17,109.5,110.8,104.5,106.33,33421
2005-06-20,109,110,104.55,105.23,25239
2005-06-21,96.5,106.25,96.5,103.6,130683
2005-06-22,104,107.73,102.55,103.88,81003
2005-06-23,104.4,105.95,102.75,103.7,28465
2005-06-24,103.98,105.75,102.55,104.68,25049
2005-06-27,105.5,106.33,103.03,103.8,25790
2005-06-28,104.5,105.25,102.5,103.58,21474
2005-06-29,105.5,105.5,101,102.53,32185
2005-06-30,103.9,104.5,100,102.05,22589
2005-07-01,107.53,112.28,106,112.13,302931
2005-07-04,113.48,113.48,107,107.53,68812
2005-07-05,108.4,108.73,103.58,105.03,26353
2005-07-06,106.15,106.15,104.75,105.28,23452
2005-07-07,109.35,109.35,102.85,103.68,30156
2005-07-08,105.45,105.5,102.5,103.8,24795
2005-07-11,105.95,106,104.25,104.63,16140
2005-07-12,106.25,107.5,104,104.83,73866
2005-07-13,105.53,108.5,104.75,106.45,70562
2005-07-14,108.23,108.75,105,105.75,36806
2005-07-15,106.75,106.95,104.25,104.85,48122
2005-07-18,107.2,107.35,104.28,104.83,36176
2005-07-19,106.2,106.25,104.63,105.5,133241
2005-07-20,107.68,107.68,103,104.3,24901
2005-07-21,106,107.5,101.5,102.33,23888
2005-07-22,103,105.5,103,104.9,32160
2005-07-25,105,105.63,103.5,104.15,35388
2005-07-26,103.5,104.88,102.5,103.15,40585
2005-07-27,103.05,104.25,102.5,102.63,3263
2005-07-29,103,103,101.08,101.55,147958
2005-08-01,101.55,102.5,100,101.7,9340
2005-08-02,101.5,107.48,101.5,104.33,30390
2005-08-03,106,107,104.33,104.75,30046
2005-08-04,105,105.58,104.75,104.85,23328
2005-08-05,105,105.48,104.53,104.83,17588
2005-08-08,105.13,109,103.58,104.95,66458
2005-08-09,106.23,108.5,103.5,104.8,44331
2005-08-10,104.55,125,104.03,120.83,547433
2005-08-11,122.63,123.75,117.65,119.25,199411
2005-08-12,119.75,123,119.25,120,169182
2005-08-16,120,122.45,118.75,119.23,31046
2005-08-17,119.45,121.45,118.03,118.78,37711
2005-08-18,120.2,121.4,115.05,115.78,21288
2005-08-19,118,119.5,114.05,115.03,27803
2005-08-22,117.9,133,115.5,123.58,109866
2005-08-23,124.5,127.23,117.55,118.55,68395
2005-08-24,118.5,121,115.13,118.43,57393
2005-08-25,118,125,118,120.3,33066
2005-08-26,121,126,119.55,120.58,160302
2005-08-29,120.2,122.5,119.5,120.95,37809
2005-08-30,121,141.75,120.58,134.9,538110
2005-08-31,135.53,136.3,132.5,134.23,268190
2005-09-01,134.45,138.5,130,131.6,70439
2005-09-02,134.95,154.95,132.6,147.15,1275697
2005-09-05,147.25,147.25,137.05,139.13,447035
2005-09-06,138,144,138,141.23,330422
2005-09-08,141.85,143.5,139.68,141.08,218329
2005-09-09,141.03,147.2,140.58,141.78,128791
2005-09-12,142.5,147.5,141.5,142.63,123015
2005-09-13,143,145,141.5,142.98,45749
2005-09-14,138,147,133.05,141.83,352865
2005-09-15,142.9,154.8,142.9,146.4,763445
2005-09-16,148,149,145.08,145.63,216472
2005-09-19,146.25,149.45,132.53,145.03,135848
2005-09-20,146.45,146.95,140,142.15,93365
2005-09-21,142,143,125,135.45,89871
2005-09-22,132.5,134.48,108.5,111.3,131351
2005-09-23,116.5,124,113,118.88,141942
2005-09-26,121,130,120,127.28,249550
2005-09-27,129.43,130.25,122,123.05,102934
2005-09-28,125,125.7,120,123.5,73186
2005-09-29,125.88,125.88,115.08,117.1,144854
2005-09-30,117.5,117.5,103.48,108.7,144752
2005-10-03,110.75,113.5,109.05,111.15,176905
2005-10-04,112.5,118.43,112.4,114.9,144108
2005-10-05,115,115.9,110.5,111.25,54965
2005-10-06,107.8,113.95,107.8,110.48,57188
2005-10-07,111.5,114,107.05,108.43,71111
2005-10-10,109.5,110.68,104,104.88,70069
2005-10-11,106.35,106.35,100.5,102.43,62075
2005-10-13,102.75,104.9,100.63,101.38,61940
2005-10-14,101.75,102.33,98,99.35,54159
2005-10-17,102.48,102.48,97.5,97.85,45095
2005-10-18,99.5,101.9,94,95.13,49571
2005-10-19,92.5,95.75,89.25,90.18,56547
2005-10-20,93.5,94,85.53,87,60744
2005-10-21,87.05,92,86.1,90.45,182053
2005-10-24,90.5,91.98,88,88.88,64318
2005-10-25,88.13,92,87.83,89.33,64791
2005-10-26,88.08,91,88.08,89.35,37843
2005-10-27,89.38,90.15,87.5,87.8,36793
