Date,Open,High,Low,Close,Volume
2003-09-05,13.72,14.67,13.33,14.15,46069
2003-09-08,14.67,15.57,14.67,15.57,49890
2003-09-09,16,17.13,15.62,15.96,139077
2003-09-10,16.19,16.57,15.24,15.79,50304
2003-09-11,16.38,17.37,15.73,17.29,316110
2003-09-12,17.43,17.43,15.71,15.85,139073
2003-09-15,15.87,16.57,15.71,15.85,35310
2003-09-16,16.1,16.33,15.05,16.01,65771
2003-09-17,16.53,16.55,14.88,15.39,34443
2003-09-18,15.24,15.31,13.92,14.04,26064
2003-09-19,14.13,14.95,13.92,14.44,29932
2003-09-22,14.69,15.01,14.58,14.77,8719
2003-09-23,14.84,15.14,14.48,14.7,13706
2003-09-24,14.62,14.72,13.62,13.89,36457
2003-09-25,14.17,14.62,13.93,14.17,5779
2003-09-26,14.65,15.59,14.3,15.59,34556
2003-09-29,15.9,17.12,15.9,16.53,81334
2003-09-30,16.79,17.47,16.37,16.69,111378
2003-10-01,15.81,16.86,15.81,16.3,31318
2003-10-03,16.59,16.9,16,16.06,83792
2003-10-06,16.48,17.52,16.11,16.85,75471
2003-10-07,16.68,16.76,15.96,16.04,59059
2003-10-08,16.38,16.7,15.45,15.75,12167
2003-10-09,15.83,16.43,15.8,16.11,19423
2003-10-10,16.1,16.1,15.56,15.63,13232
2003-10-13,16,16.34,15.71,15.95,22924
2003-10-14,16.13,16.19,14.86,15.1,35056
2003-10-15,15.06,15.13,14.3,14.52,18207
2003-10-16,14.63,14.99,14.41,14.53,12011
2003-10-17,14.33,15.13,14.29,14.31,12512
2003-10-20,14.22,14.62,14.22,14.31,6889
2003-10-21,14.2,14.46,13.74,13.91,11602
2003-10-22,13.9,14.26,13.71,13.85,9454
2003-10-23,14.27,15.24,14.27,14.62,32254
2003-10-24,14.86,14.86,14.29,14.6,4794
2003-10-25,14.86,14.86,14.57,14.74,11215
2003-10-27,14.86,14.86,14.44,14.5,13324
2003-10-28,14.55,14.55,13.14,14.01,42977
2003-10-29,14.1,14.26,13.7,13.81,5114
2003-10-30,14.1,14.28,13.9,14,4169
2003-10-31,14.29,14.71,14.29,14.33,4725
2003-11-03,13.92,14.57,13.3,13.86,34779
2003-11-04,13.71,14.48,13.71,14.26,11610
2003-11-05,13.87,15.62,13.87,15.1,60876
2003-11-06,15.52,16.62,15.14,16.62,72372
2003-11-07,17.89,17.89,15.3,15.71,296690
2003-11-10,15.98,16.76,15.77,16.51,27741
2003-11-11,16.57,16.57,15.85,16,32118
2003-11-12,16.09,16.48,15.62,15.75,14780
2003-11-13,15.83,16.19,14.31,14.63,34709
2003-11-14,15.01,15.04,14.5,14.59,15206
2003-11-15,14.1,15.03,13.83,14.96,1928
2003-11-17,14.65,16.47,14.3,16.46,76471
2003-11-18,17.33,17.52,15.63,15.9,324997
2003-11-19,15.93,16,14.95,15.11,64935
2003-11-20,15.7,15.81,14.7,14.75,35497
2003-11-21,15.29,15.29,14.5,15.09,31074
2003-11-24,15.09,15.29,14.76,14.83,11533
2003-11-25,15.24,15.79,14.58,14.87,40357
2003-11-27,15.62,15.7,14.7,14.81,155414
2003-11-28,14.95,15.24,14.54,14.74,25176
2003-12-01,14.86,15.88,14.84,15.41,81287
2003-12-02,15.52,16.95,15.5,16.58,386415
2003-12-03,17.14,18.25,17.05,18.25,187392
2003-12-04,20.08,20.08,20.08,20.08,190339
2003-12-05,22.09,22.09,18.89,19.17,561625
2003-12-08,19.14,21.09,19.14,20.61,244091
2003-12-09,20.86,22.17,20.67,20.84,412278
2003-12-10,20.95,21.43,20,20.22,188066
2003-12-11,20.31,20.95,19.27,19.93,112598
2003-12-12,20.76,21.52,19.81,20.44,337250
2003-12-15,20.95,21.52,20.06,20.3,441040
2003-12-16,20.19,21.15,19.36,20.27,214949
2003-12-17,19.81,20.52,19.65,19.79,61057
2003-12-18,19.87,21.52,19.81,21.28,327492
2003-12-19,21.9,22.1,20.55,20.67,143847
2003-12-22,20.86,22.73,19.2,22.28,822401
2003-12-23,22.85,23.9,20.48,20.79,801091
2003-12-24,21.14,21.79,20.38,20.68,388874
2003-12-26,20.93,21.7,20.01,20.76,255645
2003-12-29,20.95,22.48,20.65,21.89,386264
2003-12-30,21.92,22.1,20.19,20.45,195804
2003-12-31,20.67,20.83,19.9,20.12,98282
2004-01-01,20.35,20.9,20.19,20.41,63589
2004-01-02,20.62,20.76,19.71,19.9,129432
2004-01-05,20.29,20.46,19.53,19.61,89626
2004-01-06,19.86,20.4,18.41,18.74,221246
2004-01-07,18.71,19.01,18,18.19,101980
2004-01-08,18.47,19.79,18.47,19.29,99482
2004-01-09,20.02,20.84,19.29,19.56,281476
2004-01-12,19.81,20.17,18.9,19.18,199352
2004-01-13,18.95,19.43,18.62,19.09,126661
2004-01-14,19.99,19.99,18.48,18.67,62336
2004-01-15,19.04,19.31,17.84,17.94,75708
2004-01-16,17.92,18.29,17.3,17.72,107390
2004-01-19,17.73,18,16.86,17.84,72909
2004-01-20,17.9,17.9,16.48,16.7,77470
2004-01-21,16.61,16.9,15.04,15.17,131869
2004-01-22,15.43,15.81,13.9,14.33,86488
2004-01-23,15.23,15.62,13.9,15.34,71148
2004-01-27,16.59,16.59,13.9,15.18,66826
2004-01-28,15.24,15.71,13.81,14.27,82395
2004-01-29,14.1,15.69,13.81,15.21,201274
2004-01-30,15.9,15.96,14.19,14.31,66918
2004-02-03,15.14,15.14,12.89,12.95,120536
2004-02-04,13.14,13.53,12.24,13.4,132955
2004-02-05,13.54,14.21,12.79,12.93,64722
2004-02-06,12.95,13.11,12.57,12.91,55899
2004-02-09,12.94,13.52,12.94,13.15,29591
2004-02-10,13.14,13.64,12.97,13.21,116957
2004-02-11,13.21,13.34,12.72,12.84,34009
2004-02-12,12.89,12.97,12.24,12.35,55164
2004-02-13,12.3,13.59,12.3,13.22,166695
2004-02-16,13.7,14.21,13.41,13.6,277283
2004-02-17,13.9,14.96,13.82,14.49,299614
2004-02-18,15.62,15.62,14.33,14.5,157939
2004-02-19,14.75,14.75,13.34,13.39,75118
2004-02-20,13.55,13.9,13.14,13.39,72072
2004-02-23,13.57,13.86,12.57,12.67,61325
2004-02-24,12.6,13.01,12.57,12.86,54398
2004-02-25,12.94,13.19,12.57,12.63,28385
2004-02-26,12.86,13.03,12.42,12.49,17941
2004-02-27,12.56,12.74,12.35,12.57,27855
2004-03-01,12.76,15.09,12.76,15.08,478302
2004-03-03,15.05,15.05,14,14.07,228741
2004-03-04,14.08,14.67,13.33,13.56,91596
2004-03-05,13.86,14.15,13.71,13.78,35595
2004-03-08,13.86,14,13.16,13.3,44678
2004-03-09,13.33,13.5,12.69,12.92,54268
2004-03-10,13.04,14.24,12.81,13.1,78903
2004-03-11,13.12,13.43,12.67,12.77,43618
2004-03-12,13.12,13.12,12.57,12.66,35396
2004-03-15,12.97,13.03,12.19,12.25,90580
2004-03-16,12.21,12.38,12,12.14,31215
2004-03-17,12.28,12.29,11.9,11.99,19935
2004-03-18,12.14,12.14,11.52,11.8,20744
2004-03-19,11.81,11.9,11.33,11.46,37040
2004-03-22,11.62,11.62,10.53,10.77,59900
2004-03-23,10.65,10.65,10.29,10.5,35987
2004-03-24,12.19,12.19,10.38,10.72,51758
2004-03-25,10.59,11.9,10.59,11.37,298902
2004-03-26,11.55,11.81,11.05,11.24,45277
2004-03-29,11.38,12.19,11.34,11.8,67273
2004-03-30,11.9,12.85,11.9,12.03,136516
2004-03-31,12,12.8,12,12.51,57389
2004-04-01,12.84,13.13,12.48,12.9,58717
2004-04-02,13.12,13.81,12.97,13.42,138891
2004-04-05,13.7,13.89,13.16,13.35,78394
2004-04-06,13.79,13.79,12.97,13.06,48718
2004-04-07,13.14,13.52,12.86,13.38,31122
2004-04-08,13.69,14.17,13.18,13.72,40362
2004-04-12,14.08,14.08,13.18,13.34,24986
2004-04-13,13.33,13.7,12.99,13.36,52119
2004-04-15,13.52,13.89,13.38,13.43,38121
2004-04-16,13.36,14.23,13.36,13.89,81754
2004-04-17,13.37,14.76,13.37,14.4,99730
2004-04-19,14.1,14.93,13.81,13.94,174043
2004-04-20,14.19,14.19,13.71,13.8,20955
2004-04-21,13.86,14.74,13.86,14.21,59309
2004-04-22,14.43,14.48,14,14.1,26896
2004-04-23,14.29,14.37,13.71,13.87,52178
2004-04-27,13.36,13.52,12.49,13.09,32745
2004-04-28,12.03,13.33,12.03,12.85,37914
2004-04-29,13.37,13.37,12.8,12.9,13056
2004-04-30,13.14,13.62,12.69,12.9,45970
2004-05-03,12.88,12.88,12.3,12.64,14928
2004-05-04,13.28,13.28,12.63,12.78,20370
2004-05-05,13.06,13.1,12.48,12.59,21111
2004-05-06,12.97,13.14,12.77,12.91,23594
2004-05-07,12.86,12.95,12.56,12.58,25133
2004-05-10,10.69,12.47,10.67,12.27,12899
2004-05-11,12.23,12.23,11.73,11.82,17017
2004-05-12,10.87,12.86,10.7,12.1,40414
2004-05-13,11.08,12.67,11.08,12.5,69398
2004-05-14,12.9,13.14,10.67,11.02,78920
2004-05-17,10.86,10.86,9.14,10.15,71494
2004-05-18,9.52,11.05,9.52,10.91,86671
2004-05-19,11.39,11.48,10.59,11.13,37024
2004-05-20,11.41,12.46,11.2,11.99,93021
2004-05-21,11.62,12.9,11.45,12.28,42024
2004-05-24,12.82,14.48,12.82,13.48,165919
2004-05-25,13.7,14.83,13.62,14.62,382958
2004-05-26,15.05,16.1,15.05,15.26,856717
2004-05-27,15.26,15.77,15.01,15.11,425238
2004-05-28,15.05,15.52,14.29,14.38,400759
2004-05-31,14.48,15.2,14.1,14.21,280381
2004-06-01,14.82,14.82,14.48,14.5,142867
2004-06-02,14.78,14.97,14.48,14.7,159262
2004-06-03,14.99,15,14.1,14.49,193461
2004-06-04,14.48,14.6,13.73,13.87,109758
2004-06-07,14.1,14.1,13.65,13.9,105936
2004-06-08,13.81,14.29,13.78,14.1,83382
2004-06-09,13.91,14.27,13.9,14.19,56176
2004-06-10,14.23,14.48,13.95,14.18,50181
2004-06-11,14.11,14.23,13.58,13.72,36545
2004-06-14,13.52,13.9,13.16,13.32,56181
2004-06-15,13.52,13.62,13.29,13.39,30897
2004-06-16,13.52,13.57,13.14,13.19,33858
2004-06-17,13.1,14.07,12.96,13.92,171832
2004-06-18,13.95,14.23,13.64,13.73,111458
2004-06-21,14.1,14.1,13.53,13.55,26404
2004-06-22,13.61,13.61,13.14,13.34,35721
2004-06-23,13.37,13.6,12.95,13.02,36609
2004-06-24,13.41,13.41,12.79,13.17,39270
2004-06-25,13.24,14.61,13.19,14.47,182292
2004-06-28,14.57,15.47,14.57,15.35,289581
2004-06-29,15.52,15.98,15.38,15.62,250880
2004-06-30,15.81,16.42,15.77,15.91,234635
2004-07-01,16.19,16.52,15.81,15.85,95358
2004-07-02,15.89,16.67,15.45,16.45,282326
2004-07-05,16.59,17.69,16.5,17.27,595879
2004-07-06,17.47,18.21,17.43,17.73,645813
2004-07-07,17.71,18.28,17.55,17.66,552921
2004-07-08,18.1,19.01,15.26,15.77,1977785
2004-07-09,15.27,16.59,14.86,16.18,534330
2004-07-12,16.38,17.05,16.21,16.58,305547
2004-07-13,16.84,17.07,16.13,16.33,173955
2004-07-14,16.48,18.84,16.34,16.48,418929
2004-07-15,16.57,16.82,16.31,16.58,220717
2004-07-16,16.72,16.72,16.3,16.5,124349
2004-07-19,16.48,16.82,16.46,16.59,144586
2004-07-20,16.76,17.24,16.49,16.75,259738
2004-07-21,16.95,16.99,16.4,16.75,175092
2004-07-22,17.12,17.14,15.94,16.16,230776
2004-07-23,16.35,16.48,15.73,15.9,130636
2004-07-26,15.82,17.48,15.82,17.23,425929
2004-07-27,17.5,17.68,16.67,16.79,219069
2004-07-28,16.86,16.86,16.22,16.3,55152
2004-07-29,16.33,16.9,16.33,16.66,81646
2004-07-30,16.67,17.67,16.48,17.23,296172
2004-08-02,17.51,17.51,17,17.1,147591
2004-08-03,17.14,17.22,16.62,16.72,90529
2004-08-04,16.84,16.84,16.38,16.43,53972
2004-08-05,16.6,16.86,16.27,16.37,92381
2004-08-06,16.52,16.81,16.05,16.14,79866
2004-08-09,16.21,16.46,15.98,16.02,57905
2004-08-10,16.18,16.57,16.18,16.24,104287
2004-08-11,16.29,16.39,15.66,15.8,59670
2004-08-12,15.97,16.17,15.59,15.66,46186
2004-08-13,15.81,15.85,14.97,15.07,95513
2004-08-16,15.32,15.62,15.05,15.14,65532
2004-08-17,15.14,15.6,14.78,14.9,108678
2004-08-18,14.95,16,14.85,15.39,577594
2004-08-19,15.58,15.71,15.49,15.64,123518
2004-08-20,15.81,16.34,15.49,16,251675
2004-08-23,16.13,16.38,15.95,16,117338
2004-08-24,16.14,16.64,15.9,16.54,271775
2004-08-25,16.59,16.59,16.19,16.38,70559
2004-08-26,16.55,16.7,16.25,16.32,83038
2004-08-27,16.48,16.86,16.33,16.72,157507
2004-08-30,17.38,17.87,17.16,17.35,292591
2004-08-31,17.54,17.59,16.6,16.88,140238
2004-09-01,17.09,17.71,17.03,17.16,160355
2004-09-02,17.32,17.49,16.82,17.29,157059
2004-09-03,17.68,17.98,17.11,17.22,378884
2004-09-06,17.33,17.6,17.22,17.41,165932
2004-09-07,17.62,18.75,17.42,18.46,468359
2004-09-08,18.29,18.67,17.71,17.82,178826
2004-09-09,17.9,18.25,16.99,17.12,248393
2004-09-10,17.22,17.9,17.16,17.72,222119
2004-09-13,17.9,17.9,17.14,17.19,78939
2004-09-14,17.47,17.65,17.05,17.19,100303
2004-09-15,17.35,17.41,16.89,16.94,93486
2004-09-16,17.05,17.84,16.95,17.72,203004
2004-09-17,17.92,18.19,17.24,17.38,98577
2004-09-20,17.58,17.66,17.2,17.32,70237
2004-09-21,17.52,18.11,17.26,17.95,182768
2004-09-22,17.76,18.08,17.52,17.82,142081
2004-09-23,17.54,18,17.34,17.54,78236
2004-09-24,17.49,18,17.48,17.75,64420
2004-09-27,17.52,17.85,17.51,17.58,37427
2004-09-28,17.71,18.74,17.54,18.38,206746
2004-09-29,18.48,19.03,17.83,17.98,340912
2004-09-30,18,18.69,17.98,18.21,114082
2004-10-01,18.29,18.88,17.94,18.6,236627
2004-10-04,18.48,19.28,18.48,18.9,220490
2004-10-05,18.88,19.48,18.24,19.01,302018
2004-10-06,19.24,19.3,18.24,18.34,91415
2004-10-07,18.74,19.28,18.42,19.19,102656
2004-10-08,19.26,19.43,18.76,19.27,90471
2004-10-09,19.24,19.94,19.14,19.63,94238
2004-10-11,19.66,19.97,19.28,19.42,139563
2004-10-12,18.86,20.32,18.1,19.16,438951
2004-10-14,19.16,19.58,18.87,19.34,99581
2004-10-15,19.52,19.52,18.57,18.72,84166
2004-10-18,19.05,19.33,18.86,19.11,104084
2004-10-19,19.05,19.39,18.72,18.84,63547
2004-10-20,19.03,19.03,18.48,18.53,51014
2004-10-21,18.73,18.74,18.21,18.34,50380
2004-10-25,18.29,18.37,17.81,18.07,61028
2004-10-26,17.94,18.57,17.94,18.49,19850
2004-10-27,18.51,18.64,18.43,18.49,26926
2004-10-28,18.84,18.84,18.36,18.63,73555
2004-10-29,18.84,18.84,17.71,17.9,59195
2004-11-01,18,18.29,17.96,18.06,53090
2004-11-02,18.29,19.24,18.23,18.4,85149
2004-11-03,19.05,19.05,18.32,18.47,32830
2004-11-04,18.59,18.6,18.1,18.25,49919
2004-11-05,18.1,18.45,18.1,18.27,20967
2004-11-08,18.46,19.32,18.17,18.8,101604
2004-11-09,18.9,19.2,18.38,18.6,51361
2004-11-10,18.84,18.86,18.4,18.48,54789
2004-11-11,18.82,19.01,18.41,18.46,25157
2004-11-12,18.5,18.75,18.29,18.35,14985
2004-11-16,18.39,18.74,18.39,18.65,74717
2004-11-17,18.7,18.71,18.3,18.51,75645
2004-11-18,18.42,19.96,18.42,19.56,267624
2004-11-19,19.81,20.13,18.55,18.67,99366
2004-11-22,18.31,18.99,18.31,18.65,33101
2004-11-23,18.93,19.3,18.67,18.73,51668
2004-11-24,18.76,19.02,18.62,18.64,42118
2004-11-25,18.86,18.94,18.22,18.27,55447
2004-11-29,18.61,18.98,18.4,18.54,103665
2004-11-30,18.8,19.52,18.68,18.89,137985
2004-12-01,18.86,19.16,18.3,18.83,68945
2004-12-02,19.24,20.3,18.96,20.22,1179616
2004-12-03,21.45,21.45,19.51,19.73,1055087
2004-12-06,20.15,20.15,19.1,19.23,279744
2004-12-07,19.26,19.96,19.21,19.59,207064
2004-12-08,19.62,19.95,19.15,19.31,198767
2004-12-09,19.52,19.54,19.01,19.11,64363
2004-12-10,19.26,19.52,18.96,19.1,106945
2004-12-13,19.41,19.43,19.05,19.22,63901
2004-12-14,19.33,19.52,19.09,19.2,82259
2004-12-15,19.37,20.32,19.28,19.77,269996
2004-12-16,20,20,19.24,19.42,83477
2004-12-17,19.48,19.71,18.86,19,63147
2004-12-20,19.33,19.33,18.69,18.8,65973
2004-12-21,19.14,19.23,18.78,18.85,57274
2004-12-22,19.05,19.18,18.02,18.61,98079
2004-12-23,18.67,18.99,18.67,18.71,54643
2004-12-24,18.86,19.7,18.86,19.09,123683
2004-12-27,18.86,20.19,18.86,19.47,241494
2004-12-28,19.63,20,19.24,19.37,90379
2004-12-29,19.6,19.95,19.07,19.54,116035
2004-12-30,19.89,20.82,19.23,19.66,254399
2004-12-31,20,20,19.15,19.76,120941
2005-01-03,20.01,20.19,19.59,19.7,157763
2005-01-04,19.99,20.13,19.24,19.3,83527
