Date,Open,High,Low,Close,Volume
2005-06-16,61.65,61.65,51.41,52.32,357698
2005-06-17,53.61,55.04,51.26,51.69,119575
2005-06-20,52.65,54.04,51.21,51.31,29473
2005-06-21,51.84,51.93,50.98,51.26,21267
2005-06-22,52.17,52.94,51.21,51.55,27596
2005-06-23,51.41,52.12,50.78,51.31,15628
2005-06-24,57.44,57.44,51.69,54.09,198311
2005-06-27,54.47,54.52,52.03,52.46,32006
2005-06-28,54.23,54.23,50.07,50.69,23084
2005-06-29,52.12,52.12,50.83,51.55,11457
2005-06-30,53.03,53.22,51.45,51.84,18265
2005-07-01,52.65,52.75,50.83,52.36,15914
2005-07-04,52.65,53.99,52.03,52.79,155664
2005-07-05,52.17,55.04,51.79,52.17,217535
2005-07-06,53.61,54.37,52.79,53.22,83522
2005-07-07,52.65,53.89,50.4,50.74,143169
2005-07-08,52.36,53.08,51.6,52.03,317826
2005-07-11,53.22,54.37,52.51,52.79,568800
2005-07-12,53.13,56.05,53.13,55.04,668922
2005-07-13,55.76,56.77,55.04,55.28,252045
2005-07-14,56.19,57.15,54.76,55.19,464375
2005-07-15,55.81,56.86,54.33,54.9,353487
2005-07-18,57.44,57.44,55.04,56.05,388897
2005-07-19,59.83,62.22,56.86,57.77,944292
2005-07-20,62.7,62.7,56.24,56.77,386422
2005-07-21,57.72,57.92,55.14,55.52,213262
2005-07-22,56.77,56.77,55.14,55.81,263759
2005-07-25,56.48,56.86,55.67,55.86,290415
2005-07-26,56.38,56.38,53.89,54.47,242901
2005-07-27,55.43,55.43,53.66,54.56,173280
2005-07-29,54.52,55.28,54.04,54.56,183207
2005-08-01,55.52,55.52,53.13,53.37,116741
2005-08-02,54.52,54.52,53.61,53.99,118990
2005-08-03,54.47,54.47,53.7,54.09,261769
2005-08-04,54.52,55.28,53.8,54.33,273854
2005-08-05,54.76,55.28,54.13,54.56,168409
2005-08-08,55.52,55.52,54.28,54.71,213486
2005-08-09,55.33,55.33,52.89,53.42,136209
2005-08-10,54.18,54.42,53.61,53.85,189980
2005-08-11,54.37,55,53.85,54.66,128965
2005-08-12,56.43,56.62,54.95,55.91,206913
2005-08-16,67.01,67.01,55.52,56.96,178333
2005-08-17,58.2,60.26,57.96,58.82,1666287
2005-08-18,59.83,60.31,58.2,58.39,930032
2005-08-19,60.17,60.31,52.65,59.06,862377
2005-08-22,60.02,60.88,58.87,59.4,3501069
2005-08-23,60.21,64.86,59.83,60.6,1199806
2005-08-24,61.27,62.46,59.93,60.88,879324
2005-08-25,60.21,61.74,59.54,60.69,397713
2005-08-26,67.01,67.01,60.74,61.46,519308
2005-08-29,61.74,62.22,60.45,61.07,241510
2005-08-30,62.22,63.18,60.21,60.74,407510
2005-08-31,62.03,63.23,61.36,61.6,1367324
2005-09-01,61.74,63.13,61.74,62.7,1764746
2005-09-02,63.18,67.78,63.18,65.43,3098324
2005-09-05,65.96,69.4,65.57,67.87,1812491
2005-09-06,68.83,69.26,67.78,68.11,1425941
2005-09-08,68.64,73.52,68.06,72.71,1986212
2005-09-09,72.75,76.3,70.26,72.66,2828171
2005-09-12,73.38,75.77,72.75,73.66,3216804
2005-09-13,74,74.81,72.27,73.18,1952723
2005-09-14,72.75,74.48,70.5,71.32,2041563
2005-09-15,72.08,72.75,71.32,71.94,877807
2005-09-16,72.71,73.47,71.22,71.84,1175830
2005-09-19,73.23,73.9,71.84,72.61,1165624
2005-09-20,73.66,76.58,70.46,70.74,542908
2005-09-21,71.51,71.6,61.74,67.87,696847
2005-09-22,67.87,67.87,58.92,60.79,393019
2005-09-23,71.8,71.8,60.64,62.65,506049
2005-09-26,63.61,66.96,63.52,66.15,599643
2005-09-27,66.91,67.2,64.33,65,585653
2005-09-28,76.58,76.58,64.42,65.72,343475
2005-09-29,66.53,66.72,63.28,63.56,659483
2005-09-30,63.66,63.9,62.27,63.18,316579
2005-10-03,63.75,65.48,63.37,64.09,917647
2005-10-04,64.33,65.77,64.33,65,722958
2005-10-05,65.48,65.53,64.23,64.76,412729
2005-10-06,64.33,66.24,62.32,64.52,303755
2005-10-07,65.96,65.96,62.32,64.52,454778
2005-10-10,65.29,65.29,62.99,63.52,380594
2005-10-11,64.14,64.14,61.27,62.03,186422
2005-10-13,71.8,71.8,60.31,60.74,144282
2005-10-14,61.12,61.12,59.35,60.02,201010
2005-10-17,61.74,61.74,58.15,59.49,205325
2005-10-18,65.1,65.1,59.21,59.93,236670
2005-10-19,59.35,60.64,56.62,58.73,256062
2005-10-20,60.17,60.55,56.29,57.44,295200
2005-10-21,58.11,58.87,56.19,58.39,229944
2005-10-24,60.12,60.12,56,56.48,184988
2005-10-25,56.81,59.26,56.81,57.63,168251
2005-10-26,58.2,59.35,57.68,58.44,80910
2005-10-27,59.02,59.02,55.76,57.58,82755
2005-10-28,58.01,58.01,54.56,55.52,82401
2005-10-31,53.89,56,53.89,55.04,103621
2005-11-01,56.86,56.96,54.66,56.53,32199
2005-11-02,56.58,57.05,54.9,56.24,34783
2005-11-07,57.05,58.3,55.52,57.82,123446
2005-11-08,59.26,59.64,57.63,58.59,150727
2005-11-09,59.16,59.16,57.39,57.53,90071
2005-11-10,57.53,58.87,57.44,58.59,159787
2005-11-11,60.12,60.93,58.15,60.21,307121
2005-11-14,60.31,61.22,58.92,59.3,132657
2005-11-16,59.78,60.12,58.78,59.3,133275
2005-11-17,59.59,60.21,56.48,58.3,160540
2005-11-18,59.69,60.21,57.92,59.64,173325
2005-11-21,59.83,60.07,58.2,58.44,75834
2005-11-22,59.73,59.73,57.68,58.2,85802
2005-11-23,59.06,59.06,57.82,58.15,98067
2005-11-24,59.11,59.78,58.15,58.54,157431
2005-11-25,59.16,59.16,57.72,58.44,128904
2005-11-26,59.26,59.26,58.11,58.35,40016
2005-11-28,58.97,59.35,58.3,59.06,165614
2005-11-29,59.73,59.73,58.01,58.68,118159
2005-11-30,59.21,60.07,57.92,59.16,222074
2005-12-01,59.78,60.79,55.62,60.36,359365
2005-12-02,61.27,61.27,58.97,59.21,89175
2005-12-05,60.12,60.12,57.05,59.45,185155
2005-12-06,60.12,60.31,58.49,60.07,153751
2005-12-07,60.6,60.6,59.4,60.36,130469
2005-12-08,61.07,62.85,60.79,62.18,194945
2005-12-09,63.18,66.72,63.18,65.24,905153
2005-12-12,65.1,66.44,64.33,64.52,296442
2005-12-13,65.1,65.96,63.28,63.71,157541
2005-12-14,64.9,64.9,62.51,62.75,76664
2005-12-15,62.75,63.47,61.27,61.79,118649
2005-12-16,67.01,67.01,50.74,61.46,48605
2005-12-19,63.08,65.86,61.31,62.41,62470
2005-12-20,57.44,63.66,57.44,60.55,61952
2005-12-21,60.55,61.41,57.63,60.55,62087
2005-12-22,59.54,60.93,59.54,59.83,67382
2005-12-23,62.18,62.18,58.54,58.78,83848
2005-12-26,59.11,60.31,57.01,57.48,50920
2005-12-27,59.16,59.16,55.81,57.92,50904
2005-12-28,59.26,59.26,57.72,58.49,51074
