Date,Open,High,Low,Close,Volume
2003-09-05,11.2,11.4,10.73,11.16,57205
2003-09-08,11.29,11.32,10.7,10.77,46430
2003-09-09,11.77,11.77,10.4,10.49,54700
2003-09-10,10.2,11.17,10.2,10.97,64347
2003-09-11,10.2,11.18,10.2,10.7,15804
2003-09-12,10.97,11.08,10.33,10.44,41036
2003-09-15,10.31,10.69,9.8,9.95,43154
2003-09-16,10.24,10.95,9.72,10.95,58424
2003-09-17,11.2,11.27,10.6,10.64,48163
2003-09-18,10.35,10.6,10.06,10.25,30756
2003-09-19,10.2,10.4,9.4,9.92,30914
2003-09-22,10.3,10.38,9.62,9.74,30595
2003-09-23,9.75,10,9.31,9.62,44225
2003-09-24,9.62,9.98,9.62,9.88,47566
2003-09-25,9.65,10.23,9.6,9.88,37670
2003-09-26,10.04,10.8,10.04,10.47,46642
2003-09-29,11.44,11.44,10.36,10.53,34108
2003-09-30,10.74,10.74,10.01,10.26,32023
2003-10-01,10.6,10.6,10.11,10.17,24302
2003-10-03,10.34,10.9,10.3,10.76,33010
2003-10-06,10.76,11.38,10.76,11.22,68341
2003-10-07,11.4,12.35,11.11,12.3,211484
2003-10-08,12.7,13.04,12.4,12.6,223097
2003-10-09,12.6,13.19,12.6,12.88,84197
2003-10-10,12.6,13.12,12,12.48,82796
2003-10-13,12.14,12.56,12.13,12.39,33011
2003-10-14,12.8,12.8,11.9,11.96,61723
2003-10-15,12,12.24,11.5,11.75,24790
2003-10-16,12.03,12.05,11.66,11.79,18943
2003-10-17,11.9,12.2,11.7,12.09,33698
2003-10-20,11.4,12.73,11.4,12.42,67329
2003-10-21,13,13,12.42,12.66,91702
2003-10-22,12.96,12.96,11.8,11.83,33561
2003-10-23,11.8,11.97,11.52,11.57,12590
2003-10-24,11.7,11.7,11.2,11.62,14026
2003-10-25,12,12.13,11.95,12.07,4556
2003-10-27,11.81,12,11.61,11.73,6696
2003-10-28,11.91,11.92,10.63,11.12,20492
2003-10-29,11.2,11.4,11.2,11.37,11501
2003-10-30,11.58,12.51,11.58,12.51,34740
2003-10-31,13.76,13.76,12.06,12.73,49000
2003-11-03,13.05,13.05,12.2,12.54,29423
2003-11-04,12.59,12.79,11.33,12.58,55888
2003-11-05,12.7,12.94,12.55,12.78,46237
2003-11-06,12.98,14.06,12.98,14.06,103969
2003-11-07,14.8,15.47,14.8,15.45,205407
2003-11-10,16,16.59,14.61,16.1,83471
2003-11-11,16.57,16.76,15.2,15.44,128608
2003-11-12,15.7,16.54,15.6,15.76,125290
2003-11-13,16,16.46,14.8,15,68008
2003-11-14,14.61,15.4,14.61,15.02,37670
2003-11-15,14.9,15.6,14.9,15.51,24510
2003-11-17,15.7,17.07,15.5,17.07,100557
2003-11-18,17.2,18.44,16.6,16.81,200705
2003-11-19,17,17.58,16.2,17.07,98180
2003-11-20,17.58,18.78,17.19,18.51,300517
2003-11-21,19.08,20.37,18.4,20.37,348906
2003-11-24,20.98,21.39,20.73,21.39,56398
2003-11-25,22.34,22.43,20.56,20.93,149762
2003-11-27,21,21.79,20,20.4,59179
2003-11-28,20.34,21.42,20.14,20.3,47907
2003-12-01,20.97,20.97,19.8,19.98,48662
2003-12-02,20.2,20.98,19.74,20.67,73196
2003-12-03,20.98,21.71,20,21.71,43711
2003-12-04,21.7,22.8,21.7,22.74,48282
2003-12-05,22.6,23.67,22.6,23.07,48176
2003-12-08,23,23.4,22.05,22.66,13041
2003-12-09,22.6,23.8,21.82,23.55,23651
2003-12-10,23.4,23.6,22.5,22.76,16527
2003-12-11,23.2,23.2,22.4,22.61,14010
2003-12-12,22.74,23,22.31,22.75,11929
