Date,Open,High,Low,Close,Volume
2023-01-24,18.01,18.91,17.11,18.91,669939
2023-01-25,19.86,19.86,18.7,19.86,506732
2023-01-27,20.8,20.85,18.87,18.87,411329
2023-01-30,17.93,18.5,17.93,17.97,82062
2023-01-31,17.21,18.86,17.07,17.17,222619
2023-02-01,16.9,17.5,16.31,16.31,68809
2023-02-02,15.61,16.08,15.5,15.5,83003
2023-02-03,15.47,15.47,14.72,14.72,57654
2023-02-06,13.99,15.46,13.99,15.46,135204
2023-02-07,15.89,16.23,14.9,15.13,125623
2023-02-08,15.44,16.47,14.57,16.25,616050
2023-02-09,16.77,17.72,15.84,17.06,357540
2023-02-10,17.29,17.8,16.83,16.92,63814
2023-02-13,17.13,17.14,15.08,15.29,282428
2023-02-14,15.27,15.83,14.63,14.75,332145
2023-02-15,14.68,15.04,14.57,14.76,43432
2023-02-16,14.76,15.9,14.14,14.58,127663
2023-02-17,14.85,15.61,14.59,14.69,391578
2023-02-20,14.7,15.04,14,14.24,104379
2023-02-21,14.58,15.26,14.5,14.82,132237
2023-02-22,14.53,15.04,14.25,14.33,37769
2023-02-23,14.35,15.18,14.35,14.66,57057
2023-02-24,14.79,15,13.82,14.34,79611
2023-02-27,14.34,15.02,14.01,14.08,113647
2023-02-28,14.4,14.41,13.1,13.39,134252
2023-03-01,13.3,14.16,13.3,13.86,134825
2023-03-02,13.44,13.98,13.44,13.74,31125
2023-03-03,13.53,15.42,13.53,15,173616
2023-03-06,15.4,16.98,15.25,16.54,419408
2023-03-08,17.1,19.84,17.1,19.76,1855211
2023-03-09,19.55,21.1,18.8,20.62,3687519
2023-03-10,20.4,21.67,19.73,21.09,1295552
2023-03-13,20.89,20.89,19.7,20.11,980773
2023-03-14,20.15,20.5,19.35,19.69,452278
2023-03-15,20.18,20.61,18.72,19.34,416270
2023-03-16,19.05,19.49,18.5,19.02,198842
2023-03-17,19.33,20.92,19.03,19.94,599773
2023-03-20,19.96,20.3,19.3,19.51,199014
2023-03-21,19.79,20.41,19.2,19.91,880322
2023-03-22,20.1,21.05,19.8,20.05,631887
2023-03-23,20.01,20.09,19.61,19.65,221726
2023-03-24,19.6,19.96,19.01,19.27,204355
2023-03-27,19.15,19.57,18.71,19.23,254755
2023-03-28,18.8,19.5,18.65,19.01,414969
2023-03-29,19.03,19.35,18.41,18.64,357309
2023-03-31,18.6,20.5,18.6,20.5,1035285
2023-04-03,20.59,21,19.54,20.67,745594
2023-04-05,20.89,22.73,20.55,22.73,1642732
2023-04-06,22.71,24.49,22.34,22.8,887908
2023-04-10,22.89,23.57,22.12,22.53,295573
2023-04-11,22.53,24.9,22.5,24.45,1301714
2023-04-12,24.49,24.97,23.38,23.9,316195
2023-04-13,24,24,22.95,23.28,303192
2023-04-17,23.47,23.47,22.25,22.39,266827
2023-04-18,22.58,23.45,22.22,22.51,301619
2023-04-19,22.49,22.86,20.99,22.26,686630
2023-04-20,21.81,22.21,21.41,21.9,278576
2023-04-21,22,22.77,21.7,22.04,177577
