Date,Open,High,Low,Close,Volume
2018-05-30,350,351.35,346.25,350.15,20127
2021-01-01,86.47,86.47,82.8,84,20315
2021-01-04,85.97,93.27,84.07,89.23,62224
2021-01-05,89.93,92,80.2,87.87,39683
2021-01-06,89.3,89.3,85.33,86.63,20648
2021-01-07,89.93,90,86.63,87.33,25961
2021-01-08,89.33,89.33,84.67,85.83,13423
2021-01-11,86.87,89.03,83.97,84.57,13432
2021-01-12,85.33,86,82.67,83.2,13765
2021-01-13,86.5,88.67,81.2,83.8,14633
2021-01-14,83.8,83.8,80.03,81.07,9803
2021-01-15,81.03,83.3,80.83,81.13,5387
2021-01-18,77.4,83.33,77.4,80.7,7546
2021-01-19,80.97,82.83,78.67,79.87,7168
2021-01-20,76.83,83.93,64.23,79.4,12425
2021-01-21,80.1,83.1,78.67,79.57,8821
2021-01-22,80.77,80.8,77.73,79.37,12128
2021-01-25,78.43,83.6,78.43,78.67,5947
2021-01-27,80.6,83.27,78.07,79.8,9743
2021-01-28,79.33,82.23,76.67,78.13,19316
2021-01-29,79.33,80.13,77.8,79.57,4090
2021-02-01,77.73,79.9,77.53,78.07,4901
2021-02-02,80.37,80.37,78.2,78.83,1915
2021-02-03,81.47,81.5,78.67,80.27,9058
2021-02-04,80.1,83.33,79.77,81.7,9191
2021-02-05,83.33,83.33,80,82.5,16873
2021-02-08,85.27,85.27,66.8,80.7,30581
2021-02-09,77.73,83.63,77.73,82.57,17479
2021-02-10,82.57,90,79.33,85.07,66484
2021-02-11,85.87,96.6,83.67,94.73,337270
2021-02-12,94.67,101.33,94.63,97.5,348092
2021-02-15,99.3,99.33,94.8,95.83,94339
2021-02-16,96.9,97.17,88.67,90.13,47909
2021-02-17,90.7,93.3,87.67,92.5,22966
2021-02-18,94,95.3,90.07,91.23,17939
2021-02-19,90.27,91,87.5,88.67,30533
2021-02-22,88.63,88.63,85.33,86.43,56501
2021-02-23,85.4,92.63,85.07,89.1,118700
2021-02-24,91.87,92,87.17,88.87,11365
2021-02-25,89.93,90,87.2,87.93,24269
2021-02-26,85.57,90,85.57,86.67,22709
2021-03-01,88.2,89.73,85.63,88.13,21433
2021-03-02,88.57,88.6,85.33,85.87,29740
2021-03-03,88.27,95.87,86.37,93.5,93886
2021-03-04,95.17,110.5,92.03,108.17,690518
2021-03-05,109,120.47,103.7,115.23,1259465
2021-03-08,119.6,122.33,114,115.87,690659
2021-03-09,116.53,117.67,107.33,108.33,132602
2021-03-10,110.83,112.2,106,107.33,49109
2021-03-12,107.33,109.97,106.3,106.7,32188
2021-03-15,106.7,108.23,102.07,103,30635
2021-03-16,105.27,105.27,98.03,99.17,27664
2021-03-17,99.67,99.67,93.63,94.03,33539
2021-03-18,94,97.93,92.07,92.83,37942
2021-03-19,95.33,95.33,87.23,93.27,44087
2021-03-22,95.3,99.33,94,97.47,15718
2021-03-23,99.53,101.27,97.33,98.1,13886
2021-03-24,99.8,99.8,95.47,97.27,10772
2021-03-25,96.67,96.67,92.6,95.7,21428
2021-03-26,94.67,99.13,91.87,92.6,32594
2021-03-30,96.47,98.6,94.67,97.63,39157
2021-03-31,97.37,100,94.67,96.17,28582
2021-04-01,96.17,98.3,95.97,96.3,23863
2021-04-05,97.33,97.33,93.97,94.63,27409
2021-04-06,94.5,95.8,94,94.97,8711
2021-04-07,96.67,98.5,93.03,96.5,19130
2021-04-08,96.53,100.47,95.37,96.97,27083
2021-04-09,96.67,98.67,96.13,98.07,12539
2021-04-12,98.33,98.33,90.17,92.23,39497
2021-04-13,93,94.57,91.77,93.4,8876
2021-04-15,94,95.37,91.03,92.23,11756
2021-04-16,93.2,94.47,92.33,93.37,7187
2021-04-19,90.67,93.1,87.5,88.13,29755
2021-04-20,88.87,90.87,86.97,88.97,12949
2021-04-22,89.67,90.67,88.23,88.8,27704
2021-04-23,88.7,89.97,87.33,88.47,15413
2021-04-26,90,90,88,89.73,14788
2021-04-27,89.33,92.6,89.33,91.93,20737
2021-04-28,92.2,95.27,92,94.43,19013
2021-04-29,96,96.67,94.4,95.67,56779
2021-04-30,95.73,101.2,94.7,98.37,109787
2021-05-03,98,105.33,97.9,104.33,76753
2021-05-04,104.33,106.67,96.8,99.63,37753
2021-05-05,100.03,106.67,99.63,104.97,39632
2021-05-06,106.6,110.83,105.63,108.1,122614
2021-05-07,108.1,110.87,103.13,104.03,30812
2021-05-10,105,106.47,103.33,104.8,23932
2021-05-11,104.67,107.2,101.6,103.73,37703
2021-05-12,104.97,104.97,103.43,103.47,14836
2021-05-14,103.43,109.13,100.87,107.07,87455
2021-05-17,107.33,114.67,107.33,113.47,118927
2021-05-18,114.53,131.27,112.77,122.8,1097159
2021-05-19,125.33,129.87,123.2,125.1,180001
2021-05-20,126.6,129.33,123.9,127.8,145295
2021-05-21,129.33,131.07,125.23,130.57,209777
2021-05-24,131.67,135,128.07,132.3,237013
2021-05-25,136.8,145.07,134.5,142.17,699068
2021-05-26,143.93,170.6,143.93,170.6,667070
2021-05-27,176.67,183.67,158.1,159.6,792142
2021-05-28,162.67,168,155.63,164.83,250417
2021-05-31,167.6,171.27,160,160.7,136049
2021-06-01,162.33,164.67,156.83,157.47,47071
2021-06-02,159.03,163.17,157.5,160.53,48574
2021-06-03,163.33,163.33,157.33,158.17,113927
2021-06-04,162.7,162.7,150.43,151.17,146497
2021-06-07,155.2,155.33,148.03,150.6,104009
2021-06-08,154.5,158.03,152,152.7,99020
2021-06-09,154.53,154.53,150.37,151.87,45658
2021-06-10,154,154,152,152.33,42712
2021-06-11,156.73,158.67,149.4,150.73,79192
2021-06-14,151.87,151.87,145.87,149.07,44660
2021-06-15,147.67,152,147.67,150.4,44317
2021-06-16,152.6,152.6,147.37,148.53,34961
2021-06-17,151.33,151.33,146.67,147.63,32479
2021-06-18,146.7,149.1,141.6,144.43,42680
2021-06-21,142.67,146.37,140.7,145.47,26314
2021-06-22,146.67,151.93,144.03,149.13,55568
2021-06-23,150,151.97,145.7,147.03,33817
2021-06-24,149.23,149.23,145.37,145.77,14753
2021-06-25,148,160.33,143.33,157.73,288079
2021-06-28,159.33,159.33,152,154.1,123101
2021-06-29,158,158.33,148,150.73,71728
2021-06-30,151.33,163.27,151.33,157.73,141836
2021-07-01,160.67,161.33,156.3,159.5,63958
2021-07-02,161.33,161.33,152.37,157.6,60988
2021-07-05,158.07,161.93,155.43,158.77,40076
2021-07-06,157.73,160.87,153.33,154.6,41779
2021-07-07,155.33,157.33,151.37,154.73,25274
2021-07-08,156.6,161.33,154,159.37,94495
2021-07-09,160.33,160.67,155.37,158.03,32203
2021-07-12,160,160,154,154.77,40220
2021-07-13,156,158.63,153.6,156.1,36409
2021-07-14,153.33,155.97,153.33,154.17,23630
2021-07-15,153.33,169.57,153.33,169.57,169769
2021-07-16,183.8,186.5,176.9,186.5,297494
2021-07-19,186.47,192.93,180,187.37,272504
2021-07-20,186,186.4,180.4,182.27,83740
2021-07-22,183.33,185.73,180.03,181.57,66839
2021-07-23,183.97,188.43,180.3,181.23,82643
2021-07-26,182.33,194.93,181.3,192.6,161560
2021-07-27,196.67,200,193.63,198.1,154546
2021-07-28,199,204.67,184.07,191.13,142130
2021-07-29,176,188.67,176,184.1,191768
2021-07-30,186.33,192.3,183.33,187.23,73681
2021-08-02,189.83,198.67,186.67,188.73,76111
2021-08-03,189.93,189.93,183.5,185.13,63205
2021-08-04,184.67,185.03,173.7,177.67,37625
2021-08-05,176.67,179.9,172.07,175.73,51100
2021-08-06,178.33,179.33,173.43,177.63,26233
2021-08-09,176.67,179.33,171.23,173.07,24796
2021-08-10,170.53,175.3,155.77,157.47,98588
2021-08-11,163.33,163.33,141.77,153.73,67169
2021-08-12,162,169.1,156.7,167.93,53071
2021-08-13,171.97,171.97,163.33,163.9,16583
2021-08-16,163.33,166.73,160.67,162.2,11117
2021-08-17,163.33,167.33,160.43,164.33,20705
2021-08-18,166.6,166.6,150.37,156.37,16556
2021-08-20,156,156,146.33,147.93,37001
2021-08-23,156.67,156.67,140.83,148.37,31981
2021-08-24,152.67,156.67,145.4,155.1,22732
2021-08-25,156.67,156.67,150.67,153.7,15181
2021-08-26,155,156.67,150.3,156.3,12692
2021-08-27,156.7,159.27,152.63,156.13,10865
2021-08-30,154.77,166.83,154.73,162.07,35534
2021-08-31,162.07,166.5,160.57,164.8,14321
2021-09-01,166.47,166.97,160.1,166.13,25579
2021-09-02,168,170,163.37,168.87,17258
2021-09-03,169.6,177.33,165.6,169.33,57544
2021-09-06,173.13,176.67,170.03,175.97,39982
2021-09-07,179.3,179.3,172.27,173.3,13685
2021-09-08,173.33,174.53,164.7,168.93,22009
2021-09-09,167,171.33,165.33,168.8,27442
2021-09-13,173.33,176.67,168.63,174.47,55232
2021-09-14,176.67,176.67,167.33,168.63,65284
2021-09-15,169.45,185.5,169.45,185.5,80165
2021-09-16,202,203.4,189.5,191.35,102728
2021-09-17,192.1,193,176.2,180.45,36059
2021-09-20,181.95,181.95,167.05,170.35,20893
2021-09-21,173.7,175,160.2,173.65,28931
2021-09-22,174.9,174.9,170.05,171.35,9014
2021-09-23,173.95,176,168.5,169.85,12395
2021-09-24,172.9,172.9,164.5,164.8,15844
2021-09-27,168,168,160.1,161.95,21353
2021-09-28,164.9,164.95,154.9,157.55,20369
2021-09-29,160,160,155,156.25,11171
2021-09-30,159.8,159.8,153,154.75,22211
2021-10-01,157.95,158,151,153.35,20748
2021-10-04,153.35,156.7,152.05,152.85,19048
2021-10-05,152.9,168.1,152.85,167.05,77185
2021-10-06,168.15,177.1,168.15,173.35,46631
2021-10-07,178,178,166.1,171.1,16346
2021-10-08,173.8,178,166,172.1,36249
2021-10-11,175,175,168,168.5,23468
2021-10-12,170.1,171.5,161.5,164.8,22398
2021-10-13,165,169,165,165.1,18559
2021-10-14,168.25,169.9,162,163.85,24897
2021-10-18,163.2,173.4,163.2,170,45321
2021-10-19,174.95,180.6,169.95,172.45,50616
2021-10-20,177,177,167.55,175,54139
2021-10-21,176.9,177.25,172.4,175.35,14387
2021-10-22,175.35,181.8,170.05,178.2,101995
2021-10-25,180,180,169.3,170.9,28967
2021-10-26,172.45,174.85,169.7,172.35,7975
2021-10-27,177.95,177.95,169.05,170.65,23917
2021-10-28,173,173,167.05,167.4,8479
2021-10-29,168.2,172,166.1,166.5,9199
2021-11-01,166,173.3,166,172.95,12392
2021-11-02,174,177.5,173.7,174.1,24371
2021-11-03,177.8,179.5,174.5,175.85,22421
2021-11-04,175.85,189.8,174.05,178.25,12300
2021-11-08,178.25,179,176,176.6,29634
2021-11-09,180,181.5,176.6,179.15,19339
2021-11-10,179.15,181.4,174.65,176.65,12225
2021-11-11,179.9,179.9,172,172.9,20196
2021-11-12,175.95,181.45,175.95,176.95,79665
2021-11-15,176.95,176.95,159.3,159.3,58836
2021-11-16,150,164.9,150,153.65,48860
2021-11-17,144.5,150.45,138.5,139.4,218203
2021-11-18,143,143,136.25,138.5,34482
2021-11-22,141,143.8,134,135,28558
2021-11-23,134,140,134,138.25,47236
2021-11-24,136,139.9,135,137,11113
2021-11-25,137.1,141.7,137.1,140.1,19498
2021-11-26,142.75,142.75,133.1,134.4,43269
2021-11-29,129,132.95,129,130.35,24831
2021-11-30,130,133.7,130,130.7,7265
2021-12-01,130.4,131.95,125.9,128.15,16764
2021-12-02,132.45,132.5,128.25,132.1,11289
2021-12-03,132.95,133,126.2,129.15,22658
2021-12-06,128,132.25,128,129.1,6175
2021-12-07,129.5,131.9,128.1,131.5,6570
2021-12-08,134.15,134.5,127.1,131.5,8633
2021-12-09,133,133.15,129,130.2,17729
2021-12-10,132.85,136.35,129,135.45,18754
2021-12-13,140.5,140.5,133.05,133.3,22293
2021-12-14,133,134.85,131.05,133.65,7313
2021-12-15,135,135.9,131.1,132.4,9999
2021-12-16,134.2,135.7,132.35,133.7,7043
2021-12-17,133.75,133.75,126,129.25,16560
2021-12-20,130.3,130.3,120,122.75,20882
2021-12-21,127,127.1,123.15,123.9,4666
