Date,Open,High,Low,Close,Volume
2002-01-01,1.8,1.82,1.76,1.76,534
2002-01-02,1.76,1.8,1.76,1.78,875
2002-01-03,1.78,1.82,1.76,1.78,1663
2002-01-04,1.8,1.82,1.79,1.81,396
2002-01-07,1.8,1.84,1.8,1.83,330
2002-01-08,1.88,1.88,1.81,1.83,1043
2002-01-09,1.8,1.84,1.8,1.83,1528
2002-01-10,1.8,1.82,1.79,1.81,776
2002-01-11,1.86,1.86,1.82,1.82,840
2002-01-14,1.88,1.88,1.83,1.83,520
2002-01-15,1.84,1.88,1.84,1.84,2000
2002-01-16,1.86,1.86,1.84,1.86,701
2002-01-17,1.88,2.01,1.88,2.01,10733
2002-01-18,2.06,2.1,1.95,1.96,7300
2002-01-21,1.99,2.11,1.99,2.07,3023
2002-01-22,2.06,2.08,2.01,2.06,2167
2002-01-23,2.07,2.09,2.07,2.08,1680
2002-01-24,2.08,2.08,2.02,2.03,1210
2002-01-25,2.04,2.04,1.99,2,2202
2002-01-28,2.04,2.04,1.99,1.99,955
2002-01-29,1.96,2.15,1.96,2.15,5164
2002-01-30,2.2,2.26,2.08,2.09,34892
2002-01-31,2.16,2.16,2.07,2.1,3725
2002-02-01,2.12,2.22,2.11,2.15,22361
2002-02-04,2.16,2.18,2.01,2.1,17567
2002-02-05,2.12,2.14,2.08,2.09,6003
2002-02-06,2.13,2.18,2.11,2.16,12430
2002-02-07,2.1,2.33,2.1,2.3,21933
2002-02-08,2.4,2.49,2.32,2.49,53451
2002-02-11,2.63,2.68,2.55,2.68,46588
2002-02-12,2.83,2.83,2.51,2.57,34972
2002-02-13,2.62,2.62,2.5,2.52,12798
2002-02-14,2.52,2.55,2.44,2.46,18618
2002-02-15,2.46,2.59,2.45,2.51,18684
2002-02-18,2.57,2.57,2.47,2.53,41467
2002-02-19,2.48,2.52,2.46,2.49,8426
2002-02-20,2.48,2.48,2.41,2.44,4360
2002-02-21,2.42,2.5,2.42,2.48,8256
2002-02-22,2.44,2.52,2.42,2.44,7371
2002-02-25,2.4,2.44,2.3,2.33,10709
2002-02-26,2.5,2.5,2.34,2.34,3768
2002-02-27,2.36,2.36,2.31,2.33,6800
2002-02-28,2.33,2.36,2.16,2.18,11265
2002-03-01,2.16,2.2,2.11,2.15,7910
2002-03-04,2.26,2.31,2.19,2.28,11302
2002-03-05,2.3,2.34,2.28,2.3,4686
2002-03-06,2.34,2.38,2.31,2.32,7137
2002-03-07,2.29,2.34,2.29,2.33,1397
2002-03-08,2.29,2.32,2.24,2.27,1878
2002-03-11,2.28,2.28,2.2,2.24,7610
2002-03-12,2.24,2.24,2.16,2.18,3110
2002-03-13,2.22,2.23,2.16,2.17,1485
2002-03-14,2.2,2.28,2.15,2.19,10210
2002-03-15,2.24,2.28,2.21,2.24,5840
2002-03-18,2.28,2.56,2.28,2.46,41317
2002-03-19,2.48,2.52,2.36,2.36,6787
2002-03-20,2.37,2.38,2.32,2.36,2256
