Date,Open,High,Low,Close,Volume
2022-07-08,5,5.25,4.75,5.25,216000
2022-07-11,5.51,5.51,5.51,5.51,12000
2022-07-12,5.78,5.78,5.78,5.78,12000
2022-07-13,6,6,5.5,5.79,292000
2022-07-14,5.6,5.6,5.51,5.6,52000
2022-07-15,5.32,5.56,5.32,5.56,28000
2022-07-18,5.38,5.38,5.32,5.32,48000
2022-07-19,5.07,5.07,5.06,5.06,20000
2022-07-20,4.91,5.31,4.91,5.31,56000
2022-07-21,5.53,5.57,5.53,5.57,20000
2022-07-22,5.6,6.34,5.6,6.05,256000
2022-07-25,6.06,6.1,5.7,5.7,48000
2022-07-26,5.7,5.95,5.6,5.95,32000
2022-07-27,5.8,6.29,5.51,5.74,176000
2022-07-28,5.68,5.68,5.64,5.64,8000
2022-07-29,5.6,5.6,5.58,5.58,8000
2022-08-01,5.27,5.58,5.27,5.58,16000
2022-08-02,4.9,5.2,4.9,5.2,8000
2022-08-03,5.2,5.2,5.02,5.02,12000
2022-08-04,5,5,5,5,4000
2022-08-05,4.87,4.87,4.87,4.87,4000
2022-08-10,4.7,4.8,4.7,4.78,48000
2022-08-11,4.98,5.32,4.98,5.3,20000
2022-08-12,5.56,5.79,5.26,5.68,40000
2022-08-16,5.7,5.7,5.59,5.59,16000
2022-08-22,5.04,5.04,5.04,5.04,8000
2022-08-23,4.93,5.2,4.93,5.2,12000
2022-08-24,5,5.39,5,5.34,28000
2022-08-25,5.5,5.5,5.4,5.5,20000
2022-08-26,5.32,5.32,5.32,5.32,4000
2022-08-29,5.66,5.66,5.22,5.4,32000
2022-09-01,5.45,5.45,5.4,5.4,12000
2022-09-02,5.4,5.43,5.23,5.23,24000
2022-09-05,5.22,5.22,5.2,5.2,8000
2022-09-06,5.02,5.02,5.02,5.02,4000
2022-09-07,5.25,5.29,5.25,5.29,8000
2022-09-08,5.2,5.2,5.2,5.2,4000
2022-09-09,5.09,5.09,5.09,5.09,4000
2022-09-12,5.08,5.08,5.08,5.08,8000
2022-09-13,4.87,5.19,4.87,5.19,8000
2022-09-14,5.19,5.19,5.13,5.13,8000
2022-09-21,4.86,4.86,4.86,4.86,4000
2022-09-22,4.71,4.74,4.6,4.6,16000
2022-09-28,4.6,4.6,4.6,4.6,4000
2022-09-30,4.6,4.6,4.5,4.5,12000
2022-10-03,4.35,4.35,4.32,4.32,8000
2022-10-04,4.3,4.31,4.3,4.31,8000
2022-10-06,4.13,4.13,4,4.06,24000
2022-10-10,4.06,4.06,4.06,4.06,4000
2022-10-18,4.65,4.65,4.35,4.35,8000
2022-10-19,4.5,4.5,4.5,4.5,4000
2022-10-20,4.5,4.5,4.4,4.4,8000
2022-10-21,4.04,4.51,4.04,4.51,8000
2022-10-27,4.02,4.42,4.02,4.42,12000
2022-10-28,4.13,4.34,4.13,4.34,12000
2022-11-01,4.33,4.33,4.33,4.33,4000
2022-11-02,4.4,4.4,4.4,4.4,4000
2022-11-03,4.09,4.09,4.09,4.09,4000
2022-11-04,4.09,4.22,4.09,4.22,8000
2022-11-07,4,4,4,4,4000
2022-11-10,4,4,4,4,4000
2022-11-15,4,4,4,4,8000
2022-11-17,4.2,4.2,4.2,4.2,4000
2022-11-18,3.82,3.9,3.82,3.9,8000
2022-11-21,3.94,4.19,3.94,4.19,8000
2022-11-24,3.84,4,3.84,4,8000
2022-11-28,4,4,4,4,4000
2022-12-06,4,4,4,4,4000
2022-12-07,4,4,4,4,4000
2022-12-08,4,4,4,4,8000
2022-12-12,3.9,3.96,3.9,3.93,8000
2022-12-13,3.93,3.93,3.93,3.93,4000
2022-12-14,4,4,3.93,3.93,8000
2022-12-21,3.55,3.55,3.3,3.34,16000
2022-12-22,3.2,3.2,3.2,3.2,4000
2022-12-23,3.08,3.08,3.08,3.08,12000
2022-12-26,3.49,3.5,3.49,3.5,8000
2022-12-27,3.5,3.5,3.5,3.5,4000
2023-01-03,3.55,3.55,3.55,3.55,4000
2023-01-10,3.6,3.6,3.6,3.6,4000
2023-01-11,3.94,3.94,3.94,3.94,4000
