Date,Open,High,Low,Close,Volume
2002-01-01,18.09,18.09,17.37,17.47,32449
2002-01-02,17.75,17.78,17.31,17.5,21889
2002-01-03,17.88,18.41,17.25,17.5,27252
2002-01-04,18.09,18.09,17.47,17.62,59536
2002-01-07,17.69,18.03,17.31,17.41,27445
2002-01-08,17.56,17.56,16.93,17.25,86729
2002-01-09,17.25,17.56,17.09,17.28,42178
2002-01-10,17.06,17.37,17,17.25,30140
2002-01-11,17.25,17.5,17.22,17.25,31698
2002-01-14,17.56,17.56,17.31,17.41,13883
2002-01-15,17.62,17.62,17.31,17.41,22069
2002-01-16,17.06,17.47,17.06,17.44,28048
2002-01-17,17.28,17.69,17.28,17.56,22950
2002-01-18,17.56,17.81,17.28,17.37,25128
2002-01-21,17,17.72,17,17.59,19316
2002-01-22,17.56,17.69,17.44,17.56,24307
2002-01-23,17.56,17.75,17.56,17.62,26752
2002-01-24,17.56,17.62,17.44,17.56,61782
2002-01-25,17.56,17.62,17.25,17.5,26025
2002-01-28,17.81,17.88,17.19,17.25,95146
2002-01-29,16.87,17.25,16.34,17.15,79687
2002-01-30,16.84,17.06,16.62,16.93,94091
2002-01-31,16.84,17.34,16.84,17.25,46719
2002-02-01,17.12,17.56,17.12,17.34,46138
2002-02-04,17.09,17.37,16.97,17.19,87200
2002-02-05,17,17.25,17,17.06,110297
2002-02-06,16.93,17.09,16.12,16.46,46385
2002-02-07,16.31,16.81,15.99,16.09,23814
2002-02-08,16.4,16.78,15.93,16.65,53964
2002-02-11,16.87,17.03,16.31,16.93,69083
2002-02-12,16.93,17.03,16.5,16.93,52994
2002-02-13,16.93,16.93,16.65,16.81,237456
2002-02-14,16.93,16.93,16.46,16.62,57766
2002-02-15,17.12,17.12,16.62,16.75,16286
2002-02-18,16.93,16.93,16.78,16.9,45319
2002-02-19,16.93,16.93,16.68,16.84,52349
2002-02-20,16.81,16.87,16.65,16.81,70187
2002-02-21,16.62,16.87,16.37,16.59,47262
2002-02-22,16.5,16.81,16.5,16.62,55184
2002-02-25,16.62,16.75,16.56,16.62,26247
2002-02-26,16.43,16.78,16.43,16.78,37961
2002-02-27,16.78,17,16.46,16.56,62652
2002-02-28,16.46,16.87,16.15,16.15,43996
2002-03-01,16.12,16.31,15.4,15.71,36627
2002-03-04,16.31,16.43,15.87,16.31,57039
2002-03-05,16.31,17.19,16.31,16.62,97876
2002-03-06,16.62,16.78,16.34,16.37,76197
2002-03-07,16.68,16.68,16.18,16.37,85873
2002-03-08,16.59,17.25,15.99,16.46,138001
2002-03-11,16.06,16.4,16.06,16.28,30373
2002-03-12,16.31,16.31,16.03,16.12,6838
2002-03-13,16.15,16.28,15.81,15.9,14472
2002-03-14,15.99,16.06,15.52,15.59,8288
2002-03-15,15.96,15.96,15.55,15.65,23536
2002-03-18,17.25,17.28,14.74,14.86,103154
2002-03-19,15.3,15.49,15.08,15.24,29532
2002-03-20,15.27,15.27,13.86,14.02,148843
2002-03-21,14.43,14.93,13.52,13.67,216985
2002-03-22,13.99,14.61,13.8,14.39,30022
2002-03-26,14.8,14.8,14.17,14.61,14567
2002-03-27,14.68,14.74,13.67,14.17,85768
2002-03-28,13.99,14.71,13.99,14.65,10721
2002-04-01,14.68,14.96,14.39,14.68,15225
2002-04-02,14.93,15.21,14.74,14.96,26942
2002-04-03,14.83,15.05,14.74,14.86,18623
2002-04-04,15.34,15.34,14.43,14.99,11225
2002-04-05,15.05,15.21,14.8,15.05,15195
2002-04-08,14.99,15.27,14.86,14.96,14587
2002-04-09,14.65,15.12,14.65,15.02,17413
2002-04-10,15.02,15.15,14.74,14.99,30961
2002-04-11,14.74,15.37,14.74,15.3,58694
2002-04-12,15.62,15.93,15.46,15.71,59898
2002-04-15,15.77,15.99,15.4,15.55,19708
2002-04-16,15.65,15.68,15.27,15.4,5081
2002-04-17,15.65,15.74,15.24,15.68,22342
2002-04-18,15.68,15.99,15.68,15.74,73554
2002-04-19,15.81,15.81,15.55,15.59,94939
2002-04-22,15.55,15.77,15.52,15.68,7263
2002-04-23,15.55,16.06,15.52,15.93,33038
2002-04-24,14.93,16.24,14.93,16.03,18932
2002-04-25,15.68,16.5,15.68,16.4,34645
2002-04-26,16.18,16.53,15.99,16.46,33610
2002-04-29,16.62,16.93,16.46,16.46,54490
2002-04-30,16.31,16.75,16.31,16.65,21371
2002-05-02,16.9,17.06,16.43,16.65,44291
2002-05-03,16.46,16.78,16.46,16.72,18186
2002-05-06,16.93,17.03,16.46,16.87,24736
2002-05-07,16.93,17.56,16.9,17.44,113710
2002-05-08,17.62,17.91,17.25,17.62,53107
2002-05-09,17.88,18.5,17.56,17.72,81537
2002-05-10,17.59,18.19,17.28,17.37,27658
2002-05-13,18,18.38,17.31,18.13,87616
