Date,Open,High,Low,Close,Volume
2010-09-29,131.57,131.57,123.01,124.04,15325
2010-09-30,125.21,130,122.32,124.96,6777
2010-10-01,126.24,128.19,124.96,126.38,3923
2010-10-04,133.67,133.67,121.34,122.62,27392
2010-10-05,124.72,124.77,119.48,120.22,4799
2010-10-06,125.26,125.26,120.12,120.95,4738
2010-10-07,123.3,126.24,121.34,121.83,17404
2010-10-08,119.88,120.76,114.15,115.91,40760
2010-10-11,121.98,121.98,111.95,115.57,9265
2010-10-12,112.15,114.89,109.65,113.42,9420
2010-10-13,112.54,120.85,111.41,118.6,15469
2010-10-14,118.26,120.37,113.91,115.23,10996
2010-10-15,117.43,117.43,111.56,112.73,3772
2010-10-18,110.58,113.37,108.87,109.41,5728
2010-10-19,110.58,115.47,108.57,110.38,15229
2010-10-20,113.47,113.47,106.76,107.35,8816
2010-10-21,107.84,110.33,106.67,106.86,7264
2010-10-22,108.13,108.13,105.25,105.59,8336
2010-10-25,105.78,108.62,104.81,106.03,6007
2010-10-26,106.18,106.18,102.95,103.63,4848
2010-10-27,104.66,110.58,104.07,109.75,13816
2010-10-28,109.7,111.56,108.18,109.01,3541
2010-10-29,107.64,109.6,106.71,107.5,4581
2010-11-01,107.64,109.5,104.71,107.64,2810
2010-11-02,109.5,109.5,103.73,104.22,2655
2010-11-03,105.69,105.69,103.73,104.81,1952
2010-11-04,105.69,105.69,102.85,102.9,2561
2010-11-05,106.47,111.26,103.73,104.27,512
2010-11-08,103.09,106.03,99.96,104.27,1101
2010-11-09,103.09,106.18,103.09,104.41,2575
2010-11-10,104.41,107.55,103.39,104.32,5532
2010-11-11,104.71,106.67,104.46,105.15,7433
2010-11-12,104.02,106.67,98.93,100.4,6714
2010-11-15,101.58,104.46,99.33,101.72,2991
2010-11-16,100.35,100.35,96.15,97.96,1984
2010-11-18,95.95,100.35,93.94,96.44,1932
2010-11-19,96.88,98.64,89.34,92.33,5671
2010-11-22,95.9,95.9,90.52,92.97,1988
2010-11-23,91.01,95.75,91.01,92.08,7999
2010-11-24,93.94,97.86,91.99,92.72,4620
2010-11-25,92.13,94.92,91.01,93.7,6048
2010-11-26,92.97,92.97,83.47,87.29,6911
2010-11-29,90.27,90.27,86.56,88.12,1232
2010-11-30,88.46,88.56,86.36,87.93,9442
2010-12-01,91.79,91.84,89.05,90.52,122
