Date,Open,High,Low,Close,Volume
2008-04-22,184,228.7,156.15,158.95,12202553
2008-04-23,158,165.5,152,161.6,4199264
2008-04-24,164.4,168.5,157,158.3,1586849
2008-04-25,159.1,161.4,152,155.05,688419
2008-04-28,157,158,153.3,155.25,340607
2008-04-29,156.3,158.5,155,155.8,397617
2008-04-30,155.85,157.3,147.8,151.85,477132
2008-05-02,153.7,155.95,152.3,153.3,254522
2008-05-05,154,161.4,153,155.95,438774
2008-05-06,157,171.45,156.05,168.7,963682
2008-05-07,170,175.75,160.6,162.3,717910
2008-05-08,161,162.95,156.1,157.85,166455
2008-05-09,158.5,166,155,155.1,258787
2008-05-12,156.1,159,150,153.15,114727
2008-05-13,155,156.95,148,149.75,96432
2008-05-14,149.8,153,149.2,150.05,111653
2008-05-15,152.3,153.5,148,150.75,112388
2008-05-16,152.5,153,150,150.1,116035
2008-05-20,150,169.7,150,163.6,1217370
2008-05-21,162.9,170.95,162.05,163.85,494460
2008-05-22,162.9,165.2,160.15,161.75,303391
2008-05-23,163.55,171.9,161.5,166.85,1249814
2008-05-26,165,176.8,160.25,173.95,1021035
2008-05-27,174.5,181.8,170.15,174.25,490483
2008-05-28,174,179,172.6,176.3,294422
2008-05-29,178,181.35,172.05,174.4,248004
2008-05-30,175.95,177.45,171,172.8,112972
2008-06-02,173.6,176.4,171.05,174.15,151470
2008-06-03,174,176,171.1,174.7,84975
2008-06-04,175.55,175.55,162.25,165.8,63077
2008-06-05,164.95,172,159.5,170.35,126054
2008-06-06,171.3,174.95,161.2,162.6,110020
2008-06-09,152.95,157.95,148.05,152.25,48025
2008-06-10,152.9,157,148.05,152.25,83578
2008-06-11,155.5,157,151,154.4,9632
2008-06-12,153,161.8,152,157.85,43094
2008-06-13,161,164.95,156.7,158.25,35280
2008-06-16,159.9,163,151.35,160.4,15020
2008-06-17,161.9,166.5,159.25,163.9,17804
2008-06-18,166.5,172,165.15,167.05,34224
2008-06-19,169.4,170.9,162,164.85,23481
2008-06-20,164.1,167.2,154,155.65,30282
2008-06-23,151.55,155.7,145.35,147.65,10214
2008-06-24,146.15,154.8,146.15,147.7,14252
2008-06-25,141.65,162.5,141,158.35,127138
2008-06-26,160.95,165,155.05,156.1,37140
2008-06-27,150,153.15,143.3,149.15,32845
2008-06-30,152,152.85,147,148.4,85568
2008-07-01,146.6,152,126.2,131.15,90526
2008-07-02,129,139,104.95,132.85,135920
2008-07-03,126.2,138,121.4,132.45,37379
2008-07-04,128.1,145,127,139.5,17955
2008-07-07,145,152.8,145,150,12717
2008-07-08,143,150,132,149.35,6455
2008-07-09,155.8,156,151.1,152.6,6004
2008-07-10,153.5,156,146,150.35,8280
2008-07-11,150.25,153,141.5,146.45,7943
2008-07-14,141.95,148,138,145.75,21765
2008-07-15,133.95,146,133.95,141.55,7530
2008-07-16,144.45,144.9,136,139.05,5406
2008-07-17,144.9,145,140.1,142.5,6251
2008-07-18,137,152.8,137,150.2,16054
2008-07-21,152,155.8,146.1,154.45,6029
2008-07-22,155.95,158,152.65,155.15,18961
2008-07-23,159,162,153.7,155.55,12925
2008-07-24,151.1,155.95,149,150.2,15300
2008-07-25,152.1,153.9,147,151.5,7958
2008-07-28,155.1,155.1,146,152.2,21085
2008-07-29,149.2,153.5,147.25,148.85,11498
2008-07-30,152.25,152.25,148.6,149.95,12058
2008-07-31,149,152.95,146.1,146.9,11299
2008-08-01,144.25,148.95,142.35,144.75,1434
2008-08-04,144.9,148.2,142,145.4,1839
2008-08-05,136.5,149.65,136.5,144.9,2063
2008-08-06,148.5,149,143.25,143.65,20194
2008-08-07,142.35,151,136.25,150.05,199975
2008-08-08,152.25,153.5,144,146.1,6780
2008-08-11,148,151,144.15,150.2,76459
2008-08-12,147.5,149.4,147,147.8,9759
2008-08-13,147.1,149,146.5,148.45,12677
2008-08-14,148.05,148.05,141.05,144.8,11271
2008-08-18,141,148,141,145.3,4408
2008-08-19,145,146,144,144.85,8321
2008-08-20,145.7,149,145,147.4,34751
2008-08-21,148,151.9,148,150.15,29417
2008-08-22,152.5,152.5,149,149.25,22644
2008-08-25,151.9,163.1,151.9,155.95,57127
2008-08-26,155,174,155,165.35,177066
2008-08-27,167.95,182,163.15,175.5,199608
2008-08-28,175,184.95,170.15,173.3,81610
2008-08-29,178,191.5,176,185.25,166037
