Date,Open,High,Low,Close,Volume
2008-02-18,21,21,15.13,15.49,5446069
2008-02-19,15.53,16.29,14.81,14.92,1665399
2008-02-20,14.77,15.2,14.36,14.92,572854
2008-02-21,14.2,15.7,14.2,14.69,449704
2008-02-22,13.7,14.5,13.62,13.77,178643
2008-02-25,13.9,13.98,13.01,13.5,135504
2008-02-26,13.74,14.5,10.8,13.69,305662
2008-02-27,13.71,14.28,13.11,13.46,131350
2008-02-28,13.34,14.5,13.21,14.3,300575
2008-02-29,14.11,15.1,14.11,14.6,197009
2008-03-03,14.19,14.27,13.36,13.46,32056
2008-03-04,13.36,13.59,12.45,12.96,40294
2008-03-05,12.51,13.2,12.51,12.92,35279
2008-03-07,12.48,12.48,10.98,11.19,96747
2008-03-10,10.38,10.8,9.57,10.68,40124
2008-03-11,9.9,11.45,9.77,11.3,32950
2008-03-12,11.65,11.99,10.83,10.99,19948
2008-03-13,10.76,10.76,9.91,10.16,20231
2008-03-14,9.9,11,9.75,10.47,27233
2008-03-17,9.62,10.09,9.09,9.85,92221
2008-03-18,10.19,10.2,9.2,9.26,12157
2008-03-19,9.41,9.8,9,9.16,11277
2008-03-24,9.2,9.35,7.4,7.48,25311
2008-03-25,7.7,7.82,7.06,7.39,42636
2008-03-26,7.6,7.7,7.4,7.63,176907
2008-03-27,7.07,7.99,7.07,7.89,22933
2008-03-28,7.31,8.35,7.31,8.23,73959
2008-03-31,8.4,8.6,8.2,8.46,30449
2008-04-01,8,9.7,8,9.27,51293
2008-04-02,9.62,9.98,9.1,9.33,18046
2008-04-03,9.1,9.29,8.86,8.94,8286
2008-04-04,9,10.3,8.62,9.24,75011
2008-04-07,9.6,9.65,9,9.23,11316
2008-04-08,9.05,9.25,8.83,8.98,6945
2008-04-09,9.03,9.75,8.91,9.33,17464
2008-04-10,9.5,9.6,9,9.12,17340
2008-04-11,9.2,9.39,9,9.09,5667
2008-04-15,9.02,9.3,8.81,9.22,82780
2008-04-16,9.06,9.7,9.03,9.28,183390
2008-04-17,9.32,9.48,9.2,9.26,84860
2008-04-21,9.5,10.05,9.4,9.85,255640
2008-04-22,10,10.9,9.9,10.76,472320
2008-04-23,11.41,11.79,11.02,11.23,368250
2008-04-24,11.55,11.55,11.04,11.1,160150
2008-04-25,11.44,11.44,10.74,10.86,67890
2008-04-28,10.99,11,10.2,10.35,132840
2008-04-29,10.27,10.55,10.1,10.51,101510
2008-04-30,10.5,10.69,10.1,10.23,114790
2008-05-02,10.6,12.28,10.6,12.24,1549940
2008-05-05,12.5,12.84,11.85,12.33,2105430
2008-05-06,12.39,12.8,12.05,12.34,657040
2008-05-07,11.61,12.3,11.52,11.72,390430
2008-05-08,11.3,11.98,11.23,11.84,401780
2008-05-09,11.32,11.91,11,11.16,117060
2008-05-12,10.4,11.1,10.4,10.65,128130
2008-05-13,10.6,11.48,10.6,10.92,222270
2008-05-14,10.8,11.2,10.6,11.07,74330
2008-05-15,11.5,11.99,11,11.16,78970
2008-05-16,11.6,11.65,11.3,11.36,172450
2008-05-20,11.2,11.55,11.15,11.32,89030
2008-05-21,11.1,11.5,11.1,11.4,145420
2008-05-22,11.41,11.41,11.13,11.21,36530
2008-05-23,11.23,11.4,11.11,11.23,76580
2008-05-26,11.4,11.4,10.5,10.8,101610
2008-05-27,10.9,11.1,10.5,10.58,96650
2008-05-28,11.18,11.18,10.36,10.45,53290
2008-05-29,10.56,10.8,10.3,10.32,61110
2008-05-30,10.31,10.6,10.09,10.24,68210
2008-06-02,10.16,10.39,9.51,9.65,74420
2008-06-03,9.1,9.49,8.81,9.32,68550
2008-06-04,9.39,9.39,8.5,8.76,51690
2008-06-05,8.7,9.15,8.4,9.02,98820
2008-06-06,9.06,9.31,8.81,9.05,42020
2008-06-09,8.4,9.19,7.72,8.56,77750
2008-06-10,8.32,8.66,8.31,8.56,44680
2008-06-11,8.7,8.95,8.4,8.61,69730
2008-06-12,8.2,8.9,8.2,8.7,25030
2008-06-13,9,9,8.55,8.8,19260
2008-06-16,8.7,9,8.7,8.85,36500
2008-06-17,8.61,9.1,8.61,8.94,97440
2008-06-18,8.7,9.19,8.7,8.98,33650
2008-06-19,8.7,8.89,8.4,8.61,18960
