Date,Open,High,Low,Close,Volume
2007-10-04,40.8,52.6,40.8,46.19,10719622
2007-10-05,46.2,47.2,40.02,41.76,1724545
2007-10-08,42,42.76,35.64,37.51,1172107
2007-10-09,33,39.5,33,38.51,897355
2007-10-10,39.59,41.96,38.4,40.97,428369
2007-10-11,40.8,43.32,40.1,42.77,196701
2007-10-12,41.85,44.64,41.63,42.2,270383
2007-10-15,42.25,44,42.22,42.74,83051
2007-10-16,42.8,43.4,40.6,41.72,74928
2007-10-17,35.02,40,35.02,38.98,67595
2007-10-18,40.24,46.59,39.53,42.12,293376
2007-10-19,43.98,49,39,39.87,103622
2007-10-22,39.6,43,38.92,40.65,102567
2007-10-23,40.8,44.4,40.8,43.57,109634
2007-10-24,44.74,44.8,41.71,42.2,55686
2007-10-25,42.04,43.97,42.04,43.64,46250
2007-10-26,43.8,46.3,43,45.17,157336
2007-10-29,45.9,47.4,45.25,46.36,129854
2007-10-30,46.9,48.2,44.03,45.05,99064
2007-10-31,45.2,46.37,42.4,42.89,33104
2007-11-01,44,44,41.21,41.38,97820
2007-11-02,40.44,43.74,38.79,42.07,34511
2007-11-05,42,42.6,40.5,41.37,51759
2007-11-06,42,42,38.24,40.15,95018
2007-11-07,41,42.76,41,42.2,36592
2007-11-08,41,42.19,40.62,41.57,14774
2007-11-09,43,43,41.52,42,6184
2007-11-12,40.59,42.6,40,42.27,38132
2007-11-13,43,44.16,42.4,43.65,42952
2007-11-14,45.8,45.8,43.8,44.07,45733
2007-11-15,43.98,44.18,43.2,43.71,30549
2007-11-16,44,46.8,43.2,45.55,98876
2007-11-19,46.4,48,46.4,46.88,85096
2007-11-20,46.6,50.7,46.04,50.21,107499
2007-11-21,50.8,50.8,47.8,48.6,47888
2007-11-22,48.4,52.34,46.6,50.53,142609
2007-11-23,50.6,51.7,48.46,49.89,22017
2007-11-26,50,53.2,50,52.48,67626
2007-11-27,52.67,52.96,50.8,52.64,27456
2007-11-28,53,54.76,52.02,53.82,21375
2007-11-29,53.95,55.2,52.2,52.47,36714
2007-11-30,52.8,55.4,43.07,54.29,36865
2007-12-03,52.59,55.94,52.59,53.92,10530
2007-12-04,55,63,53.6,61.28,80051
2007-12-05,61.2,62.99,58.8,61.43,19804
2007-12-06,61.04,73.72,61.04,73.46,313062
2007-12-07,74.2,75.2,68.84,72.29,95685
2007-12-10,72,74.8,71,72.33,63249
2007-12-11,72.9,73.6,69,70.08,39501
2007-12-12,69.97,69.98,67.8,68.04,6616
2007-12-13,68.4,69.4,62.6,64.03,24017
2007-12-14,62,64,60.84,61.4,121978
2007-12-17,62.8,63.8,59.6,60.18,4230
2007-12-18,57.4,61,57.18,60.27,5021
2007-12-19,62.8,62.8,57.3,58.75,13861
2007-12-20,59.48,60.98,58.65,59.87,4001
2007-12-24,61,61.52,58.5,60.86,3575
2007-12-26,62,62,58.8,59.22,4128
2007-12-27,58,62.19,58,62.19,7737
2007-12-28,63.6,65.3,62.4,65.3,15786
2007-12-31,67.8,68.5,64.96,66.05,21811
2008-01-01,68,68,65,65.93,3655
2008-01-02,67.6,67.6,62.64,65,1810
2008-01-03,64,65.76,62,62.17,9134
2008-01-04,63.95,63.95,59.11,59.46,8379
2008-01-07,59.46,62.44,56.6,62.44,6866
2008-01-08,64.1,65,60.2,64.54,13181
2008-01-09,63,65.98,63,65.46,1800
2008-01-10,65,66,62.2,63.13,30845
2008-01-11,64,64,60.01,61.4,13650
2008-01-14,62.4,64,60.6,63.24,53514
2008-01-15,64,66.4,64,64,5220
2008-01-16,62.2,63,61,62.93,11169
2008-01-17,62,64.8,62,64.53,1553
2008-01-18,65,65.4,62.41,64.15,27509
2008-01-21,61,61.2,61,61,2830
2008-01-22,60,60,58,58,680
2008-01-23,60,60.8,55.11,59.59,1874
2008-01-24,59.4,59.4,59.4,59.4,3
2008-01-25,60,61.36,56.43,58.76,2013
2008-01-28,55.83,58.4,55.83,58.31,752
2008-01-29,55.4,61.23,55.4,60.67,893
2008-01-30,59.6,59.6,59,59.6,2277
2008-01-31,56.8,59.6,56.8,58.4,2475
2008-02-01,61.2,61.2,57.6,57.6,4030
2008-02-04,59,59,59,59,1500
2008-02-05,61.35,61.35,56.61,58.4,963
2008-02-06,58.4,60,58.4,59.56,227
2008-02-07,59.6,60.2,57.2,59.8,2886
2008-02-08,56.84,60,56.84,59.25,1306
2008-02-11,56.4,58,56.4,56.58,1190
2008-02-12,55.99,56.3,53.8,53.8,5107
2008-02-13,51.11,54,51.11,52.81,27040
2008-02-14,55,55.2,51,54.88,4536
2008-02-15,56,56,55.4,56,5358
2008-02-18,54,58.8,54,57.96,152936
2008-02-19,56,60.2,56,57,2088
2008-02-20,57,57,54.2,54.92,11720
2008-02-21,55.6,56,52.18,55.09,24527
2008-02-22,53.03,55.8,52.6,54.8,280
2008-02-25,52.3,56,52.3,55.3,2328
2008-02-26,54.9,57.9,54.9,56.6,3368
2008-02-27,55.6,58.9,55.6,58.28,9398
2008-02-28,57,61,56.2,60.16,10480
2008-02-29,62.98,63.16,58,62.13,15708
2008-03-03,61.4,65.24,60,61.82,52695
2008-03-04,62.8,62.8,58.73,58.73,8459
2008-03-05,58.8,60.6,56,59.68,16902
2008-03-07,58.6,60,56.71,58.66,18420
2008-03-10,54,60,52.82,58.48,7787
2008-03-11,55.01,60.77,55.01,59,8793
2008-03-12,61,61,58,58.19,5301
2008-03-13,56.12,59.59,56,56,965
2008-03-14,56,59.95,54,58.42,5109
2008-03-17,54.8,57.6,53.22,56.8,4836
2008-03-18,55.01,58,53,56.99,96908
2008-03-19,59.6,59.6,51.4,57.51,106950
2008-03-24,55,57.8,54.8,56.68,36216
2008-03-25,58,58,54.66,56.28,29269
2008-03-26,57.56,57.56,54,54.38,72984
2008-03-27,55,56,51.6,53.94,132789
2008-03-28,56,57.6,54.42,56.86,18399
2008-03-31,52.4,58.36,52.1,55.98,18443
2008-04-01,56,56,54.7,56,23236
2008-04-02,55.2,56,53.66,55.3,60583
2008-04-03,50.72,55.78,50.72,54.15,1793
2008-04-04,55,57,52.62,53.5,16453
2008-04-07,55.5,57,53.2,53.71,7347
2008-04-08,54,54,52.6,52.73,874
2008-04-09,51.47,54.89,51.42,53.01,1432
2008-04-10,51.4,53.2,51.4,53.2,697
2008-04-11,53.59,53.59,52,53.2,73
2008-04-15,53,53,52.2,52.28,1160
2008-04-16,53.38,53.8,52.61,53.39,8940
2008-04-17,54,54.9,54,54.88,36580
2008-04-21,57.99,60.36,56,57.18,13030
2008-04-22,59.8,59.8,54.81,56.05,68970
2008-04-23,56,57.6,56,57.59,32600
2008-04-24,56.06,59,56,57.8,45560
2008-04-25,60,60,58,58.59,63475
2008-04-28,58,62.8,57,60.4,56365
2008-04-29,61.3,62.98,61,61.16,7990
2008-04-30,61.01,62.4,60.3,61.8,787290
2008-05-02,61.42,62,59.97,60,28975
2008-05-05,58.31,60,58.31,58.7,4170
2008-05-06,59,59.6,59,59,5700
2008-05-07,59.38,59.38,56.72,58,1395
2008-05-08,57.4,57.4,57.4,57.4,590
2008-05-09,56.22,59.4,56.22,56.3,4095
2008-05-12,56,59.98,56,58.87,3690
2008-05-13,59.8,60,56.78,56.85,7625
2008-05-14,62,62,56,58.94,29775
2008-05-15,59.7,59.7,57.21,58.52,1430
2008-05-16,57,59,56.64,57.73,4655
2008-05-20,58.4,59.36,56.2,57.5,33565
2008-05-21,58.57,59.2,56.5,58.86,105080
2008-05-22,59,59.4,56.86,58.31,29715
2008-05-23,57.41,59.2,56.71,58.9,12855
