Date,Open,High,Low,Close,Volume
2007-03-16,4.25,4.67,4,4.16,286027
2007-03-19,4.26,4.3,3.7,3.87,18883
2007-03-20,4,4.63,3.52,3.78,20125
2007-03-21,3.85,3.94,3.43,3.62,17002
2007-03-22,3.4,3.8,3.4,3.61,19540
2007-03-23,3.44,3.69,3.44,3.63,7276
2007-03-26,3.6,3.61,3.27,3.36,5225
2007-03-28,3.28,3.3,3.24,3.25,19100
2007-03-29,3.4,3.4,3.26,3.31,1870
2007-03-30,3.25,3.4,3.2,3.35,3047
2007-04-02,3.21,3.3,2.7,3.25,8122
2007-04-03,3.25,3.33,3.19,3.28,2203
2007-04-04,3.4,3.4,3.26,3.28,703
2007-04-05,3.3,3.3,3.05,3.15,3182
2007-04-09,3.25,3.38,3.19,3.33,1110
2007-04-10,3.46,3.47,2.9,3.26,6598
2007-04-11,3.3,3.39,3.3,3.31,3814
2007-04-12,3.3,3.39,3.3,3.39,1179
2007-04-13,3.47,3.5,3.37,3.48,120
2007-04-16,3.56,3.56,3.41,3.43,1192
2007-04-17,3.32,3.45,3.32,3.38,818
2007-04-18,3.38,3.4,3.38,3.4,123
2007-04-19,3.38,3.38,3.38,3.38,1137
2007-04-20,3.38,3.55,3.38,3.38,796
2007-04-23,3.36,3.36,3.36,3.36,40
2007-04-24,3.36,3.5,3.21,3.36,813
2007-04-25,3.35,3.65,3.35,3.59,3692
2007-04-26,3.6,3.6,3.4,3.45,741
2007-04-27,3.48,3.48,3.36,3.36,650
2007-04-30,3.3,3.3,3.3,3.3,100
2007-05-03,3.53,3.57,3.35,3.35,1540
2007-05-04,3.32,3.4,3.32,3.39,1400
2007-05-07,3.35,3.4,3.26,3.31,2003
2007-05-08,3.37,3.37,3.37,3.37,100
2007-05-09,3.25,3.65,3.15,3.31,1200
2007-05-10,3.28,3.46,3.28,3.29,334
2007-05-11,3.49,3.5,3.32,3.4,560
2007-05-14,3.4,3.4,3.28,3.3,1636
2007-05-15,3.34,3.39,3.27,3.39,395
2007-05-16,3.58,3.58,3.39,3.43,3984
2007-05-17,3.45,3.55,3.36,3.53,2850
2007-05-18,3.38,3.54,3.38,3.48,1497
2007-05-21,3.55,3.55,3.45,3.55,1130
2007-05-22,3.41,3.41,3.38,3.4,928
2007-05-23,3.03,3.43,3.03,3.38,572
2007-05-24,3.26,3.43,3.25,3.33,510
2007-05-25,3.35,3.43,3.31,3.38,900
2007-05-28,3.31,3.32,3.31,3.32,344
2007-05-29,3.3,3.34,3.26,3.34,2958
2007-05-30,3.35,3.35,3.28,3.35,539
2007-05-31,3.33,3.35,3.21,3.29,6849
2007-06-04,3.37,3.37,3.21,3.23,4405
2007-06-05,3.2,3.28,3.17,3.23,7076
2007-06-06,3.33,3.33,3.15,3.17,4252
2007-06-07,3.18,3.33,3.18,3.33,115
2007-06-08,3.3,3.3,3.3,3.3,120
2007-06-11,3.34,3.39,3.2,3.2,8333
2007-06-12,3.3,3.49,3.25,3.34,7099
2007-06-13,3.4,3.4,3.18,3.22,37413
2007-06-14,3.29,3.35,3.25,3.26,8452
2007-06-15,3.28,3.33,3.25,3.28,5578
2007-06-18,3.3,3.6,3.3,3.4,11513
2007-06-19,3.39,3.48,3.38,3.41,3640
2007-06-20,3.5,3.5,3.34,3.34,1010
2007-06-21,3.39,3.39,3.33,3.33,285
2007-06-22,3.3,3.39,3.3,3.37,260
2007-06-25,3.25,3.37,3.25,3.26,2136
2007-06-26,3.4,3.5,3.28,3.44,11550
2007-06-27,3.4,3.87,3.39,3.72,35184
2007-06-28,3.73,3.73,3.41,3.49,24241
2007-06-29,3.54,3.6,3.39,3.4,23283
2007-07-02,3.33,3.53,3.32,3.43,3820
2007-07-03,3.49,3.55,3.43,3.51,4754
2007-07-04,3.46,3.47,3.46,3.47,798
2007-07-05,3.46,3.5,3.38,3.42,2340
2007-07-06,3.49,3.51,3.45,3.51,3395
2007-07-09,3.4,3.51,3.4,3.5,4894
2007-07-10,3.41,3.51,3.41,3.5,1404
2007-07-11,3.6,3.88,3.33,3.69,10739
2007-07-12,3.95,4.2,3.71,3.92,36670
2007-07-13,4.1,4.1,3.83,3.92,14656
2007-07-16,3.83,3.98,3.81,3.92,11012
2007-07-17,3.9,3.99,3.81,3.84,8165
2007-07-18,3.77,3.83,3.65,3.66,4013
2007-07-19,3.75,3.93,3.7,3.77,4020
2007-07-20,3.77,4,3.71,3.93,6540
2007-07-23,3.72,3.79,3.7,3.71,4949
2007-07-24,3.79,3.85,3.72,3.72,6190
2007-07-25,3.85,3.85,3.71,3.72,2250
2007-07-26,3.84,3.85,3.71,3.77,4763
2007-07-27,3.79,3.79,3.6,3.61,2097
2007-07-30,3.74,3.74,3.51,3.56,890
2007-07-31,3.56,3.69,3.47,3.6,2704
2007-08-01,3.5,3.55,3.45,3.45,2950
2007-08-02,3,3.6,3,3.37,4863
2007-08-03,3.58,3.58,3.36,3.38,1150
2007-08-06,3.42,3.48,3.3,3.32,500
2007-08-07,3.58,3.58,3.4,3.46,850
2007-08-08,3.45,3.48,3.45,3.48,1405
2007-08-09,3.6,3.69,3.41,3.42,3231
2007-08-10,3.48,3.69,3.32,3.62,1218
2007-08-13,3.6,3.6,3.41,3.6,10785
2007-08-14,3.59,3.85,3.59,3.72,9275
