Date,Open,High,Low,Close,Volume
2017-01-09,33.76,35.16,26.32,30.8,896000
2017-01-10,31.06,31.49,30.46,30.74,134000
2017-01-11,30.63,31.06,30.28,30.93,144000
2017-01-12,30.63,31.04,30,30.28,52000
2017-01-13,30.63,30.65,30.2,30.48,42000
2017-01-16,30.2,30.8,30.2,30.31,104000
2017-01-17,29.55,30.41,29.55,29.85,34000
2017-01-18,30.39,30.41,29.03,29.27,30000
2017-01-19,29.33,30.2,29.33,30.18,40000
2017-01-20,30.2,30.24,29.64,29.64,28000
2017-01-23,29.33,30.07,29.33,29.36,40000
2017-01-24,29.1,29.68,29.1,29.68,4000
2017-01-25,29.77,29.77,29.33,29.55,12000
2017-01-27,29.33,30.07,28.71,29.77,10000
2017-01-31,29.68,29.68,28.47,29.68,22000
2017-02-01,29.7,29.7,29.12,29.33,8000
2017-02-02,29.31,29.33,28.9,28.9,6000
2017-02-03,29.03,29.03,28.17,28.41,20000
2017-02-06,28.86,30.28,28.86,29.23,42000
2017-02-07,29.55,29.77,28.97,28.97,16000
2017-02-08,29.53,30.18,29.51,29.77,38000
2017-02-09,30.13,30.13,29.05,29.08,28000
2017-02-10,29.33,29.55,29.01,29.51,20000
2017-02-13,29.12,29.33,28.93,28.93,8000
2017-02-14,28.47,29.14,28.47,28.86,6000
2017-02-15,29.31,29.31,28.47,28.47,4000
2017-02-16,28.69,28.69,28.56,28.56,4000
2017-02-17,29.1,29.23,29.1,29.23,6000
2017-02-20,29.23,29.23,29.23,29.23,2000
2017-02-22,28.99,28.99,27.42,27.42,10000
2017-02-23,26.75,26.85,26.75,26.79,10000
2017-02-27,27.8,27.8,27.59,27.59,4000
2017-03-02,27.18,27.18,26.75,26.75,14000
2017-03-03,25.93,26.53,25.93,26.53,6000
2017-03-06,26.75,27.57,26.75,27.57,8000
2017-03-07,27.18,27.18,27.18,27.18,6000
2017-03-09,26.12,26.32,26.12,26.32,6000
2017-03-10,26.08,26.32,25.62,25.62,14000
2017-03-14,25.88,26.1,25.88,25.88,6000
2017-03-15,25.5,25.67,25.06,25.67,12000
2017-03-16,25.67,26.32,25.34,26.29,14000
2017-03-17,26.7,27.61,26.7,27.61,6000
2017-03-20,29.33,29.77,28.04,28.9,18000
2017-03-21,28.47,29.55,28.47,28.88,12000
2017-03-22,29.38,29.38,28.77,28.77,4000
2017-03-23,28.04,28.88,28.04,28.04,8000
2017-03-27,27.18,29.12,27.18,28.95,20000
2017-03-28,28.82,28.82,26.55,28.6,10000
2017-03-29,28.08,28.08,26.53,26.53,8000
2017-03-30,28.02,29.33,28.02,29.33,34000
2017-04-05,26.75,28.58,26.75,28.26,6000
