Date,Open,High,Low,Close,Volume
2003-09-05,282.5,288.1,282.5,288.1,942
2003-09-08,293,293,283.2,283.43,145
2003-09-09,288.5,289,285,289,21
2003-09-10,287.5,294.78,285,294.78,1151
2003-09-11,300,300.1,291,300.1,157
2003-09-12,303.5,303.5,300,300,24
2003-09-15,301,305,300,300,25
2003-09-16,301.5,301.5,296.5,299.25,10
2003-09-17,301,301,296.5,298.8,40
2003-09-18,293.2,293.2,293.2,293.2,7
2003-09-19,290,290,290,290,50
2003-09-22,290,295,290,292.5,100
2003-09-23,295,298.35,292.5,298.28,242
2003-09-24,297.5,303,297.5,303,32
2003-09-25,304,309.06,304,309.06,566
2003-09-26,315,315.25,306.5,315,391
2003-09-29,321,321.3,321,321.3,363
2003-09-30,325.9,327.71,325.9,327.71,459
2003-10-01,334.27,334.27,334.27,334.27,396
2003-10-03,340.95,340.95,340.95,340.95,511
2003-10-06,347.77,347.77,346.1,347.77,3755
2003-10-07,354,354.72,347.52,351.35,3937
2003-10-08,350,357.4,350,356.92,239
2003-10-09,355,364.06,355,363.53,743
2003-10-10,370,370.5,363,370.16,75
2003-10-13,370.5,377.56,363.1,376.51,291
2003-10-14,383.5,384,369,369,380
2003-10-15,365,365,361.62,361.62,133
2003-10-16,365,365,354.39,354.39,40
2003-10-17,354,359.4,347.31,348.94,521
2003-10-20,350,354.99,348.94,350.22,724
2003-10-21,350.1,350.1,347.5,347.5,45
2003-10-22,345,347.45,342.5,342.5,20
2003-10-23,336,347.4,335.7,335.7,121
2003-10-24,340,340,335,336.63,40
2003-10-25,336.5,341.9,336.1,340,49
2003-10-27,344,344,335,335.1,9
2003-10-28,335.1,335.3,335.1,335.3,32
2003-10-29,335,335,330,332.91,963
2003-10-30,330,330.5,330,330.5,21
2003-10-31,329,337,329,337,16
2003-11-03,342,343.74,342,343.74,35
2003-11-04,350,350,342.5,348.81,70
2003-11-05,350.13,350.13,348,348,89
2003-11-06,346.5,354.2,346.5,350,38
2003-11-07,350,357,350,356.9,58
2003-11-11,364.04,364.04,364.04,364.04,17
2003-11-12,370,371.33,367.5,371.18,168
2003-11-13,374.9,374.9,364.1,365.38,579
2003-11-14,358.1,365,358.08,358.08,279
2003-11-15,351,355,351,354.91,74
2003-11-17,357.5,362.01,357.5,362.01,78
2003-11-18,369.25,369.25,369.25,369.25,12
2003-11-19,375,376.64,375,376.64,87
2003-11-20,380,384.13,380,380,450
