Date,Open,High,Low,Close,Volume
2007-09-20,35.09,63.79,34.04,47.11,29659387
2007-09-21,46.72,51.4,45.77,50.35,10067060
2007-09-24,51.92,56.16,50.11,54.02,3904340
2007-09-25,54.59,55.69,43.24,43.43,1994870
2007-09-26,44.72,44.72,34.76,34.76,3304762
2007-09-27,35.28,36.81,31.37,31.71,6093590
2007-09-28,33.37,33.37,30.75,31.47,1382008
2007-10-01,33.09,33.37,31.04,31.18,1332393
2007-10-03,31.85,31.85,28.27,28.51,945069
2007-10-04,27.18,31.18,26.84,30.04,1079026
2007-10-05,30.51,30.85,27.94,28.42,461419
2007-10-08,28.61,28.8,25.98,26.27,340672
2007-10-09,25.7,28.51,25.36,28.03,652997
2007-10-10,27.89,28.85,27.27,27.41,280396
2007-10-11,25.32,28.51,25.32,26.37,178724
2007-10-12,25.84,27.94,25.79,27.37,395955
2007-10-15,26.89,28.7,26.89,28.61,510293
2007-10-16,28.61,28.7,27.46,27.94,236860
2007-10-17,26.7,26.89,25.17,26.37,142543
2007-10-18,26.65,27.37,24.79,25.75,141985
2007-10-19,24.84,26.46,23.17,23.74,189379
2007-10-22,22.03,23.93,22.03,23.27,130365
2007-10-23,23.79,24.51,23.03,23.41,145799
2007-10-24,23.27,24.7,22.69,24.08,243013
2007-10-25,23.27,24.79,23.27,24.32,127658
2007-10-26,24.7,25.84,23.98,25.27,229441
2007-10-29,25.7,27.18,24.98,25.03,154817
2007-10-30,24.03,25.03,23.03,23.36,180729
2007-10-31,24.13,24.17,23.36,23.55,133300
2007-11-01,23.65,24.13,22.36,22.5,270629
2007-11-02,23.7,23.7,20.64,21.07,283586
2007-11-05,20.88,21.74,20.88,21.03,312311
2007-11-06,20.55,21.41,20.02,20.12,306950
2007-11-07,21.03,21.03,18.12,19.17,652752
2007-11-08,19.07,19.74,19.07,19.45,90338
2007-11-09,19.12,20.98,18.64,19.93,57762
2007-11-12,19.17,19.93,18.69,19.12,95233
2007-11-13,19.21,19.4,17.74,18.02,440049
2007-11-14,18.59,18.79,17.64,17.97,785049
2007-11-15,18.98,19.07,17.83,18.02,875764
2007-11-16,18.55,18.55,17.74,18.07,787632
2007-11-19,18.88,19.88,17.88,19.88,2706945
2007-11-20,19.88,21.88,19.88,21.88,323162
2007-11-21,24.03,24.08,22.55,23.22,2120369
2007-11-22,22.98,24.27,22.07,22.07,554611
2007-11-23,21.26,22.98,21.26,22.36,469340
2007-11-26,23.36,23.36,22.03,22.27,330864
2007-11-27,22.36,22.6,21.55,21.98,271582
2007-11-28,22.31,23.08,21.93,22.93,317262
2007-11-29,23.74,23.74,22.03,22.46,283271
2007-11-30,23.36,23.36,22.22,22.36,144572
2007-12-03,22.93,23.17,22.41,22.74,292554
2007-12-04,23.36,23.84,22.79,23.22,236473
2007-12-05,23.84,24.36,23.08,24.32,373878
2007-12-06,24.79,25.56,24.79,25.56,401875
2007-12-07,26.84,26.84,26.27,26.84,282707
2007-12-10,27.56,28.23,25.84,28.23,636621
2007-12-11,29.56,29.66,28.65,29.66,654160
2007-12-12,29.8,31.09,28.65,29.66,877233
2007-12-13,30.51,30.8,28.18,28.18,684403
2007-12-14,29.08,29.56,26.89,29.04,657318
2007-12-17,29.56,30.28,27.65,27.99,623983
2007-12-18,27.75,28.42,26.75,27.37,300538
2007-12-19,28.46,28.75,27.65,28.61,531580
2007-12-20,28.56,29.94,27.22,29.61,573310
2007-12-24,31.09,31.09,28.89,29.13,282990
2007-12-26,28.7,30.61,28.7,30.61,505791
2007-12-27,31.56,32.18,30.94,32.13,563627
2007-12-28,32.13,33.76,31.47,33.76,581860
2007-12-31,35,35.47,34.66,35.47,270650
2008-01-01,36.62,37.28,36.57,37.28,291974
2008-01-02,39.19,39.19,35.42,37.24,1215414
2008-01-03,37.19,37.67,35.76,36.09,529846
2008-01-04,36.24,37.67,34.33,34.38,446794
2008-01-07,32.66,36.09,32.66,36.09,521313
2008-01-08,36.09,37.9,34.33,34.33,511096
2008-01-09,33.57,33.57,32.61,32.61,169188
2008-01-10,31.09,33.23,30.99,30.99,167924
2008-01-11,30.99,30.99,29.47,29.47,60332
2008-01-14,29.08,30.42,27.99,29.66,251507
2008-01-15,30.99,30.99,28.23,28.46,142656
2008-01-16,28.13,28.61,27.08,27.65,153445
2008-01-17,27.7,29.04,27.65,29.04,66165
2008-01-18,29.56,30.37,27.61,27.61,176228
2008-01-21,27.51,27.51,26.22,26.22,22607
2008-01-22,24.94,24.94,24.94,24.94,2879
2008-01-23,24.65,24.65,23.7,23.7,23562
2008-01-24,22.55,22.84,22.55,22.55,67078
2008-01-25,21.46,21.46,21.46,21.46,42429
2008-01-28,20.41,20.98,20.41,20.41,87012
2008-01-29,21.36,21.46,20.26,21.41,163422
2008-01-30,22.17,22.41,20.36,20.5,169443
2008-01-31,21.03,21.03,19.5,20.02,156561
2008-02-01,20.45,20.5,19.55,19.98,72155
2008-02-04,20.64,20.98,20.12,20.98,50918
2008-02-05,22.03,22.03,21.36,22.03,37121
2008-02-06,21.69,23.17,21.69,23.17,163406
2008-02-07,23.79,24.36,22.17,23.51,234384
2008-02-08,24.41,24.41,22.36,22.36,37294
2008-02-11,21.93,21.93,21.26,21.26,10692
2008-02-12,20.22,20.22,20.22,20.22,12148
2008-02-13,19.21,20.79,19.21,19.21,153927
2008-02-14,19.21,20.22,19.07,19.74,170527
2008-02-15,19.6,20.69,19.26,20.26,110823
2008-02-18,20.07,21.17,20.07,20.69,67271
2008-02-19,20.98,21.69,19.69,19.88,121923
2008-02-20,19.88,20.02,19.26,19.45,57877
2008-02-21,20.31,20.36,19.31,19.79,53561
2008-02-22,19.12,19.98,19.12,19.5,45996
2008-02-25,20.5,20.5,18.59,19.26,71250
2008-02-26,19.21,19.98,19.21,19.69,54997
2008-02-27,20.31,20.31,19.07,19.21,56749
2008-02-28,19.21,19.45,18.36,18.93,79061
2008-02-29,19.07,19.88,18.12,19.12,115982
2008-03-03,18.83,19.69,18.59,19.02,129605
2008-03-04,18.69,19.26,18.07,18.17,52083
2008-03-05,17.35,18.12,17.26,17.26,58193
2008-03-07,17.12,17.12,16.4,16.4,13787
2008-03-10,15.45,15.59,14.78,15.02,118574
2008-03-11,16.21,16.54,13.68,16.45,205336
2008-03-12,17.69,18.12,16.69,16.83,128065
2008-03-13,15.83,16.45,15.16,15.16,107303
2008-03-14,16.02,16.02,14.3,15.07,72478
2008-03-17,14.78,15.26,13.73,13.97,83002
2008-03-18,13.68,13.78,12.59,12.63,213815
2008-03-19,13.4,13.4,11.44,11.82,158519
2008-03-24,11.73,12.4,11.25,11.25,58072
2008-03-25,11.73,11.82,10.87,11.68,139325
2008-03-26,11.68,12.25,11.54,12.11,122344
2008-03-27,12.68,12.68,11.78,12.21,135573
2008-03-28,12.73,12.83,12.25,12.83,53915
2008-03-31,13.25,13.49,12.83,13.21,145139
2008-04-01,13.83,13.83,12.87,13.49,104931
2008-04-02,13.97,14.21,13.83,14.11,84366
2008-04-03,14.11,14.4,13.73,14.21,80626
2008-04-04,13.92,14.16,13.54,13.59,39485
2008-04-07,12.92,13.83,12.92,13.59,33890
2008-04-08,13.68,13.78,13.21,13.3,63302
2008-04-09,13.16,13.54,12.87,13.4,38820
2008-04-10,13.35,13.68,13.25,13.4,20921
2008-04-11,14.02,14.02,13.35,13.45,31797
2008-04-15,13.54,13.64,13.11,13.35,56975
2008-04-16,13.35,13.73,13.11,13.4,99119
2008-04-17,13.87,14.07,13.59,14.07,86246
