Date,Open,High,Low,Close,Volume
2023-11-07,162.55,164,154.45,154.45,505600
2023-11-08,146.75,146.75,146.75,146.75,1600
2023-11-09,139.45,139.45,139.45,139.45,8000
2023-11-10,132.5,132.5,132.5,132.5,16000
2023-11-12,126.1,130,125.9,125.9,216000
2023-11-13,119.6,132.15,119.6,126.3,444800
2023-11-15,125.7,127,120,120,134400
2023-11-16,115,118.85,114,114,126400
2023-11-17,113.9,119.7,113.9,119.7,75200
2023-11-20,125,125.65,119.7,125.65,150400
2023-11-21,131.9,131.9,120.1,130,160000
2023-11-22,130,131,121.2,121.85,92800
2023-11-23,120.1,132,120.1,130,102400
2023-11-24,131.5,133.75,128.55,130,44800
2023-11-28,130.5,139.2,130.15,136.55,84800
2023-11-29,136.55,136.9,129,131.2,81600
2023-11-30,130.05,154.4,128.3,147.2,236800
2023-12-01,149.75,154,138,149.4,116800
2023-12-04,150,150,143.5,143.85,86400
2023-12-05,168,168,135,139.85,76800
2023-12-06,139.1,143.95,133,142.5,86400
2023-12-07,141.5,141.5,135.1,135.6,30400
2023-12-08,136.1,136.1,126.2,129.4,62400
2023-12-11,129.8,133.25,125.8,126.1,62400
2023-12-12,132.5,132.5,122.5,123.75,35200
2023-12-13,121.05,121.5,118.5,121.35,120000
2023-12-14,122.7,125.45,120,124.95,36800
2023-12-15,127.7,128.7,121.3,127.85,30400
2023-12-18,126,127.6,124.5,126.75,33600
2023-12-19,125.6,127.6,121.9,127.25,35200
2023-12-20,123.85,123.85,116.1,117.6,40000
2023-12-21,122.3,122.5,117.05,121.4,32000
2023-12-22,121.4,125,121.4,122,41600
2023-12-26,122.1,127.6,122.1,125.15,57600
2023-12-27,125.3,125.3,119.5,120.65,48000
2023-12-28,120.65,123.25,119,121.55,19200
2023-12-29,124,124,120,122.6,25600
2024-01-01,120.05,124.9,115,123.25,28800
2024-01-02,123.15,126,122,125.25,38400
2024-01-03,124,125,124,125,8000
2024-01-04,127.9,150,127.9,150,180800
2024-01-05,164.4,164.4,136,147.7,118400
2024-01-08,154,169,152,167.15,145600
2024-01-09,171,181,163,175.9,100800
2024-01-10,175.5,184.6,160.55,183.95,132800
2024-01-11,191.5,202.3,184,202.3,108800
2024-01-12,220,222.5,211,220,113600
2024-01-15,224.4,229.45,212,215.15,30400
2024-01-16,212,212,204.4,204.4,35200
2024-01-17,194.2,194.2,194.2,194.2,1600
2024-01-18,185,203.9,184.5,203.8,118400
2024-01-19,207.7,208,195,201,35200
2024-01-20,196,196,193.7,193.7,3200
2024-01-23,186.55,191.9,184.05,184.15,46400
2024-01-24,180,182,176.5,180.1,8000
2024-01-25,180,180,176.5,176.5,3200
2024-01-29,179,185.3,178.95,185.3,46400
2024-01-30,193,194.55,187.55,194.5,40000
2024-01-31,202.95,204,195,202,38400
2024-02-01,202,202,202,202,1600
2024-02-02,197,207,191.95,191.95,19200
2024-02-05,185.05,185.05,182.35,182.35,14400
2024-02-06,174,189.95,174,189,40000
2024-02-07,189.85,189.85,179.6,181,14400
2024-02-08,174,183.45,171.95,181.3,32000
2024-02-09,178,178,172.5,175,4800
2024-02-12,172.5,172.5,170,170,3200
2024-02-13,178.5,178.5,161.5,176.9,54400
2024-02-14,176.95,184.9,176.95,176.95,19200
2024-02-15,176.95,176.95,170,170,8000
2024-02-16,171,173.5,171,173.5,3200
2024-02-19,171.05,182.15,171.05,182.15,46400
2024-02-20,191.25,191.25,186,186,22400
2024-02-21,181,192.2,181,189.2,17600
2024-02-22,185,188,184,187.95,12800
2024-02-23,182.15,189.95,180,188.5,16000
2024-02-26,182.5,189.9,180.2,188.3,72000
2024-02-27,192,197.65,183.1,185.3,120000
2024-02-28,184.95,193.35,176.5,186.95,56000
2024-02-29,189.9,189.9,189.9,189.9,32000
2024-03-01,183.15,184.95,180.5,180.5,19200
2024-03-04,182.85,182.85,182.85,182.85,1600
2024-03-05,180,180,173.7,173.7,12800
2024-03-06,166.25,166.25,165.05,165.1,9600
2024-03-07,156.85,160,156.85,160,8000
2024-03-11,156,156,152,152,8000
2024-03-12,149.7,149.7,144.4,144.4,11200
2024-03-13,137.6,137.6,137.2,137.2,11200
2024-03-14,130.35,138.5,130.35,130.5,96000
2024-03-15,125.1,126.55,124,125,35200
2024-03-18,118.75,131.25,118.75,129.75,75200
2024-03-19,131.6,135.9,129.2,129.5,32000
2024-03-20,129,129,126.25,126.25,3200
2024-03-21,131.9,132.55,128,128.2,40000
2024-03-22,133.75,133.75,130,130,8000
2024-03-26,135.4,135.4,125.9,126.35,16000
2024-03-27,125.9,125.9,122.5,122.5,27200
2024-03-28,123,124.95,118.55,119,19200
2024-04-01,124.95,124.95,123,124.9,49600
2024-04-02,131.1,131.1,130.65,130.9,14400
2024-04-03,137.35,137.4,137.35,137.4,11200
2024-04-04,144,144.25,141,144.2,35200
2024-04-05,148,148.9,142.25,148.7,17600
2024-04-08,148,149,148,148,6400
2024-04-09,142,142,141.55,141.55,3200
2024-04-10,147.7,148,141,141.5,11200
2024-04-15,135,136.05,134.45,136.05,9600
2024-04-16,142,142.85,142,142.85,12800
2024-04-18,149.95,149.95,149.95,149.95,8000
2024-04-19,157.4,157.4,157.4,157.4,6400
2024-04-22,165.25,165.25,165.25,165.25,6400
2024-04-23,173.5,173.5,158.1,158.3,81600
2024-04-24,155,164,151.5,160.85,56000
2024-04-25,164.5,168.7,161.5,167,33600
2024-04-26,170,174,170,171,12800
2024-04-29,178.5,179.55,167,178,72000
2024-04-30,180,180,171,176.55,16000
2024-05-02,185.3,185.3,176,176.15,10400
2024-05-03,177.9,177.95,175,175,8000
2024-05-06,175,175,171,172,4800
2024-05-07,172,180.6,166.45,180.6,26400
2024-05-08,181.6,188.45,174.35,180,17600
2024-05-09,183,183,174,175,14400
2024-05-10,175,178,174,178,2400
2024-05-13,178,178,169.1,170.25,8800
2024-05-14,170,173,170,173,2400
2024-05-16,170,170,170,170,1600
2024-05-17,170,172,170,170,3200
2024-05-18,164,164,161.5,161.75,4800
2024-05-21,160.2,169,157.5,162.5,11200
2024-05-22,162.5,167,160.75,167,4800
2024-05-23,165,165,161.25,161.25,5600
2024-05-24,161.25,161.25,157.6,159.75,6400
2024-05-27,153.4,155.5,151.8,151.8,22400
2024-05-28,144.5,147,144.25,145.3,11200
2024-05-29,138.05,138.05,138.05,138.05,4000
2024-05-30,131.15,131.15,131.15,131.15,12800
2024-05-31,124.6,137.7,124.6,137.7,22400
2024-06-03,144.55,144.55,131.2,132,16000
2024-06-04,126.5,130,125.4,125.4,20000
2024-06-05,125.4,131.65,122,127.3,24800
2024-06-06,133.35,133.35,131.8,131.8,4800
2024-06-07,130,135.75,128,135.75,12000
2024-06-10,134.95,134.95,130.05,130.5,4800
