Date,Open,High,Low,Close,Volume
2023-10-04,80,80,76,76,721600
2023-10-05,72.2,72.2,72.2,72.2,4800
2023-10-06,68.6,68.6,68.6,68.6,14400
2023-10-09,65.2,65.2,65.2,65.2,19200
2023-10-10,61.95,61.95,61.95,61.95,52800
2023-10-11,58.85,61.95,58.85,61.35,1126400
2023-10-12,59.55,59.55,58.3,58.3,232000
2023-10-13,57,58.65,55.4,58.1,200000
2023-10-16,56.45,58,56.4,57.65,75200
2023-10-17,58.6,60.5,57,60.1,200000
2023-10-18,62.5,62.5,55.4,59.35,318400
2023-10-19,58.05,59.7,56.5,58.9,67200
2023-10-20,58.05,59.7,57.05,57.35,68800
2023-10-23,56.85,56.85,54,54.4,283200
2023-10-25,54,54,51,52,73600
2023-10-26,52.5,52.5,46.65,51.15,105600
2023-10-27,52,52,49.95,51,35200
2023-10-30,49.9,50.2,48.5,49.65,32000
2023-10-31,49.6,49.6,48.25,48.7,20800
2023-11-01,49.95,50,49.1,49.4,16000
2023-11-02,49.5,50.5,49.45,49.75,30400
2023-11-03,50,50,49.4,49.95,16000
2023-11-06,49.9,51.1,49.1,51.05,43200
2023-11-07,50.5,51.4,49.5,51.3,30400
2023-11-08,51.95,54.5,51.95,54.05,80000
2023-11-09,56.15,59.3,55,57.35,192000
2023-11-10,60,60,57.5,58.8,91200
2023-11-12,59.75,59.75,58.35,58.35,4800
2023-11-13,57.25,57.25,55,55.5,24000
2023-11-15,55.9,56.5,54.4,54.4,19200
2023-11-16,55,55.95,53.5,54.1,22400
2023-11-17,54.6,56,54.15,55,32000
2023-11-20,55,60,55,56.55,46400
2023-11-21,56.55,56.55,55,55.25,24000
2023-11-22,56.4,56.4,54,54.6,12800
2023-11-23,54.1,54.1,51.75,53.1,35200
2023-11-24,52.3,53.35,52.3,53.35,19200
2023-11-28,52.15,53.3,52.15,52.5,19200
2023-11-29,53,53.6,52.6,53.6,17600
2023-11-30,53.05,53.65,52.2,52.75,35200
2023-12-01,53,55,52.25,53.85,41600
2023-12-04,54,59.85,53,56.75,163200
2023-12-05,58,59,56.8,57.25,57600
2023-12-06,59.25,59.35,57.8,58.4,70400
2023-12-07,58.4,58.4,57.5,57.6,30400
2023-12-08,57.6,58.6,56.05,57,27200
2023-12-11,57,57.8,56.15,56.5,28800
2023-12-12,56.5,56.9,55.35,55.35,30400
2023-12-13,55.1,55.7,54,55,32000
2023-12-14,55,55,54.15,54.3,20800
2023-12-15,54,54.95,53.9,54,28800
2023-12-18,55.1,55.1,53.15,53.7,25600
2023-12-19,53.75,54.35,53.2,53.2,19200
2023-12-20,53.2,53.2,50.25,51.35,46400
2023-12-21,49,51.2,49,50.5,48000
2023-12-22,51.95,51.95,50.5,51,16000
2023-12-26,51.05,52.5,51.05,51.4,12800
2023-12-27,51.4,51.4,51.25,51.25,6400
2023-12-28,51.25,51.25,50.6,50.8,17600
2023-12-29,50.8,51.3,50.6,51.15,17600
2024-01-01,51.1,51.5,50.55,51.15,28800
2024-01-02,50.5,51.15,50.5,51,24000
2024-01-03,51,51.95,51,51.85,27200
2024-01-04,52,53.4,52,53.2,35200
2024-01-05,53.2,53.65,51.85,52,32000
2024-01-08,52,52,50.55,50.85,17600
2024-01-09,50.85,51.8,50.55,50.65,33600
2024-01-10,51,52,51,51.7,20800
2024-01-11,51.7,55.85,51.05,55.35,100800
2024-01-12,55.5,55.55,54.05,54.1,17600
2024-01-15,54.05,54.05,52.75,53.15,17600
2024-01-16,51.6,52.75,51.15,51.3,17600
2024-01-17,50.8,51.6,50.8,51.2,17600
2024-01-18,50.6,51.05,50.55,50.75,28800
2024-01-19,50.95,51.85,50.95,51.25,17600
2024-01-20,51.25,51.85,50.85,51.35,25600
2024-01-23,52,54,50.85,51.05,22400
2024-01-24,51,52.4,51,51.5,12800
2024-01-25,51.5,51.65,50.85,51.35,24000
2024-01-29,51.45,51.45,50.25,50.75,28800
2024-01-30,50.2,51.65,50.2,50.9,25600
2024-01-31,50.9,51.4,50.6,51.35,17600
2024-02-01,50.95,51.2,50.65,50.75,22400
2024-02-02,50.15,51,50.15,50.5,32000
2024-02-05,50.35,51.5,49.5,49.9,38400
2024-02-06,48.15,49.45,48,48.65,68800
2024-02-07,48.7,48.95,48.3,48.8,20800
2024-02-08,48.5,49.75,48.5,49.2,32000
2024-02-09,50,52.3,48.6,49,49600
2024-02-12,49,49,48,48.55,24000
2024-02-13,48.05,48.05,47.1,47.6,11200
2024-02-14,46.7,47.6,46.7,47.6,14400
2024-02-15,47.6,47.8,47.2,47.5,11200
2024-02-16,48,48,47.35,47.85,9600
2024-02-19,47.85,48.05,47.85,48,12800
2024-02-20,48.65,48.65,48.4,48.4,4800
2024-02-21,48.5,48.5,48,48.15,9600
2024-02-22,48.15,48.85,48.15,48.85,17600
2024-02-23,49.05,50.9,49.05,50.7,24000
2024-02-26,51.2,51.2,50.3,51.15,22400
2024-02-27,51.3,52.1,51.3,51.55,41600
2024-02-28,50.3,51,50,50.5,24000
2024-02-29,50.1,50.1,49.65,49.65,4800
2024-03-01,51,51.7,50.5,50.5,14400
2024-03-04,50,50.25,49.05,49.2,24000
2024-03-05,49.05,49.5,48.6,48.6,11200
2024-03-06,48.5,48.5,47.6,47.6,17600
2024-03-07,47.6,48.5,47.5,47.55,11200
2024-03-11,48.05,48.05,46,46.25,28800
2024-03-12,47,47,44.3,44.9,25600
2024-03-13,44,44,40.9,41.15,38400
2024-03-14,41,42.8,40.5,42.4,43200
2024-03-15,41.65,43.6,41.3,43.05,40000
2024-03-18,43.3,43.3,42.1,42.1,20800
2024-03-19,41.45,41.85,39.1,40.35,41600
2024-03-20,41.9,42.4,40.1,41,60800
2024-03-21,41.55,41.55,40.35,40.4,60800
2024-03-22,40.55,41,40.2,40.4,59200
2024-03-26,40.15,40.15,37,37.35,168000
2024-03-27,37.35,37.35,35,35.2,177600
2024-03-28,35.65,35.65,33.1,33.85,137600
2024-04-01,32.55,39.25,32.55,39.25,73600
2024-04-02,39.25,42,39.25,41.75,36800
2024-04-03,42.5,42.5,40.65,41.4,27200
2024-04-04,42,42.75,41.75,42.5,19200
2024-04-05,42.05,42.9,42.05,42.15,14400
2024-04-08,42.15,42.15,40.75,41.3,8000
2024-04-09,42,42.5,41.25,41.25,8000
2024-04-10,41.3,41.8,40.85,41.05,16000
2024-04-12,40.5,40.55,40.5,40.5,25600
2024-04-15,40,40,38,39,19200
2024-04-16,38.2,38.35,38.2,38.35,6400
2024-04-18,39.5,40.15,39.5,39.5,11200
2024-04-19,38.85,39.95,38.65,39.05,9600
2024-04-22,39.9,41.35,39.9,41,17600
2024-04-23,41.5,45,41.5,44.3,54400
2024-04-24,45,46.3,44.6,46.15,44800
2024-04-25,46,46,46,46,1600
2024-04-26,45.9,46,45.35,45.5,11200
2024-04-29,45.25,45.25,42.5,42.5,17600
2024-04-30,43.5,44.55,43.25,43.25,11200
2024-05-02,44.65,44.65,43,43,6400
2024-05-03,42.3,42.7,42.2,42.45,4800
2024-05-06,44,44,42.35,42.35,14400
2024-05-07,43.6,46,41.65,41.65,40000
2024-05-08,41.75,41.75,41.75,41.75,1600
2024-05-09,43.75,43.75,42,42.45,8000
2024-05-10,41.8,42,41.8,42,4800
2024-05-13,42,42.75,41,41.55,16000
2024-05-14,42.45,42.45,41.1,41.15,8000
2024-05-15,41.15,41.85,41.15,41.65,6400
2024-05-16,41.85,41.85,41.5,41.5,4800
2024-05-17,41.1,42.5,41.1,42.5,6400
2024-05-21,41.1,42.25,41.1,41.25,12800
2024-05-22,41.05,41.15,40.5,40.5,16000
2024-05-23,41.55,41.6,39.55,40.05,24000
2024-05-24,40,40.9,40,40.5,8000
2024-05-27,42.15,42.2,41.2,41.4,22400
2024-05-28,41.5,41.5,40.2,40.35,8000
2024-05-29,41.35,41.35,41.35,41.35,1600
2024-05-30,41.45,41.5,40.4,40.45,16000
2024-05-31,40.55,41,37,39.15,72000
2024-06-03,40,41.4,39.05,39.05,14400
2024-06-04,38.5,38.55,37.5,37.55,33600
2024-06-05,37.05,37.95,37,37.5,9600
2024-06-06,39.7,39.7,37.5,37.5,3200
2024-06-07,38.8,39.7,38.5,38.5,12800
2024-06-10,39.85,40.3,38.7,39.6,32000
2024-06-11,40.3,40.75,40.3,40.35,28800
2024-06-12,40.35,40.35,39.4,40.15,11200
2024-06-13,39.6,41.5,39.55,40.2,33600
2024-06-14,39.8,40.4,39.65,40.4,11200
2024-06-18,40.4,40.45,39.35,39.35,22400
2024-06-19,41.8,43,40.6,42,81600
2024-06-20,41.95,42.75,41.4,42.7,27200
2024-06-21,42.7,42.85,41.25,41.25,11200
2024-06-24,41.05,41.5,41.05,41.25,9600
2024-06-25,41.3,41.95,41.2,41.95,6400
2024-06-26,41.95,42,41,41.5,24000
2024-06-27,40.8,40.8,40,40.15,22400
2024-06-28,40.5,40.5,39,39.15,22400
2024-07-01,40,40.7,39.75,40.1,12800
2024-07-02,41.35,41.4,40.25,40.25,20800
2024-07-03,40.1,41.45,40.05,40.9,17600
2024-07-04,41,41.25,40.25,40.65,9600
2024-07-05,41.75,41.75,40.9,41.05,16000
2024-07-08,41.05,41.9,41,41,14400
2024-07-09,40.75,41.2,40.6,40.9,8000
2024-07-10,40.75,40.85,40,40.55,19200
2024-07-11,40.4,43,40.4,42.35,48000
2024-07-12,43,43.3,41.65,42.1,35200
2024-07-15,42.1,42.9,42.1,42.8,8000
2024-07-16,42.5,42.5,42.05,42.05,4800
2024-07-18,42.85,42.85,41.65,41.65,8000
2024-07-19,41.5,41.5,40.95,41.45,65600
2024-07-22,41.15,41.75,40.55,40.7,145600
2024-07-23,41,42,40.5,41.25,137600
2024-07-24,42,47.25,41.95,43.75,272000
2024-07-25,43.8,45.65,42.45,42.95,232000
2024-07-26,43.95,43.95,42.1,42.4,126400
2024-07-29,42.35,43.55,42.05,42.05,166400
2024-07-30,42.05,42.95,42,42.35,171200
2024-07-31,42.8,44.5,42.55,43.7,84800
2024-08-01,45.4,45.4,42.75,42.75,96000
2024-08-02,42.75,42.95,42,42.5,70400
2024-08-05,40,41.7,40,40.9,118400
2024-08-06,41.9,41.9,41,41.1,67200
2024-08-07,41.2,41.8,40.85,41.1,33600
2024-08-08,41.8,42.4,41.4,41.55,60800
2024-08-09,42,42.5,41.55,41.6,60800
2024-08-12,42,42.35,41.75,41.75,56000
2024-08-13,42.55,42.55,41.65,41.65,56000
2024-08-14,41.9,41.95,41,41,59200
2024-08-16,41.1,41.5,40.25,40.55,120000
2024-08-19,41.5,41.7,40,41.55,57600
2024-08-20,41.6,41.8,40.1,40.35,62400
2024-08-21,41,41.4,40.75,40.8,51200
2024-08-22,41,41.35,40.65,41.3,56000
2024-08-23,42.35,42.35,40.65,40.7,70400
2024-08-26,40.9,40.95,40.55,40.8,72000
2024-08-27,40.3,40.85,40,40.5,86400
2024-08-28,40.15,41.65,40.15,41,123200
2024-08-29,40.1,41.55,40.05,40.3,60800
2024-08-30,41.8,41.85,40.15,40.25,75200
2024-09-02,40.95,40.95,39.65,40.15,54400
2024-09-03,40.15,40.85,38.7,39.85,81600
2024-09-04,39.9,39.95,38.8,39,67200
2024-09-05,39.55,44.35,39.15,41.55,283200
2024-09-06,42.9,44.1,41.5,41.55,131200
2024-09-09,41.65,44,41.65,43.55,118400
2024-09-10,43.95,44.6,43.25,44.35,145600
2024-09-11,43.5,46.8,43.5,45.15,121600
2024-09-12,46.1,46.1,44.25,44.9,67200
2024-09-13,45.45,45.65,42.5,43.2,132800
2024-09-16,43.2,44.55,42,42.15,203200
2024-09-17,42.1,42.7,41.6,42.5,115200
2024-09-18,42.5,43.35,42,42.55,84800
2024-09-19,42.2,43,40.65,41.45,104000
2024-09-20,41.25,41.4,40.35,40.95,60800
2024-09-23,40.95,41.25,40.25,40.85,83200
2024-09-24,41,41.35,40.7,41.25,116800
2024-09-25,42,42.2,40.7,41,57600
2024-09-26,41.45,41.7,40.45,41.65,115200
2024-09-27,41.65,41.65,40.4,41.5,123200
2024-09-30,41.5,41.65,41,41.4,56000
2024-10-01,41.4,42.4,41.25,41.5,104000
2024-10-03,42.5,42.5,40.65,41.2,56000
2024-10-04,40.05,41.65,38.95,41.55,64000
2024-10-07,42.5,42.55,37.6,39,113600
2024-10-08,40,40.95,39.75,40.6,68800
2024-10-09,41,41.8,40.95,41.3,67200
2024-10-10,41.9,41.9,40.45,41.5,72000
2024-10-11,41.15,41.6,39.75,39.75,136000
2024-10-14,41.35,42,40.4,40.65,91200
2024-10-15,40.8,40.85,39,40.6,73600
2024-10-16,40,41,39.7,40.4,67200
2024-10-17,40.8,41,39.7,40.7,60800
2024-10-18,40.8,40.8,40,40.2,62400
2024-10-21,40.2,40.9,39.55,39.7,57600
2024-10-22,41.8,41.9,38.1,38.1,60800
2024-10-23,38,39.9,38,38.15,83200
2024-10-24,38.3,39.4,38.25,38.75,59200
2024-10-25,39.4,40,38,38,64000
2024-10-28,38,38.6,38,38.3,56000
2024-10-29,37.5,38.15,37.35,37.6,56000
2024-10-30,38,39.65,38,38.9,56000
2024-10-31,38.45,39.3,38,38.35,56000
2024-11-01,38.35,39.15,37.85,38.7,30400
2024-11-04,38.5,38.95,37.75,38.4,59200
2024-11-05,39,39.05,38.25,38.5,52800
2024-11-06,38.25,39,38.25,38.6,54400
2024-11-07,38.9,38.95,37.75,38.05,72000
2024-11-08,38.55,38.9,38,38.5,57600
2024-11-11,38.7,39.9,38.5,38.5,60800
2024-11-12,39,39.75,38.5,38.5,51200
2024-11-13,38.2,39.45,37.5,38.75,89600
2024-11-14,38,38,37.75,37.85,9600
2024-11-18,37,37,36.6,36.75,4800
2024-11-19,36.6,38,36.6,37,46400
2024-11-21,36.5,38.45,36.5,37,12800
2024-11-22,36.55,38,36.5,37,12800
2024-11-25,37.6,37.6,37.6,37.6,6400
2024-11-26,37.6,37.6,37.6,37.6,1600
2024-11-27,37,38.05,37,37.95,22400
