Date,Open,High,Low,Close,Volume
2017-09-18,27.5,28.36,20.63,20.63,248000
2017-09-19,17.58,21.36,17.4,18.82,116000
2017-09-20,18.09,20.24,18.05,19.34,52000
2017-09-21,18.91,18.91,18.56,18.65,44000
2017-09-22,18.05,19.42,16.93,17.02,36000
2017-09-25,16.07,16.07,14.35,15.08,44000
2017-09-26,15.47,15.47,15.47,15.47,4000
2017-09-27,14.87,15.86,14.87,15.86,12000
2017-09-28,15.69,17.19,15.69,17.19,72000
2017-09-29,18.05,20.58,17.02,19.77,144000
2017-10-03,20.46,20.46,20.46,20.46,4000
2017-10-04,20.15,20.54,18.05,18.44,36000
2017-10-05,16.33,18.05,16.29,17.53,20000
2017-10-06,17.36,17.36,17.36,17.36,4000
2017-10-09,18.26,18.26,18.26,18.26,4000
2017-10-10,18.05,18.05,16.42,16.63,28000
2017-10-11,16.59,16.59,16.37,16.37,16000
2017-10-13,17.19,17.19,16.16,16.16,8000
2017-10-16,16.16,16.16,16.16,16.16,4000
2017-10-18,17.53,17.53,17.4,17.4,8000
2017-10-23,17.32,17.4,16.59,16.59,12000
2017-10-24,16.33,16.97,16.33,16.33,12000
2017-10-25,15.9,15.9,15.9,15.9,4000
2017-10-26,16.76,16.76,16.63,16.63,8000
2017-10-27,16.67,16.76,16.33,16.33,20000
2017-10-31,16.33,16.37,16.33,16.33,12000
2017-11-07,15.9,15.94,15.9,15.9,16000
2017-11-10,15.9,15.9,15.9,15.9,8000
2017-11-13,16.76,16.76,16.76,16.76,4000
2017-11-14,16.33,16.33,16.33,16.33,4000
2017-11-16,16.33,16.33,16.33,16.33,4000
2017-11-17,16.12,16.12,15.94,15.94,8000
2017-11-20,16.33,16.33,16.33,16.33,4000
2017-11-21,15.47,15.51,15.47,15.47,16000
2017-11-22,15.47,15.47,15.47,15.47,4000
2017-11-23,15.47,15.47,15.47,15.47,4000
2017-11-24,13.97,14.61,13.97,14.61,8000
2017-11-27,14.18,14.61,14.05,14.61,12000
2017-11-28,14.61,14.61,14.61,14.61,4000
