Date,Open,High,Low,Close,Volume
2010-03-11,42.4,50,42.4,46.65,20461610
2010-03-12,46.67,46.93,43.41,44.17,5864589
2010-03-15,43.47,46.87,43.03,46.2,4899708
2010-03-16,46.67,46.81,45.23,46.11,1847828
2010-03-17,46.31,50.51,45.81,49.51,4056441
2010-03-18,49.31,50.64,47.74,48.22,3397908
2010-03-19,48.07,50.23,48,49.18,1841795
2010-03-22,48.03,54.53,47.88,52.95,7521232
2010-03-23,46.67,53.92,46.67,51.24,3990065
2010-03-25,51.33,52.78,50.96,51.57,1750115
2010-03-26,51.87,52.66,50.3,51.22,1158328
2010-03-29,51.33,51.71,48.6,49.05,725484
2010-03-30,49.07,50.25,47.87,48.31,624617
2010-03-31,46.8,49.04,46,47.83,474362
2010-04-01,48.67,51.16,47.89,50.73,1351671
2010-04-05,51.2,51.56,49.36,49.61,963086
2010-04-06,49.93,53.25,49.35,51.77,2221274
2010-04-07,51.73,52.53,50.44,51.26,740917
2010-04-08,51.19,51.8,48.8,49.51,638172
2010-04-09,49.99,50.6,48.73,50.13,516318
2010-04-12,50.53,50.79,49.33,50.04,503602
2010-04-13,50.27,51.23,49.48,49.88,434369
2010-04-15,50.14,50.97,48.59,49.03,452426
2010-04-16,48.8,49.32,48.01,48.37,215317
2010-04-19,47.84,48.06,46.42,46.7,212317
2010-04-20,47.01,49.07,46.73,47.03,616392
2010-04-21,47.33,47.96,46.71,47.19,274284
2010-04-22,47.32,48.27,46.87,47.09,266548
2010-04-23,47.43,47.6,46,46.79,191446
2010-04-26,47.19,47.39,46.61,46.99,127652
2010-04-27,46.93,47.13,45.69,45.94,120907
2010-04-28,45.33,47.31,44.8,45.83,514437
2010-04-29,46.33,47,45.26,45.93,189639
2010-04-30,46.13,46.83,45.61,45.77,120734
2010-05-03,45.56,45.92,44.53,44.98,216301
2010-05-04,45.2,47.12,44.83,45.49,375705
2010-05-05,45.07,45.42,43.52,43.84,221448
2010-05-06,43.86,44.65,43.48,44.11,135912
2010-05-07,43.33,43.51,42.27,42.62,107710
2010-05-10,43.53,44.27,42.95,43.36,108330
2010-05-11,43.83,44,42.4,42.61,73231
2010-05-12,42.75,43.97,42.23,42.33,131074
2010-05-13,42.8,43.78,42.67,42.85,218392
2010-05-14,42.68,43.32,41.47,42.13,80209
2010-05-17,41.49,42.93,40.8,42.39,82455
2010-05-18,42.55,43.65,42.14,42.35,82274
2010-05-19,42.13,43.71,41.9,42.07,89600
2010-05-20,42.33,43.07,41.07,41.33,47014
2010-05-21,40,40.87,39.21,40.49,56319
2010-05-24,40.8,42.91,40.57,40.76,41821
2010-05-25,39.6,41.59,39.6,40.37,93438
2010-05-26,40.08,41.44,40,40.39,64516
2010-05-27,40.53,41.07,40.01,40.63,35046
2010-05-28,40.84,41.33,39.6,39.91,40110
2010-05-31,40.25,40.56,39.37,39.67,27284
2010-06-01,39.69,42.63,39.69,40.83,233655
2010-06-02,41.07,41.44,40.14,40.77,82198
2010-06-03,41.39,41.73,40.4,40.77,36314
2010-06-04,40.67,44.53,40.54,42.62,368109
2010-06-07,40.8,42.45,40.4,41.44,56267
2010-06-08,41.51,42.33,41.33,41.36,48674
2010-06-09,41.07,42.5,41.07,41.43,68723
2010-06-10,41.47,42.58,41.47,42.1,67308
2010-06-11,42.39,43.33,42.14,42.93,104881
2010-06-14,43.6,43.85,42.8,43.01,27898
2010-06-15,43.4,43.99,42.95,43.46,47886
2010-06-16,43.35,43.97,42.67,42.82,22526
