Date,Open,High,Low,Close,Volume
2025-12-24,74.4,74.4,70.7,70.7,80400
2025-12-26,67.2,67.2,67.2,67.2,441600
2025-12-29,63.85,63.85,63.85,63.85,530400
2025-12-30,60.7,60.7,60.7,60.7,457200
2025-12-31,57.7,57.7,57.7,57.7,534000
2026-01-01,54.85,60.5,54.85,56.1,988800
2026-01-02,53.3,54.85,53.3,53.3,276000
2026-01-05,51.1,53.25,50.65,50.65,122400
2026-01-06,48.15,48.15,48.15,48.15,63600
2026-01-07,45.75,45.75,45.75,45.75,67200
2026-01-08,43.75,49.45,42.1,42.8,627600
2026-01-09,42.5,45.6,41,41.55,219600
2026-01-12,42,44,40.75,41.6,223200
2026-01-13,43.5,43.5,41.5,42.75,168000
2026-01-14,42,43.15,42,42.9,50400
2026-01-16,43.3,48.5,43,46.75,132000
2026-01-19,47.4,50.15,47,49.7,148800
2026-01-20,50.5,54.6,50.5,52.55,226800
2026-01-21,53.45,53.9,49,50.6,63600
2026-01-22,51,51,48.25,48.6,24000
2026-01-23,48.8,50,48.8,49.1,15600
2026-01-27,47,48,44.1,46.4,90000
2026-01-28,46.25,49.9,46.25,48.85,36000
2026-01-29,48.5,56,47.8,55.05,258000
2026-01-30,52.55,54,51,52.45,19200
2026-02-01,50.35,50.35,50,50,4800
2026-02-02,47.95,50.85,46.2,47.05,93600
2026-02-03,48,51.55,48,49.05,42000
2026-02-04,46.3,54.75,46.3,54.35,140400
2026-02-05,54.9,55,53,53.3,26400
2026-02-06,52.75,52.75,52.5,52.5,4800
2026-02-09,51.25,56.35,51.1,53.4,160800
2026-02-10,53.5,61,53.5,60.25,244800
2026-02-11,57.5,72.3,57.5,69.2,321600
2026-02-13,68,72,63.2,64.25,69600
