Date,Open,High,Low,Close,Volume
2017-10-18,220,227.16,208.33,218.13,17942727
2017-10-19,218.33,221.33,217.66,219.63,719867
2017-10-23,219.96,227.33,213.6,224.88,1693246
2017-10-24,223.33,233.98,216.66,223.33,1259959
2017-10-25,225,226.33,215.43,218.5,888300
2017-10-26,219.46,221.66,214.36,220.05,309951
2017-10-27,220,224.56,220,222.85,304034
2017-10-30,222.85,222.85,217.33,219.75,144051
2017-10-31,218.33,221,210.66,212.3,222813
2017-11-01,212.66,220,210.35,219.41,249850
2017-11-02,218.33,218.33,214.25,215.26,73029
2017-11-03,215.33,218.66,213.66,214,58675
2017-11-06,213.66,214.95,209.66,211.83,70049
2017-11-07,212.68,215,206,206.6,104453
2017-11-08,207.01,210.66,196.86,202.55,182516
2017-11-09,203.33,204.95,195.01,197.58,112162
2017-11-10,197.66,198.66,192.05,193.33,75410
2017-11-13,194.05,196.33,188.35,194.28,60995
2017-11-14,195,204.81,195,203.41,135153
2017-11-15,204.33,205,194.03,196.18,201176
2017-11-16,199.66,201.48,195,196.56,115609
2017-11-17,196.56,200.66,195,196.53,75332
2017-11-20,196.53,198.8,195.35,196.35,60575
2017-11-21,198,202.68,197.33,197.9,151252
2017-11-22,199,212.8,198.33,204.75,189555
2017-11-23,205.01,210.01,202.3,204.71,87064
2017-11-24,204.66,208.75,204.65,206.65,318259
2017-11-27,203.66,207.86,202.68,205.46,43534
2017-11-28,206,208,204,205.91,55006
2017-11-29,204.68,217.66,204.68,216.56,271501
2017-11-30,215.96,221.61,213.66,215.58,180199
2017-12-01,216.21,221.33,210,213.21,247690
2017-12-04,214.1,214.1,208,209.03,34354
2017-12-05,208.66,219.46,205.35,216.91,72791
2017-12-06,216.91,217.03,211.66,212.2,32954
2017-12-07,210.51,216.33,210.51,212.9,87457
2017-12-08,212.33,215.33,207.36,212.18,41527
2017-12-11,212.18,219.58,209.5,213.18,90857
2017-12-12,214.08,215.18,203.13,204.81,97437
2017-12-13,203.66,208.3,203.16,206.33,40655
2017-12-14,209.33,222.56,201,216.56,157372
2017-12-15,217,218.66,210.46,212.46,39195
2017-12-18,211.83,215,203.4,213.73,23248
2017-12-19,215.33,216.66,210,213.95,73834
2017-12-20,213.63,215,210,210.6,37251
2017-12-21,208.93,213.7,208.7,209.38,31921
2017-12-22,211.05,213.26,208.73,209.81,15094
2017-12-26,210,210.98,207.03,207.68,23904
2017-12-27,210,210,207,207.65,11769
2017-12-28,207.66,209.65,207,208.35,26357
2017-12-29,206.66,210,202.53,208.91,51685
2018-01-01,207.66,209.48,206.83,208.43,10218
2018-01-02,206.9,209.33,204.71,205.11,12241
2018-01-03,206.66,207.68,204,204.71,15775
2018-01-04,205.7,206.98,202.33,202.85,23366
2018-01-05,201.53,205.86,199.78,203.06,108637
2018-01-08,203.6,206.53,203.6,204,18480
2018-01-09,203.66,211.6,203.66,207.46,203266
2018-01-10,207.66,210.05,204.05,209.06,22385
2018-01-11,209.16,210.21,208.03,208.71,23195
2018-01-12,213.33,219.63,213.31,215.26,246756
2018-01-15,218.33,218.48,210,212.45,28039
2018-01-16,214,215,205.66,207.76,57175
2018-01-17,206.66,211.75,203.33,208.21,55185
2018-01-18,211.33,211.33,205.06,207.76,30033
2018-01-19,207.76,213.33,205,208.68,80171
2018-01-22,209.66,214.16,206.4,212.9,28898
2018-01-23,213.33,216.33,211.71,215.81,77151
2018-01-24,215.81,219,211.7,214.41,188240
2018-01-25,212.66,215.11,210,211.5,82953
2018-01-29,211.66,214.65,211.66,213.4,23268
2018-01-30,213.26,214.2,207.66,212.81,35572
2018-01-31,210.98,214,203.68,209.63,37947
2018-02-01,209.95,214,206.66,212.96,32577
2018-02-02,207,210.35,203.35,206.01,28806
2018-02-05,202.33,210,200,208.33,26262
2018-02-06,208.23,208.23,198.98,202.43,80056
2018-02-07,203.35,205,196.83,198.6,48819
2018-02-08,201.58,201.58,198.4,199.76,22930
2018-02-09,199.33,209,196.66,204.95,36252
2018-02-12,203.13,206.66,202.06,203.36,125096
2018-02-14,203.76,206.66,203.66,206.4,8516
2018-02-15,205,207.78,203.63,205.08,8101
2018-02-16,204.41,207.23,202.83,205.48,12379
2018-02-19,207.33,207.33,202.33,204.46,113199
2018-02-20,204.08,206.68,203.35,205.88,8911
2018-02-21,203,206.46,200.18,201.05,32403
2018-02-22,200.66,202.73,199,200.26,30554
2018-02-23,200.68,202,199.33,200.33,20413
2018-02-26,198.8,202.15,197.68,199.95,15870
2018-02-27,199.21,201.66,198.03,199.9,72833
2018-02-28,201.11,201.11,196.86,197.68,311033
2018-03-01,196.95,199.91,196.85,198.56,6308
2018-03-05,198.33,199.65,195.01,196.98,13773
2018-03-06,197,198.41,196.35,196.81,7557
2018-03-07,196.66,196.98,194.33,195.86,12194
2018-03-08,194.4,197.65,193.8,196.68,7740
2018-03-09,195.13,197.46,194.1,195.58,32976
2018-03-12,195.81,196.66,188.51,193.21,41772
2018-03-13,193.11,193.11,188.35,191.05,34820
2018-03-14,189.33,191.33,189,189.7,16225
2018-03-15,190.05,195.33,189.35,193.36,13454
2018-03-16,195.66,195.66,189.33,190.46,5373
2018-03-19,191.05,191.28,183.66,187.11,21617
2018-03-20,183.76,187.06,183.76,185.65,7300
2018-03-21,188.33,188.33,185.75,187.01,10276
2018-03-22,188.33,190.33,185,188.53,36801
2018-03-23,185.35,192.18,183.75,189.26,176808
2018-03-26,190.03,194.48,184.4,191.8,34627
2018-03-27,190.66,208.33,188.7,196.7,84311
2018-03-28,197,202.55,193.35,197.68,116222
2018-04-02,197.71,202.33,197.18,201.35,9475
2018-04-03,201.33,202.98,198.68,201.68,54457
2018-04-04,200.01,204.66,197.4,200.05,8609
2018-04-05,202,207,200,205.21,40385
2018-04-06,204.6,207.31,202.23,206.03,24869
